Sample	SE mapped uniquely	SE multimapped	SE not aligned
SRR13380421	23616072.0	2080901.0	1731941.0
SRR13380425	22570729.0	2092701.0	1432680.0
SRR13380426	20862551.0	2064355.0	1365618.0
SRR13380427	21679248.0	2462541.0	1533463.0
SRR13380430	24385651.0	2050094.0	1517603.0
SRR13380434	20927355.0	1799393.0	1340843.0
SRR13380441	26301226.0	4695327.0	1154430.0
SRR13380446	26529582.0	2426966.0	1231321.0
SRR13380448	8280436.0	905940.0	307336.0
SRR13380458	6392641.0	693725.0	696654.0
SRR13380466	7659546.0	793554.0	256099.0
SRR13380471	5039049.0	561042.0	144347.0
