Sample	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate
SRR13380421	27428914	1731941	23616072	2080901	93.69
SRR13380425	26096110	1432680	22570729	2092701	94.51
SRR13380426	24292524	1365618	20862551	2064355	94.38
SRR13380427	25675252	1533463	21679248	2462541	94.03
SRR13380430	27953348	1517603	24385651	2050094	94.57
SRR13380434	24067591	1340843	20927355	1799393	94.43
SRR13380441	32150983	1154430	26301226	4695327	96.41
SRR13380446	30187869	1231321	26529582	2426966	95.92
SRR13380448	9493712	307336	8280436	905940	96.76
SRR13380458	7783020	696654	6392641	693725	91.05
SRR13380466	8709199	256099	7659546	793554	97.06
SRR13380471	5744438	144347	5039049	561042	97.49
