Sample	Assigned	Unassigned: Unmapped	Unassigned: Multi Mapping	Unassigned: No Features	Unassigned: Ambiguity
SRR13380421	15831842.0	1731941.0	7115812.0	5553499.0	2230731.0
SRR13380425	15016810.0	1432680.0	6883428.0	5174768.0	2379151.0
SRR13380426	14439980.0	1365618.0	6715680.0	4598141.0	1824430.0
SRR13380427	15457166.0	1533463.0	7911077.0	3960669.0	2261413.0
SRR13380430	16217345.0	1517603.0	6704192.0	6038139.0	2130167.0
SRR13380434	14016891.0	1340843.0	5997746.0	4734780.0	2175684.0
SRR13380441	20514167.0	1154430.0	14195763.0	2736318.0	3050741.0
SRR13380446	17616266.0	1231321.0	8425547.0	6713274.0	2200042.0
SRR13380448	5404944.0	307336.0	3382468.0	1992279.0	883213.0
SRR13380458	3894271.0	696654.0	2669689.0	1876782.0	621588.0
SRR13380466	5482455.0	256099.0	2795938.0	1377105.0	799986.0
SRR13380471	3530989.0	144347.0	2023036.0	869461.0	638599.0
