Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRR13380421	32463825	15831842	1731941	0	0	0	0	0	0	7115812	0	0	5553499	0	2230731	48.76764213705563
SRR13380425	30886837	15016810	1432680	0	0	0	0	0	0	6883428	0	0	5174768	0	2379151	48.618801594996604
SRR13380426	28943849	14439980	1365618	0	0	0	0	0	0	6715680	0	0	4598141	0	1824430	49.889632854289694
SRR13380427	31123788	15457166	1533463	0	0	0	0	0	0	7911077	0	0	3960669	0	2261413	49.663511395206775
SRR13380430	32607446	16217345	1517603	0	0	0	0	0	0	6704192	0	0	6038139	0	2130167	49.735097314889366
SRR13380434	28265944	14016891	1340843	0	0	0	0	0	0	5997746	0	0	4734780	0	2175684	49.589325585588085
SRR13380441	41651419	20514167	1154430	0	0	0	0	0	0	14195763	0	0	2736318	0	3050741	49.25202428277414
SRR13380446	36186450	17616266	1231321	0	0	0	0	0	0	8425547	0	0	6713274	0	2200042	48.68194033954698
SRR13380448	11970240	5404944	307336	0	0	0	0	0	0	3382468	0	0	1992279	0	883213	45.15317988611757
SRR13380458	9758984	3894271	696654	0	0	0	0	0	0	2669689	0	0	1876782	0	621588	39.90447161302857
SRR13380466	10711583	5482455	256099	0	0	0	0	0	0	2795938	0	0	1377105	0	799986	51.182490953951444
SRR13380471	7206432	3530989	144347	0	0	0	0	0	0	2023036	0	0	869461	0	638599	48.997742572191065
