Module	Section	Sample Name	Source
featureCounts	all_sections	SRR13380421	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/tables/subset_counts.txt.summary
featureCounts	all_sections	SRR13380425	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/tables/subset_counts.txt.summary
featureCounts	all_sections	SRR13380426	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/tables/subset_counts.txt.summary
featureCounts	all_sections	SRR13380427	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/tables/subset_counts.txt.summary
featureCounts	all_sections	SRR13380430	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/tables/subset_counts.txt.summary
featureCounts	all_sections	SRR13380434	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/tables/subset_counts.txt.summary
featureCounts	all_sections	SRR13380441	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/tables/subset_counts.txt.summary
featureCounts	all_sections	SRR13380446	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/tables/subset_counts.txt.summary
featureCounts	all_sections	SRR13380448	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/tables/subset_counts.txt.summary
featureCounts	all_sections	SRR13380458	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/tables/subset_counts.txt.summary
featureCounts	all_sections	SRR13380466	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/tables/subset_counts.txt.summary
featureCounts	all_sections	SRR13380471	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/tables/subset_counts.txt.summary
