.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR13380421_1	1	1	1	0.5	0.5	1	1	0.5	0.25	1
SRR13380425_1	1	1	1	0.5	1	1	1	0.5	0.25	1
SRR13380426_1	1	1	1	0.5	0.5	1	1	0.5	0.25	1
SRR13380427_1	1	1	1	0.5	1	1	1	0.25	0.25	1
SRR13380430_1	1	1	1	0.5	1	1	1	0.5	0.25	1
SRR13380434_1	1	1	1	0.5	0.5	1	1	0.5	0.25	1
SRR13380441_1	1	1	1	0.5	0.25	1	1	0.25	0.25	0.5
SRR13380446_1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR13380448_1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR13380458_1	1	1	1	0.5	0.5	1	1	0.5	0.25	1
SRR13380466_1	1	1	1	0.25	1	1	1	0.5	0.25	1
SRR13380471_1	1	1	1	0.25	0.5	1	1	0.5	0.25	1
