Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR13380421_1 - illumina_universal_adapter	(1, 0.0032951196210882906)	(2, 0.0036480503512749244)	(3, 0.0037371076383313647)	(4, 0.004320927631256918)	(5, 0.004452864352822015)	(6, 0.004591397910465366)	(7, 0.0058217078390598925)	(8, 0.007147671890789115)	(9, 0.008605572664083433)	(10, 0.009611590166017297)	(11, 0.009842479428756216)	(12, 0.010010698748751714)	(13, 0.010917763709511754)	(14, 0.011082684611468125)	(15, 0.011524672628711199)	(16, 0.011706085620863206)	(17, 0.01235257555653218)	(18, 0.012425140753392983)	(19, 0.012975976565927262)	(20, 0.013236551591018329)	(21, 0.01357958706708758)	(22, 0.013840162092178646)	(23, 0.014414086830986817)	(24, 0.01511335145528183)	(25, 0.0163370645477981)	(26, 0.018055540346183487)	(27, 0.020615112744546363)	(28, 0.024127927956217064)	(29, 0.028376290390613176)	(30, 0.034102344106538375)	(31, 0.04245064016356987)	(32, 0.052098512928017565)	(33, 0.06378150962260688)	(34, 0.07741057296028138)	(35, 0.09438753060767019)	(36, 0.11314893241422695)	(37, 0.1352186475140285)	(38, 0.16362792208503296)	(39, 0.1898470470780568)	(40, 0.2178539146482877)	(41, 0.24839396727256846)	(42, 0.28153647172972074)	(43, 0.3172451454213142)	(44, 0.35493286993638407)	(45, 0.3968887473940848)	(46, 0.44219911599757816)	(47, 0.49009874276178655)	(48, 0.5417255819102089)	(49, 0.5967201058765803)	(50, 0.6555902710389265)	(51, 0.7165120522216099)	(52, 0.780481571672447)	(53, 0.847940817408681)	(54, 0.9184445029950296)	(55, 0.9926127310228486)	(56, 1.0705873334678209)	(57, 1.1524078913464155)	(58, 1.2391298984311536)	(59, 1.3307302657957611)	(60, 1.426503131979865)	(61, 1.5264089159669951)	(62, 1.6280463694246674)	(63, 1.7334934957175319)	(64, 1.8419124966636502)	(65, 1.9536859887555609)
SRR13380421_1 - polya	(1, 0.13082515468591077)	(2, 0.2195723904466731)	(3, 0.3014292309236982)	(4, 0.3845790512720613)	(5, 0.45775445547010307)	(6, 0.5372529270491521)	(7, 0.6161049086925322)	(8, 0.694330190908478)	(9, 0.7632836200164367)	(10, 0.8210686056439099)	(11, 0.8696444081061394)	(12, 0.9169206338609527)	(13, 0.9649159147482957)	(14, 1.0083230961432126)	(15, 1.0483526974660629)	(16, 1.0881810952885265)	(17, 1.128190906103142)	(18, 1.1687614479844093)	(19, 1.2093913613903808)	(20, 1.2523466595139372)	(21, 1.2959187618108103)	(22, 1.341572165890373)	(23, 1.3846528038994161)	(24, 1.427954435917081)	(25, 1.4731757472335179)	(26, 1.5186444399028893)	(27, 1.5643407234169606)	(28, 1.6105548585631748)	(29, 1.6569075272670324)	(30, 1.7036494092995071)	(31, 1.751176314825294)	(32, 1.8006097059776967)	(33, 1.848456558053279)	(34, 1.8963067085469003)	(35, 1.9442228274013045)	(36, 1.9951965797779796)	(37, 2.043614058174331)	(38, 2.0909595507079657)	(39, 2.138773418603157)	(40, 2.1892161256755327)	(41, 2.2385109832702916)	(42, 2.2902664607222403)	(43, 2.3411775431561717)	(44, 2.3963303911884215)	(45, 2.4529015589774956)	(46, 2.5062501723423427)	(47, 2.5632237471321906)	(48, 2.6183666999103226)	(49, 2.672965413711999)	(50, 2.7294178384516643)	(51, 2.7851545064768395)	(52, 2.8449515271081807)	(53, 2.9019745781686153)	(54, 2.960861235421157)	(55, 3.0228154214500873)	(56, 3.084693743864118)	(57, 3.1485247297573116)	(58, 3.21400162625203)	(59, 3.2807550105278906)	(60, 3.3507408444820963)	(61, 3.4269837774565266)	(62, 3.503698384210552)	(63, 3.625492470305332)	(64, 4.811362812658695)	(65, 4.950991445091037)
SRR13380425_1 - illumina_universal_adapter	(1, 0.0016327551798007004)	(2, 0.0017354664600918509)	(3, 0.0018310942038111976)	(4, 0.0019798484718190706)	(5, 0.0020577673741089086)	(6, 0.002149853349542354)	(7, 0.002741328653287944)	(8, 0.003665730175908297)	(9, 0.005022227429408662)	(10, 0.005957254256886721)	(11, 0.006183927427184432)	(12, 0.006307889317190993)	(13, 0.007182706083808721)	(14, 0.007313751510387085)	(15, 0.007809599070413328)	(16, 0.007944186265277594)	(17, 0.00854982864216679)	(18, 0.008627747544456629)	(19, 0.00924047345791763)	(20, 0.009495480774502555)	(21, 0.009814239920233711)	(22, 0.010016120712530111)	(23, 0.010370297541120285)	(24, 0.010724474369710458)	(25, 0.01130178260031244)	(26, 0.012208475281503286)	(27, 0.013724352107869228)	(28, 0.0157112841162601)	(29, 0.018388860940401815)	(30, 0.022224595994033397)	(31, 0.027183071594295827)	(32, 0.033448459692055996)	(33, 0.041155347482178174)	(34, 0.05014789716008269)	(35, 0.06129738372410135)	(36, 0.07405837485820531)	(37, 0.08882046507384374)	(38, 0.10517989278642387)	(39, 0.12405751775028012)	(40, 0.14507437075882101)	(41, 0.1680250292514643)	(42, 0.19345846731252464)	(43, 0.22147385445400739)	(44, 0.25244307634593216)	(45, 0.28585611835512914)	(46, 0.32303760182052554)	(47, 0.3624291486963247)	(48, 0.40489495044428647)	(49, 0.45190484090306027)	(50, 0.5020456545265711)	(51, 0.5551367611322382)	(52, 0.6113162896832115)	(53, 0.671671563043263)	(54, 0.7358802802983756)	(55, 0.8044418307768614)	(56, 0.8768745339918378)	(57, 0.9539115359784864)	(58, 1.0364276535034251)	(59, 1.1239624566894866)	(60, 1.2165690720609592)	(61, 1.3129335035837737)	(62, 1.4132080472942237)	(63, 1.5169003974005688)	(64, 1.6260576959720603)	(65, 1.7391109396580438)
SRR13380425_1 - polya	(1, 0.11882278422371735)	(2, 0.20247935113671636)	(3, 0.28326000220156317)	(4, 0.3655104871050592)	(5, 0.43739421623572083)	(6, 0.514162043832641)	(7, 0.5862157778410259)	(8, 0.6594135030057571)	(9, 0.7238028504434506)	(10, 0.7785975475946364)	(11, 0.8225863097055359)	(12, 0.8664263175484277)	(13, 0.9118742881931188)	(14, 0.9542869634167921)	(15, 0.9918509578570659)	(16, 1.0287420163230183)	(17, 1.0667203976527426)	(18, 1.1063315341622677)	(19, 1.1422167304350241)	(20, 1.1801136510941725)	(21, 1.2186162141302104)	(22, 1.2579440091768632)	(23, 1.2961278130671698)	(24, 1.3337661846414477)	(25, 1.3726335498109332)	(26, 1.4124926101004716)	(27, 1.4530458569740463)	(28, 1.4939568224444972)	(29, 1.5355796833404145)	(30, 1.5762073073479934)	(31, 1.6178939200730567)	(32, 1.6618260138913818)	(33, 1.7035763784455915)	(34, 1.7452523658657972)	(35, 1.789166750842693)	(36, 1.8328190449664319)	(37, 1.8773142799422153)	(38, 1.9180800329129444)	(39, 1.9605989611851946)	(40, 2.0095532824329285)	(41, 2.0525645164969193)	(42, 2.0972403816552836)	(43, 2.1409635111447405)	(44, 2.1932648034226516)	(45, 2.244457522227075)	(46, 2.293234755060514)	(47, 2.345093326302687)	(48, 2.3938422249898386)	(49, 2.4413515047769248)	(50, 2.4907662559018258)	(51, 2.5402589259290163)	(52, 2.5910655919902768)	(53, 2.644539209570821)	(54, 2.6992064030637146)	(55, 2.7552973874075404)	(56, 2.8153020257072874)	(57, 2.873355149681503)	(58, 2.9333456209081064)	(59, 2.9936867271950143)	(60, 3.053716157872763)	(61, 3.119306164759377)	(62, 3.1872301969464005)	(63, 3.292328629062249)	(64, 4.272038405235244)	(65, 4.370301224559301)
SRR13380426_1 - illumina_universal_adapter	(1, 0.001490340673060429)	(2, 0.0016032452695044007)	(3, 0.0016220627022450627)	(4, 0.0017161498659483726)	(5, 0.0017500212448815643)	(6, 0.0018290544623923446)	(7, 0.002212930090301849)	(8, 0.0027210007742997223)	(9, 0.003676926357525351)	(10, 0.004105963824012444)	(11, 0.004241449339745211)	(12, 0.004403279261314903)	(13, 0.004937694351149703)	(14, 0.005035545001401146)	(15, 0.0053479143848961345)	(16, 0.0054570554947919745)	(17, 0.005855985068894009)	(18, 0.005976416638434245)	(19, 0.006443088970402662)	(20, 0.006687715596031268)	(21, 0.006905997815822947)	(22, 0.007135570495259023)	(23, 0.007545790529005454)	(24, 0.007952247076203752)	(25, 0.008738815764763423)	(26, 0.009897969621588202)	(27, 0.01152755929692953)	(28, 0.01399640647250438)	(29, 0.017296984175216492)	(30, 0.0222233880667218)	(31, 0.028534755007939828)	(32, 0.036445603732114126)	(33, 0.04623819573035462)	(34, 0.05732166361460453)	(35, 0.07087774216097742)	(36, 0.08639083371237916)	(37, 0.10452707538782917)	(38, 0.12429667022516865)	(39, 0.14661414545559376)	(40, 0.1711633682090614)	(41, 0.19880241341854568)	(42, 0.2285753555008211)	(43, 0.2605725181330427)	(44, 0.29600950747025734)	(45, 0.33426534823202314)	(46, 0.3759271443198488)	(47, 0.42108145592434126)	(48, 0.4699616192114848)	(49, 0.5209154635866493)	(50, 0.5765661391738831)	(51, 0.634380819526293)	(52, 0.6960229656981535)	(53, 0.7615226855818497)	(54, 0.8299165266210597)	(55, 0.9022921364281938)	(56, 0.9790559715504503)	(57, 1.0599257704967193)	(58, 1.146365529534224)	(59, 1.2367494224741717)	(60, 1.3313258394287388)	(61, 1.4303055356446208)	(62, 1.5323223655048457)	(63, 1.6380913914535586)	(64, 1.7485196137488594)	(65, 1.8627640114039663)
SRR13380426_1 - polya	(1, 0.09433931730203478)	(2, 0.1727214516399882)	(3, 0.2461997630057251)	(4, 0.3213039005602552)	(5, 0.3876616953769256)	(6, 0.45878782765007975)	(7, 0.5275090920189773)	(8, 0.5935244095597677)	(9, 0.6534353519194873)	(10, 0.7054881343667064)	(11, 0.7505370683478513)	(12, 0.7930042505569772)	(13, 0.8366531675422167)	(14, 0.8766213946833827)	(15, 0.9144444344921133)	(16, 0.9511948806346262)	(17, 0.9886490987616398)	(18, 1.0270328980660421)	(19, 1.0642048547019458)	(20, 1.102983820093902)	(21, 1.1428504330982685)	(22, 1.1825928510465467)	(23, 1.2218987045552414)	(24, 1.2621793010799023)	(25, 1.3033367899702781)	(26, 1.344577075564713)	(27, 1.3862162907332498)	(28, 1.428834012404301)	(29, 1.470525916384512)	(30, 1.5120522269566046)	(31, 1.5537027325847859)	(32, 1.5970731515654637)	(33, 1.6397887238867663)	(34, 1.682391391611625)	(35, 1.7259612753793538)	(36, 1.7718532303472803)	(37, 1.815656450280993)	(38, 1.8584472923332584)	(39, 1.90203223004718)	(40, 1.9479693468536838)	(41, 1.9922279486597207)	(42, 2.0375403266992347)	(43, 2.0822204389986627)	(44, 2.131115656231999)	(45, 2.180304425416089)	(46, 2.2282437170661997)	(47, 2.2794911133921185)	(48, 2.3290411772848296)	(49, 2.377721875784922)	(50, 2.4266208565048064)	(51, 2.476159629937873)	(52, 2.527324229559733)	(53, 2.5784850656950447)	(54, 2.630338383355213)	(55, 2.6846266768120226)	(56, 2.738963895593958)	(57, 2.7940048863603946)	(58, 2.8511421391341405)	(59, 2.9089831638923873)	(60, 2.969368305557172)	(61, 3.0352556645553257)	(62, 3.1038376799219423)	(63, 3.2121846941561256)	(64, 4.320602988825531)	(65, 4.426488682857236)
SRR13380427_1 - illumina_universal_adapter	(1, 0.002642770788256972)	(2, 0.0028423550404951285)	(3, 0.0029387060588169974)	(4, 0.0031176436642718964)	(5, 0.0032174357903909747)	(6, 0.0033344334554961013)	(7, 0.004222239267176178)	(8, 0.005361245948052555)	(9, 0.005901499872214462)	(10, 0.007532584968091812)	(11, 0.007677111495574615)	(12, 0.007770021406099274)	(13, 0.009032907967675197)	(14, 0.009184316710752418)	(15, 0.009490575304704074)	(16, 0.009614455185403619)	(17, 0.009965448180718999)	(18, 0.010092769169215754)	(19, 0.01038182222418136)	(20, 0.010670875279146966)	(21, 0.010953046118518153)	(22, 0.011245540281280969)	(23, 0.011655032109148911)	(24, 0.01217119827873035)	(25, 0.01302459301243833)	(26, 0.014297802897405882)	(27, 0.016290204311990242)	(28, 0.019098148274513272)	(29, 0.02282486801889127)	(30, 0.027821356540439605)	(31, 0.03446613569685134)	(32, 0.04272479441015438)	(33, 0.052710889237656634)	(34, 0.06422827703491717)	(35, 0.07810626478106347)	(36, 0.09373921750378668)	(37, 0.1116742713428431)	(38, 0.13157763884190343)	(39, 0.15377622524170256)	(40, 0.17863478796874468)	(41, 0.20650432001834523)	(42, 0.23604623045738965)	(43, 0.26749107350829093)	(44, 0.30233917217063255)	(45, 0.33900761685769804)	(46, 0.3791687859589313)	(47, 0.42243727540104475)	(48, 0.46936022132379485)	(49, 0.5192287555209564)	(50, 0.5727483050909572)	(51, 0.6293786161096356)	(52, 0.6890715130678305)	(53, 0.7524876886626062)	(54, 0.8190490367840315)	(55, 0.8901732938445567)	(56, 0.9642121692093184)	(57, 1.043471205102447)	(58, 1.1273275610126479)	(59, 1.214855578942471)	(60, 1.3068123026073033)	(61, 1.4031667620369692)	(62, 1.502225932195242)	(63, 1.6043786582632062)	(64, 1.7114418451577884)	(65, 1.821546971345104)
SRR13380427_1 - polya	(1, 0.1062923787480073)	(2, 0.18407517939613308)	(3, 0.2575531541899496)	(4, 0.33478881869831906)	(5, 0.40239970469789327)	(6, 0.47562647862251356)	(7, 0.543340597856004)	(8, 0.6100155025347372)	(9, 0.6690236190412874)	(10, 0.7187269800641829)	(11, 0.7602439456375166)	(12, 0.8013583015985769)	(13, 0.8440624493619481)	(14, 0.8826682377388425)	(15, 0.9179808859538074)	(16, 0.9536445271640878)	(17, 0.9894320482550676)	(18, 1.0257460588390204)	(19, 1.0598749659717452)	(20, 1.0961098310763624)	(21, 1.1332428253160511)	(22, 1.171198244319273)	(23, 1.2083243563433674)	(24, 1.2456638170508887)	(25, 1.2833783585083058)	(26, 1.3218430614655148)	(27, 1.360837695023494)	(28, 1.4003829058290267)	(29, 1.4388063154926691)	(30, 1.4776701869543543)	(31, 1.5167990237164246)	(32, 1.5584742802484302)	(33, 1.5987180359367963)	(34, 1.6386796207857914)	(35, 1.679928179950943)	(36, 1.7222916580423902)	(37, 1.7635574227465278)	(38, 1.802734435017759)	(39, 1.8425067589379076)	(40, 1.886446264400477)	(41, 1.927887525602272)	(42, 1.9696143987512358)	(43, 2.0109833966892894)	(44, 2.0581162501876693)	(45, 2.1052215748236716)	(46, 2.1490406415133387)	(47, 2.19721959178207)	(48, 2.24426641758552)	(49, 2.2887840291580206)	(50, 2.334450970734789)	(51, 2.37952260066264)	(52, 2.425371920952661)	(53, 2.4737504554736307)	(54, 2.522500629636699)	(55, 2.5732363229987576)	(56, 2.6275679740088997)	(57, 2.6799519580058218)	(58, 2.733468066468025)	(59, 2.7894239203584505)	(60, 2.8456550628726527)	(61, 2.9092123238871137)	(62, 2.974796397394132)	(63, 3.098163553031893)	(64, 4.636018715359443)	(65, 4.747713633349069)
SRR13380430_1 - illumina_universal_adapter	(1, 0.0010699607773845309)	(2, 0.0011806463750449997)	(3, 0.0012276039013251984)	(4, 0.0012644991005453547)	(5, 0.0013081025178055393)	(6, 0.001355060044085738)	(7, 0.001898425705328039)	(8, 0.002656454343851249)	(9, 0.003843808936936277)	(10, 0.004336862962878365)	(11, 0.004467673214658919)	(12, 0.004601837575459487)	(13, 0.005205577199062043)	(14, 0.0053498038869226544)	(15, 0.005675152461864032)	(16, 0.0057959003865845436)	(17, 0.00631243317566673)	(18, 0.006419764664307185)	(19, 0.006882631709069146)	(20, 0.007104002904390083)	(21, 0.007442767915411517)	(22, 0.007791595253492994)	(23, 0.008385272550035508)	(24, 0.009173488169738847)	(25, 0.0105319023228446)	(26, 0.012742260167033958)	(27, 0.015868289773687195)	(28, 0.020178319864405447)	(29, 0.02538389706346749)	(30, 0.03207199044937581)	(31, 0.04075242459317257)	(32, 0.052220123332601134)	(33, 0.06587134704405893)	(34, 0.08157528547576544)	(35, 0.10125719720520879)	(36, 0.1241221583946456)	(37, 0.15048210118293723)	(38, 0.17951526886018018)	(39, 0.21186565035821717)	(40, 0.24695633892560576)	(41, 0.2844452154423045)	(42, 0.32634809942934195)	(43, 0.37156148901913344)	(44, 0.41999482326813853)	(45, 0.4732647827240041)	(46, 0.5313680132777101)	(47, 0.5936638801064339)	(48, 0.6612458227507001)	(49, 0.7325139312079619)	(50, 0.8081725683724222)	(51, 0.8875274336769383)	(52, 0.9722589357405371)	(53, 1.0620148931161173)	(54, 1.1552624779815321)	(55, 1.255573816443097)	(56, 1.3587160229175537)	(57, 1.4694955356305828)	(58, 1.5852156509300928)	(59, 1.7074427377284302)	(60, 1.8357239913078935)	(61, 1.968506459192216)	(62, 2.1060450536669184)	(63, 2.248889848611283)	(64, 2.3982181362913355)	(65, 2.552959955929691)
SRR13380430_1 - polya	(1, 0.09492463937542196)	(2, 0.16800732081251143)	(3, 0.23779291308292697)	(4, 0.3092958091715897)	(5, 0.37362091195742214)	(6, 0.44241368795791347)	(7, 0.509593137519778)	(8, 0.5777217999343064)	(9, 0.6391187655456664)	(10, 0.6913590135323876)	(11, 0.7357238135401155)	(12, 0.7794949362513008)	(13, 0.8239838382927692)	(14, 0.8648804895738024)	(15, 0.9030636666576441)	(16, 0.9407068321892635)	(17, 0.9794300208253275)	(18, 1.0197967228811984)	(19, 1.059100172377725)	(20, 1.1012848015224435)	(21, 1.1436002409189427)	(22, 1.1870862643634268)	(23, 1.2293648085607058)	(24, 1.2716299363219048)	(25, 1.3148040276275277)	(26, 1.3594539269019568)	(27, 1.4053515547318312)	(28, 1.451598009899787)	(29, 1.4971132693013798)	(30, 1.5432523929806952)	(31, 1.5894049330960904)	(32, 1.63652345660925)	(33, 1.6821795885896833)	(34, 1.727916219186597)	(35, 1.774662436598535)	(36, 1.8223377422090168)	(37, 1.8694830985943365)	(38, 1.9158368852509329)	(39, 1.9622510458698894)	(40, 2.012951757816424)	(41, 2.060409046340605)	(42, 2.109791593442274)	(43, 2.1590064350929423)	(44, 2.2125682020335495)	(45, 2.266562649037738)	(46, 2.3172432363301527)	(47, 2.3711974340261013)	(48, 2.424289625703906)	(49, 2.4760770689729252)	(50, 2.5282904840874862)	(51, 2.581590630524532)	(52, 2.636624851324925)	(53, 2.6913572023135166)	(54, 2.745965451268368)	(55, 2.801885156850045)	(56, 2.858831219791846)	(57, 2.9152003759822045)	(58, 2.9743735673132954)	(59, 3.033885523655407)	(60, 3.0947860811318053)	(61, 3.1572261746483896)	(62, 3.2212024500961407)	(63, 3.3144164938713554)	(64, 4.113029851536737)	(65, 4.204573549019985)
