Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR13380421_1	(1, 0.018342502715587572)	(2, 0.003212659170110105)	(3, 0.0037667934006835116)	(4, 0.00029026078744321277)	(5, 6.926677882167577e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 3.2984180391274183e-06)	(12, 0.00010554937725207738)	(14, 0.00028696236940408537)	(16, 0.0013193672156509672)	(18, 0.00037766886548008935)	(20, 0.0006481391446885377)	(22, 0.0)	(24, 0.0010274572191881907)	(26, 0.0)	(28, 7.916203293905804e-05)	(30, 4.947627058691128e-06)	(32, 5.277468862603869e-05)	(34, 0.0004156006729300547)	(36, 0.004423178590469867)	(38, 0.0040834415324397435)	(40, 0.0024705151113064362)	(42, 0.005778828404551236)	(44, 0.006418721504141955)	(46, 0.012035927424775949)	(48, 0.015624606251346578)	(50, 0.0011643415678119786)	(52, 0.0006646312348841747)	(54, 0.0022346782215088255)	(56, 0.0021736574877849685)	(58, 0.00018800982823026282)	(60, 0.0027442838085540116)	(62, 0.008066281314686102)	(64, 0.022594163568022813)	(66, 0.026832630748301545)	(68, 0.01936171388967794)	(70, 0.022683220855079254)	(72, 0.023070784974676725)	(74, 0.023151596216635345)	(76, 0.010343838970703583)
SRR13380425_1	(1, 0.01764508960036245)	(2, 0.003215925603598777)	(3, 0.003456765847040095)	(4, 0.0002443820117272198)	(5, 6.021006086032952e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.770884142950868e-06)	(12, 0.00010625304857705208)	(14, 0.00029927942015869674)	(16, 0.0013228504547842985)	(18, 0.00043917926745181535)	(20, 0.0006658524377495264)	(22, 0.0)	(24, 0.000940339479906911)	(26, 0.0)	(28, 7.968978643278908e-05)	(30, 5.3126524288526045e-06)	(32, 5.8439176717378646e-05)	(34, 0.0003842818590203384)	(36, 0.004281997857655199)	(38, 0.00420230807122241)	(40, 0.0026226794157102355)	(42, 0.0058014164523070445)	(44, 0.006506228341201489)	(46, 0.012270456226506566)	(48, 0.015760868872262728)	(50, 0.0011599291136328187)	(52, 0.0006676233218924773)	(54, 0.0022649608188341605)	(56, 0.0021020394776826803)	(58, 0.00016823399358033246)	(60, 0.0028458108177220453)	(62, 0.00824169480129334)	(64, 0.022800133340492426)	(66, 0.027069735009146972)	(68, 0.019674522828184143)	(70, 0.02296659644992981)	(72, 0.023508486997672773)	(74, 0.02353150849153114)	(76, 0.010674889613707834)
SRR13380426_1	(1, 0.018196457460220136)	(2, 0.00309358594256483)	(3, 0.0034134822991560834)	(4, 0.00023709965253234096)	(5, 7.903321751078032e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 3.7634865481323963e-06)	(12, 0.0001072593666217733)	(14, 0.00031989635659125366)	(16, 0.0012664132234465513)	(18, 0.00040081131737610017)	(20, 0.0006548466593750369)	(22, 0.0)	(24, 0.0010424857738326738)	(26, 0.0)	(28, 5.080706839978734e-05)	(30, 1.8817432740661981e-06)	(32, 4.5161838577588754e-05)	(34, 0.00038011214136137204)	(36, 0.004452204586440625)	(38, 0.004130426486575305)	(40, 0.002773689585973576)	(42, 0.005967007922063914)	(44, 0.0065296491610097075)	(46, 0.012378107256807451)	(48, 0.01582357919162266)	(50, 0.0011459816539063146)	(52, 0.000684954551760096)	(54, 0.002386050471515939)	(56, 0.0019927661272361036)	(58, 0.00017876561103628881)	(60, 0.002886594182417548)	(62, 0.008106550024677183)	(64, 0.022774738846023195)	(66, 0.02711403883601985)	(68, 0.019780885296983877)	(70, 0.02285189032025991)	(72, 0.023200012825962155)	(74, 0.023420176789027903)	(76, 0.010552816280963238)
SRR13380427_1	(1, 0.018461543332029498)	(2, 0.0030935559096914294)	(3, 0.0034892833063705333)	(4, 0.00023743643800746233)	(5, 6.882215594419198e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.7205538986047995e-06)	(12, 0.00011871821900373116)	(14, 0.0002856119471683967)	(16, 0.001336870379215929)	(18, 0.0003785218576930559)	(20, 0.0007140298679209917)	(22, 0.0)	(24, 0.00102889123136567)	(26, 0.0)	(28, 6.366049424837757e-05)	(30, 0.0)	(32, 5.333717085674879e-05)	(34, 0.0003716396420986367)	(36, 0.004516453983837598)	(38, 0.004086315509186399)	(40, 0.0025825514018058037)	(42, 0.0058653682403437615)	(44, 0.006593162539453591)	(46, 0.012145389970251278)	(48, 0.015381751853526908)	(50, 0.0011889027439359165)	(52, 0.0006366049424837758)	(54, 0.002228117298693215)	(56, 0.0020784291095145976)	(58, 0.00018581982104931834)	(60, 0.002819987839813266)	(62, 0.008170910464474193)	(64, 0.02242397896051635)	(66, 0.026706437614143697)	(68, 0.019499037332888193)	(70, 0.02238440622084844)	(72, 0.0231930665531927)	(74, 0.0231947871070913)	(76, 0.010457526595719972)
SRR13380430_1	(1, 0.018595180406958744)	(2, 0.0034312535274745298)	(3, 0.003773372647515979)	(4, 0.00023814174042100842)	(5, 7.379039844031246e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.00012242497923051841)	(14, 0.00029516159376124986)	(16, 0.0013349353899656529)	(18, 0.0004427423906418748)	(20, 0.0007077170032229969)	(22, 0.0)	(24, 0.001054867286794467)	(26, 0.0)	(28, 6.037396236025566e-05)	(30, 5.031163530021304e-06)	(32, 6.372807138026987e-05)	(34, 0.0003840454827916263)	(36, 0.00453643244956921)	(38, 0.004284874273068145)	(40, 0.002683287216011363)	(42, 0.005888138384634934)	(44, 0.006713249203558428)	(46, 0.012343121193652268)	(48, 0.01617351369450849)	(50, 0.0012192186287751628)	(52, 0.0006993317306729615)	(54, 0.002332782823419878)	(56, 0.0021382445002590547)	(58, 0.00018447599610078118)	(60, 0.00282919095838198)	(62, 0.008247754080214926)	(64, 0.022972292678077277)	(66, 0.02732089502252569)	(68, 0.019874772998094162)	(70, 0.0230242813678875)	(72, 0.02344522204989928)	(74, 0.023733675425620503)	(76, 0.010830418025625862)
SRR13380434_1	(1, 0.018090197026597806)	(2, 0.003233093323106423)	(3, 0.003577200331764533)	(4, 0.0002646976989677773)	(5, 7.940930969033318e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 3.7813956995396753e-06)	(12, 0.00011155117313642043)	(14, 0.00030062095811340424)	(16, 0.0013140350055900374)	(18, 0.0003762488721041977)	(20, 0.0006749791323678321)	(22, 0.0)	(24, 0.0010474466087724902)	(26, 0.0)	(28, 8.130000754010302e-05)	(30, 3.7813956995396753e-06)	(32, 6.0502331192634804e-05)	(34, 0.0003951558506018961)	(36, 0.004513095767400602)	(38, 0.004293774816827301)	(40, 0.0025770211692362887)	(42, 0.00582713077299064)	(44, 0.00664769363979075)	(46, 0.012336803469748192)	(48, 0.01573060611008505)	(50, 0.001187358249655458)	(52, 0.0006749791323678321)	(54, 0.002274509513273115)	(56, 0.0021761932250850833)	(58, 0.0001890697849769838)	(60, 0.002866297940251074)	(62, 0.008440075201372556)	(64, 0.022867990492966186)	(66, 0.027093700187201773)	(68, 0.0198145134655879)	(70, 0.023030590508046393)	(72, 0.02344465333714599)	(74, 0.023582674280179187)	(76, 0.01060681493720879)
SRR13380441_1	(1, 0.16857130359289105)	(2, 0.1820498369806276)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 3.585449847361884e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0009970308614010161)	(12, 0.0001792724923680942)	(14, 0.0002854569686168884)	(16, 0.012584928964240214)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0004619714226408581)	(26, 0.002868359877889507)	(28, 0.0011349327786072424)	(30, 0.00017513543485190742)	(32, 0.0020519805280286474)	(34, 0.000634348819148641)	(36, 0.002296066921483668)	(38, 0.00013928093637828855)	(40, 0.0010894251459291878)	(42, 0.004185323187208968)	(44, 0.002076802873125768)	(46, 0.0019016674382738607)	(48, 0.0006040103973632713)	(50, 0.0006205586274280184)	(52, 0.00039577850238186945)	(54, 0.0004219798666510525)	(56, 0.0002730457960683281)	(58, 0.0004109477132745544)	(60, 0.00015996622395922253)	(62, 4.964469019424147e-05)	(64, 0.00031993244791844505)	(66, 0.0003475128313596903)	(68, 0.00047438259518941845)	(70, 0.0008949834426684087)	(72, 0.0002978681411654488)	(74, 0.0015114050125802404)	(76, 0.004942404712671151)
SRR13380446_1	(1, 0.7604003937021914)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 4.260299771733138e-05)	(22, 9.467332826073641e-06)	(24, 0.00010098488347811884)	(26, 0.00015305521402152384)	(28, 0.0012417984890199924)	(30, 7.25828849998979e-05)	(32, 0.001255999488259103)	(34, 0.001383808481411097)	(36, 0.0018240394578235212)	(38, 0.004612168975102209)	(40, 0.0040362395615160624)	(42, 0.0005427937486948887)	(44, 0.0003913164234777105)	(46, 0.0003061104280430477)	(48, 0.0008110348454336419)	(50, 0.0027376370755396277)	(52, 0.003993636563798731)	(54, 0.0008094569566292962)	(56, 0.0024047025378227047)	(58, 0.0018697982331495441)	(60, 0.002351054318474954)	(62, 0.002624029081626744)	(64, 0.005762449913470156)	(66, 0.0038374255721685155)	(68, 0.002055989112062326)	(70, 0.005502098260753131)	(72, 0.006665002309555843)	(74, 0.0033735262636909076)	(76, 0.0052354350528187234)
SRR13380448_1	(1, 0.10213339156054041)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.00020502537701604017)	(14, 0.0)	(16, 0.0003946738507558773)	(18, 0.0)	(20, 0.0002614073556954512)	(22, 5.125634425401004e-06)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 8.201015080641607e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0014403032735376823)	(40, 0.03608446635482307)	(42, 0.02895983450351567)	(44, 0.028406265985572363)	(46, 0.08342482590782674)	(48, 0.00960031327877608)	(50, 0.005653574771217308)	(52, 0.002183520265220828)	(54, 0.00821639198391781)	(56, 0.010169258699995591)	(58, 0.008539306952718073)	(60, 0.0011122626703120178)	(62, 0.003116385730643811)	(64, 0.006207143289160616)	(66, 0.009282523944401218)	(68, 0.015838210374489105)	(70, 0.0091953881591694)	(72, 0.0021373895553922187)	(74, 0.001153267745715226)	(76, 0.0007893477015117546)
SRR13380458_1	(1, 0.09756119886618478)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.00025608043933378116)	(14, 0.0)	(16, 0.0004086389989368848)	(18, 0.0)	(20, 0.00027242599929125654)	(22, 2.1794079943300523e-05)	(24, 1.0897039971650262e-05)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.00010352187973067748)	(34, 0.0)	(36, 5.448519985825131e-06)	(38, 0.0014111666763287087)	(40, 0.036243554945708766)	(42, 0.027253496969097304)	(44, 0.027106386929480024)	(46, 0.07875835639510226)	(48, 0.009333314735718449)	(50, 0.005530247785612507)	(52, 0.002539010313394511)	(54, 0.008058361059035369)	(56, 0.010455709852798426)	(58, 0.008864742016937488)	(60, 0.0012858507166547308)	(62, 0.003672302470446138)	(64, 0.006478290263146081)	(66, 0.009060888736427191)	(68, 0.015130540000636388)	(70, 0.008783014217150109)	(72, 0.002097680194542675)	(74, 0.0011441891970232774)	(76, 0.00083907207781707)
