Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR13380421_1	(1, 31.165349663317276)	(2, 31.362767635288904)	(3, 31.503653987503746)	(4, 35.25008430756508)	(5, 35.30674961220499)	(6, 34.99378749559166)	(7, 35.02427599394199)	(8, 34.93646745497099)	(9, 36.4333257447729)	(10, 36.32172169241566)	(12, 36.32209165947502)	(14, 37.429619543311595)	(16, 37.35493521181319)	(18, 37.37936860626401)	(20, 37.33304509557562)	(22, 37.181084090397235)	(24, 37.157587545622064)	(26, 36.98126066461012)	(28, 36.69028662725013)	(30, 36.540428050221976)	(32, 36.384279027167224)	(34, 35.94072495402335)	(36, 35.71374966009802)	(38, 35.46464537850073)	(40, 35.47514333605431)	(42, 35.74414105302128)	(44, 35.584166673153554)	(46, 35.65769014291518)	(48, 35.5602736255459)	(50, 35.407902429100176)	(52, 35.02265655314523)	(54, 34.78716461190615)	(56, 34.50879658405273)	(58, 34.10604486560992)	(60, 33.79399126526128)	(62, 33.34123798666674)	(64, 32.67768614259378)	(66, 32.335333669947886)	(68, 31.517620561467275)	(70, 30.5633019526239)	(72, 30.07455198247458)	(74, 29.594866625827855)	(76, 28.338161568653735)
SRR13380425_1	(1, 31.196999881421597)	(2, 31.384354536105565)	(3, 31.52475713740687)	(4, 35.26536734299802)	(5, 35.332619926753395)	(6, 35.032201509331635)	(7, 35.042426098525475)	(8, 34.94308640455409)	(9, 36.471745401828485)	(10, 36.34692519969552)	(12, 36.32257175303788)	(14, 37.41493827193725)	(16, 37.35380857323265)	(18, 37.391763207006015)	(20, 37.33936306397524)	(22, 37.21065499195947)	(24, 37.16770874934353)	(26, 36.96124887566566)	(28, 36.711931941097276)	(30, 36.58570969457065)	(32, 36.40989100420606)	(34, 36.0765012209892)	(36, 35.8000561299438)	(38, 35.6466211140958)	(40, 35.656319768408025)	(42, 35.84768639653553)	(44, 35.643798696657605)	(46, 35.732938558395475)	(48, 35.627030903061666)	(50, 35.46209394157867)	(52, 35.11291383968625)	(54, 34.89279577413209)	(56, 34.61569287046294)	(58, 34.230289085502676)	(60, 33.970086118804225)	(62, 33.576218056614735)	(64, 33.04998125696223)	(66, 32.762683939965044)	(68, 32.0944349824137)	(70, 31.23674516240495)	(72, 30.76122455434284)	(74, 30.273783859481902)	(76, 28.98467742495312)
SRR13380426_1	(1, 31.14908017001626)	(2, 31.343084025181337)	(3, 31.48453052725769)	(4, 35.23005828210538)	(5, 35.29193022676587)	(6, 34.97902003025391)	(7, 35.00604867558016)	(8, 34.915995593107795)	(9, 36.407186174335386)	(10, 36.29605939248445)	(12, 36.287760641201764)	(14, 37.39699327909045)	(16, 37.31740485322666)	(18, 37.312986990454974)	(20, 37.291334749106795)	(22, 37.213445970220434)	(24, 37.131945109849774)	(26, 36.900887941962225)	(28, 36.66990547928265)	(30, 36.52313524322247)	(32, 36.32743787556303)	(34, 35.90830411801451)	(36, 35.713489137411145)	(38, 35.48816804991106)	(40, 35.50087723107951)	(42, 35.71678773928342)	(44, 35.53417242022218)	(46, 35.59162411229702)	(48, 35.5022871836799)	(50, 35.36480271088452)	(52, 34.959243171887536)	(54, 34.75084815814592)	(56, 34.452483536063575)	(58, 34.02745557524026)	(60, 33.765534110623776)	(62, 33.33658405111176)	(64, 32.75956491987951)	(66, 32.49340785814486)	(68, 31.756958423183438)	(70, 30.893357619362927)	(72, 30.400903767423156)	(74, 29.910108879171233)	(76, 28.63689230700446)
SRR13380427_1	(1, 31.198845343160862)	(2, 31.396251718274165)	(3, 31.53370986623072)	(4, 35.280663943855714)	(5, 35.340097174819526)	(6, 35.0248884659538)	(7, 35.03642271517926)	(8, 34.954206391245215)	(9, 36.46286017516133)	(10, 36.31523735608814)	(12, 36.3187036872055)	(14, 37.433566076100306)	(16, 37.34176156983888)	(18, 37.34384111730843)	(20, 37.32284960270174)	(22, 37.20135719700298)	(24, 37.18416012314211)	(26, 36.995376974907686)	(28, 36.675107119104894)	(30, 36.510293747070115)	(32, 36.39180444776259)	(34, 36.03920942750668)	(36, 35.70679884443471)	(38, 35.480462577109634)	(40, 35.621455035268085)	(42, 35.837166434925265)	(44, 35.61181690526104)	(46, 35.645427220243185)	(48, 35.550087337036445)	(50, 35.41259620606165)	(52, 34.94292499462068)	(54, 34.7185719065413)	(56, 34.44430542942462)	(58, 33.93849658137984)	(60, 33.68079067641477)	(62, 33.15924524668597)	(64, 32.21758353435425)	(66, 31.95261007854363)	(68, 31.030295375402325)	(70, 29.8431832635253)	(72, 29.327547609532957)	(74, 28.860330131623407)	(76, 27.645283863692352)
SRR13380430_1	(1, 31.17382223899724)	(2, 31.361501241506684)	(3, 31.504119399304567)	(4, 35.244661625239566)	(5, 35.31336474590595)	(6, 35.01421176241088)	(7, 35.02777396806895)	(8, 34.92149375781864)	(9, 36.45206953054582)	(10, 36.333277856370145)	(12, 36.309789819118606)	(14, 37.400671968909286)	(16, 37.32588655725765)	(18, 37.390741139693375)	(20, 37.33760408680743)	(22, 37.22597244592732)	(24, 37.17329515753529)	(26, 36.96188626974342)	(28, 36.74053540032314)	(30, 36.61653947382146)	(32, 36.424823230907904)	(34, 36.13551470832148)	(36, 35.94667263496825)	(38, 35.70850168025768)	(40, 35.725704133976265)	(42, 35.90015124348393)	(44, 35.711124291641525)	(46, 35.82528340460312)	(48, 35.72033110288437)	(50, 35.5554690307232)	(52, 35.260424310890755)	(54, 35.053313177150585)	(56, 34.7839611001169)	(58, 34.467335372027875)	(60, 34.20482561031284)	(62, 33.853884898449486)	(64, 33.455497295799915)	(66, 33.157626085066845)	(68, 32.52870999927316)	(70, 31.779988812033952)	(72, 31.313666196454122)	(74, 30.815404010649026)	(76, 29.50324562036376)
SRR13380434_1	(1, 31.17457278358596)	(2, 31.36784751839479)	(3, 31.50858157502845)	(4, 35.25481611791178)	(5, 35.31591810283445)	(6, 35.001462114461184)	(7, 35.023947049569784)	(8, 34.93051689183491)	(9, 36.42647030685497)	(10, 36.30898447895884)	(12, 36.30963973811264)	(14, 37.41353303665511)	(16, 37.32638933582885)	(18, 37.344059552142085)	(20, 37.31598036351464)	(22, 37.19206376174303)	(24, 37.15568803969497)	(26, 36.95782106450675)	(28, 36.699713317266436)	(30, 36.59355796890952)	(32, 36.401014423680124)	(34, 35.98925418095688)	(36, 35.749404278921496)	(38, 35.45119931124146)	(40, 35.55433409962056)	(42, 35.79797596635647)	(44, 35.613831940859576)	(46, 35.680812256653006)	(48, 35.58886987014914)	(50, 35.43601558948443)	(52, 35.0573582519243)	(54, 34.83976088041782)	(56, 34.571502316747704)	(58, 34.16722955892817)	(60, 33.91327856763151)	(62, 33.47884131380509)	(64, 32.887868741856295)	(66, 32.62747362835732)	(68, 31.772812611952947)	(70, 30.78689018093298)	(72, 30.294990119591176)	(74, 29.810683460046643)	(76, 28.541106834184514)
SRR13380441_1	(1, 32.57830495596875)	(2, 32.67990331089816)	(3, 32.78217724731997)	(4, 36.17749758437212)	(5, 36.22562220931338)	(6, 36.10940335521984)	(7, 36.06222589580672)	(8, 36.05991617659543)	(9, 37.83815599321456)	(10, 37.793423355521014)	(12, 37.77285118888277)	(14, 39.214413182937875)	(16, 39.18935617014824)	(18, 39.18663082834868)	(20, 39.17589261290871)	(22, 38.997264494829146)	(24, 39.037070338307046)	(26, 38.95681219474376)	(28, 38.76436604254649)	(30, 38.67000585586702)	(32, 38.54998115708203)	(34, 38.44912594179425)	(36, 38.31531351973297)	(38, 38.33655758588242)	(40, 38.463258254381266)	(42, 38.43878627668519)	(44, 38.33065052967851)	(46, 38.1330663726892)	(48, 38.04132686025412)	(50, 37.79926584604729)	(52, 37.54768793094004)	(54, 37.33735141826882)	(56, 37.1516070786047)	(58, 36.853701800452946)	(60, 36.55365163725155)	(62, 36.14518370383257)	(64, 35.48880549469637)	(66, 35.116049993195915)	(68, 34.1973916183325)	(70, 31.5723098493907)	(72, 31.056626926276035)	(74, 30.70641647140215)	(76, 29.816850174586584)
SRR13380446_1	(1, 30.802967952036976)	(2, 31.097682772461713)	(3, 31.427266915764818)	(4, 35.133687386334806)	(5, 35.08515941615716)	(6, 34.98785290705973)	(7, 35.04729163118389)	(8, 34.87767215074544)	(9, 36.46873717866728)	(10, 36.402418496441754)	(12, 36.38477391267604)	(14, 37.366686636427374)	(16, 37.27879725173426)	(18, 37.25139227385485)	(20, 37.094630898830786)	(22, 37.00389468715688)	(24, 36.801737703694)	(26, 36.567250125765625)	(28, 36.279287028419134)	(30, 36.2582888786831)	(32, 36.042836714607034)	(34, 35.85598733535953)	(36, 35.71673505078956)	(38, 35.61416729237847)	(40, 35.39785117106646)	(42, 35.42160493003152)	(44, 35.60131991660795)	(46, 35.63348705757221)	(48, 35.53793467167968)	(50, 35.40003913479812)	(52, 35.172835754303904)	(54, 35.04884575698284)	(56, 34.836893760525896)	(58, 34.58328332214768)	(60, 34.300661504635)	(62, 34.029860914466724)	(64, 33.74080571294208)	(66, 33.384607824100485)	(68, 32.94049050756296)	(70, 32.46871728148946)	(72, 31.918538618718035)	(74, 31.350823915151743)	(76, 28.535223164442744)
SRR13380448_1	(1, 31.878651835130892)	(2, 32.18177703695275)	(3, 32.254429522014085)	(4, 35.783336972533775)	(5, 35.81791173452494)	(6, 35.72086358739053)	(7, 35.67989428891561)	(8, 35.63062710086941)	(9, 37.280849604659814)	(10, 37.248919618775815)	(12, 37.20747553278407)	(14, 38.448305003951866)	(16, 38.40670540621166)	(18, 38.391944296655325)	(20, 38.30399573957267)	(22, 38.19741017069388)	(24, 38.118845317579186)	(26, 37.966873434759385)	(28, 37.836946803090555)	(30, 37.75784852520121)	(32, 37.63610947945082)	(34, 37.55269054802258)	(36, 37.5051234304026)	(38, 37.499926447145995)	(40, 37.39918143618226)	(42, 37.19948364358798)	(44, 37.04683784235394)	(46, 36.987043728837534)	(48, 36.8677916921667)	(50, 36.734111353382765)	(52, 36.50339491270532)	(54, 36.271515106782346)	(56, 36.04164044904658)	(58, 35.81422881242126)	(60, 35.496100314816466)	(62, 35.12879473781867)	(64, 34.710797251429796)	(66, 34.383572905486375)	(68, 34.01485624133127)	(70, 33.62557173889198)	(72, 33.21779000070734)	(74, 32.7259734348619)	(76, 31.31948181886213)
SRR13380458_1	(1, 31.73385963130519)	(2, 32.0212557661687)	(3, 32.10465811408852)	(4, 35.692825737587945)	(5, 35.71288021407017)	(6, 35.57260131087032)	(7, 35.51240333780693)	(8, 35.53629171986238)	(9, 37.037870047131875)	(10, 37.05459373437637)	(12, 37.05488207005402)	(14, 38.33352940740589)	(16, 38.23461446926403)	(18, 38.18913234934516)	(20, 38.15637432160477)	(22, 38.10014107307947)	(24, 38.052730395026416)	(26, 37.98085112202462)	(28, 37.7454645429934)	(30, 37.47241828418696)	(32, 37.60565715471313)	(34, 37.50062243892318)	(36, 37.120649738187716)	(38, 37.043969120404014)	(40, 36.91621658259237)	(42, 37.06245714739031)	(44, 36.985026704286156)	(46, 36.63633412024491)	(48, 36.68358379453238)	(50, 36.6614381760796)	(52, 36.12555509521616)	(54, 35.86647758849377)	(56, 35.784847644125335)	(58, 35.35570902462339)	(60, 34.978364798899484)	(62, 34.39740099058452)	(64, 33.1677829231179)	(66, 32.8748444992396)	(68, 31.54854097352412)	(70, 29.676223988220734)	(72, 29.145551708416132)	(74, 28.697379556106895)	(76, 27.47149127299657)
