Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR13380421_1	(0.0, 44786.0)	(1.0, 34948.0)	(2.0, 21771.5)	(3.0, 18047.5)	(4.0, 17662.0)	(5.0, 19095.5)	(6.0, 18196.0)	(7.0, 15285.0)	(8.0, 14707.0)	(9.0, 14966.0)	(10.0, 15974.0)	(11.0, 18379.5)	(12.0, 20036.0)	(13.0, 21635.0)	(14.0, 28962.5)	(15.0, 68539.5)	(16.0, 95410.5)	(17.0, 88433.0)	(18.0, 99415.0)	(19.0, 138044.5)	(20.0, 209642.0)	(21.0, 253592.0)	(22.0, 309841.5)	(23.0, 412774.5)	(24.0, 486762.0)	(25.0, 514066.0)	(26.0, 557800.5)	(27.0, 627912.5)	(28.0, 678764.0)	(29.0, 703238.0)	(30.0, 743108.0)	(31.0, 823129.5)	(32.0, 894589.0)	(33.0, 925897.0)	(34.0, 965033.5)	(35.0, 1054630.5)	(36.0, 1135153.5)	(37.0, 1165216.0)	(38.0, 1197115.5)	(39.0, 1230117.0)	(40.0, 1232604.5)	(41.0, 1264688.5)	(42.0, 1295387.0)	(43.0, 1436142.5)	(44.0, 1585990.5)	(45.0, 1532710.5)	(46.0, 1470338.0)	(47.0, 1392067.0)	(48.0, 1217656.5)	(49.0, 1075459.5)	(50.0, 1029402.0)	(51.0, 1002780.0)	(52.0, 943858.0)	(53.0, 846118.5)	(54.0, 780679.0)	(55.0, 737884.5)	(56.0, 659483.5)	(57.0, 584993.0)	(58.0, 546109.0)	(59.0, 513986.5)	(60.0, 446679.5)	(61.0, 378048.0)	(62.0, 344601.0)	(63.0, 317444.0)	(64.0, 268213.5)	(65.0, 220362.0)	(66.0, 181828.5)	(67.0, 169073.0)	(68.0, 139589.5)	(69.0, 91443.5)	(70.0, 65681.5)	(71.0, 58582.0)	(72.0, 51400.0)	(73.0, 40328.5)	(74.0, 41028.0)	(75.0, 45617.0)	(76.0, 34187.0)	(77.0, 16633.0)	(78.0, 7548.0)	(79.0, 4587.0)	(80.0, 3714.0)	(81.0, 2412.5)	(82.0, 1718.0)	(83.0, 1452.0)	(84.0, 1261.0)	(85.0, 969.0)	(86.0, 771.5)	(87.0, 675.0)	(88.0, 611.5)	(89.0, 501.0)	(90.0, 397.5)	(91.0, 289.0)	(92.0, 237.0)	(93.0, 200.0)	(94.0, 142.5)	(95.0, 111.0)	(96.0, 100.0)	(97.0, 86.0)	(98.0, 58.0)	(99.0, 34.5)	(100.0, 25.0)
SRR13380425_1	(0.0, 41389.0)	(1.0, 34023.5)	(2.0, 24837.0)	(3.0, 20470.0)	(4.0, 17924.0)	(5.0, 20077.5)	(6.0, 20003.5)	(7.0, 15711.5)	(8.0, 13647.0)	(9.0, 13714.0)	(10.0, 14534.0)	(11.0, 18269.5)	(12.0, 21252.0)	(13.0, 20802.0)	(14.0, 25021.0)	(15.0, 56437.0)	(16.0, 77690.0)	(17.0, 72196.0)	(18.0, 83402.5)	(19.0, 114534.5)	(20.0, 165888.0)	(21.0, 197316.0)	(22.0, 238550.0)	(23.0, 322086.5)	(24.0, 398068.0)	(25.0, 431747.0)	(26.0, 473806.5)	(27.0, 557312.5)	(28.0, 637553.0)	(29.0, 676347.0)	(30.0, 720157.0)	(31.0, 801820.0)	(32.0, 869866.0)	(33.0, 900059.0)	(34.0, 935217.5)	(35.0, 1009699.5)	(36.0, 1069278.0)	(37.0, 1089533.0)	(38.0, 1107797.5)	(39.0, 1138307.0)	(40.0, 1158484.0)	(41.0, 1262864.0)	(42.0, 1359312.0)	(43.0, 1405630.0)	(44.0, 1418466.0)	(45.0, 1321811.0)	(46.0, 1258638.0)	(47.0, 1197771.0)	(48.0, 1065111.5)	(49.0, 951262.0)	(50.0, 909205.0)	(51.0, 882596.5)	(52.0, 820589.5)	(53.0, 739021.0)	(54.0, 692851.0)	(55.0, 664928.5)	(56.0, 608933.0)	(57.0, 553946.5)	(58.0, 527033.0)	(59.0, 499787.5)	(60.0, 465398.0)	(61.0, 446037.0)	(62.0, 433820.0)	(63.0, 384450.5)	(64.0, 299038.0)	(65.0, 230607.5)	(66.0, 180589.5)	(67.0, 162959.0)	(68.0, 140079.5)	(69.0, 99826.5)	(70.0, 78544.5)	(71.0, 74636.0)	(72.0, 68396.5)	(73.0, 60978.5)	(74.0, 76368.0)	(75.0, 92936.0)	(76.0, 68104.5)	(77.0, 30356.5)	(78.0, 11799.5)	(79.0, 6159.0)	(80.0, 4996.5)	(81.0, 3233.0)	(82.0, 2272.0)	(83.0, 1912.0)	(84.0, 1634.0)	(85.0, 1183.5)	(86.0, 920.0)	(87.0, 829.0)	(88.0, 769.5)	(89.0, 603.5)	(90.0, 434.5)	(91.0, 302.0)	(92.0, 232.0)	(93.0, 207.5)	(94.0, 156.5)	(95.0, 123.5)	(96.0, 117.0)	(97.0, 104.5)	(98.0, 72.5)	(99.0, 46.0)	(100.0, 39.0)
SRR13380426_1	(0.0, 29073.0)	(1.0, 24259.5)	(2.0, 17960.0)	(3.0, 15361.5)	(4.0, 14249.0)	(5.0, 15248.5)	(6.0, 14886.5)	(7.0, 12670.5)	(8.0, 11816.0)	(9.0, 12254.5)	(10.0, 13014.0)	(11.0, 15230.0)	(12.0, 17125.0)	(13.0, 18136.5)	(14.0, 22905.0)	(15.0, 49946.0)	(16.0, 70099.5)	(17.0, 66969.0)	(18.0, 77232.5)	(19.0, 108740.5)	(20.0, 165866.0)	(21.0, 201747.0)	(22.0, 242014.0)	(23.0, 315995.0)	(24.0, 377193.0)	(25.0, 404677.0)	(26.0, 442323.5)	(27.0, 508460.5)	(28.0, 572137.0)	(29.0, 607323.0)	(30.0, 645911.5)	(31.0, 723076.0)	(32.0, 789648.0)	(33.0, 817644.0)	(34.0, 850058.0)	(35.0, 922083.5)	(36.0, 987635.0)	(37.0, 1013575.0)	(38.0, 1035703.5)	(39.0, 1069095.5)	(40.0, 1082507.5)	(41.0, 1105115.5)	(42.0, 1125575.0)	(43.0, 1150128.0)	(44.0, 1277417.5)	(45.0, 1368971.5)	(46.0, 1357789.0)	(47.0, 1300149.0)	(48.0, 1157837.0)	(49.0, 1019306.5)	(50.0, 965448.0)	(51.0, 923888.5)	(52.0, 846761.5)	(53.0, 756769.5)	(54.0, 702345.0)	(55.0, 675000.5)	(56.0, 610425.0)	(57.0, 535519.5)	(58.0, 497845.0)	(59.0, 461779.5)	(60.0, 401077.0)	(61.0, 344230.5)	(62.0, 312021.0)	(63.0, 292179.5)	(64.0, 259175.0)	(65.0, 220426.5)	(66.0, 178181.5)	(67.0, 161522.0)	(68.0, 133904.5)	(69.0, 84544.0)	(70.0, 55921.5)	(71.0, 49042.0)	(72.0, 42875.0)	(73.0, 33731.0)	(74.0, 36412.5)	(75.0, 42071.0)	(76.0, 31659.0)	(77.0, 15555.5)	(78.0, 7117.0)	(79.0, 4370.0)	(80.0, 3496.5)	(81.0, 2280.5)	(82.0, 1731.0)	(83.0, 1524.0)	(84.0, 1232.0)	(85.0, 857.5)	(86.0, 730.5)	(87.0, 686.0)	(88.0, 626.0)	(89.0, 535.5)	(90.0, 418.0)	(91.0, 270.5)	(92.0, 210.0)	(93.0, 197.5)	(94.0, 163.0)	(95.0, 123.0)	(96.0, 105.0)	(97.0, 90.5)	(98.0, 60.5)	(99.0, 34.0)	(100.0, 23.0)
SRR13380427_1	(0.0, 35184.0)	(1.0, 28811.5)	(2.0, 20987.5)	(3.0, 17734.0)	(4.0, 15932.0)	(5.0, 17279.5)	(6.0, 16952.0)	(7.0, 14244.5)	(8.0, 13212.0)	(9.0, 13392.0)	(10.0, 13960.5)	(11.0, 16497.0)	(12.0, 18645.0)	(13.0, 18825.5)	(14.0, 23295.0)	(15.0, 57148.5)	(16.0, 78056.5)	(17.0, 69400.0)	(18.0, 78944.0)	(19.0, 107621.0)	(20.0, 156006.0)	(21.0, 185258.0)	(22.0, 222839.5)	(23.0, 297401.5)	(24.0, 360940.5)	(25.0, 387499.0)	(26.0, 424522.5)	(27.0, 494226.5)	(28.0, 556670.5)	(29.0, 586434.0)	(30.0, 622783.5)	(31.0, 691854.5)	(32.0, 750741.0)	(33.0, 776906.0)	(34.0, 810012.0)	(35.0, 892117.5)	(36.0, 965943.0)	(37.0, 990769.0)	(38.0, 1015000.0)	(39.0, 1059867.0)	(40.0, 1108852.0)	(41.0, 1332728.0)	(42.0, 1528255.0)	(43.0, 1592861.0)	(44.0, 1616879.5)	(45.0, 1498133.5)	(46.0, 1419975.0)	(47.0, 1353137.0)	(48.0, 1215631.5)	(49.0, 1104719.5)	(50.0, 1064475.0)	(51.0, 1032156.0)	(52.0, 967567.5)	(53.0, 857303.5)	(54.0, 779309.0)	(55.0, 757699.5)	(56.0, 705885.0)	(57.0, 639185.0)	(58.0, 602690.0)	(59.0, 557697.5)	(60.0, 496098.0)	(61.0, 466347.5)	(62.0, 453204.0)	(63.0, 421557.0)	(64.0, 357419.5)	(65.0, 286986.5)	(66.0, 217347.5)	(67.0, 185651.0)	(68.0, 155794.5)	(69.0, 104977.0)	(70.0, 75986.0)	(71.0, 67956.0)	(72.0, 60294.0)	(73.0, 49800.5)	(74.0, 58852.5)	(75.0, 70736.0)	(76.0, 52548.0)	(77.0, 24826.0)	(78.0, 10765.5)	(79.0, 6239.0)	(80.0, 5046.5)	(81.0, 3400.5)	(82.0, 2503.5)	(83.0, 2060.0)	(84.0, 1719.5)	(85.0, 1234.5)	(86.0, 989.5)	(87.0, 889.0)	(88.0, 835.5)	(89.0, 694.5)	(90.0, 502.5)	(91.0, 342.5)	(92.0, 287.0)	(93.0, 254.5)	(94.0, 187.5)	(95.0, 141.5)	(96.0, 130.0)	(97.0, 121.0)	(98.0, 83.0)	(99.0, 38.5)	(100.0, 23.0)
SRR13380430_1	(0.0, 32892.0)	(1.0, 27048.0)	(2.0, 19411.5)	(3.0, 16573.0)	(4.0, 15527.0)	(5.0, 16929.5)	(6.0, 16571.0)	(7.0, 13843.0)	(8.0, 12876.0)	(9.0, 13104.5)	(10.0, 14150.5)	(11.0, 17198.5)	(12.0, 19429.0)	(13.0, 20827.0)	(14.0, 27315.0)	(15.0, 58683.5)	(16.0, 82285.0)	(17.0, 79608.0)	(18.0, 92077.5)	(19.0, 129053.5)	(20.0, 192062.5)	(21.0, 230565.0)	(22.0, 277950.0)	(23.0, 370988.0)	(24.0, 451025.0)	(25.0, 485409.0)	(26.0, 534305.5)	(27.0, 624293.5)	(28.0, 704047.5)	(29.0, 742710.0)	(30.0, 788966.5)	(31.0, 878872.5)	(32.0, 959130.5)	(33.0, 995739.0)	(34.0, 1033481.5)	(35.0, 1117255.5)	(36.0, 1190870.5)	(37.0, 1218454.0)	(38.0, 1245619.0)	(39.0, 1283470.5)	(40.0, 1305811.5)	(41.0, 1440203.0)	(42.0, 1562940.0)	(43.0, 1541901.5)	(44.0, 1465508.5)	(45.0, 1339481.0)	(46.0, 1268808.0)	(47.0, 1210287.0)	(48.0, 1086219.5)	(49.0, 988090.5)	(50.0, 955508.0)	(51.0, 930362.0)	(52.0, 873169.5)	(53.0, 792870.5)	(54.0, 744618.0)	(55.0, 711913.5)	(56.0, 641998.5)	(57.0, 565313.0)	(58.0, 525838.0)	(59.0, 489830.0)	(60.0, 424453.0)	(61.0, 356743.5)	(62.0, 318403.0)	(63.0, 292252.0)	(64.0, 251805.5)	(65.0, 212496.0)	(66.0, 177377.0)	(67.0, 167272.0)	(68.0, 138533.0)	(69.0, 86977.0)	(70.0, 58390.0)	(71.0, 52620.0)	(72.0, 46694.5)	(73.0, 38090.0)	(74.0, 41593.5)	(75.0, 47776.0)	(76.0, 35603.5)	(77.0, 16852.0)	(78.0, 7325.0)	(79.0, 4377.0)	(80.0, 3445.5)	(81.0, 2227.0)	(82.0, 1706.5)	(83.0, 1473.0)	(84.0, 1233.5)	(85.0, 879.5)	(86.0, 704.5)	(87.0, 644.0)	(88.0, 570.5)	(89.0, 423.0)	(90.0, 300.0)	(91.0, 204.5)	(92.0, 158.0)	(93.0, 141.5)	(94.0, 108.5)	(95.0, 79.5)	(96.0, 67.0)	(97.0, 64.5)	(98.0, 48.0)	(99.0, 28.5)	(100.0, 23.0)
SRR13380434_1	(0.0, 38395.0)	(1.0, 30204.5)	(2.0, 20396.5)	(3.0, 17114.0)	(4.0, 15449.0)	(5.0, 17005.5)	(6.0, 16699.0)	(7.0, 13264.5)	(8.0, 11693.0)	(9.0, 11966.0)	(10.0, 13074.5)	(11.0, 16103.0)	(12.0, 18296.0)	(13.0, 18392.5)	(14.0, 22761.5)	(15.0, 53911.0)	(16.0, 74891.5)	(17.0, 68995.0)	(18.0, 78615.5)	(19.0, 108455.5)	(20.0, 160364.5)	(21.0, 192054.0)	(22.0, 232037.0)	(23.0, 312343.0)	(24.0, 381860.0)	(25.0, 411054.0)	(26.0, 452875.5)	(27.0, 529648.5)	(28.0, 594205.5)	(29.0, 623811.0)	(30.0, 661881.0)	(31.0, 733543.5)	(32.0, 796935.5)	(33.0, 826735.0)	(34.0, 858032.5)	(35.0, 926534.0)	(36.0, 986802.5)	(37.0, 1009867.0)	(38.0, 1030672.5)	(39.0, 1056180.5)	(40.0, 1060358.5)	(41.0, 1083459.5)	(42.0, 1107085.0)	(43.0, 1246776.0)	(44.0, 1390869.5)	(45.0, 1332817.5)	(46.0, 1270363.0)	(47.0, 1192180.0)	(48.0, 1031872.5)	(49.0, 905050.5)	(50.0, 860353.0)	(51.0, 840259.5)	(52.0, 792596.5)	(53.0, 716651.0)	(54.0, 668275.0)	(55.0, 639855.0)	(56.0, 585345.5)	(57.0, 523120.0)	(58.0, 486984.0)	(59.0, 461355.5)	(60.0, 417229.5)	(61.0, 363440.0)	(62.0, 328148.0)	(63.0, 302552.5)	(64.0, 268237.0)	(65.0, 234606.0)	(66.0, 202995.0)	(67.0, 196295.0)	(68.0, 162912.5)	(69.0, 102621.5)	(70.0, 70347.5)	(71.0, 64982.0)	(72.0, 58533.5)	(73.0, 50432.5)	(74.0, 59557.5)	(75.0, 70335.0)	(76.0, 52203.0)	(77.0, 24514.0)	(78.0, 10578.5)	(79.0, 6200.0)	(80.0, 4896.5)	(81.0, 3011.0)	(82.0, 2125.0)	(83.0, 1821.0)	(84.0, 1524.0)	(85.0, 1070.5)	(86.0, 837.5)	(87.0, 761.0)	(88.0, 674.5)	(89.0, 546.0)	(90.0, 409.5)	(91.0, 266.0)	(92.0, 217.0)	(93.0, 192.5)	(94.0, 132.5)	(95.0, 97.0)	(96.0, 97.0)	(97.0, 92.0)	(98.0, 62.5)	(99.0, 24.0)	(100.0, 10.0)
SRR13380441_1	(0.0, 11307.0)	(1.0, 9852.0)	(2.0, 7721.5)	(3.0, 6553.5)	(4.0, 6061.0)	(5.0, 6481.5)	(6.0, 6599.5)	(7.0, 5902.0)	(8.0, 5507.0)	(9.0, 5731.0)	(10.0, 6103.0)	(11.0, 7106.5)	(12.0, 7962.0)	(13.0, 8470.5)	(14.0, 11329.5)	(15.0, 28224.5)	(16.0, 38108.5)	(17.0, 33448.0)	(18.0, 38775.5)	(19.0, 53989.0)	(20.0, 79135.5)	(21.0, 94396.0)	(22.0, 114031.5)	(23.0, 154114.0)	(24.0, 188893.5)	(25.0, 203226.0)	(26.0, 225212.0)	(27.0, 270005.5)	(28.0, 317844.0)	(29.0, 342875.0)	(30.0, 373875.0)	(31.0, 436199.5)	(32.0, 498072.0)	(33.0, 528620.0)	(34.0, 562909.0)	(35.0, 665078.5)	(36.0, 772006.5)	(37.0, 811054.0)	(38.0, 849928.5)	(39.0, 928443.0)	(40.0, 1018510.0)	(41.0, 1185028.0)	(42.0, 1301119.0)	(43.0, 2037693.0)	(44.0, 2504408.5)	(45.0, 2076624.5)	(46.0, 1918699.0)	(47.0, 1837142.5)	(48.0, 1691867.0)	(49.0, 1554134.0)	(50.0, 1480120.0)	(51.0, 1461639.0)	(52.0, 1480813.5)	(53.0, 1439144.0)	(54.0, 1359819.0)	(55.0, 1349251.0)	(56.0, 1337096.5)	(57.0, 1271062.5)	(58.0, 1206615.0)	(59.0, 1115854.5)	(60.0, 1007578.5)	(61.0, 976195.5)	(62.0, 962328.0)	(63.0, 939000.5)	(64.0, 869472.5)	(65.0, 724516.0)	(66.0, 536094.0)	(67.0, 446428.0)	(68.0, 374382.0)	(69.0, 244322.5)	(70.0, 155794.5)	(71.0, 125280.0)	(72.0, 103657.0)	(73.0, 72068.0)	(74.0, 78928.5)	(75.0, 95755.0)	(76.0, 68336.5)	(77.0, 27529.5)	(78.0, 9798.0)	(79.0, 5455.0)	(80.0, 4683.5)	(81.0, 3803.0)	(82.0, 3382.5)	(83.0, 3071.0)	(84.0, 2587.5)	(85.0, 2151.5)	(86.0, 2134.0)	(87.0, 2069.0)	(88.0, 1960.5)	(89.0, 1704.0)	(90.0, 1304.5)	(91.0, 899.0)	(92.0, 745.0)	(93.0, 692.0)	(94.0, 566.0)	(95.0, 449.0)	(96.0, 405.0)	(97.0, 374.0)	(98.0, 308.0)	(99.0, 250.0)	(100.0, 227.0)
SRR13380446_1	(0.0, 4885.0)	(1.0, 4527.0)	(2.0, 3501.0)	(3.0, 2895.5)	(4.0, 2958.0)	(5.0, 3185.5)	(6.0, 3248.5)	(7.0, 3147.0)	(8.0, 3210.0)	(9.0, 3346.5)	(10.0, 3914.0)	(11.0, 5068.5)	(12.0, 5792.0)	(13.0, 6976.0)	(14.0, 10377.0)	(15.0, 19694.5)	(16.0, 30122.5)	(17.0, 33450.0)	(18.0, 41395.5)	(19.0, 67372.5)	(20.0, 115289.0)	(21.0, 145174.0)	(22.0, 185635.5)	(23.0, 262609.5)	(24.0, 328636.5)	(25.0, 358151.0)	(26.0, 402705.5)	(27.0, 490065.0)	(28.0, 576126.5)	(29.0, 619383.0)	(30.0, 672686.5)	(31.0, 780569.5)	(32.0, 884080.0)	(33.0, 933011.0)	(34.0, 984728.0)	(35.0, 1095570.5)	(36.0, 1201268.0)	(37.0, 1247840.0)	(38.0, 1291915.0)	(39.0, 1369280.5)	(40.0, 1429577.5)	(41.0, 1486563.0)	(42.0, 1516542.0)	(43.0, 1488733.5)	(44.0, 1435934.5)	(45.0, 1384395.5)	(46.0, 1357847.0)	(47.0, 1325706.5)	(48.0, 1245853.0)	(49.0, 1186789.5)	(50.0, 1175439.0)	(51.0, 1159907.5)	(52.0, 1130497.5)	(53.0, 1049291.0)	(54.0, 981963.0)	(55.0, 944098.5)	(56.0, 851085.5)	(57.0, 749430.5)	(58.0, 702924.0)	(59.0, 653986.0)	(60.0, 563802.5)	(61.0, 475528.0)	(62.0, 428499.0)	(63.0, 392379.5)	(64.0, 343986.5)	(65.0, 296550.5)	(66.0, 234797.0)	(67.0, 208206.0)	(68.0, 173618.5)	(69.0, 124104.5)	(70.0, 97493.5)	(71.0, 85809.0)	(72.0, 73420.5)	(73.0, 56611.5)	(74.0, 56629.5)	(75.0, 61068.0)	(76.0, 50236.5)	(77.0, 33262.0)	(78.0, 26013.0)	(79.0, 24907.0)	(80.0, 24211.5)	(81.0, 23927.0)	(82.0, 24255.0)	(83.0, 24172.0)	(84.0, 23661.0)	(85.0, 22752.0)	(86.0, 22279.5)	(87.0, 22205.0)	(88.0, 22028.0)	(89.0, 21460.5)	(90.0, 20879.0)	(91.0, 20271.0)	(92.0, 19854.0)	(93.0, 19290.0)	(94.0, 17887.5)	(95.0, 16085.0)	(96.0, 15121.0)	(97.0, 14049.0)	(98.0, 11485.0)	(99.0, 7862.0)	(100.0, 5731.0)
SRR13380448_1	(0.0, 712.0)	(1.0, 881.0)	(2.0, 875.0)	(3.0, 698.0)	(4.0, 696.0)	(5.0, 802.5)	(6.0, 840.0)	(7.0, 794.0)	(8.0, 817.0)	(9.0, 821.0)	(10.0, 969.0)	(11.0, 1340.0)	(12.0, 1567.0)	(13.0, 1768.5)	(14.0, 2546.5)	(15.0, 6288.0)	(16.0, 9557.0)	(17.0, 9661.0)	(18.0, 11771.0)	(19.0, 18842.0)	(20.0, 31902.0)	(21.0, 40001.0)	(22.0, 51433.5)	(23.0, 73378.5)	(24.0, 91789.0)	(25.0, 99687.0)	(26.0, 111832.5)	(27.0, 136205.5)	(28.0, 159210.0)	(29.0, 169987.0)	(30.0, 185524.0)	(31.0, 215321.5)	(32.0, 244235.0)	(33.0, 258888.0)	(34.0, 272080.0)	(35.0, 300225.0)	(36.0, 327524.0)	(37.0, 339870.0)	(38.0, 353057.0)	(39.0, 376244.5)	(40.0, 391946.0)	(41.0, 401257.5)	(42.0, 404868.0)	(43.0, 400892.0)	(44.0, 399772.5)	(45.0, 405159.0)	(46.0, 407689.0)	(47.0, 404461.5)	(48.0, 389434.5)	(49.0, 377982.5)	(50.0, 378330.0)	(51.0, 373450.5)	(52.0, 361651.5)	(53.0, 342487.5)	(54.0, 330243.0)	(55.0, 327293.0)	(56.0, 308102.5)	(57.0, 278529.5)	(58.0, 265197.0)	(59.0, 251662.5)	(60.0, 232553.0)	(61.0, 208273.0)	(62.0, 189568.0)	(63.0, 173003.5)	(64.0, 148296.5)	(65.0, 126295.0)	(66.0, 107829.0)	(67.0, 103222.0)	(68.0, 85199.5)	(69.0, 55550.5)	(70.0, 40075.5)	(71.0, 36227.0)	(72.0, 32100.5)	(73.0, 28356.0)	(74.0, 35238.5)	(75.0, 41739.0)	(76.0, 30450.5)	(77.0, 13665.0)	(78.0, 6152.0)	(79.0, 4136.0)	(80.0, 3666.5)	(81.0, 3062.0)	(82.0, 2743.0)	(83.0, 2559.0)	(84.0, 2327.0)	(85.0, 2040.0)	(86.0, 1904.5)	(87.0, 1824.0)	(88.0, 1762.5)	(89.0, 1649.5)	(90.0, 1505.5)	(91.0, 1341.5)	(92.0, 1270.0)	(93.0, 1240.0)	(94.0, 1174.0)	(95.0, 1069.5)	(96.0, 1001.0)	(97.0, 950.0)	(98.0, 889.5)	(99.0, 886.5)	(100.0, 893.0)
SRR13380458_1	(0.0, 893.0)	(1.0, 932.5)	(2.0, 800.5)	(3.0, 632.5)	(4.0, 636.0)	(5.0, 650.5)	(6.0, 641.5)	(7.0, 615.0)	(8.0, 612.0)	(9.0, 644.0)	(10.0, 734.0)	(11.0, 936.0)	(12.0, 1080.0)	(13.0, 1255.0)	(14.0, 1810.5)	(15.0, 4634.5)	(16.0, 6828.5)	(17.0, 6579.0)	(18.0, 8166.5)	(19.0, 12700.5)	(20.0, 20466.5)	(21.0, 25286.0)	(22.0, 32591.0)	(23.0, 48142.0)	(24.0, 62584.5)	(25.0, 68781.0)	(26.0, 77564.5)	(27.0, 96793.5)	(28.0, 115223.0)	(29.0, 123207.0)	(30.0, 134857.0)	(31.0, 155889.5)	(32.0, 177250.0)	(33.0, 189228.0)	(34.0, 200578.5)	(35.0, 223893.0)	(36.0, 245236.0)	(37.0, 254615.0)	(38.0, 264529.5)	(39.0, 280739.0)	(40.0, 292010.5)	(41.0, 303107.5)	(42.0, 309228.0)	(43.0, 308518.0)	(44.0, 322542.5)	(45.0, 516196.0)	(46.0, 695115.0)	(47.0, 736161.5)	(48.0, 729871.5)	(49.0, 606663.5)	(50.0, 530792.0)	(51.0, 469169.0)	(52.0, 368880.0)	(53.0, 308980.5)	(54.0, 287747.0)	(55.0, 275734.0)	(56.0, 266983.0)	(57.0, 249610.5)	(58.0, 228976.0)	(59.0, 215944.0)	(60.0, 195061.5)	(61.0, 171393.5)	(62.0, 155576.0)	(63.0, 143387.5)	(64.0, 122455.5)	(65.0, 101425.5)	(66.0, 81163.0)	(67.0, 73187.0)	(68.0, 60212.5)	(69.0, 39001.0)	(70.0, 26848.5)	(71.0, 22933.0)	(72.0, 19620.0)	(73.0, 15346.0)	(74.0, 16789.5)	(75.0, 19194.0)	(76.0, 14318.0)	(77.0, 6778.0)	(78.0, 3065.0)	(79.0, 2016.0)	(80.0, 1780.0)	(81.0, 1454.5)	(82.0, 1240.0)	(83.0, 1115.0)	(84.0, 961.5)	(85.0, 840.0)	(86.0, 821.5)	(87.0, 771.0)	(88.0, 717.5)	(89.0, 604.5)	(90.0, 487.5)	(91.0, 381.0)	(92.0, 332.0)	(93.0, 310.5)	(94.0, 291.0)	(95.0, 258.0)	(96.0, 223.0)	(97.0, 222.0)	(98.0, 197.5)	(99.0, 160.5)	(100.0, 147.0)
