Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR13380421_1	(2.0, 152.0)	(3.0, 115.0)	(4.0, 259.0)	(5.0, 612.0)	(6.0, 1590.0)	(7.0, 3538.0)	(8.0, 6901.0)	(9.0, 13209.0)	(10.0, 22735.0)	(11.0, 33057.0)	(12.0, 43513.0)	(13.0, 56865.0)	(14.0, 69629.0)	(15.0, 80452.0)	(16.0, 90712.0)	(17.0, 99347.0)	(18.0, 104584.0)	(19.0, 111434.0)	(20.0, 124653.0)	(21.0, 146039.0)	(22.0, 176567.0)	(23.0, 219915.0)	(24.0, 278339.0)	(25.0, 355632.0)	(26.0, 452080.0)	(27.0, 546570.0)	(28.0, 644964.0)	(29.0, 786895.0)	(30.0, 961650.0)	(31.0, 1166514.0)	(32.0, 1408063.0)	(33.0, 1680210.0)	(34.0, 1957167.0)	(35.0, 2342862.0)	(36.0, 2817385.0)	(37.0, 3518797.0)	(38.0, 4439789.0)	(39.0, 4893031.0)	(40.0, 661738.0)
SRR13380425_1	(2.0, 106.0)	(3.0, 118.0)	(4.0, 230.0)	(5.0, 621.0)	(6.0, 1454.0)	(7.0, 3189.0)	(8.0, 6074.0)	(9.0, 11440.0)	(10.0, 19624.0)	(11.0, 28386.0)	(12.0, 37235.0)	(13.0, 47745.0)	(14.0, 57592.0)	(15.0, 66937.0)	(16.0, 75930.0)	(17.0, 83443.0)	(18.0, 88476.0)	(19.0, 95115.0)	(20.0, 107446.0)	(21.0, 125307.0)	(22.0, 151221.0)	(23.0, 187390.0)	(24.0, 237843.0)	(25.0, 306094.0)	(26.0, 391312.0)	(27.0, 479167.0)	(28.0, 575649.0)	(29.0, 709545.0)	(30.0, 868935.0)	(31.0, 1057146.0)	(32.0, 1279121.0)	(33.0, 1537345.0)	(34.0, 1832383.0)	(35.0, 2237562.0)	(36.0, 2719621.0)	(37.0, 3402354.0)	(38.0, 4196226.0)	(39.0, 4590473.0)	(40.0, 618629.0)
SRR13380426_1	(2.0, 85.0)	(3.0, 116.0)	(4.0, 208.0)	(5.0, 486.0)	(6.0, 1241.0)	(7.0, 2741.0)	(8.0, 5443.0)	(9.0, 10454.0)	(10.0, 18263.0)	(11.0, 27254.0)	(12.0, 36501.0)	(13.0, 47244.0)	(14.0, 58420.0)	(15.0, 68097.0)	(16.0, 78035.0)	(17.0, 86585.0)	(18.0, 91819.0)	(19.0, 98446.0)	(20.0, 110709.0)	(21.0, 129227.0)	(22.0, 154843.0)	(23.0, 191600.0)	(24.0, 240841.0)	(25.0, 306253.0)	(26.0, 386032.0)	(27.0, 470884.0)	(28.0, 564176.0)	(29.0, 692187.0)	(30.0, 845584.0)	(31.0, 1026594.0)	(32.0, 1232173.0)	(33.0, 1459385.0)	(34.0, 1713658.0)	(35.0, 2066580.0)	(36.0, 2509955.0)	(37.0, 3145184.0)	(38.0, 3910367.0)	(39.0, 4238657.0)	(40.0, 544779.0)
SRR13380427_1	(2.0, 100.0)	(3.0, 104.0)	(4.0, 255.0)	(5.0, 563.0)	(6.0, 1434.0)	(7.0, 3164.0)	(8.0, 5883.0)	(9.0, 11484.0)	(10.0, 19844.0)	(11.0, 29291.0)	(12.0, 38787.0)	(13.0, 50119.0)	(14.0, 61665.0)	(15.0, 71240.0)	(16.0, 82368.0)	(17.0, 92097.0)	(18.0, 99188.0)	(19.0, 108020.0)	(20.0, 123377.0)	(21.0, 145258.0)	(22.0, 174520.0)	(23.0, 217709.0)	(24.0, 276886.0)	(25.0, 352496.0)	(26.0, 447611.0)	(27.0, 541853.0)	(28.0, 643428.0)	(29.0, 786243.0)	(30.0, 959733.0)	(31.0, 1164610.0)	(32.0, 1408917.0)	(33.0, 1673440.0)	(34.0, 1936997.0)	(35.0, 2307341.0)	(36.0, 2765491.0)	(37.0, 3400772.0)	(38.0, 4148881.0)	(39.0, 4354840.0)	(40.0, 554400.0)
SRR13380430_1	(2.0, 92.0)	(3.0, 139.0)	(4.0, 248.0)	(5.0, 539.0)	(6.0, 1363.0)	(7.0, 2908.0)	(8.0, 5889.0)	(9.0, 11650.0)	(10.0, 19783.0)	(11.0, 28736.0)	(12.0, 37690.0)	(13.0, 48277.0)	(14.0, 57742.0)	(15.0, 67760.0)	(16.0, 76906.0)	(17.0, 84824.0)	(18.0, 90453.0)	(19.0, 96589.0)	(20.0, 108438.0)	(21.0, 126215.0)	(22.0, 152385.0)	(23.0, 188457.0)	(24.0, 239153.0)	(25.0, 306113.0)	(26.0, 393004.0)	(27.0, 484851.0)	(28.0, 587838.0)	(29.0, 726599.0)	(30.0, 891404.0)	(31.0, 1082986.0)	(32.0, 1309615.0)	(33.0, 1572678.0)	(34.0, 1898675.0)	(35.0, 2329632.0)	(36.0, 2850123.0)	(37.0, 3580967.0)	(38.0, 4542307.0)	(39.0, 5114141.0)	(40.0, 697008.0)
SRR13380434_1	(2.0, 107.0)	(3.0, 165.0)	(4.0, 260.0)	(5.0, 594.0)	(6.0, 1305.0)	(7.0, 2927.0)	(8.0, 5826.0)	(9.0, 11138.0)	(10.0, 19223.0)	(11.0, 28205.0)	(12.0, 36470.0)	(13.0, 46745.0)	(14.0, 56312.0)	(15.0, 65078.0)	(16.0, 72950.0)	(17.0, 80625.0)	(18.0, 85389.0)	(19.0, 93117.0)	(20.0, 104911.0)	(21.0, 122216.0)	(22.0, 148342.0)	(23.0, 183299.0)	(24.0, 233588.0)	(25.0, 300313.0)	(26.0, 381709.0)	(27.0, 466155.0)	(28.0, 559189.0)	(29.0, 684092.0)	(30.0, 836630.0)	(31.0, 1012916.0)	(32.0, 1222854.0)	(33.0, 1464828.0)	(34.0, 1734822.0)	(35.0, 2082915.0)	(36.0, 2492899.0)	(37.0, 3096556.0)	(38.0, 3852982.0)	(39.0, 4282608.0)	(40.0, 575002.0)
SRR13380441_1	(2.0, 60.0)	(3.0, 78.0)	(4.0, 137.0)	(5.0, 313.0)	(6.0, 789.0)	(7.0, 1432.0)	(8.0, 2331.0)	(9.0, 3612.0)	(10.0, 6073.0)	(11.0, 8778.0)	(12.0, 12007.0)	(13.0, 16366.0)	(14.0, 20673.0)	(15.0, 25199.0)	(16.0, 29955.0)	(17.0, 34402.0)	(18.0, 38977.0)	(19.0, 42728.0)	(20.0, 48646.0)	(21.0, 57454.0)	(22.0, 71117.0)	(23.0, 92208.0)	(24.0, 121662.0)	(25.0, 163607.0)	(26.0, 223373.0)	(27.0, 288000.0)	(28.0, 333563.0)	(29.0, 413180.0)	(30.0, 523319.0)	(31.0, 660559.0)	(32.0, 847247.0)	(33.0, 1129275.0)	(34.0, 1556822.0)	(35.0, 2321046.0)	(36.0, 3575032.0)	(37.0, 4375873.0)	(38.0, 7570021.0)	(39.0, 10240583.0)	(40.0, 1401157.0)
SRR13380446_1	(2.0, 844.0)	(3.0, 683.0)	(4.0, 2297.0)	(5.0, 8332.0)	(6.0, 24541.0)	(7.0, 50074.0)	(8.0, 73183.0)	(9.0, 79694.0)	(10.0, 81046.0)	(11.0, 78628.0)	(12.0, 69852.0)	(13.0, 68159.0)	(14.0, 67909.0)	(15.0, 69342.0)	(16.0, 72223.0)	(17.0, 77630.0)	(18.0, 84138.0)	(19.0, 92749.0)	(20.0, 103206.0)	(21.0, 120124.0)	(22.0, 141884.0)	(23.0, 173123.0)	(24.0, 217701.0)	(25.0, 276865.0)	(26.0, 354206.0)	(27.0, 449941.0)	(28.0, 565138.0)	(29.0, 706264.0)	(30.0, 874269.0)	(31.0, 1070461.0)	(32.0, 1298616.0)	(33.0, 1575132.0)	(34.0, 1932431.0)	(35.0, 2402162.0)	(36.0, 3020652.0)	(37.0, 3889053.0)	(38.0, 5079395.0)	(39.0, 5895004.0)	(40.0, 540960.0)
SRR13380448_1	(2.0, 115.0)	(3.0, 132.0)	(4.0, 363.0)	(5.0, 934.0)	(6.0, 2609.0)	(7.0, 4122.0)	(8.0, 5308.0)	(9.0, 5628.0)	(10.0, 6279.0)	(11.0, 7346.0)	(12.0, 8454.0)	(13.0, 10044.0)	(14.0, 11656.0)	(15.0, 13776.0)	(16.0, 15508.0)	(17.0, 17437.0)	(18.0, 18266.0)	(19.0, 19915.0)	(20.0, 21932.0)	(21.0, 25432.0)	(22.0, 30356.0)	(23.0, 36897.0)	(24.0, 46092.0)	(25.0, 60093.0)	(26.0, 78964.0)	(27.0, 99143.0)	(28.0, 118516.0)	(29.0, 149403.0)	(30.0, 187673.0)	(31.0, 232717.0)	(32.0, 289038.0)	(33.0, 358675.0)	(34.0, 460452.0)	(35.0, 611544.0)	(36.0, 843730.0)	(37.0, 1238817.0)	(38.0, 1822567.0)	(39.0, 2493717.0)	(40.0, 401240.0)
SRR13380458_1	(2.0, 49.0)	(3.0, 61.0)	(4.0, 130.0)	(5.0, 320.0)	(6.0, 806.0)	(7.0, 1293.0)	(8.0, 1841.0)	(9.0, 2462.0)	(10.0, 3446.0)	(11.0, 4837.0)	(12.0, 6386.0)	(13.0, 8690.0)	(14.0, 11002.0)	(15.0, 13758.0)	(16.0, 16201.0)	(17.0, 18626.0)	(18.0, 20770.0)	(19.0, 23516.0)	(20.0, 27518.0)	(21.0, 33855.0)	(22.0, 42264.0)	(23.0, 53661.0)	(24.0, 69152.0)	(25.0, 88013.0)	(26.0, 110821.0)	(27.0, 136674.0)	(28.0, 161776.0)	(29.0, 194944.0)	(30.0, 236502.0)	(31.0, 284816.0)	(32.0, 347530.0)	(33.0, 439010.0)	(34.0, 564930.0)	(35.0, 715842.0)	(36.0, 722837.0)	(37.0, 1050053.0)	(38.0, 1545471.0)	(39.0, 1949054.0)	(40.0, 267887.0)
