Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR13380421_1	(1.0, 42.38565451903831)	(2.0, 9.976113287486776)	(3.0, 3.605577994626112)	(4.0, 1.9408315702666186)	(5.0, 1.2939863017640851)	(6.0, 0.9546081150221415)	(7.0, 0.749643857018908)	(8.0, 0.6743490638039716)	(9.0, 0.5393389712878444)	('>10', 7.004608979283892)	('>50', 3.057403744262809)	('>100', 6.828339107909762)	('>500', 6.129609009313674)	('>1k', 8.370775461653773)	('>5k', 0.15876803052368307)	('>10k+', 6.330391986737979)
SRR13380425_1	(1.0, 46.10226828601848)	(2.0, 11.369165561375295)	(3.0, 4.060542374062853)	(4.0, 2.1553682983058193)	(5.0, 1.468955604174111)	(6.0, 1.14112229244493)	(7.0, 0.8504087787427181)	(8.0, 0.7390831107937141)	(9.0, 0.5526115381162324)	('>10', 7.049415294425099)	('>50', 2.9191499304418405)	('>100', 11.56460147370352)	('>500', 2.499439258210846)	('>1k', 4.535866964641137)	('>5k', 0.3226349176941503)	('>10k+', 2.6693663168492825)
SRR13380426_1	(1.0, 46.02937285407439)	(2.0, 8.794651898433624)	(3.0, 3.290205153752705)	(4.0, 1.884411036590535)	(5.0, 1.2213844623680208)	(6.0, 0.9501927409671288)	(7.0, 0.7387929365242443)	(8.0, 0.5807944912796057)	(9.0, 0.4893207730979416)	('>10', 7.619282698977502)	('>50', 4.117737681848708)	('>100', 10.90076073963169)	('>500', 5.045089297407532)	('>1k', 2.817193143830919)	('>5k', 0.020793201369312887)	('>10k+', 5.500016889846373)
SRR13380427_1	(1.0, 40.79411361510258)	(2.0, 8.127285561737427)	(3.0, 3.033857866646673)	(4.0, 1.7032285024494547)	(5.0, 1.1545003949822543)	(6.0, 0.8978923606134617)	(7.0, 0.6579220792524154)	(8.0, 0.5510515595687238)	(9.0, 0.4777302809933064)	('>10', 7.438233129948914)	('>50', 4.800069934519021)	('>100', 14.326912373566303)	('>500', 4.362842821775095)	('>1k', 3.3035766508296813)	('>5k', 0.1359889248884864)	('>10k+', 8.234793943126169)
SRR13380430_1	(1.0, 50.71566173671954)	(2.0, 9.534683963042312)	(3.0, 3.7720354149156337)	(4.0, 2.160323907999677)	(5.0, 1.4221845671248865)	(6.0, 1.048638910484152)	(7.0, 0.8692402525332775)	(8.0, 0.7671794791538601)	(9.0, 0.5731820086899336)	('>10', 6.853073684272734)	('>50', 3.011540893805461)	('>100', 7.739185062654158)	('>500', 5.251389671817707)	('>1k', 3.9492041749419458)	('>5k', 0.08762950233407821)	('>10k+', 2.244846769510558)
SRR13380434_1	(1.0, 49.83314426095294)	(2.0, 9.36666124241388)	(3.0, 3.616745133879567)	(4.0, 2.0148961049661267)	(5.0, 1.4317292099209527)	(6.0, 1.0353583130476678)	(7.0, 0.8365839504345718)	(8.0, 0.6991910847326701)	(9.0, 0.6019244533439341)	('>10', 7.269159580257485)	('>50', 3.1247700657375423)	('>100', 6.935834203335762)	('>500', 4.596376230107245)	('>1k', 5.253296823034093)	('>5k', 0.18626022276925222)	('>10k+', 3.198069121066232)
SRR13380441_1	(1.0, 25.79602725614332)	(2.0, 6.785132327248335)	(3.0, 2.552905443804765)	(4.0, 1.408452354098558)	(5.0, 0.9625203703346552)	(6.0, 0.7291625814065246)	(7.0, 0.620626636824093)	(8.0, 0.5103072113040942)	(9.0, 0.43373621417421027)	('>10', 6.520533912793248)	('>50', 3.937393315930535)	('>100', 17.38107728886768)	('>500', 11.207914620836096)	('>1k', 11.110557965085102)	('>5k', 0.42438383452297396)	('>10k+', 9.619268666625684)
SRR13380446_1	(1.0, 51.11025078707374)	(2.0, 9.342646003206328)	(3.0, 3.6619839338191804)	(4.0, 2.02092820157484)	(5.0, 1.4258663358281236)	(6.0, 1.1157360353895982)	(7.0, 0.8664223234831488)	(8.0, 0.7607160518150775)	(9.0, 0.6697219112266727)	('>10', 7.879440103254233)	('>50', 2.8308726409920872)	('>100', 5.611534944031852)	('>500', 4.716030646778034)	('>1k', 6.49459327489057)	('>5k', 0.12693739313586982)	('>10k+', 1.3663194135005765)
SRR13380448_1	(1.0, 55.77284303973562)	(2.0, 7.856028686815828)	(3.0, 2.8948257636522072)	(4.0, 1.6404170289409552)	(5.0, 1.1888973475967954)	(6.0, 0.8977060571943692)	(7.0, 0.6771089586716534)	(8.0, 0.6358805590899355)	(9.0, 0.51550433662423)	('>10', 7.883308225126862)	('>50', 3.4443912605754634)	('>100', 10.475811449722897)	('>500', 3.6419118774994352)	('>1k', 1.4803824295704588)	('>5k', 0.05220510332752013)	('>10k+', 0.9427778758556099)
SRR13380458_1	(1.0, 50.73376607779072)	(2.0, 5.937687829039097)	(3.0, 2.2645565163988195)	(4.0, 1.4103854127768418)	(5.0, 1.0622947187094869)	(6.0, 0.8052856170495821)	(7.0, 0.6570794771946521)	(8.0, 0.5334414605643412)	(9.0, 0.4651009733708382)	('>10', 7.252631668357503)	('>50', 3.1707985552936857)	('>100', 9.037814755157083)	('>500', 1.1673289515651175)	('>1k', 1.8781179029837922)	('>5k', 0.9427104343506928)	('>10k+', 12.680999649397823)
