Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR13380421_1	49.80941531609264	42.0	76.0	76	10.0	30.317563999999997
SRR13380425_1	45.081004538495776	42.0	76.0	76	10.0	28.234484
SRR13380426_1	46.86389018987891	42.0	76.0	76	10.0	26.571106
SRR13380427_1	52.58899038123362	43.0	76.0	76	20.0	29.060409
SRR13380430_1	41.519414175523316	42.0	76.0	76	10.0	29.814176999999997
SRR13380434_1	42.56774833603426	42.0	76.0	76	10.0	26.445262
SRR13380441_1	68.62174318218305	48.0	76.0	76	30.0	36.257653999999995
SRR13380446_1	41.22705160455203	44.0	76.0	76	10.0	31.687911
SRR13380448_1	37.80082568070122	45.0	76.0	76	10.0	9.75489
SRR13380458_1	44.162856421585985	46.0	76.0	76	10.0	9.176803999999999
SRR13380466_1	45.820480668196794	46.0	76.0	76	20.0	9.776534
SRR13380471_1	45.56074954386666	47.0	76.0	76	20.0	6.450215
