Module	Section	Sample Name	Source
FastQC	all_sections	SRR13380421_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/raw/SRR13380421_1_fastqc.zip
FastQC	all_sections	SRR13380425_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/raw/SRR13380425_1_fastqc.zip
FastQC	all_sections	SRR13380426_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/raw/SRR13380426_1_fastqc.zip
FastQC	all_sections	SRR13380427_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/raw/SRR13380427_1_fastqc.zip
FastQC	all_sections	SRR13380430_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/raw/SRR13380430_1_fastqc.zip
FastQC	all_sections	SRR13380434_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/raw/SRR13380434_1_fastqc.zip
FastQC	all_sections	SRR13380441_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/raw/SRR13380441_1_fastqc.zip
FastQC	all_sections	SRR13380446_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/raw/SRR13380446_1_fastqc.zip
FastQC	all_sections	SRR13380448_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/raw/SRR13380448_1_fastqc.zip
FastQC	all_sections	SRR13380458_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/raw/SRR13380458_1_fastqc.zip
FastQC	all_sections	SRR13380466_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/raw/SRR13380466_1_fastqc.zip
FastQC	all_sections	SRR13380471_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/raw/SRR13380471_1_fastqc.zip
