Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
SRR13380421_1	(1, 44.4762)	(2, 40.8007)	(3, 43.2583)	(4, 42.2993)	(5, 41.3044)	(6, 42.5762)	(7, 41.5544)	(8, 42.6912)	(9, 42.4952)	(10, 41.3327)	(11, 41.8235)	(12, 41.7118)	(13, 42.8512)	(14, 41.3191)	(15, 41.496)	(16, 43.2292)	(17, 43.1145)	(18, 42.9562)	(19, 41.8188)	(20, 43.1037)	(21, 41.611599999999996)	(22, 43.3517)	(23, 41.7453)	(24, 41.7924)	(25, 43.4315)	(26, 41.903600000000004)	(27, 41.801500000000004)	(28, 42.3675)	(29, 42.2095)	(30, 42.414699999999996)	(31, 42.0676)	(32, 42.080600000000004)	(33, 42.065000000000005)	(34, 41.8863)	(35, 41.9883)	(36, 41.9309)	(37, 41.958800000000004)	(38, 42.0559)	(39, 41.7885)	(40, 41.8741)	(41, 41.8401)	(42, 41.8184)	(43, 42.0616)	(44, 41.8138)	(45, 41.5744)	(46, 41.7335)	(47, 41.7255)	(48, 41.8996)	(49, 42.0267)	(50, 41.7755)	(51, 41.8069)	(52, 41.7455)	(53, 41.5371)	(54, 41.6408)	(55, 41.841899999999995)	(56, 41.755700000000004)	(57, 41.971599999999995)	(58, 42.0186)	(59, 41.8144)	(60, 41.853)	(61, 41.8386)	(62, 41.8054)	(63, 41.781400000000005)	(64, 41.7528)	(65, 41.58)	(66, 41.5989)	(67, 41.805)	(68, 41.7595)	(69, 41.6376)	(70, 41.8187)	(71, 41.6367)	(72, 41.491099999999996)	(73, 41.8879)	(74, 41.6089)	(75, 41.539300000000004)	(76, 41.783500000000004)
SRR13380425_1	(1, 44.615899999999996)	(2, 41.6299)	(3, 43.6699)	(4, 42.5012)	(5, 41.9877)	(6, 42.8271)	(7, 42.2133)	(8, 43.135200000000005)	(9, 42.7778)	(10, 41.8324)	(11, 42.418)	(12, 42.1988)	(13, 43.1652)	(14, 41.946600000000004)	(15, 42.0548)	(16, 43.4552)	(17, 43.3818)	(18, 43.2016)	(19, 42.3671)	(20, 43.3749)	(21, 42.165200000000006)	(22, 43.5043)	(23, 42.3066)	(24, 42.3213)	(25, 43.663000000000004)	(26, 42.4494)	(27, 42.399100000000004)	(28, 42.9615)	(29, 42.7206)	(30, 42.9339)	(31, 42.6376)	(32, 42.687599999999996)	(33, 42.6492)	(34, 42.7133)	(35, 42.7809)	(36, 42.6509)	(37, 42.5743)	(38, 42.6284)	(39, 42.5576)	(40, 42.5163)	(41, 42.5082)	(42, 42.4869)	(43, 42.6952)	(44, 42.4985)	(45, 42.4302)	(46, 42.5195)	(47, 42.472)	(48, 42.5541)	(49, 42.5841)	(50, 42.4219)	(51, 42.438500000000005)	(52, 42.4187)	(53, 42.2769)	(54, 42.2712)	(55, 42.4944)	(56, 42.4468)	(57, 42.512699999999995)	(58, 42.7459)	(59, 42.4399)	(60, 42.3912)	(61, 42.510999999999996)	(62, 42.4693)	(63, 42.337799999999994)	(64, 42.4867)	(65, 42.2578)	(66, 42.1763)	(67, 42.479299999999995)	(68, 42.381600000000006)	(69, 42.1833)	(70, 42.3911)	(71, 42.2823)	(72, 42.051100000000005)	(73, 42.5043)	(74, 42.1646)	(75, 42.091899999999995)	(76, 42.2416)
SRR13380426_1	(1, 44.8839)	(2, 41.3924)	(3, 43.4039)	(4, 42.2817)	(5, 41.7219)	(6, 42.667699999999996)	(7, 42.099199999999996)	(8, 42.8939)	(9, 42.6374)	(10, 41.827999999999996)	(11, 42.351)	(12, 42.2166)	(13, 43.0788)	(14, 41.854400000000005)	(15, 41.977199999999996)	(16, 43.4011)	(17, 43.194700000000005)	(18, 43.0906)	(19, 42.3438)	(20, 43.222500000000004)	(21, 42.1049)	(22, 43.455)	(23, 42.2259)	(24, 42.296800000000005)	(25, 43.540800000000004)	(26, 42.3539)	(27, 42.2917)	(28, 42.8754)	(29, 42.6427)	(30, 42.8516)	(31, 42.6227)	(32, 42.6075)	(33, 42.6648)	(34, 42.6295)	(35, 42.5805)	(36, 42.398599999999995)	(37, 42.5296)	(38, 42.5762)	(39, 42.346000000000004)	(40, 42.4001)	(41, 42.388799999999996)	(42, 42.335499999999996)	(43, 42.5676)	(44, 42.3427)	(45, 42.208600000000004)	(46, 42.3356)	(47, 42.2378)	(48, 42.44)	(49, 42.5097)	(50, 42.3112)	(51, 42.3586)	(52, 42.3126)	(53, 42.1076)	(54, 42.1819)	(55, 42.377900000000004)	(56, 42.3101)	(57, 42.464800000000004)	(58, 42.553000000000004)	(59, 42.3142)	(60, 42.3452)	(61, 42.3994)	(62, 42.3277)	(63, 42.2881)	(64, 42.344300000000004)	(65, 42.1359)	(66, 42.138799999999996)	(67, 42.3688)	(68, 42.2715)	(69, 42.1637)	(70, 42.3566)	(71, 42.1301)	(72, 41.985)	(73, 42.4226)	(74, 42.084500000000006)	(75, 42.003800000000005)	(76, 42.215599999999995)
SRR13380427_1	(1, 45.9191)	(2, 42.4306)	(3, 44.715199999999996)	(4, 43.664199999999994)	(5, 42.8524)	(6, 44.013600000000004)	(7, 42.993500000000004)	(8, 44.1606)	(9, 44.0181)	(10, 42.7734)	(11, 43.4323)	(12, 43.3269)	(13, 44.3347)	(14, 42.9209)	(15, 43.02)	(16, 44.829299999999996)	(17, 44.5216)	(18, 44.4007)	(19, 43.414199999999994)	(20, 44.4708)	(21, 43.1109)	(22, 44.649699999999996)	(23, 43.209599999999995)	(24, 43.2527)	(25, 44.857)	(26, 43.3491)	(27, 43.2657)	(28, 44.021100000000004)	(29, 43.6724)	(30, 43.9175)	(31, 43.6426)	(32, 43.6334)	(33, 43.6519)	(34, 43.53)	(35, 43.4606)	(36, 43.5871)	(37, 43.5105)	(38, 43.3146)	(39, 43.3232)	(40, 43.4311)	(41, 43.4105)	(42, 43.3257)	(43, 43.6791)	(44, 43.447)	(45, 43.198)	(46, 43.3466)	(47, 43.2397)	(48, 43.520399999999995)	(49, 43.558400000000006)	(50, 43.3352)	(51, 43.393100000000004)	(52, 43.3258)	(53, 43.156299999999995)	(54, 43.1584)	(55, 43.4039)	(56, 43.405899999999995)	(57, 43.443799999999996)	(58, 43.683499999999995)	(59, 43.3659)	(60, 43.2998)	(61, 43.4905)	(62, 43.4125)	(63, 43.3371)	(64, 43.4568)	(65, 43.1638)	(66, 43.2132)	(67, 43.4355)	(68, 43.293)	(69, 43.1809)	(70, 43.3558)	(71, 43.1789)	(72, 43.017)	(73, 43.4743)	(74, 43.0493)	(75, 43.024)	(76, 43.2166)
SRR13380430_1	(1, 44.0803)	(2, 40.8198)	(3, 42.8133)	(4, 41.6103)	(5, 41.0799)	(6, 42.1263)	(7, 41.7939)	(8, 42.3755)	(9, 42.0502)	(10, 41.3293)	(11, 41.7078)	(12, 41.5968)	(13, 42.4773)	(14, 41.3228)	(15, 41.49)	(16, 42.722100000000005)	(17, 42.607099999999996)	(18, 42.554700000000004)	(19, 41.8268)	(20, 42.6933)	(21, 41.600300000000004)	(22, 42.8519)	(23, 41.674)	(24, 41.7569)	(25, 42.924800000000005)	(26, 41.8149)	(27, 41.7949)	(28, 42.2505)	(29, 42.0702)	(30, 42.2441)	(31, 42.0356)	(32, 41.9536)	(33, 41.9427)	(34, 42.0205)	(35, 41.917)	(36, 41.822700000000005)	(37, 42.0008)	(38, 41.9024)	(39, 41.843)	(40, 41.842600000000004)	(41, 41.7794)	(42, 41.7652)	(43, 41.931000000000004)	(44, 41.749)	(45, 41.6526)	(46, 41.7806)	(47, 41.7003)	(48, 41.777300000000004)	(49, 41.8883)	(50, 41.6779)	(51, 41.7271)	(52, 41.720400000000005)	(53, 41.5257)	(54, 41.6393)	(55, 41.8191)	(56, 41.7211)	(57, 41.897800000000004)	(58, 41.966300000000004)	(59, 41.7582)	(60, 41.7845)	(61, 41.7997)	(62, 41.7381)	(63, 41.7284)	(64, 41.767900000000004)	(65, 41.5602)	(66, 41.6178)	(67, 41.7979)	(68, 41.7084)	(69, 41.617599999999996)	(70, 41.7901)	(71, 41.6081)	(72, 41.4642)	(73, 41.873)	(74, 41.538199999999996)	(75, 41.510000000000005)	(76, 41.7179)
SRR13380434_1	(1, 44.9867)	(2, 41.4448)	(3, 43.4067)	(4, 42.3332)	(5, 41.7583)	(6, 42.7282)	(7, 42.167300000000004)	(8, 43.0483)	(9, 42.6993)	(10, 41.8268)	(11, 42.3838)	(12, 42.2029)	(13, 43.0933)	(14, 41.8891)	(15, 42.0702)	(16, 43.4681)	(17, 43.3524)	(18, 43.1859)	(19, 42.3838)	(20, 43.3202)	(21, 42.142)	(22, 43.4527)	(23, 42.2579)	(24, 42.349)	(25, 43.6302)	(26, 42.4333)	(27, 42.33)	(28, 42.8707)	(29, 42.6449)	(30, 42.8819)	(31, 42.552299999999995)	(32, 42.5986)	(33, 42.5222)	(34, 42.7222)	(35, 42.607800000000005)	(36, 42.4744)	(37, 42.4857)	(38, 42.6535)	(39, 42.4107)	(40, 42.4352)	(41, 42.4253)	(42, 42.3574)	(43, 42.627900000000004)	(44, 42.3843)	(45, 42.2479)	(46, 42.3617)	(47, 42.3256)	(48, 42.4611)	(49, 42.617399999999996)	(50, 42.3679)	(51, 42.3836)	(52, 42.3276)	(53, 42.1717)	(54, 42.2297)	(55, 42.4317)	(56, 42.3525)	(57, 42.4993)	(58, 42.6552)	(59, 42.4088)	(60, 42.385)	(61, 42.423)	(62, 42.4095)	(63, 42.290499999999994)	(64, 42.404199999999996)	(65, 42.147)	(66, 42.1667)	(67, 42.442099999999996)	(68, 42.3095)	(69, 42.1699)	(70, 42.4079)	(71, 42.2201)	(72, 42.0133)	(73, 42.4715)	(74, 42.1479)	(75, 42.1048)	(76, 42.2602)
SRR13380441_1	(1, 53.39620000000001)	(2, 48.5813)	(3, 49.930099999999996)	(4, 49.4416)	(5, 48.0068)	(6, 48.1528)	(7, 48.2642)	(8, 49.046)	(9, 48.376799999999996)	(10, 48.74)	(11, 48.9413)	(12, 48.604)	(13, 49.2923)	(14, 48.3303)	(15, 48.1796)	(16, 49.6673)	(17, 49.0627)	(18, 49.0831)	(19, 49.0577)	(20, 49.032399999999996)	(21, 48.3159)	(22, 49.544700000000006)	(23, 48.3451)	(24, 48.393)	(25, 49.411899999999996)	(26, 48.4418)	(27, 48.5094)	(28, 49.141400000000004)	(29, 48.8057)	(30, 48.809799999999996)	(31, 49.107800000000005)	(32, 48.6497)	(33, 48.6706)	(34, 48.979299999999995)	(35, 48.5753)	(36, 48.5458)	(37, 49.2074)	(38, 48.541000000000004)	(39, 48.5861)	(40, 49.067499999999995)	(41, 48.4596)	(42, 48.5755)	(43, 48.9906)	(44, 48.7224)	(45, 48.5719)	(46, 49.0038)	(47, 48.5109)	(48, 48.8152)	(49, 48.9261)	(50, 48.396499999999996)	(51, 48.7346)	(52, 48.9882)	(53, 48.295500000000004)	(54, 48.577)	(55, 48.8054)	(56, 48.478500000000004)	(57, 48.7107)	(58, 49.0676)	(59, 48.503600000000006)	(60, 48.6325)	(61, 49.0838)	(62, 48.620799999999996)	(63, 48.7289)	(64, 48.9346)	(65, 48.3506)	(66, 48.532199999999996)	(67, 48.8074)	(68, 48.4618)	(69, 48.411500000000004)	(70, 48.8349)	(71, 48.336800000000004)	(72, 48.2575)	(73, 48.9057)	(74, 48.2049)	(75, 48.2366)	(76, 48.748999999999995)
SRR13380446_1	(1, 44.4792)	(2, 40.4583)	(3, 44.4338)	(4, 43.921)	(5, 44.149300000000004)	(6, 44.2137)	(7, 44.377)	(8, 43.073299999999996)	(9, 43.1295)	(10, 43.4232)	(11, 43.495)	(12, 43.757400000000004)	(13, 43.8966)	(14, 43.3882)	(15, 43.9693)	(16, 44.3445)	(17, 44.4271)	(18, 44.504)	(19, 44.5028)	(20, 44.2793)	(21, 44.2543)	(22, 44.4165)	(23, 44.007600000000004)	(24, 44.2483)	(25, 44.3008)	(26, 43.9152)	(27, 44.0437)	(28, 44.0343)	(29, 43.9757)	(30, 44.1956)	(31, 43.9923)	(32, 43.7687)	(33, 44.0683)	(34, 43.9141)	(35, 43.817699999999995)	(36, 43.8226)	(37, 43.9907)	(38, 43.8583)	(39, 43.825399999999995)	(40, 43.7996)	(41, 43.7654)	(42, 43.8565)	(43, 43.8332)	(44, 43.6901)	(45, 43.7162)	(46, 43.8093)	(47, 43.6023)	(48, 43.8327)	(49, 43.9141)	(50, 43.5467)	(51, 43.7185)	(52, 43.6932)	(53, 43.4896)	(54, 43.7941)	(55, 43.719)	(56, 43.522800000000004)	(57, 43.904199999999996)	(58, 43.804500000000004)	(59, 43.6694)	(60, 43.929899999999996)	(61, 43.6514)	(62, 43.6615)	(63, 43.7427)	(64, 43.7061)	(65, 43.488)	(66, 43.7933)	(67, 43.768)	(68, 43.572300000000006)	(69, 43.6231)	(70, 43.7613)	(71, 43.465900000000005)	(72, 43.6279)	(73, 44.1251)	(74, 43.5126)	(75, 43.4074)	(76, 43.8239)
SRR13380448_1	(1, 44.9668)	(2, 41.4318)	(3, 46.2298)	(4, 45.8703)	(5, 45.2036)	(6, 45.9963)	(7, 45.617799999999995)	(8, 45.195299999999996)	(9, 45.2592)	(10, 45.1493)	(11, 44.9901)	(12, 45.1248)	(13, 45.479)	(14, 44.952999999999996)	(15, 45.4379)	(16, 45.9333)	(17, 45.9099)	(18, 46.273599999999995)	(19, 45.8712)	(20, 46.0553)	(21, 45.8902)	(22, 46.3581)	(23, 45.5134)	(24, 45.9052)	(25, 46.2575)	(26, 45.6442)	(27, 45.8592)	(28, 46.0072)	(29, 45.7474)	(30, 46.0725)	(31, 45.9214)	(32, 45.8119)	(33, 45.998)	(34, 45.9517)	(35, 45.961400000000005)	(36, 45.866600000000005)	(37, 45.9239)	(38, 45.8919)	(39, 45.9519)	(40, 45.9067)	(41, 45.8446)	(42, 45.915499999999994)	(43, 45.9056)	(44, 45.8835)	(45, 45.9696)	(46, 45.9493)	(47, 45.7331)	(48, 46.047)	(49, 45.9679)	(50, 45.6346)	(51, 45.962199999999996)	(52, 45.9179)	(53, 45.6569)	(54, 45.9658)	(55, 45.989000000000004)	(56, 45.8586)	(57, 46.1665)	(58, 46.0564)	(59, 45.894800000000004)	(60, 46.1498)	(61, 45.8365)	(62, 45.9698)	(63, 46.049099999999996)	(64, 45.9578)	(65, 45.7579)	(66, 46.108900000000006)	(67, 46.0257)	(68, 45.8153)	(69, 45.933)	(70, 45.9784)	(71, 45.7795)	(72, 45.8677)	(73, 46.1186)	(74, 45.6532)	(75, 45.8665)	(76, 45.954899999999995)
SRR13380458_1	(1, 46.400400000000005)	(2, 42.4313)	(3, 46.5713)	(4, 46.915)	(5, 45.9829)	(6, 46.703)	(7, 45.982099999999996)	(8, 46.2315)	(9, 46.128099999999996)	(10, 45.4775)	(11, 45.6872)	(12, 45.7377)	(13, 46.0081)	(14, 45.6388)	(15, 45.961999999999996)	(16, 46.6295)	(17, 46.339200000000005)	(18, 46.879799999999996)	(19, 46.37)	(20, 46.4287)	(21, 46.1397)	(22, 46.7553)	(23, 45.9063)	(24, 46.2134)	(25, 46.6613)	(26, 46.1253)	(27, 46.3802)	(28, 46.7322)	(29, 46.0295)	(30, 46.4638)	(31, 46.6165)	(32, 46.292699999999996)	(33, 46.116)	(34, 46.3063)	(35, 46.3229)	(36, 46.3777)	(37, 46.5754)	(38, 46.352399999999996)	(39, 46.3217)	(40, 46.271699999999996)	(41, 46.4282)	(42, 46.2694)	(43, 46.3393)	(44, 46.205)	(45, 46.35)	(46, 46.221000000000004)	(47, 46.0)	(48, 46.439)	(49, 46.3921)	(50, 46.2718)	(51, 46.5903)	(52, 46.139599999999994)	(53, 46.0323)	(54, 46.5982)	(55, 46.380500000000005)	(56, 46.0601)	(57, 46.2647)	(58, 46.4155)	(59, 46.2956)	(60, 46.5451)	(61, 46.3148)	(62, 46.328599999999994)	(63, 46.3656)	(64, 46.5485)	(65, 46.1749)	(66, 46.3582)	(67, 46.2823)	(68, 46.2627)	(69, 46.2483)	(70, 46.3452)	(71, 46.1105)	(72, 46.1698)	(73, 46.6001)	(74, 46.219300000000004)	(75, 46.0883)	(76, 46.2402)
