Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
SRR13380421_1	(1, 48.1151)	(2, 38.0471)	(3, 40.3967)	(4, 46.0997)	(5, 45.128099999999996)	(6, 46.328399999999995)	(7, 38.9343)	(8, 39.8792)	(9, 45.9877)	(10, 38.7853)	(11, 45.2433)	(12, 45.3972)	(13, 40.2841)	(14, 44.7044)	(15, 38.9427)	(16, 46.6009)	(17, 46.7103)	(18, 40.3648)	(19, 45.0753)	(20, 40.4459)	(21, 44.8967)	(22, 40.6093)	(23, 38.8161)	(24, 45.0725)	(25, 40.795700000000004)	(26, 45.256800000000005)	(27, 45.448)	(28, 39.779399999999995)	(29, 45.4527)	(30, 39.8879)	(31, 45.366099999999996)	(32, 39.5733)	(33, 45.4529)	(34, 43.262)	(35, 39.643499999999996)	(36, 41.5385)	(37, 43.0602)	(38, 41.9081)	(39, 45.1531)	(40, 39.541900000000005)	(41, 39.2888)	(42, 45.3801)	(43, 39.8681)	(44, 45.4524)	(45, 45.486900000000006)	(46, 39.5011)	(47, 39.172200000000004)	(48, 39.491)	(49, 45.835)	(50, 45.9833)	(51, 46.0348)	(52, 45.7675)	(53, 39.6006)	(54, 45.3508)	(55, 39.6806)	(56, 39.427800000000005)	(57, 45.647)	(58, 40.0469)	(59, 45.5738)	(60, 45.8645)	(61, 39.7147)	(62, 39.5206)	(63, 45.286)	(64, 40.192)	(65, 39.1747)	(66, 39.2744)	(67, 39.5219)	(68, 39.5494)	(69, 39.8752)	(70, 40.0523)	(71, 40.7434)	(72, 40.906)	(73, 41.1248)	(74, 41.5341)	(75, 41.371900000000004)	(76, 41.7164)
SRR13380425_1	(1, 47.3448)	(2, 39.5857)	(3, 41.5704)	(4, 45.3563)	(5, 44.830799999999996)	(6, 45.6528)	(7, 40.1329)	(8, 41.060900000000004)	(9, 45.5452)	(10, 39.8001)	(11, 45.1041)	(12, 44.9489)	(13, 41.1346)	(14, 44.628099999999996)	(15, 40.0075)	(16, 46.144200000000005)	(17, 46.0858)	(18, 41.150999999999996)	(19, 44.9518)	(20, 41.267900000000004)	(21, 44.7687)	(22, 41.3438)	(23, 40.119)	(24, 44.922000000000004)	(25, 41.5725)	(26, 45.1008)	(27, 45.1148)	(28, 40.8985)	(29, 45.2932)	(30, 40.9104)	(31, 45.263999999999996)	(32, 40.698)	(33, 45.3223)	(34, 42.7897)	(35, 42.803799999999995)	(36, 43.3795)	(37, 43.330200000000005)	(38, 42.6372)	(39, 40.6573)	(40, 40.5139)	(41, 40.6082)	(42, 45.3011)	(43, 40.919)	(44, 45.374900000000004)	(45, 45.3534)	(46, 40.7072)	(47, 40.5675)	(48, 40.7706)	(49, 45.591300000000004)	(50, 45.576499999999996)	(51, 45.6058)	(52, 45.4345)	(53, 40.7013)	(54, 45.1986)	(55, 40.755599999999994)	(56, 40.7269)	(57, 45.4262)	(58, 41.1563)	(59, 45.4038)	(60, 45.4308)	(61, 40.825)	(62, 40.8037)	(63, 45.1334)	(64, 41.2176)	(65, 40.4727)	(66, 40.488099999999996)	(67, 40.7727)	(68, 40.7591)	(69, 40.8514)	(70, 41.1103)	(71, 41.6501)	(72, 41.5957)	(73, 41.9686)	(74, 42.0954)	(75, 41.992200000000004)	(76, 42.2933)
SRR13380426_1	(1, 48.1453)	(2, 38.9259)	(3, 40.869)	(4, 45.7157)	(5, 45.1649)	(6, 46.0606)	(7, 39.589200000000005)	(8, 40.382)	(9, 45.9662)	(10, 39.3755)	(11, 45.6014)	(12, 45.535399999999996)	(13, 40.6145)	(14, 45.094899999999996)	(15, 39.5123)	(16, 46.6345)	(17, 46.455400000000004)	(18, 40.616)	(19, 45.472)	(20, 40.6893)	(21, 45.2495)	(22, 40.8495)	(23, 39.607)	(24, 45.4466)	(25, 41.0268)	(26, 45.5585)	(27, 45.5705)	(28, 40.3868)	(29, 45.7482)	(30, 40.4071)	(31, 45.784200000000006)	(32, 40.2194)	(33, 45.9048)	(34, 44.6862)	(35, 44.6338)	(36, 44.4773)	(37, 41.4331)	(38, 41.4504)	(39, 45.4991)	(40, 40.1109)	(41, 40.0698)	(42, 45.6945)	(43, 40.4025)	(44, 45.778999999999996)	(45, 45.6999)	(46, 40.1405)	(47, 39.9253)	(48, 40.248400000000004)	(49, 46.0783)	(50, 46.0576)	(51, 46.1293)	(52, 45.9131)	(53, 40.1847)	(54, 45.672000000000004)	(55, 40.2637)	(56, 40.1892)	(57, 45.9178)	(58, 40.612700000000004)	(59, 45.7773)	(60, 45.9443)	(61, 40.340900000000005)	(62, 40.252500000000005)	(63, 45.5081)	(64, 40.8416)	(65, 39.9337)	(66, 39.9982)	(67, 40.2647)	(68, 40.2409)	(69, 40.4948)	(70, 40.7446)	(71, 41.2649)	(72, 41.3908)	(73, 41.706199999999995)	(74, 41.9693)	(75, 41.8269)	(76, 42.154)
SRR13380427_1	(1, 50.7197)	(2, 38.6387)	(3, 40.7849)	(4, 48.6844)	(5, 47.913)	(6, 48.9622)	(7, 39.149899999999995)	(8, 40.2874)	(9, 48.907000000000004)	(10, 39.035199999999996)	(11, 48.2529)	(12, 48.2436)	(13, 40.5608)	(14, 47.7447)	(15, 39.272400000000005)	(16, 49.6014)	(17, 49.323)	(18, 40.6161)	(19, 48.094300000000004)	(20, 40.6049)	(21, 47.8404)	(22, 40.686299999999996)	(23, 39.2679)	(24, 47.977799999999995)	(25, 40.9941)	(26, 48.1505)	(27, 48.1621)	(28, 40.2384)	(29, 48.3027)	(30, 40.1999)	(31, 48.3532)	(32, 39.947500000000005)	(33, 48.424299999999995)	(34, 46.1621)	(35, 42.1053)	(36, 39.9422)	(37, 48.074600000000004)	(38, 42.0312)	(39, 39.6648)	(40, 39.6078)	(41, 39.7839)	(42, 48.219899999999996)	(43, 40.225300000000004)	(44, 48.4341)	(45, 48.2521)	(46, 39.8451)	(47, 39.5741)	(48, 40.0259)	(49, 48.701499999999996)	(50, 48.7183)	(51, 48.8013)	(52, 48.464600000000004)	(53, 39.9855)	(54, 48.1626)	(55, 39.9503)	(56, 40.000099999999996)	(57, 48.4023)	(58, 40.4774)	(59, 48.394)	(60, 48.446600000000004)	(61, 40.0852)	(62, 40.044200000000004)	(63, 48.032399999999996)	(64, 41.1701)	(65, 39.622)	(66, 40.0196)	(67, 40.0749)	(68, 40.2235)	(69, 40.5402)	(70, 40.64)	(71, 42.0172)	(72, 41.7983)	(73, 42.353)	(74, 42.726)	(75, 42.1047)	(76, 43.1363)
SRR13380430_1	(1, 46.103)	(2, 39.3225)	(3, 41.2734)	(4, 43.7202)	(5, 43.2047)	(6, 44.2442)	(7, 40.2708)	(8, 40.8394)	(9, 44.0736)	(10, 39.827)	(11, 43.6469)	(12, 43.620599999999996)	(13, 40.9792)	(14, 43.2451)	(15, 39.9592)	(16, 44.6682)	(17, 44.5983)	(18, 41.025600000000004)	(19, 43.6717)	(20, 41.1246)	(21, 43.4545)	(22, 41.238)	(23, 39.992)	(24, 43.6068)	(25, 41.3713)	(26, 43.712)	(27, 43.768299999999996)	(28, 40.7041)	(29, 43.9141)	(30, 40.7364)	(31, 43.9146)	(32, 40.4873)	(33, 43.852999999999994)	(34, 40.673700000000004)	(35, 43.8131)	(36, 40.457)	(37, 40.565)	(38, 43.7792)	(39, 40.5522)	(40, 40.3885)	(41, 40.4236)	(42, 43.8548)	(43, 40.708299999999994)	(44, 43.9209)	(45, 43.8861)	(46, 40.529399999999995)	(47, 40.3619)	(48, 40.548899999999996)	(49, 44.1853)	(50, 44.1307)	(51, 44.197399999999995)	(52, 44.0762)	(53, 40.5236)	(54, 43.912)	(55, 40.687400000000004)	(56, 40.5856)	(57, 44.1622)	(58, 40.9696)	(59, 44.095)	(60, 44.195299999999996)	(61, 40.746700000000004)	(62, 40.6854)	(63, 43.9633)	(64, 40.9136)	(65, 40.427400000000006)	(66, 40.5182)	(67, 40.6876)	(68, 40.6895)	(69, 40.7437)	(70, 41.0462)	(71, 41.252100000000006)	(72, 41.2616)	(73, 41.655300000000004)	(74, 41.6146)	(75, 41.759299999999996)	(76, 41.888)
SRR13380434_1	(1, 48.41)	(2, 38.8472)	(3, 40.738400000000006)	(4, 45.9694)	(5, 45.3952)	(6, 46.3146)	(7, 39.5258)	(8, 40.4025)	(9, 46.2211)	(10, 39.2492)	(11, 45.818599999999996)	(12, 45.7196)	(13, 40.5026)	(14, 45.322)	(15, 39.4775)	(16, 46.9053)	(17, 46.8101)	(18, 40.5773)	(19, 45.7233)	(20, 40.6624)	(21, 45.4979)	(22, 40.7255)	(23, 39.509699999999995)	(24, 45.7009)	(25, 40.9866)	(26, 45.8442)	(27, 45.818599999999996)	(28, 40.263)	(29, 45.9574)	(30, 40.31)	(31, 45.9146)	(32, 40.0828)	(33, 45.9173)	(34, 40.387299999999996)	(35, 45.9372)	(36, 43.534299999999995)	(37, 42.459)	(38, 40.2993)	(39, 45.7554)	(40, 40.0194)	(41, 39.9904)	(42, 45.9176)	(43, 40.333000000000006)	(44, 46.033)	(45, 45.9441)	(46, 40.023199999999996)	(47, 39.8774)	(48, 40.1511)	(49, 46.3887)	(50, 46.3104)	(51, 46.341300000000004)	(52, 46.1192)	(53, 40.104)	(54, 45.917)	(55, 40.171)	(56, 40.111599999999996)	(57, 46.1672)	(58, 40.575)	(59, 46.1429)	(60, 46.1902)	(61, 40.2159)	(62, 40.226099999999995)	(63, 45.8151)	(64, 40.6448)	(65, 39.8238)	(66, 39.9399)	(67, 40.2108)	(68, 40.17)	(69, 40.3802)	(70, 40.7018)	(71, 41.306799999999996)	(72, 41.2983)	(73, 41.7094)	(74, 41.9277)	(75, 41.868300000000005)	(76, 42.19)
SRR13380441_1	(1, 58.2361)	(2, 43.5428)	(3, 44.7626)	(4, 54.7138)	(5, 53.41630000000001)	(6, 53.570499999999996)	(7, 43.2347)	(8, 43.9586)	(9, 53.773199999999996)	(10, 43.6453)	(11, 54.2139)	(12, 53.919799999999995)	(13, 44.2339)	(14, 53.686)	(15, 43.1501)	(16, 54.8426)	(17, 54.3292)	(18, 43.9825)	(19, 54.2806)	(20, 43.9869)	(21, 53.58500000000001)	(22, 44.423)	(23, 43.275000000000006)	(24, 53.6883)	(25, 44.3151)	(26, 53.7124)	(27, 53.8104)	(28, 44.047599999999996)	(29, 54.063700000000004)	(30, 43.7463)	(31, 54.2666)	(32, 43.6959)	(33, 53.873000000000005)	(34, 44.101099999999995)	(35, 53.746)	(36, 43.7861)	(37, 54.354400000000005)	(38, 43.678)	(39, 53.7239)	(40, 44.026900000000005)	(41, 43.5827)	(42, 53.776)	(43, 44.1107)	(44, 53.968700000000005)	(45, 53.8663)	(46, 44.0079)	(47, 43.6066)	(48, 43.8958)	(49, 54.2138)	(50, 53.8096)	(51, 54.0603)	(52, 54.3034)	(53, 43.5043)	(54, 53.831300000000006)	(55, 43.8442)	(56, 43.5959)	(57, 53.9926)	(58, 44.2342)	(59, 53.8824)	(60, 53.9709)	(61, 44.1202)	(62, 43.8081)	(63, 53.904399999999995)	(64, 43.9907)	(65, 43.4423)	(66, 43.5505)	(67, 43.8553)	(68, 43.5955)	(69, 43.5323)	(70, 44.507200000000005)	(71, 44.455099999999995)	(72, 44.6268)	(73, 45.5541)	(74, 45.219300000000004)	(75, 45.5955)	(76, 45.8146)
SRR13380446_1	(1, 46.0183)	(2, 41.389199999999995)	(3, 45.2744)	(4, 45.496199999999995)	(5, 45.7224)	(6, 45.776)	(7, 45.1801)	(8, 43.917)	(9, 44.5323)	(10, 44.2262)	(11, 44.7812)	(12, 45.1246)	(13, 44.559)	(14, 44.7964)	(15, 44.644)	(16, 45.6517)	(17, 45.6289)	(18, 45.1155)	(19, 45.5198)	(20, 44.8814)	(21, 45.3799)	(22, 44.8264)	(23, 44.3617)	(24, 45.319500000000005)	(25, 44.6869)	(26, 44.9623)	(27, 45.0796)	(28, 44.6469)	(29, 44.9332)	(30, 44.6008)	(31, 44.9334)	(32, 44.2789)	(33, 45.1295)	(34, 44.2324)	(35, 45.0309)	(36, 44.4351)	(37, 44.3279)	(38, 45.0173)	(39, 44.1609)	(40, 44.549699999999994)	(41, 43.9766)	(42, 45.111000000000004)	(43, 44.115300000000005)	(44, 45.1491)	(45, 44.5791)	(46, 44.229400000000005)	(47, 43.9847)	(48, 44.4004)	(49, 44.8667)	(50, 44.8231)	(51, 44.7149)	(52, 45.0513)	(53, 43.804)	(54, 45.1864)	(55, 43.886399999999995)	(56, 44.195299999999996)	(57, 44.744299999999996)	(58, 44.4648)	(59, 44.690999999999995)	(60, 45.2702)	(61, 44.2633)	(62, 44.2494)	(63, 44.9473)	(64, 44.2921)	(65, 44.1102)	(66, 44.4701)	(67, 44.2434)	(68, 44.614599999999996)	(69, 44.464999999999996)	(70, 44.6262)	(71, 44.3659)	(72, 44.914100000000005)	(73, 44.9624)	(74, 44.6908)	(75, 44.6961)	(76, 45.061)
SRR13380448_1	(1, 45.618199999999995)	(2, 41.6273)	(3, 46.3694)	(4, 46.5112)	(5, 45.8305)	(6, 46.6369)	(7, 45.737899999999996)	(8, 45.3383)	(9, 45.638400000000004)	(10, 45.2202)	(11, 45.3235)	(12, 45.4441)	(13, 45.521499999999996)	(14, 45.4878)	(15, 45.462799999999994)	(16, 46.239000000000004)	(17, 46.1875)	(18, 46.2598)	(19, 46.1026)	(20, 46.0471)	(21, 46.353899999999996)	(22, 46.110600000000005)	(23, 45.4649)	(24, 46.1372)	(25, 46.2264)	(26, 46.1196)	(27, 46.108900000000006)	(28, 46.0005)	(29, 45.998)	(30, 46.0652)	(31, 46.1629)	(32, 45.6119)	(33, 46.4741)	(34, 46.218900000000005)	(35, 46.056999999999995)	(36, 46.3847)	(37, 46.2096)	(38, 46.399499999999996)	(39, 45.8219)	(40, 45.982)	(41, 45.7144)	(42, 46.4593)	(43, 46.0109)	(44, 46.2442)	(45, 46.5039)	(46, 46.0328)	(47, 45.8222)	(48, 45.9774)	(49, 46.339000000000006)	(50, 46.0454)	(51, 46.5535)	(52, 46.2948)	(53, 45.7926)	(54, 46.5493)	(55, 45.8444)	(56, 45.7864)	(57, 46.477000000000004)	(58, 46.1875)	(59, 46.5004)	(60, 46.7333)	(61, 45.9803)	(62, 45.9205)	(63, 46.626)	(64, 45.899699999999996)	(65, 45.6675)	(66, 46.2183)	(67, 45.9384)	(68, 46.0046)	(69, 46.1223)	(70, 45.9542)	(71, 45.837)	(72, 46.2003)	(73, 46.1791)	(74, 45.7959)	(75, 46.071400000000004)	(76, 46.0865)
SRR13380458_1	(1, 53.862)	(2, 37.127900000000004)	(3, 40.6997)	(4, 54.313500000000005)	(5, 53.4782)	(6, 54.1434)	(7, 40.155)	(8, 40.397800000000004)	(9, 53.3238)	(10, 39.699200000000005)	(11, 52.8309)	(12, 52.8957)	(13, 40.1875)	(14, 53.0454)	(15, 40.1004)	(16, 53.6288)	(17, 53.3663)	(18, 40.875699999999995)	(19, 53.287099999999995)	(20, 40.5413)	(21, 53.358799999999995)	(22, 40.4983)	(23, 39.9868)	(24, 53.1769)	(25, 40.7351)	(26, 53.3996)	(27, 53.38850000000001)	(28, 40.7958)	(29, 52.997099999999996)	(30, 40.6207)	(31, 53.4583)	(32, 40.1902)	(33, 53.3386)	(34, 40.2431)	(35, 53.6005)	(36, 53.668400000000005)	(37, 53.5088)	(38, 53.5237)	(39, 53.2868)	(40, 40.4645)	(41, 40.366600000000005)	(42, 53.4397)	(43, 40.3781)	(44, 53.5318)	(45, 53.595099999999995)	(46, 40.5171)	(47, 40.228)	(48, 40.7444)	(49, 53.4671)	(50, 53.465700000000005)	(51, 53.9354)	(52, 53.196299999999994)	(53, 40.531099999999995)	(54, 53.7312)	(55, 40.292899999999996)	(56, 40.12)	(57, 53.1563)	(58, 40.8113)	(59, 53.61359999999999)	(60, 53.7879)	(61, 40.558699999999995)	(62, 40.4125)	(63, 53.429700000000004)	(64, 40.704299999999996)	(65, 40.1727)	(66, 40.5195)	(67, 40.198699999999995)	(68, 40.7538)	(69, 40.8829)	(70, 41.6599)	(71, 42.511500000000005)	(72, 42.961)	(73, 43.567099999999996)	(74, 43.5896)	(75, 43.6699)	(76, 43.8076)
