Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
SRR13380421_1	(1, 0.0181961)	(2, 0.00333954)	(3, 0.00378068)	(4, 0.000313538)	(5, 6.926999999999999e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 3.64579e-06)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.000102093)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 3.64903e-06)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.000274041)	(42, 0.0)	(43, 0.000127976)	(44, 3.65816e-06)	(45, 0.000259838)	(46, 0.000172087)	(47, 0.000714385)	(48, 0.00142253)	(49, 0.00145287)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 2.57643e-05)	(54, 0.00208489)	(55, 0.0023374)	(56, 0.00350978)	(57, 0.000738981)	(58, 7.39802e-06)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.00020077899999999997)	(63, 0.00034620200000000004)	(64, 0.00172955)	(65, 0.00220214)	(66, 0.006268930000000001)	(67, 0.0017642399999999998)	(68, 0.00466395)	(69, 0.000364627)	(70, 0.00799332)	(71, 0.0005770650000000001)	(72, 0.00531684)	(73, 0.000343875)	(74, 0.0037599599999999997)	(75, 0.00135283)	(76, 0.00014737500000000002)
SRR13380425_1	(1, 0.017745900000000002)	(2, 0.00324186)	(3, 0.0034756099999999996)	(4, 0.000241415)	(5, 6.51438e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 7.66398e-06)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 2.29919e-05)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 9.58052e-05)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.00029549)	(42, 0.0)	(43, 0.000138223)	(44, 0.0)	(45, 0.000172894)	(46, 0.000157584)	(47, 0.000803655)	(48, 0.0014735999999999998)	(49, 0.00140513)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 1.54392e-05)	(54, 0.00218612)	(55, 0.00237331)	(56, 0.00360954)	(57, 0.000607989)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.000253121)	(63, 0.0002846)	(64, 0.0019087800000000001)	(65, 0.00227861)	(66, 0.0064503600000000005)	(67, 0.00172908)	(68, 0.00469264)	(69, 0.000385501)	(70, 0.00817546)	(71, 0.0006827889999999999)	(72, 0.00545296)	(73, 0.000347977)	(74, 0.0038672900000000002)	(75, 0.0015224)	(76, 0.00011467400000000001)
SRR13380426_1	(1, 0.018153700000000002)	(2, 0.00320263)	(3, 0.00341669)	(4, 0.00024699)	(5, 7.40969e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 4.11649e-06)	(18, 0.0)	(19, 0.0)	(20, 8.23299e-06)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 1.2349500000000001e-05)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 5.35181e-05)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 4.11935e-06)	(37, 4.12005e-06)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.000301043)	(42, 0.0)	(43, 0.00010316100000000001)	(44, 4.12806e-06)	(45, 0.000181705)	(46, 0.00022309699999999998)	(47, 0.000793642)	(48, 0.00146427)	(49, 0.00144037)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 3.32087e-05)	(54, 0.00233883)	(55, 0.00238234)	(56, 0.00344179)	(57, 0.000462457)	(58, 1.66827e-05)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.000280808)	(63, 0.000264356)	(64, 0.00185286)	(65, 0.00228441)	(66, 0.00633685)	(67, 0.0018489)	(68, 0.00490036)	(69, 0.000385438)	(70, 0.00797161)	(71, 0.000620477)	(72, 0.00542896)	(73, 0.00028954400000000003)	(74, 0.0037938799999999995)	(75, 0.00144772)	(76, 0.00015328800000000001)
SRR13380427_1	(1, 0.0182549)	(2, 0.0031859500000000003)	(3, 0.00348195)	(4, 0.000257057)	(5, 5.8422e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 3.8947999999999995e-06)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 5.84267e-05)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 3.89775e-06)	(37, 7.79687e-06)	(38, 3.89922e-06)	(39, 0.0)	(40, 0.0)	(41, 0.000277054)	(42, 0.0)	(43, 0.000121047)	(44, 1.17189e-05)	(45, 0.00018366999999999998)	(46, 0.00017593)	(47, 0.000723662)	(48, 0.00142105)	(49, 0.00121441)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 3.9298299999999996e-05)	(54, 0.00217877)	(55, 0.0022042200000000002)	(56, 0.00356196)	(57, 0.0005325670000000001)	(58, 7.89884e-06)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.00021836799999999998)	(63, 0.000302106)	(64, 0.00177123)	(65, 0.002212)	(66, 0.006271359999999999)	(67, 0.00171228)	(68, 0.00486469)	(69, 0.00038939400000000005)	(70, 0.007700009999999999)	(71, 0.000547794)	(72, 0.00541988)	(73, 0.000254246)	(74, 0.0039388)	(75, 0.00141248)	(76, 0.000137212)
SRR13380430_1	(1, 0.0186239)	(2, 0.0034951099999999996)	(3, 0.0037813)	(4, 0.00024684)	(5, 7.15478e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 3.57739e-06)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 7.15478e-06)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 6.79785e-05)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.00031202300000000003)	(42, 0.0)	(43, 0.000165117)	(44, 3.5913300000000002e-06)	(45, 0.000208405)	(46, 0.00016178700000000001)	(47, 0.000831049)	(48, 0.00154097)	(49, 0.00150615)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 3.25458e-05)	(54, 0.00226235)	(55, 0.0023734200000000002)	(56, 0.0035806499999999995)	(57, 0.000613865)	(58, 3.6370299999999996e-06)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.000259766)	(63, 0.00032979)	(64, 0.0018204999999999999)	(65, 0.0024229)	(66, 0.006177129999999999)	(67, 0.0018307500000000001)	(68, 0.004756529999999999)	(69, 0.00043742000000000005)	(70, 0.0078494)	(71, 0.000528697)	(72, 0.00516188)	(73, 0.000291126)	(74, 0.0037846299999999998)	(75, 0.0013660500000000002)	(76, 0.000130633)
SRR13380434_1	(1, 0.0180367)	(2, 0.00335306)	(3, 0.0036563699999999995)	(4, 0.000282538)	(5, 7.89443e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 4.1549700000000005e-06)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 8.30993e-06)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 8.72604e-05)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.000299695)	(42, 0.0)	(43, 0.000108294)	(44, 8.333859999999999e-06)	(45, 0.000183421)	(46, 0.00022103799999999998)	(47, 0.000776123)	(48, 0.00154499)	(49, 0.00138307)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 2.51494e-05)	(54, 0.0022904)	(55, 0.00224626)	(56, 0.0036650399999999996)	(57, 0.000631194)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.000317644)	(63, 0.000288373)	(64, 0.00186009)	(65, 0.00255603)	(66, 0.00654346)	(67, 0.0019893000000000003)	(68, 0.00517469)	(69, 0.000407076)	(70, 0.00808766)	(71, 0.000623669)	(72, 0.00548706)	(73, 0.000314655)	(74, 0.00388362)	(75, 0.00132759)	(76, 0.000146552)
SRR13380441_1	(1, 0.169858)	(2, 0.185643)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 3.42136e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.00118192)	(12, 0.000360798)	(13, 0.0)	(14, 0.0)	(15, 0.000587851)	(16, 0.0243663)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.00041056299999999997)	(25, 4.66549e-05)	(26, 0.0018382399999999999)	(27, 0.0016391900000000002)	(28, 5.90998e-05)	(29, 0.00112914)	(30, 9.33199e-06)	(31, 0.0)	(32, 0.0018852099999999998)	(33, 0.000945757)	(34, 0.00021467499999999997)	(35, 0.0)	(36, 0.000276935)	(37, 0.00163684)	(38, 0.0)	(39, 8.4035e-05)	(40, 0.0)	(41, 0.00122032)	(42, 0.0)	(43, 0.0059505800000000005)	(44, 0.0)	(45, 0.0016446299999999998)	(46, 6.2307e-06)	(47, 0.00262677)	(48, 3.1166600000000003e-06)	(49, 0.000137163)	(50, 9.665960000000001e-05)	(51, 0.0)	(52, 0.000346281)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.000175135)	(60, 1.56448e-05)	(61, 0.000125214)	(62, 3.75903e-05)	(63, 6.26815e-06)	(64, 0.0)	(65, 0.000385923)	(66, 0.00016012100000000002)	(67, 7.22782e-05)	(68, 7.233390000000001e-05)	(69, 0.00011961799999999999)	(70, 0.00031503)	(71, 0.00062745)	(72, 4.4191200000000005e-05)	(73, 1.89391e-05)	(74, 0.000744938)	(75, 0.00151513)	(76, 0.00464639)
SRR13380446_1	(1, 0.755217)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 5.64026e-05)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.00051163)	(33, 0.0)	(34, 0.00015954199999999998)	(35, 0.00015625399999999998)	(36, 0.0)	(37, 0.0)	(38, 0.00119552)	(39, 2.9984000000000003e-05)	(40, 0.00133719)	(41, 0.000180175)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 1.0044100000000001e-05)	(46, 0.0)	(47, 5.70377e-05)	(48, 3.3599000000000002e-06)	(49, 7.065319999999999e-05)	(50, 2.0216600000000002e-05)	(51, 0.000428604)	(52, 0.00083851)	(53, 3.38737e-05)	(54, 0.0)	(55, 0.0)	(56, 2.04576e-05)	(57, 3.0762299999999995e-05)	(58, 4.4552700000000005e-05)	(59, 1.0310499999999999e-05)	(60, 6.89487e-05)	(61, 0.00041156299999999994)	(62, 0.0)	(63, 0.000557248)	(64, 0.00141591)	(65, 0.00295899)	(66, 0.000500559)	(67, 0.00032578)	(68, 4.9813899999999994e-05)	(69, 1.7882000000000003e-05)	(70, 0.00127976)	(71, 0.000440932)	(72, 0.0)	(73, 0.0055071600000000005)	(74, 0.0009887440000000002)	(75, 0.0)	(76, 0.00013449799999999999)
SRR13380448_1	(1, 0.087816)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.00042133199999999996)	(14, 0.0)	(15, 0.0)	(16, 8.42663e-05)	(17, 0.0007267970000000001)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.000526664)	(22, 0.0)	(23, 1.05333e-05)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.000158081)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.00288908)	(39, 0.0)	(40, 0.0315761)	(41, 0.0403026)	(42, 0.029326500000000002)	(43, 0.00567616)	(44, 0.0115233)	(45, 0.00679684)	(46, 0.005235849999999999)	(47, 0.121126)	(48, 0.0028725699999999996)	(49, 0.000126759)	(50, 0.0)	(51, 0.0)	(52, 0.00040173499999999996)	(53, 0.0011103900000000002)	(54, 0.0028245)	(55, 0.00843409)	(56, 0.0111476)	(57, 0.0034844200000000002)	(58, 0.00756545)	(59, 0.005639740000000001)	(60, 2.12137e-05)	(61, 5.30641e-05)	(62, 0.000976989)	(63, 0.000138142)	(64, 0.00135049)	(65, 0.0019368299999999998)	(66, 1.06506e-05)	(67, 0.0007035969999999999)	(68, 0.00122723)	(69, 0.0105991)	(70, 0.000855696)	(71, 0.00072819)	(72, 0.0)	(73, 0.0)	(74, 6.43441e-05)	(75, 0.0)	(76, 0.000396789)
SRR13380458_1	(1, 0.0857765)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.000449697)	(14, 0.0)	(15, 0.0)	(16, 0.000192727)	(17, 0.000668121)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.000552485)	(22, 0.0)	(23, 5.1393899999999996e-05)	(24, 2.5697e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.00020564700000000002)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 1.28571e-05)	(38, 0.002906)	(39, 0.0)	(40, 0.0321907)	(41, 0.0405804)	(42, 0.0285838)	(43, 0.00593105)	(44, 0.011957599999999999)	(45, 0.00706749)	(46, 0.00549788)	(47, 0.119271)	(48, 0.0029372)	(49, 0.00019328099999999998)	(50, 0.0)	(51, 1.28922e-05)	(52, 0.000386881)	(53, 0.00101906)	(54, 0.00286457)	(55, 0.00844164)	(56, 0.0114537)	(57, 0.0035531799999999995)	(58, 0.00747197)	(59, 0.0059234000000000005)	(60, 1.2940999999999999e-05)	(61, 0.000129474)	(62, 0.00107567)	(63, 0.00027231)	(64, 0.00134942)	(65, 0.00203847)	(66, 1.2994299999999999e-05)	(67, 0.000728638)	(68, 0.0014586)	(69, 0.00937387)	(70, 0.0008482380000000001)	(71, 0.000731552)	(72, 0.0)	(73, 0.0)	(74, 7.84815e-05)	(75, 0.0)	(76, 0.000366247)
