Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
SRR13380421_1	(1, 0.0183425)	(2, 0.00321266)	(3, 0.00376679)	(4, 0.000290261)	(5, 6.92668e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 6.5968399999999995e-06)	(11, 0.0)	(12, 0.000211099)	(13, 0.0)	(14, 0.0)	(15, 0.000573925)	(16, 7.58636e-05)	(17, 0.00256287)	(18, 6.5968399999999995e-06)	(19, 0.000748741)	(20, 0.0012567)	(21, 3.9581e-05)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.00205491)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.000158324)	(30, 9.89525e-06)	(31, 0.0)	(32, 6.26699e-05)	(33, 4.28794e-05)	(34, 0.000831201)	(35, 0.0)	(36, 0.00402737)	(37, 0.0048189899999999996)	(38, 0.0045914)	(39, 0.0035754899999999997)	(40, 0.000765233)	(41, 0.0041758)	(42, 0.00235177)	(43, 0.00920588)	(44, 0.0074214400000000005)	(45, 0.005416000000000001)	(46, 0.013173899999999999)	(47, 0.010898)	(48, 0.016538300000000002)	(49, 0.0147109)	(50, 0.00232209)	(51, 6.5968399999999995e-06)	(52, 0.00130288)	(53, 2.6387300000000004e-05)	(54, 0.0020945)	(55, 0.0023748600000000003)	(56, 0.0035952799999999997)	(57, 0.000752039)	(58, 9.89525e-06)	(59, 0.000366124)	(60, 0.000296858)	(61, 0.0051917099999999996)	(62, 0.00652097)	(63, 0.00961159)	(64, 0.0205458)	(65, 0.024642499999999998)	(66, 0.0317902)	(67, 0.021875099999999998)	(68, 0.0254968)	(69, 0.013226700000000001)	(70, 0.028303699999999998)	(71, 0.0170627)	(72, 0.0244875)	(73, 0.0216541)	(74, 0.0264302)	(75, 0.019873)	(76, 0.0103438)
SRR13380425_1	(1, 0.0176451)	(2, 0.00321593)	(3, 0.0034567699999999996)	(4, 0.000244382)	(5, 6.021010000000001e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 3.5417699999999997e-06)	(11, 0.0)	(12, 0.000212506)	(13, 0.0)	(14, 0.0)	(15, 0.000598559)	(16, 6.72936e-05)	(17, 0.0025784099999999997)	(18, 1.41671e-05)	(19, 0.000864191)	(20, 0.00128212)	(21, 4.958480000000001e-05)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.00188068)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.00015938)	(30, 1.06253e-05)	(31, 0.0)	(32, 6.72936e-05)	(33, 4.958480000000001e-05)	(34, 0.0007685640000000001)	(35, 0.0)	(36, 0.003956159999999999)	(37, 0.00460784)	(38, 0.00471409)	(39, 0.00369052)	(40, 0.000754397)	(41, 0.0044909600000000004)	(42, 0.00241903)	(43, 0.00918381)	(44, 0.00762897)	(45, 0.00538349)	(46, 0.013313499999999999)	(47, 0.0112274)	(48, 0.016788)	(49, 0.0147338)	(50, 0.0023163199999999998)	(51, 3.5417699999999997e-06)	(52, 0.0013175399999999999)	(53, 1.77088e-05)	(54, 0.00215694)	(55, 0.0023729800000000002)	(56, 0.00359135)	(57, 0.0006127260000000001)	(58, 0.0)	(59, 0.000336468)	(60, 0.000343552)	(61, 0.00534807)	(62, 0.0068427)	(63, 0.009640689999999999)	(64, 0.020776)	(65, 0.0248243)	(66, 0.0321451)	(67, 0.0219944)	(68, 0.0259116)	(69, 0.0134375)	(70, 0.0285254)	(71, 0.0174078)	(72, 0.0248313)	(73, 0.0221856)	(74, 0.0269776)	(75, 0.0200854)	(76, 0.010674900000000001)
SRR13380426_1	(1, 0.0181965)	(2, 0.0030935900000000002)	(3, 0.0034134799999999996)	(4, 0.0002371)	(5, 7.90332e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 7.52697e-06)	(11, 0.0)	(12, 0.00021451899999999998)	(13, 0.0)	(14, 0.0)	(15, 0.0006397929999999999)	(16, 4.89253e-05)	(17, 0.0024839000000000003)	(18, 3.76349e-06)	(19, 0.0007978589999999999)	(20, 0.00123066)	(21, 7.90332e-05)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0020849700000000002)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.00010161399999999999)	(30, 3.76349e-06)	(31, 0.0)	(32, 3.7634899999999994e-05)	(33, 5.2688799999999996e-05)	(34, 0.000760224)	(35, 0.0)	(36, 0.00420381)	(37, 0.004700589999999999)	(38, 0.0047307)	(39, 0.00353015)	(40, 0.0010199)	(41, 0.0045274700000000005)	(42, 0.00258552)	(43, 0.009348500000000001)	(44, 0.00763988)	(45, 0.0054194199999999994)	(46, 0.0134131)	(47, 0.0113431)	(48, 0.016728700000000003)	(49, 0.0149185)	(50, 0.00228444)	(51, 7.52697e-06)	(52, 0.0013398)	(53, 3.0107900000000004e-05)	(54, 0.00233336)	(55, 0.00243874)	(56, 0.00348123)	(57, 0.000504307)	(58, 1.88174e-05)	(59, 0.000338714)	(60, 0.000342477)	(61, 0.00543071)	(62, 0.00653341)	(63, 0.00967969)	(64, 0.0208384)	(65, 0.0247111)	(66, 0.0321402)	(67, 0.0220879)	(68, 0.0258401)	(69, 0.0137217)	(70, 0.028316499999999998)	(71, 0.0173873)	(72, 0.0245605)	(73, 0.0218395)	(74, 0.026747099999999996)	(75, 0.0200933)	(76, 0.0105528)
SRR13380427_1	(1, 0.018461500000000002)	(2, 0.0030935600000000004)	(3, 0.00348928)	(4, 0.000237436)	(5, 6.88222e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 3.4411100000000002e-06)	(11, 0.0)	(12, 0.000237436)	(13, 0.0)	(14, 0.0)	(15, 0.0005712240000000001)	(16, 8.25866e-05)	(17, 0.00259115)	(18, 3.4411100000000002e-06)	(19, 0.000753603)	(20, 0.001373)	(21, 5.50577e-05)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.00205778)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.000127321)	(30, 0.0)	(31, 0.0)	(32, 5.8498799999999996e-05)	(33, 4.81755e-05)	(34, 0.000743279)	(35, 0.0)	(36, 0.00412589)	(37, 0.004907020000000001)	(38, 0.004628289999999999)	(39, 0.00354434)	(40, 0.000846513)	(41, 0.004318590000000001)	(42, 0.00240533)	(43, 0.0093254)	(44, 0.0075257)	(45, 0.00566062)	(46, 0.013379)	(47, 0.0109118)	(48, 0.0164141)	(49, 0.0143494)	(50, 0.0023743600000000003)	(51, 3.4411100000000002e-06)	(52, 0.00123536)	(53, 3.7852199999999996e-05)	(54, 0.00220575)	(55, 0.00225048)	(56, 0.0036028400000000004)	(57, 0.000554018)	(58, 6.8822200000000005e-06)	(59, 0.000364757)	(60, 0.000289053)	(61, 0.00535092)	(62, 0.0066069300000000004)	(63, 0.00973489)	(64, 0.0205296)	(65, 0.0243183)	(66, 0.031640999999999996)	(67, 0.0217719)	(68, 0.0257188)	(69, 0.013279200000000001)	(70, 0.0275977)	(71, 0.0171711)	(72, 0.024796600000000002)	(73, 0.021589499999999998)	(74, 0.026627299999999996)	(75, 0.0197623)	(76, 0.0104575)
SRR13380430_1	(1, 0.0185952)	(2, 0.0034312500000000003)	(3, 0.0037733700000000003)	(4, 0.000238142)	(5, 7.37904e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.00024485)	(13, 0.0)	(14, 0.0)	(15, 0.000590323)	(16, 5.36657e-05)	(17, 0.0026162100000000003)	(18, 2.68329e-05)	(19, 0.000858652)	(20, 0.00138525)	(21, 3.0186999999999997e-05)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0021097299999999998)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.00012074799999999999)	(30, 1.00623e-05)	(31, 0.0)	(32, 6.37281e-05)	(33, 6.37281e-05)	(34, 0.000768091)	(35, 0.0)	(36, 0.0041658)	(37, 0.0049070599999999995)	(38, 0.00487687)	(39, 0.0036928699999999996)	(40, 0.000761383)	(41, 0.0046051899999999995)	(42, 0.00233111)	(43, 0.009445170000000001)	(44, 0.00786539)	(45, 0.00556111)	(46, 0.0133594)	(47, 0.0113268)	(48, 0.0173173)	(49, 0.0150298)	(50, 0.00243173)	(51, 6.70822e-06)	(52, 0.00136177)	(53, 3.68952e-05)	(54, 0.00227073)	(55, 0.0023948299999999997)	(56, 0.0036291500000000003)	(57, 0.000647343)	(58, 3.35411e-06)	(59, 0.000365598)	(60, 0.00030187)	(61, 0.00535651)	(62, 0.0066478399999999995)	(63, 0.00984766)	(64, 0.0207083)	(65, 0.025236300000000003)	(66, 0.0322598)	(67, 0.022382)	(68, 0.0260514)	(69, 0.0136982)	(70, 0.0285032)	(71, 0.0175453)	(72, 0.024713099999999998)	(73, 0.0221774)	(74, 0.027097800000000002)	(75, 0.0203695)	(76, 0.0108304)
SRR13380434_1	(1, 0.0180902)	(2, 0.00323309)	(3, 0.0035772000000000004)	(4, 0.000264698)	(5, 7.940929999999999e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 7.56279e-06)	(11, 0.0)	(12, 0.000223102)	(13, 0.0)	(14, 0.0)	(15, 0.000601242)	(16, 5.67209e-05)	(17, 0.00257135)	(18, 1.13442e-05)	(19, 0.000741154)	(20, 0.00129702)	(21, 5.2939500000000004e-05)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.00209489)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0001626)	(30, 7.56279e-06)	(31, 0.0)	(32, 4.53767e-05)	(33, 7.562790000000001e-05)	(34, 0.000790312)	(35, 0.0)	(36, 0.00409525)	(37, 0.00493094)	(38, 0.00486666)	(39, 0.00372089)	(40, 0.000771405)	(41, 0.00438264)	(42, 0.0023974)	(43, 0.00925686)	(44, 0.0077632099999999996)	(45, 0.00553218)	(46, 0.0133408)	(47, 0.0113328)	(48, 0.0167138)	(49, 0.0147474)	(50, 0.00237094)	(51, 3.7814e-06)	(52, 0.0013272700000000002)	(53, 2.26884e-05)	(54, 0.00229153)	(55, 0.00225749)	(56, 0.00370577)	(57, 0.000646619)	(58, 0.0)	(59, 0.00037814)	(60, 0.000332763)	(61, 0.00539983)	(62, 0.0068292000000000005)	(63, 0.0100509)	(64, 0.020654000000000002)	(65, 0.025082)	(66, 0.032183500000000004)	(67, 0.0220039)	(68, 0.026171)	(69, 0.013458)	(70, 0.0285874)	(71, 0.017473799999999998)	(72, 0.024885400000000002)	(73, 0.0220039)	(74, 0.026859300000000003)	(75, 0.0203061)	(76, 0.0106068)
SRR13380441_1	(1, 0.168571)	(2, 0.18205000000000002)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 3.58545e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.00199406)	(12, 0.000358545)	(13, 0.0)	(14, 0.0)	(15, 0.0005709140000000001)	(16, 0.0251699)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.000391641)	(25, 0.000532301)	(26, 0.00308073)	(27, 0.00265599)	(28, 0.000270288)	(29, 0.00199958)	(30, 0.000347513)	(31, 2.75804e-06)	(32, 0.00254567)	(33, 0.00155829)	(34, 0.0012687)	(35, 0.0)	(36, 0.0013321300000000002)	(37, 0.00326)	(38, 3.3096500000000004e-05)	(39, 0.000245465)	(40, 0.0004936890000000001)	(41, 0.00168516)	(42, 0.000262014)	(43, 0.00810863)	(44, 0.0007639770000000001)	(45, 0.0033896300000000002)	(46, 0.000284078)	(47, 0.0035192599999999997)	(48, 0.00046610799999999996)	(49, 0.0007419120000000001)	(50, 0.000524027)	(51, 0.00071709)	(52, 0.000791557)	(53, 0.0)	(54, 0.0008191370000000001)	(55, 2.48223e-05)	(56, 0.000546092)	(57, 0.0)	(58, 0.00028132)	(59, 0.000540576)	(60, 6.06768e-05)	(61, 0.000259256)	(62, 6.34349e-05)	(63, 3.58545e-05)	(64, 8.27412e-05)	(65, 0.000557124)	(66, 0.00030338399999999997)	(67, 0.000391641)	(68, 0.000355787)	(69, 0.000592978)	(70, 0.000692268)	(71, 0.0010977)	(72, 0.000262014)	(73, 0.000333723)	(74, 0.00108391)	(75, 0.0019389)	(76, 0.0049424)
SRR13380446_1	(1, 0.7604)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 8.5206e-05)	(22, 0.0)	(23, 1.89347e-05)	(24, 0.0)	(25, 0.00020197)	(26, 2.20904e-05)	(27, 0.00028402)	(28, 0.0018366600000000002)	(29, 0.000646934)	(30, 0.000126231)	(31, 1.89347e-05)	(32, 0.002512)	(33, 0.0)	(34, 0.00232896)	(35, 0.000438653)	(36, 0.00133489)	(37, 0.00231318)	(38, 0.00702161)	(39, 0.00220273)	(40, 0.00633365)	(41, 0.00173883)	(42, 0.000858372)	(43, 0.00022721600000000003)	(44, 0.00030610999999999995)	(45, 0.000476522)	(46, 0.00035029099999999997)	(47, 0.00026193)	(48, 0.00014201)	(49, 0.00148006)	(50, 0.0018556)	(51, 0.0036196799999999997)	(52, 0.00613799)	(53, 0.00184929)	(54, 0.000422874)	(55, 0.00119604)	(56, 0.00229741)	(57, 0.002512)	(58, 0.00283073)	(59, 0.0009088640000000001)	(60, 0.00163154)	(61, 0.00307057)	(62, 0.00203863)	(63, 0.00320943)	(64, 0.004392839999999999)	(65, 0.00713206)	(66, 0.00428555)	(67, 0.0033893100000000004)	(68, 0.0014106300000000002)	(69, 0.00270135)	(70, 0.005730890000000001)	(71, 0.0052733)	(72, 6.94271e-05)	(73, 0.0132606)	(74, 0.00601491)	(75, 0.0007321399999999999)	(76, 0.00523544)
SRR13380448_1	(1, 0.102133)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.000410051)	(14, 0.0)	(15, 0.0)	(16, 8.201020000000001e-05)	(17, 0.0007073380000000001)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.000522815)	(22, 0.0)	(23, 1.02513e-05)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.00016402)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.00288061)	(39, 0.0)	(40, 0.0317277)	(41, 0.0404413)	(42, 0.0374274)	(43, 0.0204923)	(44, 0.031860900000000004)	(45, 0.024951599999999997)	(46, 0.021107400000000002)	(47, 0.145742)	(48, 0.0142595)	(49, 0.00494111)	(50, 0.00554594)	(51, 0.005761209999999999)	(52, 0.00182473)	(53, 0.00254231)	(54, 0.00529991)	(55, 0.011132900000000001)	(56, 0.0148541)	(57, 0.00548443)	(58, 0.0096567)	(59, 0.00742192)	(60, 0.000748343)	(61, 0.00147618)	(62, 0.00491036)	(63, 0.00132241)	(64, 0.00339317)	(65, 0.009021119999999999)	(66, 0.00785247)	(67, 0.010712600000000001)	(68, 0.00840604)	(69, 0.0232704)	(70, 0.00943117)	(71, 0.00895961)	(72, 0.00259357)	(73, 0.00168121)	(74, 0.0022552799999999997)	(75, 5.12563e-05)	(76, 0.000789348)
SRR13380458_1	(1, 0.0975612)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.000512161)	(14, 0.0)	(15, 0.0)	(16, 0.00018525)	(17, 0.000632028)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.000544852)	(22, 0.0)	(23, 4.3588200000000004e-05)	(24, 2.1794100000000002e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.000207044)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 1.0897000000000001e-05)	(38, 0.00282233)	(39, 0.0)	(40, 0.0319937)	(41, 0.0404934)	(42, 0.0347289)	(43, 0.0197781)	(44, 0.0304463)	(45, 0.0237664)	(46, 0.020105)	(47, 0.137412)	(48, 0.013545000000000001)	(49, 0.0051216099999999995)	(50, 0.00548121)	(51, 0.00557928)	(52, 0.00226658)	(53, 0.00281144)	(54, 0.00564467)	(55, 0.0104721)	(56, 0.0151469)	(57, 0.00576453)	(58, 0.00977464)	(59, 0.007954840000000001)	(60, 0.000762793)	(61, 0.00180891)	(62, 0.00559018)	(63, 0.00175442)	(64, 0.0036940999999999996)	(65, 0.00926248)	(66, 0.00790035)	(67, 0.010221399999999999)	(68, 0.00866315)	(69, 0.0215979)	(70, 0.00880481)	(71, 0.00876122)	(72, 0.00276785)	(73, 0.0014275099999999999)	(74, 0.00224479)	(75, 4.3588200000000004e-05)	(76, 0.0008390720000000001)
