Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
SRR13380421_1	(1, 31.2466)	(2, 31.4229)	(3, 31.5657)	(4, 35.306)	(5, 35.3825)	(6, 35.1108)	(7, 35.1208)	(8, 35.0044)	(9, 36.5805)	(10, 36.4972)	(11, 36.4429)	(12, 36.4567)	(13, 36.4073)	(14, 37.5609)	(15, 37.4644)	(16, 37.5097)	(17, 37.4221)	(18, 37.5701)	(19, 37.561)	(20, 37.5293)	(21, 37.4734)	(22, 37.4701)	(23, 37.2995)	(24, 37.3485)	(25, 37.3481)	(26, 37.2131)	(27, 37.1413)	(28, 37.0865)	(29, 36.9921)	(30, 37.0856)	(31, 36.9487)	(32, 36.8451)	(33, 36.7708)	(34, 36.6843)	(35, 36.6115)	(36, 36.5556)	(37, 36.4765)	(38, 36.4034)	(39, 36.3218)	(40, 36.2454)	(41, 36.3675)	(42, 36.476)	(43, 36.495)	(44, 36.3356)	(45, 36.3592)	(46, 36.6009)	(47, 36.5308)	(48, 36.5046)	(49, 36.4244)	(50, 36.3298)	(51, 36.2121)	(52, 36.0393)	(53, 36.0705)	(54, 35.8638)	(55, 35.7656)	(56, 35.6032)	(57, 35.3856)	(58, 35.3161)	(59, 35.2573)	(60, 35.0486)	(61, 34.9526)	(62, 34.7634)	(63, 34.6675)	(64, 34.6036)	(65, 34.442)	(66, 34.2225)	(67, 34.0335)	(68, 33.9185)	(69, 33.7808)	(70, 33.5988)	(71, 33.3957)	(72, 33.1766)	(73, 32.9363)	(74, 32.6684)	(75, 32.3984)	(76, 31.1442)
SRR13380425_1	(1, 31.276)	(2, 31.4495)	(3, 31.5902)	(4, 35.3253)	(5, 35.3994)	(6, 35.1265)	(7, 35.1378)	(8, 35.0185)	(9, 36.595)	(10, 36.5211)	(11, 36.4551)	(12, 36.4707)	(13, 36.4199)	(14, 37.5725)	(15, 37.4755)	(16, 37.5197)	(17, 37.4299)	(18, 37.5794)	(19, 37.5703)	(20, 37.5381)	(21, 37.4843)	(22, 37.4767)	(23, 37.3206)	(24, 37.3564)	(25, 37.3506)	(26, 37.2112)	(27, 37.1381)	(28, 37.085)	(29, 36.9836)	(30, 37.0749)	(31, 36.9392)	(32, 36.8368)	(33, 36.7607)	(34, 36.6703)	(35, 36.5945)	(36, 36.5398)	(37, 36.4619)	(38, 36.3987)	(39, 36.3154)	(40, 36.2345)	(41, 36.3486)	(42, 36.4623)	(43, 36.4778)	(44, 36.3192)	(45, 36.3445)	(46, 36.5815)	(47, 36.5092)	(48, 36.4769)	(49, 36.4024)	(50, 36.3083)	(51, 36.1906)	(52, 36.0208)	(53, 36.0606)	(54, 35.865)	(55, 35.7789)	(56, 35.6267)	(57, 35.4128)	(58, 35.347)	(59, 35.2943)	(60, 35.0907)	(61, 35.0023)	(62, 34.8204)	(63, 34.7315)	(64, 34.6705)	(65, 34.5126)	(66, 34.2956)	(67, 34.1078)	(68, 33.9967)	(69, 33.8561)	(70, 33.6772)	(71, 33.4753)	(72, 33.2589)	(73, 33.0211)	(74, 32.7542)	(75, 32.4827)	(76, 31.2247)
SRR13380426_1	(1, 31.2362)	(2, 31.4094)	(3, 31.5523)	(4, 35.2914)	(5, 35.3697)	(6, 35.0988)	(7, 35.1053)	(8, 34.987)	(9, 36.5539)	(10, 36.4829)	(11, 36.4227)	(12, 36.429)	(13, 36.3757)	(14, 37.5212)	(15, 37.4171)	(16, 37.4672)	(17, 37.3799)	(18, 37.5286)	(19, 37.5232)	(20, 37.4902)	(21, 37.4385)	(22, 37.4275)	(23, 37.2717)	(24, 37.3118)	(25, 37.3047)	(26, 37.166)	(27, 37.0926)	(28, 37.0338)	(29, 36.9412)	(30, 37.0306)	(31, 36.8912)	(32, 36.7887)	(33, 36.7116)	(34, 36.6265)	(35, 36.547)	(36, 36.4908)	(37, 36.4132)	(38, 36.3492)	(39, 36.2682)	(40, 36.1853)	(41, 36.3097)	(42, 36.4259)	(43, 36.4483)	(44, 36.2874)	(45, 36.3198)	(46, 36.5595)	(47, 36.4887)	(48, 36.4616)	(49, 36.3918)	(50, 36.2959)	(51, 36.1808)	(52, 36.0171)	(53, 36.0577)	(54, 35.8634)	(55, 35.7813)	(56, 35.6253)	(57, 35.4085)	(58, 35.3426)	(59, 35.2917)	(60, 35.0824)	(61, 34.9932)	(62, 34.8079)	(63, 34.7208)	(64, 34.654)	(65, 34.4923)	(66, 34.2703)	(67, 34.0786)	(68, 33.9667)	(69, 33.8281)	(70, 33.6475)	(71, 33.4451)	(72, 33.2246)	(73, 32.9827)	(74, 32.7111)	(75, 32.4372)	(76, 31.1821)
SRR13380427_1	(1, 31.2748)	(2, 31.4448)	(3, 31.5863)	(4, 35.3263)	(5, 35.401)	(6, 35.125)	(7, 35.1318)	(8, 35.0142)	(9, 36.5896)	(10, 36.5068)	(11, 36.444)	(12, 36.4669)	(13, 36.4146)	(14, 37.5718)	(15, 37.4695)	(16, 37.5161)	(17, 37.422)	(18, 37.5699)	(19, 37.5618)	(20, 37.5246)	(21, 37.4707)	(22, 37.463)	(23, 37.2938)	(24, 37.3412)	(25, 37.3356)	(26, 37.1975)	(27, 37.1222)	(28, 37.0651)	(29, 36.9671)	(30, 37.0575)	(31, 36.9195)	(32, 36.8157)	(33, 36.7417)	(34, 36.6518)	(35, 36.5694)	(36, 36.5073)	(37, 36.4301)	(38, 36.361)	(39, 36.2722)	(40, 36.1888)	(41, 36.3072)	(42, 36.4264)	(43, 36.4445)	(44, 36.279)	(45, 36.3039)	(46, 36.5425)	(47, 36.4704)	(48, 36.4358)	(49, 36.3591)	(50, 36.2611)	(51, 36.1315)	(52, 35.9536)	(53, 35.9807)	(54, 35.7703)	(55, 35.6722)	(56, 35.5072)	(57, 35.2812)	(58, 35.2053)	(59, 35.1466)	(60, 34.9339)	(61, 34.8364)	(62, 34.6399)	(63, 34.5418)	(64, 34.4678)	(65, 34.2986)	(66, 34.0752)	(67, 33.8854)	(68, 33.7684)	(69, 33.6257)	(70, 33.4413)	(71, 33.2338)	(72, 33.0109)	(73, 32.771)	(74, 32.4975)	(75, 32.2243)	(76, 30.9864)
SRR13380430_1	(1, 31.2534)	(2, 31.428)	(3, 31.571)	(4, 35.3077)	(5, 35.3816)	(6, 35.1073)	(7, 35.1212)	(8, 34.9994)	(9, 36.5735)	(10, 36.5048)	(11, 36.4261)	(12, 36.4466)	(13, 36.3962)	(14, 37.5461)	(15, 37.4507)	(16, 37.4953)	(17, 37.4075)	(18, 37.5614)	(19, 37.5585)	(20, 37.5292)	(21, 37.4777)	(22, 37.4736)	(23, 37.3265)	(24, 37.3596)	(25, 37.352)	(26, 37.2149)	(27, 37.1431)	(28, 37.091)	(29, 36.9931)	(30, 37.0848)	(31, 36.9515)	(32, 36.8504)	(33, 36.7766)	(34, 36.6946)	(35, 36.6183)	(36, 36.5607)	(37, 36.4887)	(38, 36.4318)	(39, 36.3521)	(40, 36.2758)	(41, 36.3946)	(42, 36.5051)	(43, 36.5274)	(44, 36.3737)	(45, 36.4011)	(46, 36.6408)	(47, 36.5736)	(48, 36.5476)	(49, 36.473)	(50, 36.3868)	(51, 36.2792)	(52, 36.1188)	(53, 36.1671)	(54, 35.9796)	(55, 35.9026)	(56, 35.7579)	(57, 35.5499)	(58, 35.4892)	(59, 35.4345)	(60, 35.2326)	(61, 35.1466)	(62, 34.967)	(63, 34.881)	(64, 34.8211)	(65, 34.6663)	(66, 34.4492)	(67, 34.2589)	(68, 34.147)	(69, 34.0078)	(70, 33.827)	(71, 33.6251)	(72, 33.4073)	(73, 33.1681)	(74, 32.9016)	(75, 32.6307)	(76, 31.3683)
SRR13380434_1	(1, 31.2609)	(2, 31.433)	(3, 31.5753)	(4, 35.3151)	(5, 35.3895)	(6, 35.1154)	(7, 35.1255)	(8, 35.006)	(9, 36.5771)	(10, 36.5041)	(11, 36.4339)	(12, 36.454)	(13, 36.4029)	(14, 37.5537)	(15, 37.4554)	(16, 37.4999)	(17, 37.4117)	(18, 37.5606)	(19, 37.5531)	(20, 37.5197)	(21, 37.4671)	(22, 37.4577)	(23, 37.3023)	(24, 37.3413)	(25, 37.3348)	(26, 37.1948)	(27, 37.1216)	(28, 37.0674)	(29, 36.9715)	(30, 37.0602)	(31, 36.9252)	(32, 36.8205)	(33, 36.7435)	(34, 36.6563)	(35, 36.5785)	(36, 36.5169)	(37, 36.437)	(38, 36.3758)	(39, 36.2929)	(40, 36.211)	(41, 36.3283)	(42, 36.4418)	(43, 36.4615)	(44, 36.3018)	(45, 36.3311)	(46, 36.5656)	(47, 36.4914)	(48, 36.463)	(49, 36.3893)	(50, 36.2958)	(51, 36.1783)	(52, 36.0086)	(53, 36.0481)	(54, 35.8508)	(55, 35.7635)	(56, 35.6095)	(57, 35.3936)	(58, 35.3268)	(59, 35.2758)	(60, 35.0697)	(61, 34.9806)	(62, 34.7986)	(63, 34.7107)	(64, 34.6469)	(65, 34.4863)	(66, 34.2682)	(67, 34.0821)	(68, 33.9703)	(69, 33.8296)	(70, 33.6505)	(71, 33.4482)	(72, 33.2307)	(73, 32.9921)	(74, 32.7237)	(75, 32.4502)	(76, 31.1928)
SRR13380441_1	(1, 32.6231)	(2, 32.7418)	(3, 32.8377)	(4, 36.2176)	(5, 36.2564)	(6, 36.1628)	(7, 36.1449)	(8, 36.1201)	(9, 37.9201)	(10, 37.898)	(11, 37.9187)	(12, 37.9012)	(13, 37.8458)	(14, 39.3506)	(15, 39.2781)	(16, 39.2372)	(17, 39.2878)	(18, 39.3314)	(19, 39.3103)	(20, 39.2942)	(21, 39.262)	(22, 39.2215)	(23, 39.1371)	(24, 39.1516)	(25, 39.1401)	(26, 39.0758)	(27, 39.026)	(28, 38.9658)	(29, 38.9604)	(30, 38.9606)	(31, 38.8812)	(32, 38.7609)	(33, 38.7486)	(34, 38.777)	(35, 38.8392)	(36, 38.8672)	(37, 38.8711)	(38, 38.8484)	(39, 38.795)	(40, 38.7399)	(41, 38.7334)	(42, 38.6729)	(43, 38.6292)	(44, 38.5475)	(45, 38.5302)	(46, 38.5219)	(47, 38.3759)	(48, 38.327)	(49, 38.2778)	(50, 38.0716)	(51, 37.9743)	(52, 37.9057)	(53, 37.8304)	(54, 37.6588)	(55, 37.5715)	(56, 37.4487)	(57, 37.2679)	(58, 37.1378)	(59, 37.0128)	(60, 36.7986)	(61, 36.6898)	(62, 36.4528)	(63, 36.2977)	(64, 36.1196)	(65, 35.9214)	(66, 35.7306)	(67, 35.5468)	(68, 35.38)	(69, 35.1661)	(70, 35.0546)	(71, 34.901)	(72, 34.7151)	(73, 34.554)	(74, 34.3629)	(75, 34.1703)	(76, 33.2615)
SRR13380446_1	(1, 30.9175)	(2, 31.2331)	(3, 31.5699)	(4, 35.2509)	(5, 35.2074)	(6, 35.1068)	(7, 35.1843)	(8, 35.0026)	(9, 36.63)	(10, 36.5914)	(11, 36.5501)	(12, 36.5466)	(13, 36.584)	(14, 37.5699)	(15, 37.619)	(16, 37.5709)	(17, 37.541)	(18, 37.5725)	(19, 37.671)	(20, 37.5316)	(21, 37.5451)	(22, 37.5069)	(23, 37.5143)	(24, 37.3504)	(25, 37.3907)	(26, 37.228)	(27, 37.2108)	(28, 36.9444)	(29, 37.0773)	(30, 37.101)	(31, 37.0137)	(32, 36.8832)	(33, 36.8903)	(34, 36.7779)	(35, 36.7277)	(36, 36.6619)	(37, 36.6765)	(38, 36.6554)	(39, 36.5847)	(40, 36.4587)	(41, 36.4109)	(42, 36.3661)	(43, 36.6049)	(44, 36.7138)	(45, 36.6848)	(46, 36.7909)	(47, 36.7809)	(48, 36.729)	(49, 36.689)	(50, 36.637)	(51, 36.5272)	(52, 36.3617)	(53, 36.4307)	(54, 36.3115)	(55, 36.2477)	(56, 36.1339)	(57, 36.012)	(58, 35.9)	(59, 35.7518)	(60, 35.5986)	(61, 35.5011)	(62, 35.3596)	(63, 35.2251)	(64, 35.1258)	(65, 34.9694)	(66, 34.7789)	(67, 34.592)	(68, 34.4117)	(69, 34.2099)	(70, 34.0527)	(71, 33.8271)	(72, 33.52)	(73, 33.2664)	(74, 33.0099)	(75, 32.6351)	(76, 29.8826)
SRR13380448_1	(1, 31.9434)	(2, 32.2494)	(3, 32.3219)	(4, 35.8424)	(5, 35.8768)	(6, 35.789)	(7, 35.7554)	(8, 35.7035)	(9, 37.3754)	(10, 37.345)	(11, 37.3496)	(12, 37.3157)	(13, 37.3)	(14, 38.5668)	(15, 38.5672)	(16, 38.5434)	(17, 38.5347)	(18, 38.5434)	(19, 38.5629)	(20, 38.5155)	(21, 38.447)	(22, 38.4202)	(23, 38.3601)	(24, 38.3386)	(25, 38.3364)	(26, 38.244)	(27, 38.2134)	(28, 38.1551)	(29, 38.1069)	(30, 38.1164)	(31, 38.0575)	(32, 38.0071)	(33, 37.9677)	(34, 37.9144)	(35, 37.9797)	(36, 37.9184)	(37, 37.9298)	(38, 37.965)	(39, 37.9509)	(40, 37.8966)	(41, 37.8604)	(42, 37.7591)	(43, 37.6587)	(44, 37.5763)	(45, 37.6112)	(46, 37.6471)	(47, 37.517)	(48, 37.5008)	(49, 37.4603)	(50, 37.3888)	(51, 37.3153)	(52, 37.1752)	(53, 37.1149)	(54, 36.9698)	(55, 36.879)	(56, 36.7697)	(57, 36.6248)	(58, 36.5312)	(59, 36.4234)	(60, 36.2247)	(61, 36.102)	(62, 35.9013)	(63, 35.7346)	(64, 35.5215)	(65, 35.341)	(66, 35.1653)	(67, 35.0341)	(68, 34.868)	(69, 34.6586)	(70, 34.5113)	(71, 34.3159)	(72, 34.1277)	(73, 33.9076)	(74, 33.6374)	(75, 33.4071)	(76, 32.0825)
SRR13380458_1	(1, 31.875)	(2, 32.1804)	(3, 32.2528)	(4, 35.7954)	(5, 35.8225)	(6, 35.728)	(7, 35.6962)	(8, 35.6466)	(9, 37.2981)	(10, 37.268)	(11, 37.2814)	(12, 37.2481)	(13, 37.2284)	(14, 38.4818)	(15, 38.4749)	(16, 38.4527)	(17, 38.4463)	(18, 38.4627)	(19, 38.4855)	(20, 38.4276)	(21, 38.3681)	(22, 38.3383)	(23, 38.276)	(24, 38.2643)	(25, 38.2667)	(26, 38.1649)	(27, 38.1387)	(28, 38.0737)	(29, 38.0068)	(30, 38.0314)	(31, 37.9786)	(32, 37.9092)	(33, 37.8736)	(34, 37.8264)	(35, 37.8931)	(36, 37.8284)	(37, 37.8521)	(38, 37.8832)	(39, 37.8675)	(40, 37.8177)	(41, 37.7855)	(42, 37.6914)	(43, 37.5877)	(44, 37.506)	(45, 37.5367)	(46, 37.5806)	(47, 37.4664)	(48, 37.4544)	(49, 37.4127)	(50, 37.3514)	(51, 37.2759)	(52, 37.1205)	(53, 37.0769)	(54, 36.9403)	(55, 36.8448)	(56, 36.7417)	(57, 36.6062)	(58, 36.5113)	(59, 36.3947)	(60, 36.2053)	(61, 36.073)	(62, 35.8581)	(63, 35.6797)	(64, 35.458)	(65, 35.2536)	(66, 35.0598)	(67, 34.9316)	(68, 34.7523)	(69, 34.5317)	(70, 34.3815)	(71, 34.1717)	(72, 33.9731)	(73, 33.7531)	(74, 33.4708)	(75, 33.2286)	(76, 31.9065)
