Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
SRR13380421_1	(1, 31.1653)	(2, 31.3628)	(3, 31.5037)	(4, 35.2501)	(5, 35.3067)	(6, 34.9938)	(7, 35.0243)	(8, 34.9365)	(9, 36.4333)	(10, 36.3656)	(11, 36.2778)	(12, 36.3258)	(13, 36.3184)	(14, 37.4824)	(15, 37.3768)	(16, 37.4356)	(17, 37.2743)	(18, 37.3591)	(19, 37.3996)	(20, 37.38)	(21, 37.2861)	(22, 37.2577)	(23, 37.1044)	(24, 37.1828)	(25, 37.1324)	(26, 37.0168)	(27, 36.9457)	(28, 36.7555)	(29, 36.6251)	(30, 36.5639)	(31, 36.517)	(32, 36.4024)	(33, 36.3661)	(34, 36.0499)	(35, 35.8316)	(36, 35.7709)	(37, 35.6566)	(38, 35.5586)	(39, 35.3707)	(40, 35.3935)	(41, 35.5567)	(42, 35.7317)	(43, 35.7566)	(44, 35.6314)	(45, 35.537)	(46, 35.6804)	(47, 35.635)	(48, 35.6233)	(49, 35.4972)	(50, 35.4501)	(51, 35.3658)	(52, 35.1046)	(53, 34.9407)	(54, 34.8374)	(55, 34.7369)	(56, 34.6218)	(57, 34.3958)	(58, 34.2548)	(59, 33.9573)	(60, 33.8548)	(61, 33.7332)	(62, 33.5719)	(63, 33.1105)	(64, 32.6854)	(65, 32.67)	(66, 32.4457)	(67, 32.225)	(68, 31.8164)	(69, 31.2188)	(70, 30.7098)	(71, 30.4168)	(72, 30.1888)	(73, 29.9603)	(74, 29.7174)	(75, 29.4723)	(76, 28.3382)
SRR13380425_1	(1, 31.197)	(2, 31.3844)	(3, 31.5248)	(4, 35.2654)	(5, 35.3326)	(6, 35.0322)	(7, 35.0424)	(8, 34.9431)	(9, 36.4717)	(10, 36.3875)	(11, 36.3063)	(12, 36.3256)	(13, 36.3195)	(14, 37.4599)	(15, 37.37)	(16, 37.4269)	(17, 37.2807)	(18, 37.3727)	(19, 37.4108)	(20, 37.3825)	(21, 37.2962)	(22, 37.2733)	(23, 37.148)	(24, 37.1906)	(25, 37.1448)	(26, 37.0029)	(27, 36.9196)	(28, 36.7851)	(29, 36.6388)	(30, 36.623)	(31, 36.5484)	(32, 36.4275)	(33, 36.3923)	(34, 36.1661)	(35, 35.9869)	(36, 35.837)	(37, 35.7631)	(38, 35.6906)	(39, 35.6026)	(40, 35.5683)	(41, 35.7443)	(42, 35.8468)	(43, 35.8486)	(44, 35.6945)	(45, 35.5931)	(46, 35.7602)	(47, 35.7057)	(48, 35.6902)	(49, 35.5639)	(50, 35.509)	(51, 35.4152)	(52, 35.1678)	(53, 35.058)	(54, 34.9375)	(55, 34.8481)	(56, 34.7334)	(57, 34.498)	(58, 34.3564)	(59, 34.1042)	(60, 34.0173)	(61, 33.9228)	(62, 33.7774)	(63, 33.3751)	(64, 33.0498)	(65, 33.0502)	(66, 32.8592)	(67, 32.6662)	(68, 32.338)	(69, 31.8508)	(70, 31.3739)	(71, 31.0996)	(72, 30.8751)	(73, 30.6474)	(74, 30.3998)	(75, 30.1478)	(76, 28.9847)
SRR13380426_1	(1, 31.1491)	(2, 31.3431)	(3, 31.4845)	(4, 35.2301)	(5, 35.2919)	(6, 34.979)	(7, 35.006)	(8, 34.916)	(9, 36.4072)	(10, 36.3438)	(11, 36.2483)	(12, 36.289)	(13, 36.2865)	(14, 37.4392)	(15, 37.3548)	(16, 37.3976)	(17, 37.2372)	(18, 37.2715)	(19, 37.3544)	(20, 37.343)	(21, 37.2396)	(22, 37.2783)	(23, 37.1486)	(24, 37.1622)	(25, 37.1016)	(26, 36.9311)	(27, 36.8707)	(28, 36.7639)	(29, 36.5759)	(30, 36.5771)	(31, 36.4692)	(32, 36.338)	(33, 36.3169)	(34, 35.9843)	(35, 35.8323)	(36, 35.7701)	(37, 35.6569)	(38, 35.5897)	(39, 35.3866)	(40, 35.4217)	(41, 35.5801)	(42, 35.7216)	(43, 35.712)	(44, 35.5963)	(45, 35.4721)	(46, 35.6057)	(47, 35.5775)	(48, 35.5694)	(49, 35.4351)	(50, 35.3975)	(51, 35.3322)	(52, 35.0434)	(53, 34.875)	(54, 34.802)	(55, 34.6997)	(56, 34.5811)	(57, 34.3239)	(58, 34.1737)	(59, 33.8812)	(60, 33.8193)	(61, 33.7118)	(62, 33.5872)	(63, 33.086)	(64, 32.7404)	(65, 32.7787)	(66, 32.5938)	(67, 32.393)	(68, 32.0071)	(69, 31.5068)	(70, 31.0394)	(71, 30.7473)	(72, 30.5157)	(73, 30.2861)	(74, 30.0363)	(75, 29.7839)	(76, 28.6369)
SRR13380427_1	(1, 31.1988)	(2, 31.3963)	(3, 31.5337)	(4, 35.2807)	(5, 35.3401)	(6, 35.0249)	(7, 35.0364)	(8, 34.9542)	(9, 36.4629)	(10, 36.3634)	(11, 36.2671)	(12, 36.3053)	(13, 36.3321)	(14, 37.4739)	(15, 37.3932)	(16, 37.4299)	(17, 37.2536)	(18, 37.2996)	(19, 37.3881)	(20, 37.38)	(21, 37.2657)	(22, 37.2545)	(23, 37.1482)	(24, 37.2161)	(25, 37.1522)	(26, 37.0334)	(27, 36.9574)	(28, 36.7537)	(29, 36.5965)	(30, 36.5105)	(31, 36.5101)	(32, 36.3779)	(33, 36.4057)	(34, 36.1577)	(35, 35.9207)	(36, 35.8587)	(37, 35.5549)	(38, 35.5006)	(39, 35.4603)	(40, 35.5378)	(41, 35.7051)	(42, 35.8364)	(43, 35.8379)	(44, 35.7082)	(45, 35.5154)	(46, 35.6587)	(47, 35.6321)	(48, 35.6324)	(49, 35.4678)	(50, 35.4489)	(51, 35.3763)	(52, 35.0556)	(53, 34.8302)	(54, 34.7692)	(55, 34.6679)	(56, 34.5735)	(57, 34.3151)	(58, 34.1457)	(59, 33.7313)	(60, 33.7326)	(61, 33.6289)	(62, 33.5032)	(63, 32.8153)	(64, 32.1602)	(65, 32.275)	(66, 32.0506)	(67, 31.8546)	(68, 31.3811)	(69, 30.6795)	(70, 30.0128)	(71, 29.6736)	(72, 29.4397)	(73, 29.2154)	(74, 28.9795)	(75, 28.7411)	(76, 27.6453)
SRR13380430_1	(1, 31.1738)	(2, 31.3615)	(3, 31.5041)	(4, 35.2447)	(5, 35.3134)	(6, 35.0142)	(7, 35.0278)	(8, 34.9215)	(9, 36.4521)	(10, 36.3811)	(11, 36.2855)	(12, 36.3182)	(13, 36.3014)	(14, 37.4415)	(15, 37.3598)	(16, 37.3908)	(17, 37.2609)	(18, 37.3749)	(19, 37.4066)	(20, 37.3729)	(21, 37.3023)	(22, 37.2907)	(23, 37.1613)	(24, 37.1935)	(25, 37.1531)	(26, 37.0064)	(27, 36.9173)	(28, 36.8055)	(29, 36.6755)	(30, 36.6596)	(31, 36.5735)	(32, 36.4521)	(33, 36.3976)	(34, 36.1947)	(35, 36.0764)	(36, 36.0013)	(37, 35.8921)	(38, 35.7458)	(39, 35.6712)	(40, 35.654)	(41, 35.7974)	(42, 35.8994)	(43, 35.9009)	(44, 35.7472)	(45, 35.675)	(46, 35.8536)	(47, 35.797)	(48, 35.7767)	(49, 35.6639)	(50, 35.6041)	(51, 35.5069)	(52, 35.2923)	(53, 35.2286)	(54, 35.0939)	(55, 35.0127)	(56, 34.8937)	(57, 34.6742)	(58, 34.5672)	(59, 34.3675)	(60, 34.2503)	(61, 34.1593)	(62, 34.0094)	(63, 33.6984)	(64, 33.4798)	(65, 33.4312)	(66, 33.2554)	(67, 33.0599)	(68, 32.7433)	(69, 32.3141)	(70, 31.9082)	(71, 31.6518)	(72, 31.43)	(73, 31.1973)	(74, 30.944)	(75, 30.6868)	(76, 29.5032)
SRR13380434_1	(1, 31.1746)	(2, 31.3678)	(3, 31.5086)	(4, 35.2548)	(5, 35.3159)	(6, 35.0015)	(7, 35.0239)	(8, 34.9305)	(9, 36.4265)	(10, 36.3573)	(11, 36.2607)	(12, 36.3076)	(13, 36.3117)	(14, 37.4576)	(15, 37.3695)	(16, 37.4106)	(17, 37.2422)	(18, 37.3097)	(19, 37.3784)	(20, 37.3631)	(21, 37.2689)	(22, 37.2518)	(23, 37.1324)	(24, 37.184)	(25, 37.1274)	(26, 36.999)	(27, 36.9166)	(28, 36.7706)	(29, 36.6288)	(30, 36.6319)	(31, 36.5552)	(32, 36.4324)	(33, 36.3696)	(34, 36.0754)	(35, 35.9031)	(36, 35.817)	(37, 35.6818)	(38, 35.4951)	(39, 35.4073)	(40, 35.464)	(41, 35.6447)	(42, 35.7959)	(43, 35.8001)	(44, 35.6676)	(45, 35.5601)	(46, 35.7022)	(47, 35.6594)	(48, 35.6516)	(49, 35.5261)	(50, 35.4824)	(51, 35.3896)	(52, 35.132)	(53, 34.9827)	(54, 34.8863)	(55, 34.7933)	(56, 34.6882)	(57, 34.4548)	(58, 34.3136)	(59, 34.0208)	(60, 33.9633)	(61, 33.8632)	(62, 33.7319)	(63, 33.2258)	(64, 32.8694)	(65, 32.9064)	(66, 32.7263)	(67, 32.5287)	(68, 32.0745)	(69, 31.4711)	(70, 30.936)	(71, 30.6378)	(72, 30.4098)	(73, 30.1802)	(74, 29.9357)	(75, 29.6857)	(76, 28.5411)
SRR13380441_1	(1, 32.5783)	(2, 32.6799)	(3, 32.7822)	(4, 36.1775)	(5, 36.2256)	(6, 36.1094)	(7, 36.0622)	(8, 36.0599)	(9, 37.8382)	(10, 37.7727)	(11, 37.8141)	(12, 37.7792)	(13, 37.7665)	(14, 39.2488)	(15, 39.18)	(16, 39.1825)	(17, 39.1962)	(18, 39.1703)	(19, 39.203)	(20, 39.2081)	(21, 39.1437)	(22, 38.9992)	(23, 38.9953)	(24, 39.0618)	(25, 39.0124)	(26, 38.9841)	(27, 38.9296)	(28, 38.766)	(29, 38.7628)	(30, 38.6639)	(31, 38.6761)	(32, 38.5211)	(33, 38.5788)	(34, 38.4468)	(35, 38.4515)	(36, 38.2644)	(37, 38.3662)	(38, 38.3618)	(39, 38.3113)	(40, 38.4308)	(41, 38.4957)	(42, 38.461)	(43, 38.4166)	(44, 38.3668)	(45, 38.2945)	(46, 38.1852)	(47, 38.081)	(48, 38.0733)	(49, 38.0094)	(50, 37.8366)	(51, 37.7619)	(52, 37.6539)	(53, 37.4415)	(54, 37.3618)	(55, 37.3129)	(56, 37.2112)	(57, 37.092)	(58, 36.9577)	(59, 36.7497)	(60, 36.6103)	(61, 36.497)	(62, 36.2858)	(63, 36.0046)	(64, 35.6028)	(65, 35.3748)	(66, 35.2214)	(67, 35.0107)	(68, 34.5536)	(69, 33.8412)	(70, 31.7876)	(71, 31.357)	(72, 31.1367)	(73, 30.9765)	(74, 30.7933)	(75, 30.6195)	(76, 29.8169)
SRR13380446_1	(1, 30.803)	(2, 31.0977)	(3, 31.4273)	(4, 35.1337)	(5, 35.0852)	(6, 34.9879)	(7, 35.0473)	(8, 34.8777)	(9, 36.4687)	(10, 36.4329)	(11, 36.3719)	(12, 36.377)	(13, 36.3926)	(14, 37.3656)	(15, 37.3678)	(16, 37.317)	(17, 37.2406)	(18, 37.2353)	(19, 37.2675)	(20, 37.1105)	(21, 37.0788)	(22, 37.0244)	(23, 36.9833)	(24, 36.8136)	(25, 36.7899)	(26, 36.5971)	(27, 36.5374)	(28, 36.2306)	(29, 36.3279)	(30, 36.3066)	(31, 36.21)	(32, 36.0532)	(33, 36.0325)	(34, 35.8973)	(35, 35.8146)	(36, 35.7272)	(37, 35.7062)	(38, 35.6578)	(39, 35.5705)	(40, 35.4313)	(41, 35.3644)	(42, 35.3085)	(43, 35.5347)	(44, 35.6284)	(45, 35.5742)	(46, 35.6403)	(47, 35.6267)	(48, 35.5667)	(49, 35.5092)	(50, 35.4594)	(51, 35.3407)	(52, 35.1629)	(53, 35.1828)	(54, 35.082)	(55, 35.0157)	(56, 34.9015)	(57, 34.7723)	(58, 34.6614)	(59, 34.5051)	(60, 34.3556)	(61, 34.2457)	(62, 34.1052)	(63, 33.9546)	(64, 33.818)	(65, 33.6636)	(66, 33.481)	(67, 33.2883)	(68, 33.071)	(69, 32.81)	(70, 32.5846)	(71, 32.3529)	(72, 32.0473)	(73, 31.7897)	(74, 31.5377)	(75, 31.1639)	(76, 28.5352)
SRR13380448_1	(1, 31.8787)	(2, 32.1818)	(3, 32.2544)	(4, 35.7833)	(5, 35.8179)	(6, 35.7209)	(7, 35.6799)	(8, 35.6306)	(9, 37.2808)	(10, 37.2482)	(11, 37.2497)	(12, 37.2155)	(13, 37.1994)	(14, 38.4527)	(15, 38.4439)	(16, 38.414)	(17, 38.3995)	(18, 38.3865)	(19, 38.3974)	(20, 38.3444)	(21, 38.2636)	(22, 38.2331)	(23, 38.1617)	(24, 38.1278)	(25, 38.1099)	(26, 37.9934)	(27, 37.9404)	(28, 37.8678)	(29, 37.8061)	(30, 37.7895)	(31, 37.7262)	(32, 37.6649)	(33, 37.6074)	(34, 37.5273)	(35, 37.5781)	(36, 37.5088)	(37, 37.5015)	(38, 37.5179)	(39, 37.482)	(40, 37.4216)	(41, 37.3767)	(42, 37.26)	(43, 37.1389)	(44, 37.0409)	(45, 37.0527)	(46, 37.0571)	(47, 36.917)	(48, 36.8915)	(49, 36.8441)	(50, 36.7708)	(51, 36.6974)	(52, 36.5433)	(53, 36.4635)	(54, 36.3234)	(55, 36.2196)	(56, 36.1126)	(57, 35.9706)	(58, 35.8717)	(59, 35.7567)	(60, 35.5607)	(61, 35.4315)	(62, 35.219)	(63, 35.0386)	(64, 34.7966)	(65, 34.625)	(66, 34.4514)	(67, 34.3157)	(68, 34.1296)	(69, 33.9001)	(70, 33.7252)	(71, 33.526)	(72, 33.3343)	(73, 33.1013)	(74, 32.8398)	(75, 32.6121)	(76, 31.3195)
SRR13380458_1	(1, 31.7339)	(2, 32.0213)	(3, 32.1047)	(4, 35.6928)	(5, 35.7129)	(6, 35.5726)	(7, 35.5124)	(8, 35.5363)	(9, 37.0379)	(10, 37.1078)	(11, 37.0014)	(12, 37.0125)	(13, 37.0972)	(14, 38.3372)	(15, 38.3298)	(16, 38.2807)	(17, 38.1885)	(18, 38.1271)	(19, 38.2511)	(20, 38.2122)	(21, 38.1005)	(22, 38.1022)	(23, 38.0981)	(24, 38.089)	(25, 38.0165)	(26, 37.982)	(27, 37.9797)	(28, 37.8074)	(29, 37.6835)	(30, 37.3863)	(31, 37.5585)	(32, 37.6065)	(33, 37.6048)	(34, 37.5555)	(35, 37.4457)	(36, 37.2615)	(37, 36.9798)	(38, 36.9441)	(39, 37.1438)	(40, 36.8627)	(41, 36.9697)	(42, 37.0988)	(43, 37.0262)	(44, 37.0318)	(45, 36.9382)	(46, 36.6516)	(47, 36.6211)	(48, 36.7201)	(49, 36.6471)	(50, 36.6695)	(51, 36.6534)	(52, 36.3895)	(53, 35.8616)	(54, 35.8836)	(55, 35.8493)	(56, 35.8098)	(57, 35.7599)	(58, 35.5957)	(59, 35.1157)	(60, 35.0641)	(61, 34.8926)	(62, 34.6847)	(63, 34.1101)	(64, 33.2532)	(65, 33.0824)	(66, 32.9762)	(67, 32.7735)	(68, 32.0107)	(69, 31.0864)	(70, 29.8847)	(71, 29.4677)	(72, 29.2498)	(73, 29.0413)	(74, 28.8007)	(75, 28.594)	(76, 27.4715)
