Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
SRR13380421_1	27428914.0	805508.0	5710.0	nan	4468.0	0.0
SRR13380425_1	26096110.0	697357.0	5529.0	nan	3250.0	0.0
SRR13380426_1	24292524.0	649359.0	5151.0	nan	2226.0	0.0
SRR13380427_1	25675252.0	720133.0	5291.0	nan	3619.0	0.0
SRR13380430_1	27953348.0	727890.0	6009.0	nan	2953.0	0.0
SRR13380434_1	24067591.0	672720.0	5031.0	nan	2363.0	0.0
SRR13380441_1	32150983.0	280739.0	854.0	nan	44130.0	0.0
SRR13380446_1	30187869.0	1010766.0	1326.0	nan	248761.0	0.0
SRR13380448_1	9493712.0	168080.0	2142.0	nan	40661.0	0.0
SRR13380458_1	7783020.0	115128.0	1707.0	nan	52452.0	0.0
SRR13380466_1	8709199.0	120087.0	2015.0	nan	27838.0	0.0
SRR13380471_1	5744438.0	79680.0	1362.0	nan	17951.0	0.0
