Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR13380421_1 - polya	(1, 0.10740490855744417)	(2, 0.14496746025015791)	(3, 0.18063055649961204)	(4, 0.21423742843045115)	(5, 0.242481346509016)	(6, 0.2725226379724695)	(7, 0.30064624505366855)	(8, 0.32810267296765744)	(9, 0.35201174935325547)	(10, 0.3735328347305329)	(11, 0.3911456355873222)	(12, 0.40861989650775093)	(13, 0.4274722652161876)	(14, 0.4438382066457316)	(15, 0.4589208307700407)	(16, 0.47425501425247824)	(17, 0.49222145652576693)	(18, 0.5136331682690755)	(19, 0.5383552553338422)	(20, 0.5688704992111608)	(21, 0.6031810081871998)	(22, 0.6416404236784584)	(23, 0.680296711710861)	(24, 0.7204696474676322)	(25, 0.7636977533999341)	(26, 0.8081180319424969)	(27, 0.853198198076672)	(28, 0.8994997031234996)	(29, 0.9467636961492533)	(30, 0.9944433089840888)	(31, 1.0432604076122007)	(32, 1.0949175749357047)	(33, 1.1450325740202474)	(34, 1.1954647566432999)	(35, 1.2462031854414652)	(36, 1.300419695799841)	(37, 1.3520148847307625)	(38, 1.402556440987784)	(39, 1.4539693405287573)	(40, 1.5083462655502875)	(41, 1.56152008059816)	(42, 1.6176178174608007)	(43, 1.672862439978484)	(44, 1.7327918998178347)	(45, 1.7943692557423163)	(46, 1.8525633205893606)	(47, 1.9147057736226816)	(48, 1.9748138770641812)	(49, 2.034254801338471)	(50, 2.0957483041435765)	(51, 2.156436087845111)	(52, 2.221710272597741)	(53, 2.2838527256310623)	(54, 2.347883696744246)	(55, 2.4151703563619034)	(56, 2.482340350769994)	(57, 2.5512639691093857)	(58, 2.621146429639905)	(59, 2.692279395385468)	(60, 2.7638498556669067)	(61, 2.8345562642399913)	(62, 2.9040449796882224)	(63, 2.9749883644682398)	(64, 3.0452973821712375)	(65, 3.118114701879921)
SRR13380425_1 - polya	(1, 0.10457114106278675)	(2, 0.14879229126486668)	(3, 0.19361889568981738)	(4, 0.23743385508414855)	(5, 0.27445853040932155)	(6, 0.3130351611791949)	(7, 0.34600559240438516)	(8, 0.3806774266356173)	(9, 0.410589930836435)	(10, 0.4367969019137335)	(11, 0.4570681224136471)	(12, 0.47712091955467695)	(13, 0.49976030910354075)	(14, 0.520150321254777)	(15, 0.5374095985953462)	(16, 0.5546267240596395)	(17, 0.5742733303929206)	(18, 0.5978745491186235)	(19, 0.6211117289128533)	(20, 0.648924303277385)	(21, 0.6797143329024901)	(22, 0.7126349482738998)	(23, 0.7468162879448316)	(24, 0.7816490657036623)	(25, 0.8184284937486852)	(26, 0.8566717414971043)	(27, 0.8962331933763308)	(28, 0.9367411464773868)	(29, 0.9783718722828805)	(30, 1.0191902164728766)	(31, 1.061315268827423)	(32, 1.106256832914944)	(33, 1.1491904348962354)	(34, 1.192399940067696)	(35, 1.2381538857707144)	(36, 1.2837277280023727)	(37, 1.3303821910621927)	(38, 1.373059049797077)	(39, 1.4178205104132378)	(40, 1.4695063747048889)	(41, 1.5150763849477948)	(42, 1.562504909735589)	(43, 1.6089754373352962)	(44, 1.6646197460081216)	(45, 1.7191681058977755)	(46, 1.7711720252558714)	(47, 1.8265787506260511)	(48, 1.8785750060066424)	(49, 1.9292070733913982)	(50, 1.9818777587924024)	(51, 2.0346940597659957)	(52, 2.088847724814158)	(53, 2.1458064056290382)	(54, 2.203945338979641)	(55, 2.263636227774944)	(56, 2.327442672490268)	(57, 2.3890878755492677)	(58, 2.4523808337717767)	(59, 2.5156776239830383)	(60, 2.5774147947720945)	(61, 2.6391481335723985)	(62, 2.7015175825055917)	(63, 2.7662896883865065)	(64, 2.830349044359485)	(65, 2.8976617587832054)
SRR13380426_1 - polya	(1, 0.07981056229480313)	(2, 0.11725829724404101)	(3, 0.1529482897701367)	(4, 0.18837482675740075)	(5, 0.21810825421022534)	(6, 0.2495047447519245)	(7, 0.277077013487771)	(8, 0.30361192603946796)	(9, 0.3276193120154991)	(10, 0.3492473651564572)	(11, 0.3675287096556949)	(12, 0.3848756102906392)	(13, 0.40386910804328113)	(14, 0.42097725209615927)	(15, 0.4364141000745744)	(16, 0.4518550645457837)	(17, 0.46997174933325164)	(18, 0.49177681166436227)	(19, 0.5151173258077258)	(20, 0.5427966233562227)	(21, 0.5749299661080916)	(22, 0.6085905276866249)	(23, 0.6439182688468271)	(24, 0.681197227591501)	(25, 0.7201104339754898)	(26, 0.7597440265984712)	(27, 0.8003820434632481)	(28, 0.8428477831286696)	(29, 0.8847330973101025)	(30, 0.926795420681688)	(31, 0.9693434902029942)	(32, 1.014332639951287)	(33, 1.0586672673452953)	(34, 1.1031089235519538)	(35, 1.1488596244671818)	(36, 1.1972037158427835)	(37, 1.2436459875474446)	(38, 1.289013854632808)	(39, 1.3354396603662921)	(40, 1.3844506235745615)	(41, 1.431745009287631)	(42, 1.4803484397092703)	(43, 1.5282932312838304)	(44, 1.5809596400933883)	(45, 1.6340088827328112)	(46, 1.6856461683438082)	(47, 1.7409265500777111)	(48, 1.794449189388472)	(49, 1.8469715209502315)	(50, 1.8997326090940572)	(51, 1.9531770350417272)	(52, 2.008432717818865)	(53, 2.063569022304969)	(54, 2.11948746042198)	(55, 2.177838745780389)	(56, 2.2361488662108555)	(57, 2.295064111082076)	(58, 2.3560746507855668)	(59, 2.417348646027889)	(60, 2.4798205406733365)	(61, 2.541909601488919)	(62, 2.603455285255661)	(63, 2.667582010004395)	(64, 2.7305355343067688)	(65, 2.796131846983047)
SRR13380427_1 - polya	(1, 0.09357649147903202)	(2, 0.13261797780991594)	(3, 0.1709817687475862)	(4, 0.20947019332079)	(5, 0.2423462094938737)	(6, 0.2764997204311763)	(7, 0.305870415604879)	(8, 0.3351515303530419)	(9, 0.3605066855818981)	(10, 0.3827966323368511)	(11, 0.40173705013683997)	(12, 0.42021788140579885)	(13, 0.4400657878645164)	(14, 0.4575651292536486)	(15, 0.47344423338084474)	(16, 0.4900711393212421)	(17, 0.5082442813024776)	(18, 0.530281065985253)	(19, 0.5527501735912855)	(20, 0.5803798926686289)	(21, 0.610922922976569)	(22, 0.644188419260695)	(23, 0.6788949919556778)	(24, 0.7144934741049475)	(25, 0.7517121935161533)	(26, 0.790605677404841)	(27, 0.8304339135600305)	(28, 0.8712475343961571)	(29, 0.9112237729935426)	(30, 0.9519672874096815)	(31, 0.9931041767379732)	(32, 1.0378281778889649)	(33, 1.0811812090490873)	(34, 1.1245303454080997)	(35, 1.1693205581779684)	(36, 1.2155090045464791)	(37, 1.2607665934495988)	(38, 1.303866462537544)	(39, 1.3475271829853899)	(40, 1.396071984025707)	(41, 1.4420033735209299)	(42, 1.4882346627016552)	(43, 1.5342322638157553)	(44, 1.586675760767606)	(45, 1.6391971537416654)	(46, 1.6882015413130123)	(47, 1.741922533029082)	(48, 1.7944166623953681)	(49, 1.8440325337410515)	(50, 1.8950076906742725)	(51, 1.9452545197998445)	(52, 1.99645168039636)	(53, 2.0503440433612883)	(54, 2.104657044846142)	(55, 2.1610966077372873)	(56, 2.2213842341255305)	(57, 2.2792648734275325)	(58, 2.338220477836011)	(59, 2.3991507464074746)	(60, 2.458795730612498)	(61, 2.5178058622365227)	(62, 2.5766095694016946)	(63, 2.6393392360861734)	(64, 2.7006667743709)	(65, 2.765191944367284)
SRR13380430_1 - polya	(1, 0.07788691358187219)	(2, 0.11097060717020373)	(3, 0.14411153898273651)	(4, 0.1762937305398981)	(5, 0.20410793011270062)	(6, 0.23281289954963535)	(7, 0.25893499411948795)	(8, 0.28553645881702616)	(9, 0.3085068736667966)	(10, 0.32877635981206976)	(11, 0.34575822545478274)	(12, 0.36266496592823155)	(13, 0.3803730415404981)	(14, 0.3961385949189342)	(15, 0.4108452411496469)	(16, 0.42559123865949794)	(17, 0.4430131231507582)	(18, 0.4643915998899309)	(19, 0.4875480389683554)	(20, 0.5166429438076613)	(21, 0.5489074153121122)	(22, 0.5843951143168968)	(23, 0.6209882265265685)	(24, 0.6585794302707497)	(25, 0.6984100795368053)	(26, 0.7402333344828677)	(27, 0.7841028559441252)	(28, 0.8287272064870369)	(29, 0.8730582111309171)	(30, 0.9186269923731497)	(31, 0.964249434450571)	(32, 1.0114817015836528)	(33, 1.057547739898634)	(34, 1.1041074578973509)	(35, 1.1519478811625712)	(36, 1.2008543663535403)	(37, 1.2493995352542386)	(38, 1.2972614228535344)	(39, 1.3454273885188994)	(40, 1.3981115965071518)	(41, 1.447576154384083)	(42, 1.4991155978883102)	(43, 1.5506192675024115)	(44, 1.6067485011097775)	(45, 1.66349662301632)	(46, 1.7167496358575725)	(47, 1.7735156447091776)	(48, 1.8292549429141727)	(49, 1.8836706071845133)	(50, 1.9386014154726654)	(51, 1.9947127621349685)	(52, 2.0525698746354104)	(53, 2.110004855232368)	(54, 2.1673182046028976)	(55, 2.2259086818509184)	(56, 2.2856260366379013)	(57, 2.344474085894827)	(58, 2.406198355917867)	(59, 2.467761643435341)	(60, 2.5294215204561543)	(61, 2.589890126935779)	(62, 2.6499079823998186)	(63, 2.710920352009355)	(64, 2.7709060109722814)	(65, 2.8331704667362207)
SRR13380434_1 - polya	(1, 0.11285716131705911)	(2, 0.15159390069409107)	(3, 0.19147741043131405)	(4, 0.23089556408034356)	(5, 0.264259933617785)	(6, 0.30004249282780315)	(7, 0.33016598960818305)	(8, 0.360663433245147)	(9, 0.3874297182464169)	(10, 0.41051470419287084)	(11, 0.42897521401290223)	(12, 0.44748558341381156)	(13, 0.4678282924119826)	(14, 0.48625971747650193)	(15, 0.5016663279677638)	(16, 0.5178125222420474)	(17, 0.5361359182146647)	(18, 0.5591419598247286)	(19, 0.5827296965450344)	(20, 0.6112244470167372)	(21, 0.6421664719165288)	(22, 0.6759463379612858)	(23, 0.7105156473699424)	(24, 0.7461984874182048)	(25, 0.7844906455324091)	(26, 0.823119355817539)	(27, 0.8634599117128091)	(28, 0.9056909767163652)	(29, 0.9474691505269472)	(30, 0.9890520409790909)	(31, 1.0331486853004939)	(32, 1.0786372429214042)	(33, 1.121582961917543)	(34, 1.165654676448507)	(35, 1.2112346433010266)	(36, 1.2581275791166635)	(37, 1.3042019868128887)	(38, 1.347421933503856)	(39, 1.3919922438435985)	(40, 1.4435013458555117)	(41, 1.4893264556473476)	(42, 1.537436796229419)	(43, 1.5854183328942228)	(44, 1.6400478136760759)	(45, 1.6941288390682723)	(46, 1.744532720370726)	(47, 1.7984724769504352)	(48, 1.8493583342013749)	(49, 1.898843968222661)	(50, 1.9496716559625764)	(51, 2.0006406125149794)	(52, 2.053321414677522)	(53, 2.1053374224283603)	(54, 2.159850564188165)	(55, 2.215572800784258)	(56, 2.2719722966872755)	(57, 2.327495094959857)	(58, 2.38321733155595)	(59, 2.442242765385202)	(60, 2.500574320047237)	(61, 2.5561760626562084)	(62, 2.6127002075114207)	(63, 2.6725233946347187)	(64, 2.730655510973242)	(65, 2.791849836570681)
SRR13380441_1 - polya	(1, 0.02743928544890836)	(2, 0.040583518084034945)	(3, 0.053681095847053883)	(4, 0.06591089298887066)	(5, 0.07699920092645379)	(6, 0.08901749598138259)	(7, 0.09918203745123438)	(8, 0.10911952521016231)	(9, 0.11805859870598669)	(10, 0.126272966521739)	(11, 0.13317477726886298)	(12, 0.14029742107729645)	(13, 0.14795504075256424)	(14, 0.15434364790650412)	(15, 0.1601723965951523)	(16, 0.16649257660333433)	(17, 0.17362455138618935)	(18, 0.1818606914755919)	(19, 0.190936619262932)	(20, 0.20171389471979753)	(21, 0.21377884464683397)	(22, 0.22706926254789783)	(23, 0.240947531837518)	(24, 0.25550696225990976)	(25, 0.27068534731892957)	(26, 0.2867097407255013)	(27, 0.3032224551267997)	(28, 0.32155781986510334)	(29, 0.33951994562654586)	(30, 0.3579050755617643)	(31, 0.37670076837153005)	(32, 0.39725379469735034)	(33, 0.4179094617418074)	(34, 0.4386024526839506)	(35, 0.4600294802805874)	(36, 0.48239893629379854)	(37, 0.5042365267649825)	(38, 0.5253245289576371)	(39, 0.5485835378657007)	(40, 0.5723028748452264)	(41, 0.5962150519627969)	(42, 0.6204227099370492)	(43, 0.6453395219673377)	(44, 0.673183149641179)	(45, 0.7008525991258183)	(46, 0.7290508038276777)	(47, 0.7603748849607491)	(48, 0.7907627583268605)	(49, 0.8206903036215099)	(50, 0.8508355716526614)	(51, 0.8822311902562979)	(52, 0.9147029812432174)	(53, 0.9480581044753749)	(54, 0.9819606448735954)	(55, 1.0173063759823455)	(56, 1.053924229937231)	(57, 1.0893010642940528)	(58, 1.1249329452850634)	(59, 1.169376376454804)	(60, 1.2085291451275377)	(61, 1.2455855548802348)	(62, 1.2841691341132555)	(63, 1.3268832246902063)	(64, 1.3673827640044474)	(65, 1.4106691543459184)
SRR13380446_1 - illumina_universal_adapter	(1, 3.643847798597509e-05)	(2, 4.9688833617238765e-05)	(3, 5.6314011432870604e-05)	(4, 6.625177815631835e-05)	(5, 7.287695597195019e-05)	(6, 7.950213378758203e-05)	(7, 9.937766723447753e-05)	(8, 0.0001523790897595322)	(9, 0.003289400785461206)	(10, 0.003421904341773843)	(11, 0.004968883361723877)	(12, 0.005157700929469384)	(13, 0.005893095667004518)	(14, 0.006138227246182896)	(15, 0.007085627673818248)	(16, 0.0074698879871248946)	(17, 0.009132807618848484)	(18, 0.00938787696475031)	(19, 0.01156424787718537)	(20, 0.011703376611313637)	(21, 0.012948910040652422)	(22, 0.013035037352255635)	(23, 0.01595342818004146)	(24, 0.016062743613999383)	(25, 0.016645759261774987)	(26, 0.016768325051364174)	(27, 0.018543872705953507)	(28, 0.01880225464076315)	(29, 0.01930245556584335)	(30, 0.019716529179320343)	(31, 0.02121713195456095)	(32, 0.021806772780152188)	(33, 0.022800549452496963)	(34, 0.02376120023576358)	(35, 0.025669251446665545)	(36, 0.027024100309962256)	(37, 0.028746646542026535)	(38, 0.030614946686034712)	(39, 0.03321532897867021)	(40, 0.03573952172642594)	(41, 0.0386247866651336)	(42, 0.04165249292687735)	(43, 0.04545203240414221)	(44, 0.049208508225605456)	(45, 0.053455247205425466)	(46, 0.05774504984104708)	(47, 0.06241248761215971)	(48, 0.0671130512723505)	(49, 0.07181361493254128)	(50, 0.07653736671508678)	(51, 0.08156587667715134)	(52, 0.08628300328188121)	(53, 0.09163614695691173)	(54, 0.09654540371829493)	(55, 0.10181904525953786)	(56, 0.1067382397876445)	(57, 0.11126323623572104)	(58, 0.1155397885157114)	(59, 0.11871324868939905)	(60, 0.12095587137999042)	(61, 0.12349662707228523)	(62, 0.1251330459927463)	(63, 0.12576906306304694)	(64, 0.12576906306304694)	(65, 0.12576906306304694)
SRR13380446_1 - polya	(1, 0.018514059405783163)	(2, 0.026189327905192645)	(3, 0.032171863472708194)	(4, 0.03891960707792922)	(5, 0.04513402386899188)	(6, 0.05176251427353153)	(7, 0.05825518853285073)	(8, 0.06441329131248053)	(9, 0.0698625000658377)	(10, 0.07532164658591833)	(11, 0.07987645633416522)	(12, 0.08451408080510751)	(13, 0.08915170527604979)	(14, 0.09345144567839485)	(15, 0.0978108126810806)	(16, 0.10256769035270426)	(17, 0.10814609007346626)	(18, 0.11492033438994982)	(19, 0.12442083937756587)	(20, 0.13643891193512203)	(21, 0.1501927810803737)	(22, 0.16631515129471378)	(23, 0.18324910579146875)	(24, 0.2006567605020414)	(25, 0.2189886275178947)	(26, 0.2381817676497801)	(27, 0.25816661653063355)	(28, 0.27981438504321055)	(29, 0.30203854402574754)	(30, 0.3240639476738156)	(31, 0.34736138546248496)	(32, 0.3707880142185591)	(33, 0.39325067960245885)	(34, 0.4158657240761181)	(35, 0.43967330055659115)	(36, 0.4636862575493487)	(37, 0.48653649583546293)	(38, 0.5092707935098035)	(39, 0.5330651196346453)	(40, 0.5572304557171625)	(41, 0.5822305642044492)	(42, 0.60884721607875)	(43, 0.6340560176672292)	(44, 0.65941388575656)	(45, 0.6855899633061214)	(46, 0.7114546574983481)	(47, 0.7375181070250437)	(48, 0.7631906710606171)	(49, 0.7894495633328739)	(50, 0.8159105235285075)	(51, 0.8432857582626981)	(52, 0.871757459925376)	(53, 0.8993943891832842)	(54, 0.9277269621118337)	(55, 0.9545655574429583)	(56, 0.9818778529879005)	(57, 1.0085276307512796)	(58, 1.0347368341899192)	(59, 1.0622313221247912)	(60, 1.089858313615976)	(61, 1.1161437065994952)	(62, 1.141756644034728)	(63, 1.168210979052546)	(64, 1.1938305416655943)	(65, 1.2203014396279512)
SRR13380448_1 - polya	(1, 0.006994103044204417)	(2, 0.01345100841483289)	(3, 0.01947604898905718)	(4, 0.026712417650756628)	(5, 0.03387505329843585)	(6, 0.04122728812502423)	(7, 0.04821085788151147)	(8, 0.05427803160660446)	(9, 0.05997654026159631)	(10, 0.06562238247800228)	(11, 0.07034129537529683)	(12, 0.0757343386864906)	(13, 0.0802109859662901)	(14, 0.08500363187760489)	(15, 0.08946974586968721)	(16, 0.09407279260209284)	(17, 0.0992551701589431)	(18, 0.10583847498217767)	(19, 0.11407550597700879)	(20, 0.12402946286973947)	(21, 0.13534221387798576)	(22, 0.1479189594122931)	(23, 0.16104343590789355)	(24, 0.1740836461017566)	(25, 0.18833518438309482)	(26, 0.20321871992746357)	(27, 0.2191766508189842)	(28, 0.23544004705430288)	(29, 0.2526093060332987)	(30, 0.26939936665447617)	(31, 0.2885910168751696)	(32, 0.307540401478368)	(33, 0.32536272429582863)	(34, 0.34368011163599654)	(35, 0.36262949623919494)	(36, 0.3832431403017071)	(37, 0.4023399909329459)	(38, 0.4217317736202657)	(39, 0.4418819530232221)	(40, 0.46362265887147197)	(41, 0.48507896595135813)	(42, 0.5084312648203358)	(43, 0.5302246371071716)	(44, 0.5546091981724325)	(45, 0.5774558992309857)	(46, 0.6003868665912764)	(47, 0.6250979595757697)	(48, 0.6492086551603841)	(49, 0.6735616163624935)	(50, 0.6980936434557947)	(51, 0.7249219272714403)	(52, 0.7519292769782778)	(53, 0.7800952883340047)	(54, 0.8077978350301758)	(55, 0.8350790502176598)	(56, 0.863561060204902)	(57, 0.8899364126487089)	(58, 0.9171333615344557)	(59, 0.9481222939983854)	(60, 0.9782790967326584)	(61, 1.006013243291981)	(62, 1.0342108545108595)	(63, 1.0642833909433949)	(64, 1.0915962059940305)	(65, 1.1204890142022426)
