Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR13380421_1	0.9256837510956504	0.10277111226496238
SRR13380425_1	0.7140374561572587	0.10025632172764443
SRR13380426_1	0.6758252044950125	0.0
SRR13380427_1	0.8591230185394091	0.0
SRR13380430_1	0.6323535914195323	0.0
SRR13380434_1	0.7458120756664013	0.108373954003124
SRR13380441_1	0.42378486530256326	0.0
SRR13380446_1	0.14541271528639535	0.0
SRR13380448_1	0.3880147196375875	0.0
SRR13380458_1	0.3495429794604151	0.22478420972835733
SRR13380466_1	0.21584074494106747	0.0
SRR13380471_1	0.2181414439497824	0.0
