Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR13380421_1	(1, 0.01819612690462335)	(2, 0.003339541623849927)	(3, 0.0037806819475244263)	(4, 0.000313537750710801)	(5, 6.926996818029325e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 1.8228938994814012e-06)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 5.1045428608410465e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 1.8247012434901045e-06)	(38, 0.0)	(40, 0.00013699944831235494)	(42, 6.397647537475089e-05)	(44, 0.00013172135423236537)	(46, 0.0004431585846108127)	(48, 0.001437694448632626)	(50, 0.0)	(52, 1.287755188466835e-05)	(54, 0.0022110906908696585)	(56, 0.002125185540606858)	(58, 3.7010234773313976e-06)	(60, 0.0)	(62, 0.0002734470319891731)	(64, 0.001965683676252197)	(66, 0.004018855316624712)	(68, 0.002516252975586506)	(70, 0.004288420873613511)	(72, 0.002830359012713338)	(74, 0.0025563923526042364)	(76, 0.00014737516888627526)
SRR13380425_1	(1, 0.01774593991211717)	(2, 0.0032418624844852352)	(3, 0.0034756137983783793)	(4, 0.0002414152913978367)	(5, 6.514380878989244e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 3.831988752346614e-06)	(20, 0.0)	(22, 0.0)	(24, 1.1495966257039842e-05)	(26, 0.0)	(28, 4.7902050194335745e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.00014772851673393816)	(42, 6.910228549090983e-05)	(44, 8.643275427997713e-05)	(46, 0.00048054635891273275)	(48, 0.00143937277214729)	(50, 0.0)	(52, 7.717223490387129e-06)	(54, 0.0022796828080251866)	(56, 0.0021094992687391754)	(58, 0.0)	(60, 0.0)	(62, 0.00026885184772815803)	(64, 0.002093574908442227)	(66, 0.004091753047249347)	(68, 0.0025409309986900355)	(70, 0.004432345228587262)	(72, 0.002900467119537602)	(74, 0.0026948443653236204)	(76, 0.00011467422831164343)
SRR13380426_1	(1, 0.018153733222616143)	(2, 0.00320263139392185)	(3, 0.003416689019222539)	(4, 0.0002469895676546414)	(5, 7.409687029639242e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 2.058246397122012e-06)	(18, 0.0)	(20, 4.116492794244024e-06)	(22, 0.0)	(24, 6.174739191366035e-06)	(26, 0.0)	(28, 2.6758683053711615e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 4.119699602216225e-06)	(38, 0.0)	(40, 0.00015050128576547087)	(42, 5.157235976490348e-05)	(44, 9.289923269775532e-05)	(46, 0.0005082957271979312)	(48, 0.0014523201434941953)	(50, 0.0)	(52, 1.6598701554121904e-05)	(54, 0.0023605742213159684)	(56, 0.001952930055081372)	(58, 8.345672409991506e-06)	(60, 0.0)	(62, 0.0002725869876449738)	(64, 0.002068490886437265)	(66, 0.004094973441187314)	(68, 0.0026448974257996245)	(70, 0.004299230976916696)	(72, 0.0028592517872452674)	(74, 0.0026208033880111125)	(76, 0.0001532882566505281)
SRR13380427_1	(1, 0.018254932804554362)	(2, 0.0031859473083263212)	(3, 0.003481952192718498)	(4, 0.0002570568732879428)	(5, 5.842201665635064e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 1.9474005552116877e-06)	(26, 0.0)	(28, 2.9212895343224936e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 5.8471341616747406e-06)	(38, 1.949828723145302e-06)	(40, 0.00013850762173303195)	(42, 6.051361851176398e-05)	(44, 9.767723725169935e-05)	(46, 0.00044972068923410715)	(48, 0.001317762639541616)	(50, 0.0)	(52, 1.964236054189187e-05)	(54, 0.002191489780260854)	(56, 0.0020481721010218406)	(58, 3.951561209475678e-06)	(60, 0.0)	(62, 0.00026021232570963527)	(64, 0.0019914657725781932)	(66, 0.003994302075138837)	(68, 0.0026290539093821066)	(70, 0.004127013996915867)	(72, 0.00283706524446967)	(74, 0.002675639057017626)	(76, 0.00013721225933423724)
SRR13380430_1	(1, 0.0186238871994868)	(2, 0.003495109065289782)	(3, 0.0037813001862961105)	(4, 0.000246839841867958)	(5, 7.154778025158204e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 1.7886945062895507e-06)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 3.5773890125791014e-06)	(26, 0.0)	(28, 3.3988462741543035e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0001559822193178851)	(42, 8.254030492434203e-05)	(44, 0.00010597176775600975)	(46, 0.0004963082488534875)	(48, 0.0015235671800649842)	(50, 0.0)	(52, 1.6265450709765534e-05)	(54, 0.002317859940198489)	(56, 0.002098183898413341)	(58, 1.8197113683010282e-06)	(60, 0.0)	(62, 0.00029475097396431695)	(64, 0.0021214384079756387)	(66, 0.004006177071514796)	(68, 0.0025993815397403227)	(70, 0.004193184607862487)	(72, 0.0027265029749674557)	(74, 0.0025753416190657692)	(76, 0.00013063327053232162)
SRR13380434_1	(1, 0.01803670338256953)	(2, 0.003353056814036768)	(3, 0.0036563692643771448)	(4, 0.0002825376249745976)	(5, 7.894433638996109e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 2.077482536577923e-06)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 4.154965073155846e-06)	(26, 0.0)	(28, 4.362958960429043e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0001498267098031637)	(42, 5.413755081511891e-05)	(44, 9.585913741488621e-05)	(46, 0.0004985075435037521)	(48, 0.0014640550264141843)	(50, 0.0)	(52, 1.2570106100494562e-05)	(54, 0.0022683445281696493)	(56, 0.002149005208246595)	(58, 0.0)	(60, 0.0)	(62, 0.0003030177366876309)	(64, 0.002207806574554738)	(66, 0.0042687380863933744)	(68, 0.0027932249419362377)	(70, 0.004359289597791831)	(72, 0.002900859693261458)	(74, 0.002605601314378234)	(76, 0.00014655160411722077)
SRR13380441_1	(1, 0.16985794804469898)	(2, 0.18564284644111814)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 3.42135728789381e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0005909617133634763)	(12, 0.00018039883881621908)	(14, 0.00029392569427815006)	(16, 0.012183142269709141)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00022860887332745006)	(26, 0.0017387143442253784)	(28, 0.0005941143640600624)	(30, 4.666060037385717e-06)	(32, 0.0014154940633479014)	(34, 0.00010734027824933606)	(36, 0.000956860839247239)	(38, 4.201560693061441e-05)	(40, 0.0006101296083385044)	(42, 0.002975095786096747)	(44, 0.0008222507276062427)	(46, 0.0013163683518938934)	(48, 7.013253880959366e-05)	(50, 4.8335713295500394e-05)	(52, 0.00017316369302744847)	(54, 0.0)	(56, 0.0)	(58, 8.754973919558049e-05)	(60, 7.041701315097185e-05)	(62, 2.1933110748814418e-05)	(64, 0.00019290641095285588)	(66, 0.00011621973999194126)	(68, 9.596516810501673e-05)	(70, 0.0004711724112196142)	(72, 3.156515439274577e-05)	(74, 0.0011300325272602986)	(76, 0.004646390726612177)
SRR13380446_1	(1, 0.7552172695595042)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 2.8202185181619668e-05)	(30, 0.0)	(32, 0.0002558350875064812)	(34, 0.00015789790092358803)	(36, 0.0)	(38, 0.0006128759236023514)	(40, 0.0007588509835317496)	(42, 0.0)	(44, 5.019775069233574e-06)	(46, 2.8503124546045824e-05)	(48, 3.698388173509478e-05)	(50, 0.00022424665054327628)	(52, 0.00043656501374409883)	(54, 0.0)	(56, 2.5603594061843776e-05)	(58, 2.7455753722987337e-05)	(60, 0.00023998110399146068)	(62, 0.00027812733942031236)	(64, 0.0021859047536842654)	(66, 0.00041336742637122363)	(68, 3.388876725595963e-05)	(70, 0.0008614744102090268)	(72, 0.0027535796990473707)	(74, 0.0004943720647794619)	(76, 0.00013449828232970653)
SRR13380448_1	(1, 0.08781601969809069)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0002106657543435065)	(14, 0.0)	(16, 0.0004055315771112501)	(18, 0.0)	(20, 0.00026333219292938315)	(22, 5.266643858587663e-06)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 7.904253979910443e-05)	(34, 0.0)	(36, 0.0)	(38, 0.001444607703860904)	(40, 0.035939069697537004)	(42, 0.017502108376346602)	(44, 0.009160241701630982)	(46, 0.0631748519748502)	(48, 0.0014998187806990857)	(50, 0.0)	(52, 0.0007560096289192821)	(54, 0.005628811813902594)	(56, 0.007316811035148752)	(58, 0.006602826974402917)	(60, 3.713444717577145e-05)	(62, 0.0005577017038424425)	(64, 0.0016435462089133394)	(66, 0.00035696171239328443)	(68, 0.005910329253390871)	(70, 0.0007919802792629489)	(72, 0.0)	(74, 3.217206133153084e-05)	(76, 0.0003967887564222137)
SRR13380458_1	(1, 0.08577647237190705)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.00022484845214325547)	(14, 0.0)	(16, 0.000430424179817089)	(18, 0.0)	(20, 0.0002762423840617138)	(22, 2.5696965959229196e-05)	(24, 1.2848482979614598e-05)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.00010282591976660573)	(34, 0.0)	(36, 6.428317923262469e-06)	(38, 0.0014530626059096185)	(40, 0.036385309235257714)	(42, 0.01725813127822417)	(44, 0.009512712278942074)	(46, 0.06237732020387751)	(48, 0.0015653985842999027)	(50, 6.4451934905092595e-06)	(52, 0.0007029285810374117)	(54, 0.00565265080285064)	(56, 0.007504624999636717)	(58, 0.006697862153600599)	(60, 7.119307029953255e-05)	(62, 0.0006741011379864288)	(64, 0.0016938334403606761)	(66, 0.0003705810887009241)	(68, 0.005414084633674629)	(70, 0.0007899255635515027)	(72, 0.0)	(74, 3.924073366045281e-05)	(76, 0.0003662468474975595)
