Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR13380421_1	(1, 31.246562076792394)	(2, 31.42285221354371)	(3, 31.565671612080596)	(4, 35.30604241203279)	(5, 35.38253723789429)	(6, 35.110839094832556)	(7, 35.120760924038045)	(8, 35.004362185101456)	(9, 36.58049414570333)	(10, 36.470046553793566)	(12, 36.432017013141675)	(14, 37.51263759476588)	(16, 37.4658607883637)	(18, 37.56557000397464)	(20, 37.50135027219817)	(22, 37.38477103030765)	(24, 37.34829556139189)	(26, 37.17718358976405)	(28, 37.039321057492586)	(30, 37.017102532256175)	(32, 36.80792402771529)	(34, 36.647901809449955)	(36, 36.51601974193626)	(38, 36.36259949157422)	(40, 36.306446567993106)	(42, 36.48552388275015)	(44, 36.34741833333542)	(46, 36.56584767354046)	(48, 36.4644963888205)	(50, 36.27096599624997)	(52, 36.05489725585672)	(54, 35.81472857226264)	(56, 35.49439687937562)	(58, 35.28665995403382)	(60, 35.00060562629679)	(62, 34.715432576368286)	(64, 34.52282862051837)	(66, 34.12801248018909)	(68, 33.84964089058818)	(70, 33.49725408772156)	(72, 33.05643630063537)	(74, 32.53339132105363)	(76, 31.14420807650691)
SRR13380425_1	(1, 31.275998223490014)	(2, 31.44948032484535)	(3, 31.59015336002186)	(4, 35.325254836832)	(5, 35.399385042445026)	(6, 35.12646022721394)	(7, 35.13778593821071)	(8, 35.01849026540737)	(9, 36.594957409361015)	(10, 36.488085063252726)	(12, 36.445297670802276)	(14, 37.52399848099966)	(16, 37.4747755508388)	(18, 37.5748223969013)	(20, 37.511195749098235)	(22, 37.398692908636576)	(24, 37.35351437436461)	(26, 37.17467843221942)	(28, 37.03433678269883)	(30, 37.00707444817516)	(32, 36.79872207347185)	(34, 36.63244162205024)	(36, 36.50087195075331)	(38, 36.357060554732726)	(40, 36.29154635687468)	(42, 36.47005967335801)	(44, 36.3318224053742)	(46, 36.54536588446206)	(48, 36.43966630864364)	(50, 36.24948904920815)	(52, 36.04067563128676)	(54, 35.82195871870884)	(56, 35.51976016581161)	(58, 35.32065759610591)	(60, 35.04651539462316)	(62, 34.77592613480814)	(64, 34.59151047102368)	(66, 34.20170438769083)	(68, 33.92639562922545)	(70, 33.57622771415215)	(72, 33.13997620707477)	(74, 32.618461601730075)	(76, 31.224730999963224)
SRR13380426_1	(1, 31.236187684737907)	(2, 31.409419087123265)	(3, 31.552271884140158)	(4, 35.2914095711092)	(5, 35.36972000109993)	(6, 35.0987779203182)	(7, 35.10529313462858)	(8, 34.986997522365314)	(9, 36.55390345605915)	(10, 36.452775697576755)	(12, 36.4023766324158)	(14, 37.46914349040058)	(16, 37.42354538787324)	(18, 37.52586178364999)	(20, 37.464391678690944)	(22, 37.34958551445704)	(24, 37.30825323050005)	(26, 37.12930400873654)	(28, 36.987516163229024)	(30, 36.96090450656745)	(32, 36.750174342535225)	(34, 36.58675473856444)	(36, 36.45201640276045)	(38, 36.30872464550286)	(40, 36.24750886348879)	(42, 36.437121172380685)	(44, 36.30361039725829)	(46, 36.52410159076252)	(48, 36.426668652746855)	(50, 36.23834131021684)	(52, 36.03740339941237)	(54, 35.82231351420688)	(56, 35.51692549194729)	(58, 35.317155772925624)	(60, 35.03779578694639)	(62, 34.76434483693068)	(64, 34.57311278923831)	(66, 34.17447087299091)	(68, 33.89735773529514)	(70, 33.54627997816928)	(72, 33.103660331958494)	(74, 32.57418021120993)	(76, 31.18206625331353)
SRR13380427_1	(1, 31.274782580517613)	(2, 31.444777406663817)	(3, 31.586322034930756)	(4, 35.32633911441258)	(5, 35.40096011521133)	(6, 35.12502249247641)	(7, 35.13177144278856)	(8, 35.01415826415258)	(9, 36.589595381576004)	(10, 36.475413912198405)	(12, 36.44076410622961)	(14, 37.520644198545746)	(16, 37.469042562853915)	(18, 37.56582903256412)	(20, 37.49765320706492)	(22, 37.37842756129521)	(24, 37.338381566809936)	(26, 37.15985873326777)	(28, 37.016130502379966)	(30, 36.988461124010115)	(32, 36.778710384042206)	(34, 36.610583533303824)	(36, 36.46872752477533)	(38, 36.31657763196524)	(40, 36.24801644242873)	(42, 36.43543264370288)	(44, 36.291451337873724)	(46, 36.50644633966389)	(48, 36.39742158618847)	(50, 36.196303996349116)	(52, 35.96717689429365)	(54, 35.72123404554449)	(56, 35.39420241004817)	(58, 35.17592703058659)	(60, 34.885179116069054)	(62, 34.590832968564655)	(64, 34.38315998556213)	(66, 33.98030129811306)	(68, 33.69703693145598)	(70, 33.3375409367829)	(72, 32.89094218291064)	(74, 32.360916266339814)	(76, 30.986420667685348)
SRR13380430_1	(1, 31.253425958135676)	(2, 31.42800068170725)	(3, 31.571011171899695)	(4, 35.307749719282285)	(5, 35.38157350597145)	(6, 35.10726622084768)	(7, 35.12117997457764)	(8, 34.99942554287236)	(9, 36.57354911476078)	(10, 36.465420510630786)	(12, 36.421441717822134)	(14, 37.49838119569792)	(16, 37.45137140638752)	(18, 37.559918099971426)	(20, 37.50345067789375)	(22, 37.40007535054477)	(24, 37.35577759773176)	(26, 37.17901732697543)	(28, 37.04201458660854)	(30, 37.01818573582608)	(32, 36.813490074241614)	(34, 36.656438962159896)	(36, 36.52470003961899)	(38, 36.39194618084281)	(40, 36.33519568583999)	(42, 36.51625364589896)	(44, 36.38738538700181)	(46, 36.60723115757643)	(48, 36.51029337014278)	(50, 36.33300980206468)	(52, 36.14294211092094)	(54, 35.94109345273428)	(56, 35.653868942310055)	(58, 35.46185147237589)	(60, 35.18961839224667)	(62, 34.92400659621916)	(64, 34.743698838382)	(66, 34.3540571538863)	(68, 34.07736983206365)	(70, 33.72603376274917)	(72, 33.287701937575065)	(74, 32.76610417100089)	(76, 31.368251681194206)
SRR13380434_1	(1, 31.2608729307391)	(2, 31.433044877653106)	(3, 31.57528005191712)	(4, 35.3150618190246)	(5, 35.38948497171985)	(6, 35.11537660748847)	(7, 35.12547832477293)	(8, 35.00601107107064)	(9, 36.5771359086167)	(10, 36.46899199425485)	(12, 36.42846174342916)	(14, 37.504540441957815)	(16, 37.45583122548493)	(18, 37.55683892500915)	(20, 37.493373266979646)	(22, 37.38000814040757)	(24, 37.33804679496174)	(26, 37.1581940667469)	(28, 37.019441543348776)	(30, 36.99274179280263)	(32, 36.78198605558907)	(34, 36.61738217424447)	(36, 36.476971374690706)	(38, 36.33431594166538)	(40, 36.269655118923254)	(42, 36.451643481562925)	(44, 36.316485944512024)	(46, 36.528501539265676)	(48, 36.426122842139506)	(50, 36.23704172963025)	(52, 36.02835313579435)	(54, 35.807177618980774)	(56, 35.501562253399655)	(58, 35.30127416137093)	(60, 35.0251306126691)	(62, 34.754656609558815)	(64, 34.56657921615563)	(66, 34.17514760425165)	(68, 33.89998537604261)	(70, 33.549315942880526)	(72, 33.11143178374121)	(74, 32.586936717594924)	(76, 31.192793290384806)
SRR13380441_1	(1, 32.623054013620674)	(2, 32.74178326056158)	(3, 32.83773681196622)	(4, 36.21755848024927)	(5, 36.256445658286715)	(6, 36.16276410584398)	(7, 36.14491423170483)	(8, 36.12013785083958)	(9, 37.92012654791923)	(10, 37.90832312965361)	(12, 37.8734618471852)	(14, 39.31436909720614)	(16, 39.262526529904235)	(18, 39.3208647306367)	(20, 39.27814462158124)	(22, 39.17934120396879)	(24, 39.145836271942294)	(26, 39.050909824848695)	(28, 38.96310135113029)	(30, 38.92087954292758)	(32, 38.754755973571946)	(34, 38.808134345860076)	(36, 38.8691045574797)	(38, 38.82171009486957)	(40, 38.736642485651124)	(42, 38.65105014558887)	(44, 38.53889581110564)	(46, 38.44892633779117)	(48, 38.30244494124811)	(50, 38.02291582918705)	(52, 37.86803786157621)	(54, 37.61517332060565)	(56, 37.35830491190391)	(58, 37.07526051920004)	(60, 36.74422761672732)	(62, 36.37521762919036)	(64, 36.02052228761909)	(66, 35.63873046269143)	(68, 35.27304244534317)	(70, 34.97779912960062)	(72, 34.63455388841036)	(74, 34.266596500484965)	(76, 33.26150666668687)
SRR13380446_1	(1, 30.917497820068053)	(2, 31.23313762226807)	(3, 31.569914921785305)	(4, 35.250891343141845)	(5, 35.2073892330724)	(6, 35.10679644197476)	(7, 35.18429286943043)	(8, 35.00255764989573)	(9, 36.63001207538034)	(10, 36.57072561166871)	(12, 36.56531732995131)	(14, 37.59447182243967)	(16, 37.555938661983724)	(18, 37.62175233369404)	(20, 37.53835459535087)	(22, 37.51057646699077)	(24, 37.370588265107415)	(26, 37.219367320924334)	(28, 37.01085955019353)	(30, 37.057341058596236)	(32, 36.88674957363216)	(34, 36.75283292341939)	(36, 36.66919646205294)	(38, 36.6200562561026)	(40, 36.43482900855784)	(42, 36.48551031611761)	(44, 36.699324140170646)	(46, 36.78587340284301)	(48, 36.709014760660224)	(50, 36.58210932148046)	(52, 36.39620384093942)	(54, 36.279607103360696)	(56, 36.07294665132149)	(58, 35.82587519924985)	(60, 35.54989274072662)	(62, 35.29235550234648)	(64, 35.04756357030021)	(66, 34.685450743263715)	(68, 34.310812582328396)	(70, 33.93986506560006)	(72, 33.39317797448858)	(74, 32.82249311105251)	(76, 29.882551628710583)
SRR13380448_1	(1, 31.943358193296785)	(2, 32.24940191992342)	(3, 32.3218556661504)	(4, 35.842374931954964)	(5, 35.876814990806544)	(6, 35.78895588996169)	(7, 35.75536175944667)	(8, 35.703494060068394)	(9, 37.375355814459084)	(10, 37.34729566264492)	(12, 37.30783680819473)	(14, 38.566985600574355)	(16, 38.5390605908416)	(18, 38.553133853228324)	(20, 38.48124795654218)	(22, 38.39015403037295)	(24, 38.33753973156127)	(26, 38.22870036609648)	(28, 38.1310147961662)	(30, 38.08693345453427)	(32, 37.98738121013059)	(34, 37.947051628150845)	(36, 37.9241126936643)	(38, 37.95794757019296)	(40, 37.87848526105743)	(42, 37.708919846628135)	(44, 37.593760275103676)	(46, 37.58205863408398)	(48, 37.48057426475078)	(50, 37.35202974269568)	(52, 37.14503200919807)	(54, 36.92439489321481)	(56, 36.69724992457394)	(58, 36.477309127280265)	(60, 36.163366383368356)	(62, 35.81793664800968)	(64, 35.431273309612386)	(66, 35.0997120406077)	(68, 34.76330997032205)	(70, 34.413606100944335)	(72, 34.017679512863516)	(74, 33.52223062627958)	(76, 32.08247318646358)
SRR13380458_1	(1, 31.875002119999692)	(2, 32.1803837070957)	(3, 32.252778355959514)	(4, 35.79543146490694)	(5, 35.82246852764094)	(6, 35.72799633047326)	(7, 35.696189139948245)	(8, 35.64655699201595)	(9, 37.29807748149176)	(10, 37.27472484973699)	(12, 37.23824074716498)	(14, 38.478359749814345)	(16, 38.44947732371239)	(18, 38.474089684980896)	(20, 38.39787890818731)	(22, 38.30717517107755)	(24, 38.2655206462273)	(26, 38.151785638811575)	(28, 38.04026846286257)	(30, 38.00501787518031)	(32, 37.89140955440401)	(34, 37.85971109698108)	(36, 37.84028302751279)	(38, 37.87535832373145)	(40, 37.80160556178805)	(42, 37.639569115053895)	(44, 37.521351408326694)	(46, 37.52349421615118)	(48, 37.4335459346403)	(50, 37.31364524224504)	(52, 37.09871313680692)	(54, 36.892563406504834)	(56, 36.673940548943406)	(58, 36.45303123858197)	(60, 36.139134315149704)	(62, 35.768886934993404)	(64, 35.35579358347293)	(66, 34.99569866202767)	(68, 34.641984791765125)	(70, 34.27660525804221)	(72, 33.86307475739089)	(74, 33.349686538479396)	(76, 31.906545445936274)
