Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR13380421_1	(0.0, 43263.0)	(1.0, 33553.0)	(2.0, 20564.0)	(3.0, 16898.5)	(4.0, 16514.0)	(5.0, 17861.5)	(6.0, 16875.0)	(7.0, 13867.0)	(8.0, 13194.0)	(9.0, 13379.5)	(10.0, 14133.5)	(11.0, 16147.0)	(12.0, 17604.0)	(13.0, 18950.0)	(14.0, 25516.0)	(15.0, 63540.0)	(16.0, 88492.0)	(17.0, 80936.0)	(18.0, 91366.0)	(19.0, 128247.5)	(20.0, 198209.5)	(21.0, 242719.0)	(22.0, 299573.5)	(23.0, 401058.5)	(24.0, 473140.0)	(25.0, 500089.5)	(26.0, 543634.0)	(27.0, 612703.0)	(28.0, 664679.0)	(29.0, 691978.0)	(30.0, 734614.0)	(31.0, 816965.0)	(32.0, 890720.0)	(33.0, 924155.0)	(34.0, 965022.5)	(35.0, 1057497.0)	(36.0, 1138550.5)	(37.0, 1166732.5)	(38.0, 1197516.5)	(39.0, 1227136.5)	(40.0, 1219190.5)	(41.0, 1213673.5)	(42.0, 1213950.5)	(43.0, 1171935.5)	(44.0, 1107808.5)	(45.0, 1063138.5)	(46.0, 1041977.0)	(47.0, 1026471.0)	(48.0, 973493.5)	(49.0, 927698.0)	(50.0, 921256.5)	(51.0, 915630.0)	(52.0, 890779.0)	(53.0, 819049.0)	(54.0, 755912.0)	(55.0, 713276.5)	(56.0, 644556.0)	(57.0, 572592.0)	(58.0, 533150.0)	(59.0, 500076.5)	(60.0, 433808.0)	(61.0, 365410.0)	(62.0, 331049.0)	(63.0, 302900.5)	(64.0, 253733.0)	(65.0, 206918.5)	(66.0, 170119.0)	(67.0, 157771.0)	(68.0, 129420.5)	(69.0, 84174.0)	(70.0, 60497.5)	(71.0, 54020.5)	(72.0, 47144.0)	(73.0, 36895.0)	(74.0, 37867.0)	(75.0, 42316.5)	(76.0, 31002.0)	(77.0, 13839.5)	(78.0, 5229.5)	(79.0, 2551.0)	(80.0, 1895.5)	(81.0, 1038.0)	(82.0, 654.0)	(83.0, 494.0)	(84.0, 371.5)	(85.0, 257.0)	(86.0, 239.0)	(87.0, 220.5)	(88.0, 186.5)	(89.0, 134.5)	(90.0, 94.0)	(91.0, 62.5)	(92.0, 50.5)	(93.0, 44.0)	(94.0, 39.5)	(95.0, 42.0)	(96.0, 44.0)	(97.0, 49.5)	(98.0, 43.0)	(99.0, 27.0)	(100.0, 20.0)
SRR13380425_1	(0.0, 40085.0)	(1.0, 32817.5)	(2.0, 23764.0)	(3.0, 19461.0)	(4.0, 16945.0)	(5.0, 19026.5)	(6.0, 18865.0)	(7.0, 14543.0)	(8.0, 12464.0)	(9.0, 12488.0)	(10.0, 13174.0)	(11.0, 16658.0)	(12.0, 19490.0)	(13.0, 18831.0)	(14.0, 22481.0)	(15.0, 52863.5)	(16.0, 72835.5)	(17.0, 66944.5)	(18.0, 77907.0)	(19.0, 107978.0)	(20.0, 158173.0)	(21.0, 189920.0)	(22.0, 231514.0)	(23.0, 313991.5)	(24.0, 388528.5)	(25.0, 422443.5)	(26.0, 465234.0)	(27.0, 548376.5)	(28.0, 629158.5)	(29.0, 669656.0)	(30.0, 715214.5)	(31.0, 797851.0)	(32.0, 866870.0)	(33.0, 898706.0)	(34.0, 935057.0)	(35.0, 1009935.0)	(36.0, 1069041.0)	(37.0, 1088857.5)	(38.0, 1106081.5)	(39.0, 1132955.5)	(40.0, 1136883.5)	(41.0, 1135368.5)	(42.0, 1139860.5)	(43.0, 1118970.5)	(44.0, 1075511.5)	(45.0, 1030637.0)	(46.0, 1009129.5)	(47.0, 993211.5)	(48.0, 938681.5)	(49.0, 877272.0)	(50.0, 855779.0)	(51.0, 840253.0)	(52.0, 792931.5)	(53.0, 722126.0)	(54.0, 678236.5)	(55.0, 648936.0)	(56.0, 595233.0)	(57.0, 541822.5)	(58.0, 514326.5)	(59.0, 486648.5)	(60.0, 452964.5)	(61.0, 432809.5)	(62.0, 419319.0)	(63.0, 369087.5)	(64.0, 284490.0)	(65.0, 217914.5)	(66.0, 169077.5)	(67.0, 151354.5)	(68.0, 128890.0)	(69.0, 90655.5)	(70.0, 71389.0)	(71.0, 68227.5)	(72.0, 62611.0)	(73.0, 56407.5)	(74.0, 72227.0)	(75.0, 88456.5)	(76.0, 63324.5)	(77.0, 25966.5)	(78.0, 8363.5)	(79.0, 3225.0)	(80.0, 2336.0)	(81.0, 1172.0)	(82.0, 681.5)	(83.0, 518.0)	(84.0, 394.5)	(85.0, 264.0)	(86.0, 242.0)	(87.0, 231.0)	(88.0, 207.5)	(89.0, 158.5)	(90.0, 110.5)	(91.0, 72.5)	(92.0, 57.0)	(93.0, 52.0)	(94.0, 41.5)	(95.0, 37.0)	(96.0, 41.0)	(97.0, 44.0)	(98.0, 40.0)	(99.0, 31.5)	(100.0, 27.0)
SRR13380426_1	(0.0, 28138.0)	(1.0, 23377.0)	(2.0, 17134.0)	(3.0, 14554.5)	(4.0, 13456.5)	(5.0, 14408.0)	(6.0, 13989.5)	(7.0, 11714.0)	(8.0, 10809.0)	(9.0, 11185.0)	(10.0, 11787.0)	(11.0, 13745.0)	(12.0, 15486.0)	(13.0, 16320.0)	(14.0, 20590.0)	(15.0, 46564.0)	(16.0, 65425.0)	(17.0, 61963.5)	(18.0, 71935.5)	(19.0, 102255.5)	(20.0, 158009.0)	(21.0, 194110.0)	(22.0, 234753.0)	(23.0, 307719.5)	(24.0, 367541.0)	(25.0, 395014.5)	(26.0, 433151.5)	(27.0, 499205.5)	(28.0, 564019.5)	(29.0, 601276.0)	(30.0, 641828.5)	(31.0, 720402.0)	(32.0, 788404.5)	(33.0, 818074.0)	(34.0, 851824.0)	(35.0, 925368.0)	(36.0, 990495.5)	(37.0, 1015160.0)	(38.0, 1036774.5)	(39.0, 1067466.0)	(40.0, 1075224.5)	(41.0, 1083568.5)	(42.0, 1093177.5)	(43.0, 1066029.5)	(44.0, 1018387.5)	(45.0, 980311.5)	(46.0, 962338.5)	(47.0, 943747.5)	(48.0, 893329.0)	(49.0, 847601.0)	(50.0, 836812.0)	(51.0, 823202.0)	(52.0, 785711.0)	(53.0, 724197.0)	(54.0, 682053.0)	(55.0, 655932.0)	(56.0, 597873.0)	(57.0, 525670.0)	(58.0, 485686.0)	(59.0, 448847.5)	(60.0, 389795.5)	(61.0, 333552.5)	(62.0, 300744.5)	(63.0, 280011.0)	(64.0, 246674.5)	(65.0, 208321.0)	(66.0, 167449.0)	(67.0, 151261.5)	(68.0, 124482.5)	(69.0, 77579.0)	(70.0, 50869.5)	(71.0, 44590.5)	(72.0, 38718.5)	(73.0, 30242.0)	(74.0, 33058.5)	(75.0, 38506.0)	(76.0, 28091.0)	(77.0, 12436.0)	(78.0, 4659.0)	(79.0, 2227.5)	(80.0, 1628.5)	(81.0, 876.5)	(82.0, 605.0)	(83.0, 507.5)	(84.0, 370.5)	(85.0, 230.5)	(86.0, 227.5)	(87.0, 238.5)	(88.0, 215.5)	(89.0, 176.5)	(90.0, 119.0)	(91.0, 62.0)	(92.0, 47.5)	(93.0, 42.5)	(94.0, 30.5)	(95.0, 24.5)	(96.0, 28.0)	(97.0, 29.0)	(98.0, 27.0)	(99.0, 22.0)	(100.0, 18.0)
SRR13380427_1	(0.0, 34151.0)	(1.0, 27789.0)	(2.0, 20025.0)	(3.0, 16804.5)	(4.0, 14985.5)	(5.0, 16291.0)	(6.0, 15905.0)	(7.0, 13136.5)	(8.0, 12060.5)	(9.0, 12182.5)	(10.0, 12561.5)	(11.0, 14814.0)	(12.0, 16815.0)	(13.0, 16828.5)	(14.0, 20777.5)	(15.0, 53450.5)	(16.0, 72997.5)	(17.0, 64008.0)	(18.0, 73174.0)	(19.0, 100593.0)	(20.0, 147531.5)	(21.0, 176840.0)	(22.0, 214627.5)	(23.0, 287828.5)	(24.0, 349927.0)	(25.0, 376707.0)	(26.0, 414377.5)	(27.0, 483533.0)	(28.0, 546338.0)	(29.0, 578046.0)	(30.0, 616184.0)	(31.0, 686453.5)	(32.0, 747101.5)	(33.0, 775408.0)	(34.0, 810447.0)	(35.0, 894334.0)	(36.0, 968199.0)	(37.0, 992474.5)	(38.0, 1015453.5)	(39.0, 1054663.0)	(40.0, 1075679.5)	(41.0, 1094767.0)	(42.0, 1109379.5)	(43.0, 1085903.5)	(44.0, 1047072.5)	(45.0, 1018131.0)	(46.0, 1007700.0)	(47.0, 1008984.0)	(48.0, 988825.5)	(49.0, 955982.0)	(50.0, 945208.5)	(51.0, 932928.5)	(52.0, 898789.5)	(53.0, 822966.0)	(54.0, 761017.0)	(55.0, 738334.5)	(56.0, 691090.5)	(57.0, 626790.0)	(58.0, 589575.5)	(59.0, 543780.5)	(60.0, 483505.0)	(61.0, 453732.5)	(62.0, 439509.0)	(63.0, 407250.0)	(64.0, 343678.5)	(65.0, 274329.5)	(66.0, 205919.0)	(67.0, 174267.5)	(68.0, 144921.5)	(69.0, 96321.5)	(70.0, 69099.0)	(71.0, 61514.5)	(72.0, 54210.5)	(73.0, 44735.0)	(74.0, 54070.0)	(75.0, 65573.5)	(76.0, 47280.5)	(77.0, 20078.0)	(78.0, 6944.5)	(79.0, 2917.5)	(80.0, 2119.0)	(81.0, 1166.5)	(82.0, 789.5)	(83.0, 609.5)	(84.0, 457.5)	(85.0, 303.5)	(86.0, 288.0)	(87.0, 282.0)	(88.0, 273.0)	(89.0, 228.0)	(90.0, 146.5)	(91.0, 76.5)	(92.0, 47.0)	(93.0, 37.5)	(94.0, 28.0)	(95.0, 22.5)	(96.0, 19.5)	(97.0, 20.5)	(98.0, 16.0)	(99.0, 11.0)	(100.0, 12.0)
SRR13380430_1	(0.0, 31843.0)	(1.0, 26015.5)	(2.0, 18408.5)	(3.0, 15586.0)	(4.0, 14543.0)	(5.0, 15896.0)	(6.0, 15463.5)	(7.0, 12638.5)	(8.0, 11601.0)	(9.0, 11719.0)	(10.0, 12503.5)	(11.0, 15188.0)	(12.0, 17230.0)	(13.0, 18496.0)	(14.0, 24441.0)	(15.0, 54600.0)	(16.0, 76830.5)	(17.0, 74015.0)	(18.0, 86451.5)	(19.0, 122500.5)	(20.0, 184613.0)	(21.0, 224284.0)	(22.0, 273213.5)	(23.0, 366036.0)	(24.0, 445353.5)	(25.0, 480700.5)	(26.0, 530813.5)	(27.0, 620885.0)	(28.0, 701832.5)	(29.0, 743504.5)	(30.0, 792937.5)	(31.0, 884622.0)	(32.0, 965814.0)	(33.0, 1003921.5)	(34.0, 1043115.0)	(35.0, 1127200.5)	(36.0, 1199517.0)	(37.0, 1225756.5)	(38.0, 1250520.0)	(39.0, 1281429.5)	(40.0, 1281335.0)	(41.0, 1276270.5)	(42.0, 1277004.0)	(43.0, 1241209.5)	(44.0, 1179128.5)	(45.0, 1125500.5)	(46.0, 1099079.0)	(47.0, 1078190.5)	(48.0, 1015334.5)	(49.0, 951418.5)	(50.0, 930039.5)	(51.0, 910593.5)	(52.0, 858062.0)	(53.0, 779425.5)	(54.0, 730664.0)	(55.0, 696844.5)	(56.0, 629518.5)	(57.0, 555479.0)	(58.0, 515411.0)	(59.0, 478515.5)	(60.0, 414545.5)	(61.0, 347352.5)	(62.0, 308155.5)	(63.0, 280632.5)	(64.0, 239584.5)	(65.0, 200475.5)	(66.0, 166850.0)	(67.0, 157304.0)	(68.0, 129418.5)	(69.0, 80564.0)	(70.0, 54030.5)	(71.0, 48769.5)	(72.0, 43098.0)	(73.0, 35388.0)	(74.0, 39304.5)	(75.0, 45259.5)	(76.0, 32781.5)	(77.0, 14213.0)	(78.0, 5194.0)	(79.0, 2482.0)	(80.0, 1829.0)	(81.0, 1029.5)	(82.0, 689.0)	(83.0, 517.0)	(84.0, 393.5)	(85.0, 257.0)	(86.0, 219.5)	(87.0, 211.0)	(88.0, 185.5)	(89.0, 131.0)	(90.0, 75.5)	(91.0, 45.0)	(92.0, 36.5)	(93.0, 32.5)	(94.0, 33.0)	(95.0, 32.5)	(96.0, 27.5)	(97.0, 24.5)	(98.0, 19.5)	(99.0, 12.0)	(100.0, 8.0)
SRR13380434_1	(0.0, 37139.0)	(1.0, 29059.5)	(2.0, 19397.0)	(3.0, 16146.5)	(4.0, 14478.0)	(5.0, 15990.5)	(6.0, 15647.5)	(7.0, 12162.5)	(8.0, 10537.0)	(9.0, 10776.5)	(10.0, 11699.0)	(11.0, 14411.5)	(12.0, 16452.5)	(13.0, 16337.5)	(14.0, 20204.5)	(15.0, 50205.0)	(16.0, 69841.5)	(17.0, 63709.0)	(18.0, 73116.0)	(19.0, 101919.5)	(20.0, 152811.0)	(21.0, 185001.0)	(22.0, 225636.0)	(23.0, 305260.0)	(24.0, 373791.0)	(25.0, 403528.0)	(26.0, 445934.0)	(27.0, 522096.0)	(28.0, 587206.0)	(29.0, 619000.5)	(30.0, 659306.5)	(31.0, 732107.0)	(32.0, 796618.5)	(33.0, 828165.5)	(34.0, 860657.5)	(35.0, 929871.5)	(36.0, 989711.0)	(37.0, 1011783.0)	(38.0, 1031243.5)	(39.0, 1052996.5)	(40.0, 1048903.5)	(41.0, 1042103.0)	(42.0, 1041287.0)	(43.0, 1012489.0)	(44.0, 967343.5)	(45.0, 929473.5)	(46.0, 907875.0)	(47.0, 890056.0)	(48.0, 842874.0)	(49.0, 799469.5)	(50.0, 787713.0)	(51.0, 782551.0)	(52.0, 760192.5)	(53.0, 701797.5)	(54.0, 653499.0)	(55.0, 622747.0)	(56.0, 572684.5)	(57.0, 512445.5)	(58.0, 475330.5)	(59.0, 448995.5)	(60.0, 406067.5)	(61.0, 352357.5)	(62.0, 315935.0)	(63.0, 288737.5)	(64.0, 253403.0)	(65.0, 219812.0)	(66.0, 189359.5)	(67.0, 183037.5)	(68.0, 150908.5)	(69.0, 94058.0)	(70.0, 64218.5)	(71.0, 59427.0)	(72.0, 53583.0)	(73.0, 46647.0)	(74.0, 55954.5)	(75.0, 66202.5)	(76.0, 47845.5)	(77.0, 20576.5)	(78.0, 7400.0)	(79.0, 3401.5)	(80.0, 2462.5)	(81.0, 1231.5)	(82.0, 742.5)	(83.0, 573.0)	(84.0, 406.5)	(85.0, 232.5)	(86.0, 211.0)	(87.0, 215.0)	(88.0, 188.0)	(89.0, 167.0)	(90.0, 121.0)	(91.0, 53.5)	(92.0, 32.5)	(93.0, 23.0)	(94.0, 15.0)	(95.0, 15.5)	(96.0, 17.0)	(97.0, 14.5)	(98.0, 9.5)	(99.0, 5.0)	(100.0, 3.0)
SRR13380441_1	(0.0, 11105.0)	(1.0, 9632.0)	(2.0, 7499.5)	(3.0, 6340.5)	(4.0, 5841.5)	(5.0, 6245.0)	(6.0, 6322.0)	(7.0, 5584.5)	(8.0, 5173.5)	(9.0, 5363.5)	(10.0, 5693.0)	(11.0, 6644.0)	(12.0, 7460.5)	(13.0, 7929.0)	(14.0, 10655.5)	(15.0, 27309.5)	(16.0, 36929.5)	(17.0, 32220.0)	(18.0, 37459.5)	(19.0, 52347.5)	(20.0, 77135.0)	(21.0, 92503.5)	(22.0, 112201.0)	(23.0, 151610.5)	(24.0, 185699.0)	(25.0, 200112.5)	(26.0, 222266.5)	(27.0, 266839.5)	(28.0, 314984.0)	(29.0, 340888.0)	(30.0, 372853.0)	(31.0, 435896.0)	(32.0, 498372.5)	(33.0, 529837.5)	(34.0, 565197.5)	(35.0, 668370.5)	(36.0, 775366.0)	(37.0, 814101.0)	(38.0, 852995.5)	(39.0, 931406.0)	(40.0, 1017506.5)	(41.0, 1136740.0)	(42.0, 1209470.5)	(43.0, 1219495.5)	(44.0, 1238022.5)	(45.0, 1273198.5)	(46.0, 1299920.0)	(47.0, 1356910.5)	(48.0, 1436592.0)	(49.0, 1442209.5)	(50.0, 1426725.0)	(51.0, 1429243.0)	(52.0, 1473259.0)	(53.0, 1435484.5)	(54.0, 1351431.0)	(55.0, 1339381.5)	(56.0, 1329257.5)	(57.0, 1264425.5)	(58.0, 1200002.5)	(59.0, 1108414.5)	(60.0, 1000310.0)	(61.0, 969100.5)	(62.0, 954919.0)	(63.0, 931297.5)	(64.0, 862272.5)	(65.0, 717752.0)	(66.0, 529621.5)	(67.0, 439793.5)	(68.0, 368039.5)	(69.0, 239089.5)	(70.0, 151049.0)	(71.0, 120495.0)	(72.0, 98952.0)	(73.0, 67905.5)	(74.0, 75141.5)	(75.0, 91965.5)	(76.0, 64700.5)	(77.0, 24507.5)	(78.0, 7490.0)	(79.0, 3476.0)	(80.0, 2921.5)	(81.0, 2412.5)	(82.0, 2171.0)	(83.0, 1900.5)	(84.0, 1521.0)	(85.0, 1306.0)	(86.0, 1465.0)	(87.0, 1479.5)	(88.0, 1447.5)	(89.0, 1319.5)	(90.0, 1128.0)	(91.0, 997.5)	(92.0, 1050.0)	(93.0, 1144.0)	(94.0, 1384.5)	(95.0, 1733.5)	(96.0, 2032.0)	(97.0, 2341.5)	(98.0, 1975.0)	(99.0, 882.0)	(100.0, 296.0)
SRR13380446_1	(0.0, 4695.0)	(1.0, 4298.0)	(2.0, 3235.5)	(3.0, 2575.0)	(4.0, 2581.5)	(5.0, 2787.5)	(6.0, 2795.0)	(7.0, 2594.5)	(8.0, 2599.0)	(9.0, 2693.0)	(10.0, 3155.5)	(11.0, 4150.5)	(12.0, 4821.0)	(13.0, 6058.0)	(14.0, 9476.5)	(15.0, 18869.0)	(16.0, 29601.0)	(17.0, 34130.5)	(18.0, 43983.5)	(19.0, 72151.5)	(20.0, 122973.5)	(21.0, 158048.0)	(22.0, 204112.5)	(23.0, 284051.0)	(24.0, 350574.0)	(25.0, 383003.0)	(26.0, 430547.5)	(27.0, 517648.0)	(28.0, 604474.0)	(29.0, 652776.0)	(30.0, 711199.5)	(31.0, 819375.5)	(32.0, 921845.5)	(33.0, 973565.5)	(34.0, 1026987.0)	(35.0, 1135137.0)	(36.0, 1235857.5)	(37.0, 1280224.0)	(38.0, 1321633.0)	(39.0, 1389208.5)	(40.0, 1433504.5)	(41.0, 1456708.0)	(42.0, 1461074.5)	(43.0, 1418838.0)	(44.0, 1353101.0)	(45.0, 1311015.0)	(46.0, 1293666.0)	(47.0, 1273328.0)	(48.0, 1215588.0)	(49.0, 1168219.5)	(50.0, 1158596.5)	(51.0, 1141088.5)	(52.0, 1093995.5)	(53.0, 1013568.5)	(54.0, 959415.0)	(55.0, 914608.0)	(56.0, 826636.0)	(57.0, 732034.5)	(58.0, 680305.5)	(59.0, 627051.0)	(60.0, 533550.5)	(61.0, 440597.5)	(62.0, 390006.5)	(63.0, 353503.0)	(64.0, 295398.5)	(65.0, 241864.0)	(66.0, 195811.0)	(67.0, 178006.5)	(68.0, 145298.0)	(69.0, 95721.5)	(70.0, 67306.5)	(71.0, 56413.0)	(72.0, 47496.5)	(73.0, 36602.0)	(74.0, 36844.0)	(75.0, 39164.0)	(76.0, 28730.0)	(77.0, 13051.0)	(78.0, 5208.5)	(79.0, 3144.5)	(80.0, 2481.5)	(81.0, 1735.5)	(82.0, 1608.0)	(83.0, 1761.0)	(84.0, 1868.5)	(85.0, 1998.5)	(86.0, 2585.0)	(87.0, 3450.5)	(88.0, 4377.5)	(89.0, 5407.0)	(90.0, 7057.0)	(91.0, 10143.0)	(92.0, 13393.0)	(93.0, 15858.0)	(94.0, 32577.0)	(95.0, 59323.5)	(96.0, 82801.0)	(97.0, 102187.0)	(98.0, 80363.5)	(99.0, 29718.5)	(100.0, 8016.0)
SRR13380448_1	(0.0, 666.0)	(1.0, 826.0)	(2.0, 801.0)	(3.0, 602.5)	(4.0, 590.0)	(5.0, 696.0)	(6.0, 717.5)	(7.0, 648.0)	(8.0, 661.5)	(9.0, 658.0)	(10.0, 762.0)	(11.0, 1064.0)	(12.0, 1265.5)	(13.0, 1459.5)	(14.0, 2171.5)	(15.0, 5794.0)	(16.0, 8952.5)	(17.0, 9077.0)	(18.0, 11216.0)	(19.0, 18198.5)	(20.0, 31143.5)	(21.0, 39368.0)	(22.0, 50930.5)	(23.0, 72687.0)	(24.0, 90746.0)	(25.0, 98606.5)	(26.0, 110751.5)	(27.0, 134823.0)	(28.0, 157758.0)	(29.0, 168784.0)	(30.0, 184485.0)	(31.0, 214271.5)	(32.0, 243192.0)	(33.0, 258044.0)	(34.0, 271621.0)	(35.0, 299983.0)	(36.0, 327060.0)	(37.0, 339095.5)	(38.0, 352101.5)	(39.0, 374896.0)	(40.0, 389974.5)	(41.0, 398470.5)	(42.0, 401596.5)	(43.0, 396963.0)	(44.0, 390324.5)	(45.0, 390581.5)	(46.0, 392703.0)	(47.0, 390131.5)	(48.0, 377242.5)	(49.0, 368431.5)	(50.0, 370211.0)	(51.0, 366558.5)	(52.0, 356355.5)	(53.0, 337905.5)	(54.0, 325764.5)	(55.0, 314264.5)	(56.0, 293404.0)	(57.0, 271912.5)	(58.0, 259704.5)	(59.0, 245944.0)	(60.0, 226795.0)	(61.0, 202927.0)	(62.0, 184511.5)	(63.0, 167154.0)	(64.0, 142392.0)	(65.0, 121356.5)	(66.0, 103287.0)	(67.0, 98521.0)	(68.0, 80509.5)	(69.0, 51849.0)	(70.0, 37328.5)	(71.0, 33577.5)	(72.0, 29362.5)	(73.0, 25685.0)	(74.0, 32703.0)	(75.0, 39127.5)	(76.0, 27748.0)	(77.0, 10896.0)	(78.0, 3453.5)	(79.0, 1575.5)	(80.0, 1229.0)	(81.0, 871.5)	(82.0, 730.0)	(83.0, 610.0)	(84.0, 475.0)	(85.0, 373.0)	(86.0, 414.5)	(87.0, 435.5)	(88.0, 476.0)	(89.0, 515.0)	(90.0, 586.5)	(91.0, 773.5)	(92.0, 1031.0)	(93.0, 1272.0)	(94.0, 2177.5)	(95.0, 3816.5)	(96.0, 5431.5)	(97.0, 6638.5)	(98.0, 5327.0)	(99.0, 2064.0)	(100.0, 550.0)
SRR13380458_1	(0.0, 861.0)	(1.0, 891.5)	(2.0, 752.5)	(3.0, 579.0)	(4.0, 575.0)	(5.0, 588.5)	(6.0, 563.5)	(7.0, 521.5)	(8.0, 518.5)	(9.0, 546.5)	(10.0, 594.0)	(11.0, 737.0)	(12.0, 862.0)	(13.0, 1038.0)	(14.0, 1563.0)	(15.0, 4297.0)	(16.0, 6378.5)	(17.0, 6105.0)	(18.0, 7669.5)	(19.0, 12061.5)	(20.0, 19688.0)	(21.0, 24606.5)	(22.0, 31953.5)	(23.0, 47421.0)	(24.0, 61716.5)	(25.0, 67854.5)	(26.0, 76768.0)	(27.0, 95919.0)	(28.0, 114231.0)	(29.0, 122385.5)	(30.0, 134282.5)	(31.0, 155411.0)	(32.0, 176822.5)	(33.0, 188971.5)	(34.0, 200463.0)	(35.0, 223785.0)	(36.0, 245035.0)	(37.0, 254259.0)	(38.0, 263973.0)	(39.0, 279896.5)	(40.0, 290713.5)	(41.0, 300863.0)	(42.0, 306436.5)	(43.0, 304775.5)	(44.0, 311115.5)	(45.0, 351375.0)	(46.0, 384226.5)	(47.0, 419982.0)	(48.0, 435280.5)	(49.0, 384173.0)	(50.0, 352576.0)	(51.0, 331339.0)	(52.0, 300246.0)	(53.0, 282360.0)	(54.0, 274117.0)	(55.0, 265989.0)	(56.0, 252770.5)	(57.0, 236654.5)	(58.0, 225104.0)	(59.0, 210512.0)	(60.0, 189283.5)	(61.0, 165906.5)	(62.0, 150044.0)	(63.0, 138078.5)	(64.0, 116936.0)	(65.0, 96265.0)	(66.0, 77649.0)	(67.0, 70283.5)	(68.0, 57439.5)	(69.0, 36692.0)	(70.0, 25117.5)	(71.0, 21511.0)	(72.0, 18309.0)	(73.0, 14177.5)	(74.0, 15537.5)	(75.0, 17845.0)	(76.0, 12977.0)	(77.0, 5496.0)	(78.0, 1922.5)	(79.0, 976.0)	(80.0, 823.0)	(81.0, 654.0)	(82.0, 566.5)	(83.0, 495.0)	(84.0, 388.0)	(85.0, 323.5)	(86.0, 383.5)	(87.0, 417.0)	(88.0, 430.5)	(89.0, 418.0)	(90.0, 489.0)	(91.0, 662.5)	(92.0, 833.0)	(93.0, 954.5)	(94.0, 1128.5)	(95.0, 1432.5)	(96.0, 1707.0)	(97.0, 1853.5)	(98.0, 1336.0)	(99.0, 467.5)	(100.0, 161.0)
