Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SRR13380421_1	(17.0, 3.0)	(18.0, 154.0)	(19.0, 2955.0)	(20.0, 24131.0)	(21.0, 70162.0)	(22.0, 115833.0)	(23.0, 165150.0)	(24.0, 217320.0)	(25.0, 280853.0)	(26.0, 362699.0)	(27.0, 441880.0)	(28.0, 523521.0)	(29.0, 646807.0)	(30.0, 795757.0)	(31.0, 967541.0)	(32.0, 1165290.0)	(33.0, 1410595.0)	(34.0, 1732497.0)	(35.0, 2186865.0)	(36.0, 2763048.0)	(37.0, 3506512.0)	(38.0, 4451708.0)	(39.0, 4935501.0)	(40.0, 662132.0)
SRR13380425_1	(17.0, 7.0)	(18.0, 130.0)	(19.0, 2854.0)	(20.0, 22808.0)	(21.0, 65104.0)	(22.0, 105636.0)	(23.0, 148144.0)	(24.0, 194993.0)	(25.0, 252971.0)	(26.0, 328647.0)	(27.0, 405911.0)	(28.0, 491182.0)	(29.0, 613413.0)	(30.0, 756484.0)	(31.0, 924824.0)	(32.0, 1117796.0)	(33.0, 1356079.0)	(34.0, 1672538.0)	(35.0, 2120614.0)	(36.0, 2676531.0)	(37.0, 3393072.0)	(38.0, 4203717.0)	(39.0, 4623743.0)	(40.0, 618912.0)
SRR13380426_1	(17.0, 1.0)	(18.0, 115.0)	(19.0, 2471.0)	(20.0, 21297.0)	(21.0, 61655.0)	(22.0, 99528.0)	(23.0, 140660.0)	(24.0, 184867.0)	(25.0, 239357.0)	(26.0, 308651.0)	(27.0, 383361.0)	(28.0, 464810.0)	(29.0, 579037.0)	(30.0, 715602.0)	(31.0, 873776.0)	(32.0, 1053139.0)	(33.0, 1272298.0)	(34.0, 1561593.0)	(35.0, 1970208.0)	(36.0, 2484628.0)	(37.0, 3141563.0)	(38.0, 3917931.0)	(39.0, 4270636.0)	(40.0, 545340.0)
SRR13380427_1	(17.0, 2.0)	(18.0, 127.0)	(19.0, 2968.0)	(20.0, 23976.0)	(21.0, 69364.0)	(22.0, 110710.0)	(23.0, 155341.0)	(24.0, 204375.0)	(25.0, 263451.0)	(26.0, 339815.0)	(27.0, 413999.0)	(28.0, 495182.0)	(29.0, 613130.0)	(30.0, 754859.0)	(31.0, 917388.0)	(32.0, 1106913.0)	(33.0, 1337517.0)	(34.0, 1647968.0)	(35.0, 2086556.0)	(36.0, 2650119.0)	(37.0, 3367476.0)	(38.0, 4159219.0)	(39.0, 4399455.0)	(40.0, 555342.0)
SRR13380430_1	(17.0, 4.0)	(18.0, 123.0)	(19.0, 2726.0)	(20.0, 22437.0)	(21.0, 66064.0)	(22.0, 109574.0)	(23.0, 155604.0)	(24.0, 204974.0)	(25.0, 264746.0)	(26.0, 343307.0)	(27.0, 427552.0)	(28.0, 521562.0)	(29.0, 651453.0)	(30.0, 804662.0)	(31.0, 981407.0)	(32.0, 1188518.0)	(33.0, 1434022.0)	(34.0, 1763465.0)	(35.0, 2224462.0)	(36.0, 2813569.0)	(37.0, 3574277.0)	(38.0, 4547154.0)	(39.0, 5155263.0)	(40.0, 696423.0)
SRR13380434_1	(17.0, 5.0)	(18.0, 140.0)	(19.0, 2664.0)	(20.0, 21206.0)	(21.0, 61200.0)	(22.0, 100239.0)	(23.0, 140354.0)	(24.0, 185445.0)	(25.0, 240808.0)	(26.0, 309571.0)	(27.0, 381550.0)	(28.0, 461174.0)	(29.0, 571361.0)	(30.0, 704994.0)	(31.0, 855021.0)	(32.0, 1032725.0)	(33.0, 1249116.0)	(34.0, 1535987.0)	(35.0, 1934918.0)	(36.0, 2440175.0)	(37.0, 3085316.0)	(38.0, 3860833.0)	(39.0, 4317457.0)	(40.0, 575332.0)
SRR13380441_1	(17.0, 2.0)	(18.0, 76.0)	(19.0, 1620.0)	(20.0, 10563.0)	(21.0, 26871.0)	(22.0, 42560.0)	(23.0, 62517.0)	(24.0, 87460.0)	(25.0, 117790.0)	(26.0, 162991.0)	(27.0, 210371.0)	(28.0, 238005.0)	(29.0, 297587.0)	(30.0, 381313.0)	(31.0, 483260.0)	(32.0, 617022.0)	(33.0, 795511.0)	(34.0, 1076616.0)	(35.0, 1577469.0)	(36.0, 2464935.0)	(37.0, 4314609.0)	(38.0, 7496703.0)	(39.0, 10276749.0)	(40.0, 1408383.0)
SRR13380446_1	(17.0, 9.0)	(18.0, 294.0)	(19.0, 4017.0)	(20.0, 26458.0)	(21.0, 68685.0)	(22.0, 107150.0)	(23.0, 146742.0)	(24.0, 192069.0)	(25.0, 249338.0)	(26.0, 326322.0)	(27.0, 422420.0)	(28.0, 538032.0)	(29.0, 679716.0)	(30.0, 847171.0)	(31.0, 1042576.0)	(32.0, 1266790.0)	(33.0, 1540060.0)	(34.0, 1892435.0)	(35.0, 2358475.0)	(36.0, 2993744.0)	(37.0, 3866498.0)	(38.0, 5069030.0)	(39.0, 6006256.0)	(40.0, 543582.0)
SRR13380448_1	(17.0, 4.0)	(18.0, 59.0)	(19.0, 921.0)	(20.0, 5849.0)	(21.0, 15216.0)	(22.0, 23658.0)	(23.0, 32604.0)	(24.0, 43194.0)	(25.0, 56786.0)	(26.0, 75279.0)	(27.0, 95047.0)	(28.0, 113700.0)	(29.0, 144182.0)	(30.0, 181907.0)	(31.0, 225741.0)	(32.0, 279860.0)	(33.0, 349518.0)	(34.0, 450161.0)	(35.0, 601019.0)	(36.0, 838239.0)	(37.0, 1234307.0)	(38.0, 1820329.0)	(39.0, 2503875.0)	(40.0, 402257.0)
SRR13380458_1	(17.0, 2.0)	(18.0, 34.0)	(19.0, 614.0)	(20.0, 4555.0)	(21.0, 12209.0)	(22.0, 19066.0)	(23.0, 26435.0)	(24.0, 35506.0)	(25.0, 46194.0)	(26.0, 61471.0)	(27.0, 78929.0)	(28.0, 95976.0)	(29.0, 120978.0)	(30.0, 154107.0)	(31.0, 192252.0)	(32.0, 238331.0)	(33.0, 296504.0)	(34.0, 380623.0)	(35.0, 504912.0)	(36.0, 704613.0)	(37.0, 1037387.0)	(38.0, 1544571.0)	(39.0, 1959082.0)	(40.0, 268669.0)
