Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR13380421_1	(1.0, 44.040399959947436)	(2.0, 10.719718421378193)	(3.0, 3.900691012761251)	(4.0, 2.062188625279955)	(5.0, 1.3606420653540943)	(6.0, 1.0232000399743229)	(7.0, 0.7806580364371988)	(8.0, 0.7202251760961503)	(9.0, 0.5677053092030191)	('>10', 7.4298031986117286)	('>50', 3.276445826434562)	('>100', 7.258556669767395)	('>500', 6.599816499027942)	('>1k', 8.981639623781678)	('>5k', 0.07143353960733415)	('>10k+', 1.2068759963376623)
SRR13380425_1	(1.0, 46.42241524350666)	(2.0, 11.78248874854749)	(3.0, 4.209402090854239)	(4.0, 2.255092614256873)	(5.0, 1.502832504248153)	(6.0, 1.183050331852088)	(7.0, 0.8841034833289768)	(8.0, 0.7567760208598944)	(9.0, 0.5672515128469785)	('>10', 7.225711584132785)	('>50', 2.9914684397303763)	('>100', 11.916881782435349)	('>500', 2.5765489658256633)	('>1k', 4.466057233247418)	('>5k', 0.3140886720538828)	('>10k+', 0.9458307722730274)
SRR13380426_1	(1.0, 47.60360001175077)	(2.0, 9.358625921487022)	(3.0, 3.5071735824580785)	(4.0, 1.9823856203104098)	(5.0, 1.2833702855228306)	(6.0, 1.0024924731961613)	(7.0, 0.7671204095448553)	(8.0, 0.6192176583786132)	(9.0, 0.5176738706491968)	('>10', 8.053755081000174)	('>50', 4.35389312310995)	('>100', 11.6569211517763)	('>500', 5.466520350227441)	('>1k', 2.927473412880998)	('>5k', 0.023047453925535557)	('>10k+', 0.8767295937815062)
SRR13380427_1	(1.0, 43.22518998740955)	(2.0, 8.896831349644902)	(3.0, 3.285055645806644)	(4.0, 1.8457155588986778)	(5.0, 1.2739953103452353)	(6.0, 0.9736310607092455)	(7.0, 0.7150590314540297)	(8.0, 0.6024425158827655)	(9.0, 0.5205370785844049)	('>10', 8.07017463174283)	('>50', 5.2979613565669)	('>100', 15.779262400440619)	('>500', 4.890911883934492)	('>1k', 3.4069449581113282)	('>5k', 0.11255334367447106)	('>10k+', 1.1037338867939128)
SRR13380430_1	(1.0, 51.14109900065081)	(2.0, 9.85668642308806)	(3.0, 3.914147526122479)	(4.0, 2.2043331100085357)	(5.0, 1.4787969193408386)	(6.0, 1.0945366284447104)	(7.0, 0.8991394814612385)	(8.0, 0.7848510307807196)	(9.0, 0.5763001947272091)	('>10', 7.0101806495308585)	('>50', 3.05298783282634)	('>100', 7.901926737131435)	('>500', 5.348603184047472)	('>1k', 3.8981449513810147)	('>5k', 0.021836561218445696)	('>10k+', 0.8164297692397914)
SRR13380434_1	(1.0, 50.661217038587495)	(2.0, 9.848693078950747)	(3.0, 3.765032501463561)	(4.0, 2.1038060443168387)	(5.0, 1.468353291408368)	(6.0, 1.1023511682909508)	(7.0, 0.860117319332279)	(8.0, 0.7079876792427031)	(9.0, 0.6341768289128826)	('>10', 7.5497252427821575)	('>50', 3.1785006384172565)	('>100', 7.099683385993326)	('>500', 4.7311658996677375)	('>1k', 5.189663602728057)	('>5k', 0.09150814721610517)	('>10k+', 1.0080181326893325)
SRR13380441_1	(1.0, 28.33201346233402)	(2.0, 7.582794076541719)	(3.0, 2.845066460963689)	(4.0, 1.5621976141303122)	(5.0, 1.0780854980096242)	(6.0, 0.8112449078243539)	(7.0, 0.6813811885687421)	(8.0, 0.5654402228426127)	(9.0, 0.4780465022905492)	('>10', 7.213195547217656)	('>50', 4.399913062342513)	('>100', 19.506952268662424)	('>500', 12.488390452283005)	('>1k', 11.773020401199421)	('>5k', 0.2540365715067975)	('>10k+', 0.42822176328264194)
SRR13380446_1	(1.0, 51.512050035574276)	(2.0, 9.559884522573167)	(3.0, 3.7429325779669016)	(4.0, 2.0578891269520283)	(5.0, 1.4195848481358266)	(6.0, 1.1469022998383083)	(7.0, 0.8892545677640676)	(8.0, 0.7630169190340155)	(9.0, 0.6846937241818503)	('>10', 7.970984342383945)	('>50', 2.8461519628136216)	('>100', 5.57597356158973)	('>500', 4.766864360069301)	('>1k', 6.574871553616306)	('>5k', 0.0980313452062504)	('>10k+', 0.39091425230039917)
SRR13380448_1	(1.0, 55.93474172633258)	(2.0, 7.956691135872074)	(3.0, 2.917444758784346)	(4.0, 1.6602676105254135)	(5.0, 1.2042559132854085)	(6.0, 0.8906861138905455)	(7.0, 0.6920915731546969)	(8.0, 0.6454569853730436)	(9.0, 0.5191720391475938)	('>10', 7.95652778071195)	('>50', 3.469687437073335)	('>100', 10.679342023007758)	('>500', 3.646834473466578)	('>1k', 1.437287293438502)	('>5k', 0.0)	('>10k+', 0.3895131359361576)
SRR13380458_1	(1.0, 58.738542305982264)	(2.0, 6.9049838716500584)	(3.0, 2.6341241640878694)	(4.0, 1.6446189327851868)	(5.0, 1.2090617889446615)	(6.0, 0.9265538680499221)	(7.0, 0.7608444596673978)	(8.0, 0.6208310353840376)	(9.0, 0.5291294416266732)	('>10', 8.36766435191512)	('>50', 3.6307897219737213)	('>100', 10.073805882429031)	('>500', 1.0866953738260683)	('>1k', 1.4924385042961048)	('>5k', 1.0289053308529612)	('>10k+', 0.3510109665289963)
