Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SRR13380421_1	(24, 426.0)	(26, 1397.0)	(28, 2416.0)	(30, 4422.0)	(32, 6468.0)	(34, 9205.0)	(36, 12373.0)	(38, 15629.0)	(40, 17793.0)	(42, 22666.0)	(44, 24350.0)	(46, 36345.0)	(48, 39701.0)	(50, 46904.0)	(52, 41071.0)	(54, 52052.0)	(56, 61447.0)	(58, 65365.0)	(60, 73654.0)	(62, 67380.0)	(64, 76892.0)	(66, 99728.0)	(68, 91544.0)	(70, 96612.0)	(72, 0.0)	(74, 0.0)	(76, 26463074.0)
SRR13380425_1	(24, 193.0)	(26, 714.0)	(28, 1343.0)	(30, 2514.0)	(32, 3883.0)	(34, 5630.0)	(36, 7679.0)	(38, 9907.0)	(40, 12360.0)	(42, 15755.0)	(44, 18205.0)	(46, 27114.0)	(48, 30617.0)	(50, 36192.0)	(52, 33435.0)	(54, 42380.0)	(56, 50093.0)	(58, 55119.0)	(60, 63594.0)	(62, 60922.0)	(64, 69493.0)	(66, 83575.0)	(68, 84560.0)	(70, 91803.0)	(72, 0.0)	(74, 0.0)	(76, 25289030.0)
SRR13380426_1	(24, 224.0)	(26, 782.0)	(28, 1580.0)	(30, 2984.0)	(32, 4694.0)	(34, 6580.0)	(36, 8935.0)	(38, 11200.0)	(40, 13826.0)	(42, 17256.0)	(44, 19698.0)	(46, 28829.0)	(48, 31879.0)	(50, 37566.0)	(52, 34636.0)	(54, 43693.0)	(56, 51240.0)	(58, 54546.0)	(60, 62643.0)	(62, 58669.0)	(64, 66889.0)	(66, 82852.0)	(68, 80168.0)	(70, 85990.0)	(72, 0.0)	(74, 0.0)	(76, 23485165.0)
SRR13380427_1	(24, 265.0)	(26, 1005.0)	(28, 1881.0)	(30, 3421.0)	(32, 5309.0)	(34, 7516.0)	(36, 9699.0)	(38, 12192.0)	(40, 15618.0)	(42, 18774.0)	(44, 21155.0)	(46, 33896.0)	(48, 36724.0)	(50, 43842.0)	(52, 36754.0)	(54, 47942.0)	(56, 59082.0)	(58, 61398.0)	(60, 71972.0)	(62, 62969.0)	(64, 73469.0)	(66, 95046.0)	(68, 85212.0)	(70, 90984.0)	(72, 0.0)	(74, 0.0)	(76, 24779127.0)
SRR13380430_1	(24, 428.0)	(26, 1615.0)	(28, 2856.0)	(30, 4607.0)	(32, 7477.0)	(34, 10503.0)	(36, 14642.0)	(38, 18232.0)	(40, 21601.0)	(42, 26580.0)	(44, 30393.0)	(46, 39694.0)	(48, 45016.0)	(50, 51025.0)	(52, 52576.0)	(54, 61313.0)	(56, 69852.0)	(58, 76811.0)	(60, 85830.0)	(62, 86960.0)	(64, 96789.0)	(66, 112031.0)	(68, 117253.0)	(70, 126702.0)	(72, 0.0)	(74, 0.0)	(76, 26792562.0)
SRR13380434_1	(24, 227.0)	(26, 800.0)	(28, 1528.0)	(30, 2804.0)	(32, 4574.0)	(34, 6431.0)	(36, 8904.0)	(38, 11212.0)	(40, 14117.0)	(42, 18506.0)	(44, 20659.0)	(46, 29410.0)	(48, 33790.0)	(50, 39735.0)	(52, 36310.0)	(54, 46182.0)	(56, 54936.0)	(58, 58850.0)	(60, 67264.0)	(62, 64135.0)	(64, 73415.0)	(66, 90767.0)	(68, 88273.0)	(70, 94743.0)	(72, 0.0)	(74, 0.0)	(76, 23200019.0)
SRR13380441_1	(24, 636.0)	(26, 1357.0)	(28, 1496.0)	(30, 2563.0)	(32, 3247.0)	(34, 4185.0)	(36, 5148.0)	(38, 6298.0)	(40, 7341.0)	(42, 9303.0)	(44, 10264.0)	(46, 13522.0)	(48, 14325.0)	(50, 16451.0)	(52, 17325.0)	(54, 20894.0)	(56, 28358.0)	(58, 28686.0)	(60, 36485.0)	(62, 33230.0)	(64, 38862.0)	(66, 54002.0)	(68, 53950.0)	(70, 62551.0)	(72, 0.0)	(74, 0.0)	(76, 31680504.0)
SRR13380446_1	(24, 11668.0)	(26, 35752.0)	(28, 9276.0)	(30, 31320.0)	(32, 13715.0)	(34, 34665.0)	(36, 22692.0)	(38, 40632.0)	(40, 37980.0)	(42, 54879.0)	(44, 57538.0)	(46, 75004.0)	(48, 84168.0)	(50, 102310.0)	(52, 113866.0)	(54, 133474.0)	(56, 149970.0)	(58, 171888.0)	(60, 191989.0)	(62, 211488.0)	(64, 235291.0)	(66, 263685.0)	(68, 286995.0)	(70, 307979.0)	(72, 0.0)	(74, 0.0)	(76, 27509645.0)
SRR13380448_1	(24, 1131.0)	(26, 1214.0)	(28, 1077.0)	(30, 1492.0)	(32, 1385.0)	(34, 1698.0)	(36, 1739.0)	(38, 2113.0)	(40, 2389.0)	(42, 2996.0)	(44, 3328.0)	(46, 4280.0)	(48, 4494.0)	(50, 5406.0)	(52, 5967.0)	(54, 7029.0)	(56, 8336.0)	(58, 9789.0)	(60, 11163.0)	(62, 12672.0)	(64, 14858.0)	(66, 18481.0)	(68, 21557.0)	(70, 24257.0)	(72, 0.0)	(74, 0.0)	(76, 9324861.0)
SRR13380458_1	(24, 768.0)	(26, 497.0)	(28, 673.0)	(30, 756.0)	(32, 972.0)	(34, 983.0)	(36, 1352.0)	(38, 1482.0)	(40, 1899.0)	(42, 4498.0)	(44, 2511.0)	(46, 4131.0)	(48, 3697.0)	(50, 4483.0)	(52, 4470.0)	(54, 5619.0)	(56, 8651.0)	(58, 8189.0)	(60, 11236.0)	(62, 9156.0)	(64, 11317.0)	(66, 17084.0)	(68, 15653.0)	(70, 17826.0)	(72, 0.0)	(74, 0.0)	(76, 7645117.0)
SRR13380466_1	(24, 508.0)	(26, 644.0)	(28, 540.0)	(30, 840.0)	(32, 724.0)	(34, 983.0)	(36, 1025.0)	(38, 1276.0)	(40, 1397.0)	(42, 1709.0)	(44, 1808.0)	(46, 3853.0)	(48, 2665.0)	(50, 3112.0)	(52, 3232.0)	(54, 4058.0)	(56, 6190.0)	(58, 5658.0)	(60, 7934.0)	(62, 6471.0)	(64, 8143.0)	(66, 12132.0)	(68, 11756.0)	(70, 13500.0)	(72, 0.0)	(74, 0.0)	(76, 8609041.0)
SRR13380471_1	(24, 279.0)	(26, 352.0)	(28, 298.0)	(30, 436.0)	(32, 405.0)	(34, 478.0)	(36, 474.0)	(38, 607.0)	(40, 687.0)	(42, 831.0)	(44, 949.0)	(46, 1737.0)	(48, 1298.0)	(50, 1601.0)	(52, 1575.0)	(54, 2053.0)	(56, 3348.0)	(58, 3035.0)	(60, 4342.0)	(62, 3444.0)	(64, 4445.0)	(66, 7023.0)	(68, 6627.0)	(70, 7944.0)	(72, 0.0)	(74, 0.0)	(76, 5690170.0)
