Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR13380421_1	40.745799999999996	90.2953	1866.7883319999999	27.428914	42.003800000000005	90.47202473127459	89.72679895181692	10.090104864625667	76.0	47.5881264926041	42.0	75.85566424540177	76	0.0	27.428914
SRR13380425_1	39.9972	90.348	1779.616978	26.09611	42.5699	92.42637478340316	91.79410007988812	7.98555057708864	76.0	44.444710511037954	42.0	75.96398762114353	76	0.0	26.09611
SRR13380426_1	40.7421	90.2196	1653.059528	24.292524	42.464400000000005	91.4245872941834	90.73283241934817	9.202010635161367	76.0	44.84764551145032	42.0	75.90763726321728	76	0.0	24.292524
SRR13380427_1	46.0268	90.15809999999999	1745.184826	25.675252	43.5362	88.35130985252134	87.64388111602102	12.283178808667145	76.0	49.55206424394323	43.0	75.87327953003148	76	0.0	25.675252
SRR13380430_1	36.2398	90.4693	1903.619845	27.953348	41.889199999999995	93.75857666639598	92.8630173773405	7.71955234585211	76.0	40.838298472030964	41.0	75.75255615177116	76	0.0	27.953348
SRR13380434_1	38.1476	90.2607	1637.633691	24.067591	42.5098	91.0090851056798	90.27273332404596	9.757120197939427	76.0	41.38395458820299	42.0	75.86634248105679	76	0.0	24.067591
SRR13380441_1	62.3246	95.7553	2332.313326	32.150983	48.7909	88.67364391529578	88.39156118885306	11.857841105770385	76.0	65.44266953322986	48.0	76.25057534010702	76	10.0	32.150983
SRR13380446_1	32.7643	90.7436	2039.185679	30.187869	43.8185	95.26620104430361	93.31113245446555	10.237112190828862	76.0	40.66519806769415	43.0	74.8923315686841	76	10.0	30.187869
SRR13380448_1	33.5848	93.4341	671.532705	9.493712	45.7696	97.32259410408524	96.94508937514793	2.7309072680471025	76.0	37.5654721077983	45.0	76.19569437117957	76	10.0	9.493712
SRR13380458_1	37.9623	93.255	549.4708029999999	7.78302	46.2414	84.81188004015341	84.48259027526588	15.449300213887101	76.0	35.33962254162634	46.0	76.19548170247539	76	10.0	7.78302
SRR13380466_1	40.8866	93.4605	617.049612	8.709199	46.428799999999995	89.08268513156094	88.85732878877438	10.725917794588552	76.0	40.28467824991988	46.0	76.30167039471712	76	10.0	8.709199
SRR13380471_1	40.2423	93.4371	407.105174	5.744438	47.2093	89.05808566071055	88.87904083327781	10.554004788987655	76.0	39.939987589561255	47.0	76.34222686362008	76	10.0	5.744438
