Module	Section	Sample Name	Source
fastp	all_sections	SRR13380421_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380421_fastp.json
fastp	all_sections	SRR13380425_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380425_fastp.json
fastp	all_sections	SRR13380426_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380426_fastp.json
fastp	all_sections	SRR13380427_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380427_fastp.json
fastp	all_sections	SRR13380430_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380430_fastp.json
fastp	all_sections	SRR13380434_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380434_fastp.json
fastp	all_sections	SRR13380441_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380441_fastp.json
fastp	all_sections	SRR13380446_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380446_fastp.json
fastp	all_sections	SRR13380448_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380448_fastp.json
fastp	all_sections	SRR13380458_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380458_fastp.json
fastp	all_sections	SRR13380466_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380466_fastp.json
fastp	all_sections	SRR13380471_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380471_fastp.json
FastQC	all_sections	SRR13380421_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380421_1.trim_fastqc.zip
FastQC	all_sections	SRR13380425_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380425_1.trim_fastqc.zip
FastQC	all_sections	SRR13380426_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380426_1.trim_fastqc.zip
FastQC	all_sections	SRR13380427_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380427_1.trim_fastqc.zip
FastQC	all_sections	SRR13380430_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380430_1.trim_fastqc.zip
FastQC	all_sections	SRR13380434_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380434_1.trim_fastqc.zip
FastQC	all_sections	SRR13380441_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380441_1.trim_fastqc.zip
FastQC	all_sections	SRR13380446_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380446_1.trim_fastqc.zip
FastQC	all_sections	SRR13380448_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380448_1.trim_fastqc.zip
FastQC	all_sections	SRR13380458_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380458_1.trim_fastqc.zip
FastQC	all_sections	SRR13380466_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380466_1.trim_fastqc.zip
FastQC	all_sections	SRR13380471_1	/Users/burhanshah/Desktop/diabetes-cerna-rnaseq/results/qc/trimmed/SRR13380471_1.trim_fastqc.zip
