gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,gene_biotype
ENSG00000284653,31.66917075,5.781300509,0.580611509,9.957261299,2.34e-23,5.17e-19,,lncRNA
ENSG00000205231,40.19260703,2.597062393,0.437993125,5.929459264,3.04e-09,2.24e-06,TTLL10-AS1,lncRNA
ENSG00000224387,13.62339141,2.463513597,0.424510458,5.803187059,6.51e-09,4.17e-06,,lncRNA
ENSG00000251095,180.1609009,1.356635481,0.238080821,5.698214056,1.21e-08,7.03e-06,,lncRNA
ENSG00000226017,13.88370873,1.514598122,0.274964293,5.508344762,3.62e-08,1.66e-05,PRICKLE2-AS3,lncRNA
ENSG00000225126,6.268192631,2.850246761,0.523704986,5.442466345,5.25e-08,2.23e-05,CAMTA1-AS1,lncRNA
ENSG00000255829,13.43372308,-1.172761756,0.216116906,-5.426515565,5.75e-08,2.31e-05,,lncRNA
ENSG00000227589,68.21718681,1.99104372,0.373759888,5.327066341,9.98e-08,3.41e-05,TP73-AS3,lncRNA
ENSG00000206417,34.40694021,1.144067851,0.228452946,5.007892739,5.5e-07,0.000130549,H1-10-AS1,lncRNA
ENSG00000163364,44.85649089,1.803059782,0.361421855,4.988795654,6.08e-07,0.000135236,LINC01116,lncRNA
ENSG00000235020,33.54869378,1.330002088,0.277355718,4.795293561,1.62e-06,0.000263518,,lncRNA
ENSG00000271959,32.43625388,2.193585697,0.45876326,4.781519993,1.74e-06,0.000271365,,lncRNA
ENSG00000225756,24.53721962,1.618509843,0.356410782,4.541136032,5.6e-06,0.000646318,DBH-AS1,lncRNA
ENSG00000258498,10.65012647,2.241775515,0.496710125,4.513247068,6.38e-06,0.000704279,DIO3OS,lncRNA
ENSG00000259929,23.92950917,1.738501558,0.391547062,4.440083263,8.99e-06,0.000885712,,lncRNA
ENSG00000245532,3621.812837,1.187182167,0.268059632,4.428798758,9.48e-06,0.000912959,NEAT1,lncRNA
ENSG00000259370,14.18008602,2.921152136,0.660671472,4.421489738,9.8e-06,0.000936223,,lncRNA
ENSG00000277837,7.999771845,2.324969932,0.526218926,4.418256007,9.95e-06,0.000946241,,lncRNA
ENSG00000236963,5.527156373,2.611646056,0.603426251,4.328028573,1.5e-05,0.001262002,LINC01141,lncRNA
ENSG00000177337,46.40957368,1.189765207,0.277494508,4.28752704,1.81e-05,0.001379306,DLGAP1-AS1,lncRNA
ENSG00000223956,26.52351392,1.653872079,0.388429716,4.257841282,2.06e-05,0.001533344,LINC01767,lncRNA
ENSG00000256540,65.28215745,1.111052472,0.264793401,4.195922054,2.72e-05,0.001856323,IQSEC3-AS1,lncRNA
ENSG00000225833,12.74153835,-1.951774089,0.46669228,-4.182143503,2.89e-05,0.001934852,ACE2-DT,lncRNA
ENSG00000259367,11.09190707,1.277310344,0.308927322,4.134662924,3.55e-05,0.002188518,AKAP13-AS1,lncRNA
ENSG00000254431,4.214953778,2.404065568,0.591549879,4.064011596,4.82e-05,0.002628966,,lncRNA
ENSG00000225683,39.23011085,1.032080839,0.258222539,3.996865815,6.42e-05,0.003154977,PACRG-AS3,lncRNA
ENSG00000280025,4.70589904,3.198135087,0.800753924,3.993904981,6.5e-05,0.00318658,,lncRNA
ENSG00000247809,37.42669082,1.470248596,0.371142436,3.961413331,7.45e-05,0.003497569,NR2F2-AS1,lncRNA
ENSG00000233208,3.296482517,2.836450817,0.717679373,3.952253504,7.74e-05,0.003580897,LINC00642,lncRNA
ENSG00000233860,12.68191458,1.216861257,0.313130714,3.886112735,0.000101862,0.004251306,SHROOM3-AS1,lncRNA
ENSG00000256085,18.10525243,1.242455549,0.320368639,3.878205913,0.00010523,0.004303888,,lncRNA
ENSG00000265485,40.6381049,1.689082111,0.439269171,3.845209777,0.000120449,0.004762498,LINC01915,lncRNA
ENSG00000273972,8.49039583,1.976807002,0.517257993,3.821704118,0.000132533,0.005112007,,lncRNA
ENSG00000282961,36.71911586,1.110806173,0.290723164,3.820838204,0.000132999,0.005121037,PRNCR1,lncRNA
ENSG00000251171,3.555610277,1.95428734,0.514387475,3.799251408,0.000145134,0.005381659,,lncRNA
ENSG00000232715,6.222163199,1.902708988,0.505109109,3.766926697,0.00016527,0.00592457,LINC01022,lncRNA
ENSG00000245330,3.685823229,1.90891806,0.508826465,3.751609223,0.000175703,0.006202463,DEPTOR-AS1,lncRNA
ENSG00000255670,8.712537497,1.193771322,0.320317545,3.726837135,0.000193898,0.006546181,,lncRNA
ENSG00000258231,81.23902416,1.09876977,0.29560115,3.717068661,0.000201548,0.006666786,,lncRNA
ENSG00000249690,4.846487786,1.849886519,0.503289873,3.6755886,0.000237302,0.007415845,,lncRNA
ENSG00000226453,4.699370722,2.147706472,0.584749762,3.67286421,0.000239847,0.007442677,LINC02542,lncRNA
ENSG00000265752,3.95856736,2.085284731,0.569201839,3.663524231,0.000248769,0.007601916,LINC02958,lncRNA
ENSG00000229989,41.25214787,1.3925238,0.385154837,3.615490877,0.000299779,0.008661236,MIR181A1HG,lncRNA
ENSG00000237250,31.01121693,2.010189038,0.561618128,3.579280899,0.000344541,0.009327126,,lncRNA
ENSG00000281831,34.04801589,1.367624712,0.382085465,3.579368588,0.000344425,0.009327126,HCP5B,lncRNA
ENSG00000274565,3.311588525,2.295526125,0.649668018,3.533383298,0.000410277,0.010550053,,lncRNA
ENSG00000228174,19.19606952,1.054508892,0.300233728,3.51229324,0.000444258,0.011075315,,lncRNA
ENSG00000230928,12.94222399,1.822835337,0.520573287,3.501592154,0.000462487,0.011422994,,lncRNA
ENSG00000231252,4.809773366,2.155181857,0.618452008,3.484800484,0.000492504,0.011747155,,lncRNA
ENSG00000230836,3.469315165,3.12380529,0.902624512,3.460802634,0.000538568,0.012399431,LINC01293,lncRNA
ENSG00000234675,3.713593473,1.45600463,0.420973852,3.458658113,0.000542874,0.012450539,,lncRNA
ENSG00000250698,12.47511441,1.044707105,0.303237879,3.445173497,0.000570693,0.0128224,,lncRNA
ENSG00000276250,9.067653267,1.076710546,0.31252801,3.445164949,0.000570711,0.0128224,,lncRNA
ENSG00000228536,19.81766291,2.045491142,0.593830144,3.444572768,0.000571963,0.012837449,LYPLAL1-AS1,lncRNA
ENSG00000251003,5.023492573,1.691056629,0.495948548,3.409742071,0.000650243,0.014023774,ZFPM2-AS1,lncRNA
ENSG00000265666,5.454766409,1.535044194,0.455645256,3.368945852,0.000754563,0.015544269,RARA-AS1,lncRNA
ENSG00000235531,37.51833125,1.249307299,0.370922213,3.368111307,0.00075685,0.015552132,MSC-AS1,lncRNA
ENSG00000235050,13.33485509,1.264986944,0.375687602,3.367124536,0.000759564,0.015561129,MLIP-AS1,lncRNA
ENSG00000226454,11.91686536,-1.10947176,0.336601736,-3.296096374,0.000980384,0.018237949,,lncRNA
ENSG00000259644,23.44654311,1.046454084,0.318098251,3.289719705,0.001002872,0.018428771,,lncRNA
ENSG00000272168,20.87639008,1.38713301,0.421667628,3.289636,0.001003171,0.018428771,CASC15,lncRNA
ENSG00000254401,4.081803497,2.108628622,0.64198781,3.284530624,0.001021524,0.018672645,LINC02752,lncRNA
ENSG00000233695,4.165523231,1.886794688,0.575750484,3.277104822,0.001048774,0.018889067,GAS6-AS1,lncRNA
ENSG00000253829,3.688019267,1.289965547,0.393392925,3.279076631,0.001041474,0.018889067,,lncRNA
ENSG00000270547,7.941945214,2.33441746,0.712319343,3.277206329,0.001048397,0.018889067,LINC01235,lncRNA
ENSG00000246820,3.616864937,2.546022207,0.778275746,3.271362649,0.001070306,0.019075079,RIC3-DT,lncRNA
ENSG00000259275,5.065838485,1.636404764,0.50049311,3.269585,0.001077054,0.019148297,,lncRNA
ENSG00000175746,6.317552832,2.005260168,0.614260389,3.264511602,0.00109653,0.019393727,LINC02915,lncRNA
ENSG00000255081,5.267359805,1.182686568,0.363163157,3.256625969,0.001127449,0.019679514,,lncRNA
ENSG00000253967,6.55010734,2.810429243,0.86749713,3.239698606,0.001196561,0.020464904,LINC03020,lncRNA
ENSG00000227681,7.911632315,1.180743768,0.367865314,3.209717587,0.001328654,0.021882561,,lncRNA
ENSG00000277595,3.550960876,2.018219496,0.630725184,3.199839721,0.00137504,0.022360395,,lncRNA
ENSG00000259594,5.862177073,2.19704097,0.690142752,3.183458732,0.001455269,0.02308238,,lncRNA
ENSG00000231172,5.734048789,1.550977643,0.488116498,3.177474334,0.001485638,0.023379201,EVA1A-AS,lncRNA
ENSG00000259926,6.2862043,1.54551272,0.486340468,3.177841085,0.001483761,0.023379201,,lncRNA
ENSG00000230148,12.71622223,1.675915392,0.52784983,3.174985188,0.001498442,0.02346189,HOXB-AS1,lncRNA
ENSG00000254865,6.38214631,1.231225578,0.38859671,3.168389095,0.001532862,0.023840628,,lncRNA
ENSG00000242588,9.034061335,1.064887815,0.33680135,3.16176825,0.001568143,0.024110064,,lncRNA
ENSG00000234546,15.03986252,1.067820287,0.338354228,3.155924168,0.001599904,0.024411268,LNCTAM34A,lncRNA
ENSG00000241956,6.697140915,2.035329264,0.646052662,3.150407673,0.001630428,0.024672242,LINC03000,lncRNA
ENSG00000262691,3.46900053,2.066586143,0.656521073,3.14778341,0.001645135,0.024776011,,lncRNA
ENSG00000284721,3.371740128,1.946482933,0.618724042,3.145962984,0.00165541,0.024854296,,lncRNA
ENSG00000237359,22.82120199,1.026439833,0.326892036,3.139996448,0.001689499,0.025110627,,lncRNA
ENSG00000233073,5.023097658,1.748431317,0.557625219,3.135495414,0.001715641,0.025336138,GRM3-AS1,lncRNA
ENSG00000248245,5.133242999,1.616411261,0.515656364,3.13466753,0.00172049,0.025373775,,lncRNA
ENSG00000204581,10.87926726,1.288600723,0.413355717,3.117413574,0.001824454,0.026286128,ACOXL-AS1,lncRNA
ENSG00000275476,13.17613616,1.081510786,0.348354434,3.104627582,0.001905187,0.026944968,,lncRNA
ENSG00000228495,3.484107742,2.046219459,0.661438688,3.093589015,0.001977512,0.027666361,LINC01013,lncRNA
ENSG00000254187,18.2611505,1.163284683,0.377671016,3.080153451,0.00206894,0.028415252,,lncRNA
ENSG00000267136,10.25308546,1.192737564,0.387931696,3.074607142,0.0021078,0.028694092,,lncRNA
ENSG00000238005,11.79740462,1.000493682,0.325544847,3.073289872,0.002117127,0.028797891,LNCATV,lncRNA
ENSG00000224397,7.161477418,2.037911658,0.669200295,3.045294023,0.002324529,0.030382756,PELATON,lncRNA
ENSG00000228033,7.635885378,1.178984655,0.387626249,3.041550099,0.002353634,0.03068674,,lncRNA
ENSG00000259351,16.25027147,1.127003157,0.371076809,3.03711558,0.002388539,0.030962588,,lncRNA
ENSG00000226702,50.84632098,1.511805382,0.500137931,3.022776898,0.002504668,0.031782032,MIR217HG,lncRNA
ENSG00000251450,4.609440564,1.395645786,0.462037516,3.020633037,0.002522469,0.031947891,RASGRF2-AS1,lncRNA
ENSG00000273001,5.132310979,1.642211663,0.54594355,3.008024664,0.002629518,0.032795396,PFKP-DT,lncRNA
ENSG00000259712,5.904880717,1.588303714,0.529289887,3.000820067,0.002692536,0.033058111,,lncRNA
ENSG00000228539,5.553201026,2.006163528,0.67326019,2.979774473,0.002884607,0.034196032,,lncRNA
ENSG00000250337,26.16655785,1.044013484,0.350574962,2.978003555,0.002901326,0.034265319,PURPL,lncRNA
ENSG00000231383,7.529698563,1.367264501,0.461042799,2.965591271,0.003021017,0.03510514,FGF12-AS1,lncRNA
ENSG00000227963,7.87149692,1.377171699,0.464845606,2.962643255,0.003050098,0.035288055,RBM15-AS1,lncRNA
ENSG00000267313,87.73695728,1.16784625,0.394986999,2.956670103,0.003109806,0.035776249,KC6,lncRNA
ENSG00000273891,12.0760872,1.064775689,0.360721577,2.951793731,0.003159339,0.036116319,,lncRNA
ENSG00000276542,5.23628575,1.73937672,0.59033671,2.94641463,0.003214811,0.036467036,,lncRNA
ENSG00000228791,11.50420507,1.070776675,0.364241589,2.939743033,0.003284845,0.036957443,THRB-AS1,lncRNA
ENSG00000260259,7.618557746,1.079408155,0.368677653,2.927782972,0.003413882,0.038002265,LINC02166,lncRNA
ENSG00000258131,8.005706116,1.275739622,0.4390803,2.905481346,0.003666887,0.039562879,,lncRNA
ENSG00000276107,26.68026674,1.409446509,0.486322683,2.898171437,0.003753454,0.040180711,THBS1-IT1,lncRNA
ENSG00000223525,4.787212706,1.23974976,0.428139351,2.895668797,0.003783515,0.040219297,RABGAP1L-IT1,lncRNA
ENSG00000254718,7.000542838,1.066882926,0.368732791,2.893376863,0.003811237,0.040326106,,lncRNA
ENSG00000256721,5.786852821,1.257036335,0.434693383,2.891777017,0.003830697,0.040399939,CACNA1C-IT3,lncRNA
ENSG00000280169,6.283876262,1.478082348,0.511119085,2.891855127,0.003829745,0.040399939,,lncRNA
ENSG00000248378,22.43778153,1.05878259,0.367246219,2.883031971,0.003938675,0.040932161,,lncRNA
ENSG00000248810,37.05166232,1.034522952,0.358973591,2.88189153,0.003952958,0.041003342,LINC02432,lncRNA
ENSG00000242686,7.651575852,1.149702116,0.399555076,2.877455909,0.004008959,0.041401475,PDE6B-AS1,lncRNA
ENSG00000260918,11.09896168,1.463270064,0.509151034,2.873941062,0.004053846,0.041648056,,lncRNA
ENSG00000273424,5.947294236,1.221890886,0.428598576,2.850898149,0.004359593,0.04360186,,lncRNA
ENSG00000270174,3.896677875,1.487713337,0.523544921,2.841615454,0.00448856,0.044423046,,lncRNA
ENSG00000228073,3.593243034,1.447589261,0.510468896,2.835803067,0.004571062,0.044918538,,lncRNA
ENSG00000236173,6.120812275,1.525908892,0.540242305,2.824489824,0.004735595,0.046070223,,lncRNA
ENSG00000261514,58.52044729,1.093959622,0.387353482,2.824189462,0.004740036,0.046070223,LINC01976,lncRNA
ENSG00000231107,20.2597545,1.186451829,0.424591241,2.794338914,0.005200594,0.048677091,LINC01508,lncRNA
ENSG00000248174,19.07947723,1.33694445,0.479716471,2.786947146,0.005320716,0.049303212,LINC02268,lncRNA
ENSG00000270457,3.312639333,1.244462247,0.446783762,2.785379311,0.005346514,0.049479923,,lncRNA
