gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,gene_biotype
ENSG00000081181,357.1196445,-1.683735003,0.182147402,-9.243804663,2.38e-20,2.62e-16,ARG2,protein_coding
ENSG00000050165,360.4981131,1.863971101,0.211268181,8.822772517,1.12e-18,8.21e-15,DKK3,protein_coding
ENSG00000069424,110.2563413,1.658287576,0.199497768,8.312311422,9.39e-17,5.18e-13,KCNAB2,protein_coding
ENSG00000147003,570.2509364,-1.387700071,0.173447591,-8.000688051,1.24e-15,5.46e-12,CLTRN,protein_coding
ENSG00000170509,435.6949193,2.066489687,0.261838568,7.892228035,2.97e-15,1.09e-11,HSD17B13,protein_coding
ENSG00000175785,16.52953494,3.998831989,0.514949531,7.765483316,8.13e-15,2.56e-11,PRIMA1,protein_coding
ENSG00000127870,2001.739228,-1.354952844,0.174953,-7.744667667,9.58e-15,2.6e-11,RNF6,protein_coding
ENSG00000163710,35.37617216,3.901822944,0.507369181,7.690303407,1.47e-14,3.24e-11,PCOLCE2,protein_coding
ENSG00000136872,879.2427207,2.969509273,0.387850557,7.656323342,1.91e-14,3.84e-11,ALDOB,protein_coding
ENSG00000163581,445.5336675,-1.766057313,0.235122579,-7.511219565,5.86e-14,1.08e-10,SLC2A2,protein_coding
ENSG00000165195,628.2181057,-1.286081433,0.178061001,-7.222701364,5.1e-13,8.09e-10,PIGA,protein_coding
ENSG00000173432,70.18440218,4.535970107,0.628108431,7.221635448,5.14e-13,8.09e-10,SAA1,protein_coding
ENSG00000172575,600.4067569,-1.229679374,0.173520038,-7.086670733,1.37e-12,2.02e-09,RASGRP1,protein_coding
ENSG00000176928,1248.349824,-1.030383126,0.147999186,-6.96208642,3.35e-12,4.62e-09,GCNT4,protein_coding
ENSG00000151834,19.13979156,-3.757654033,0.547094547,-6.868381447,6.49e-12,8.43e-09,GABRA2,protein_coding
ENSG00000204347,25.50951417,1.641220751,0.261010119,6.287958332,3.22e-10,3.74e-07,BTBD17,protein_coding
ENSG00000135472,218.22691,2.1189637,0.342321619,6.1899792,6.02e-10,6.03e-07,FAIM2,protein_coding
ENSG00000171227,377.7757994,-1.049879441,0.170526171,-6.156705669,7.43e-10,7.12e-07,TMEM37,protein_coding
ENSG00000134121,485.2142062,-1.508961572,0.245665805,-6.142334603,8.13e-10,7.48e-07,CHL1,protein_coding
ENSG00000116690,218.8080235,1.317939271,0.218017842,6.045098229,1.49e-09,1.32e-06,PRG4,protein_coding
ENSG00000142156,308.3358533,1.005228723,0.169304198,5.937411688,2.9e-09,2.2e-06,COL6A1,protein_coding
ENSG00000163803,68.0337484,1.303365964,0.219300087,5.943298897,2.79e-09,2.2e-06,PLB1,protein_coding
ENSG00000010282,231.6037421,-1.505342737,0.260691191,-5.774428854,7.72e-09,4.73e-06,HHATL,protein_coding
ENSG00000168918,64.18024447,1.274599358,0.229070601,5.564220612,2.63e-08,1.29e-05,INPP5D,protein_coding
ENSG00000123836,12001.13717,-1.055055271,0.191739847,-5.502535278,3.74e-08,1.69e-05,PFKFB2,protein_coding
ENSG00000116329,105.7640185,-1.115443454,0.203751745,-5.474522216,4.39e-08,1.94e-05,OPRD1,protein_coding
