ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0002694,regulation of leukocyte activation,62/481,500/16547,0.124,4.26575467775468,12.8302996776088,1.7605021627793e-22,6.64941666881742e-19,3.64739999406701e-19,FCGR3A/HLA-DRB1/SPN/CD1D/CCL19/CCR7/INPP5D/TREM2/SLAMF8/CD300A/VSIG4/RUNX1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/LAPTM5/MMP14/CD3E/SAMSN1/CCL5/PYCARD/PLA2G2A/MILR1/CCL21/IL2RG/IL4R/PTPRC/HLA-DRB5/LAT/IGF1/KLRK1/CD74/LILRB4/RASGRP1/CD33/HLA-DRA/PDCD1LG2/KLRC4-KLRK1/MNDA/ARG2/IL16/FN1/RUNX3/TNFSF14/LGALS1/LGALS9C/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/LST1/PIK3R6/IL7R/ENPP3/CD84/TYROBP/HLA-DOA/CTSG/HAVCR2/TIGIT,62
GO:0051249,regulation of lymphocyte activation,54/481,435/16547,0.124137931034483,4.27049967739623,11.9604957030255,1.10203236244419e-19,2.08118811647585e-16,1.14159269929409e-16,FCGR3A/HLA-DRB1/SPN/CD1D/CCL19/CCR7/INPP5D/SLAMF8/CD300A/VSIG4/RUNX1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/LAPTM5/MMP14/CD3E/SAMSN1/CCL5/PYCARD/PLA2G2A/CCL21/IL2RG/PTPRC/HLA-DRB5/LAT/IGF1/KLRK1/CD74/LILRB4/RASGRP1/HLA-DRA/PDCD1LG2/KLRC4-KLRK1/MNDA/ARG2/RUNX3/TNFSF14/LGALS1/LGALS9C/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/LST1/PIK3R6/IL7R/TYROBP/HLA-DOA/CTSG/HAVCR2/TIGIT,54
GO:0022407,regulation of cell-cell adhesion,54/481,447/16547,0.120805369127517,4.15585539075472,11.703697410775,3.8490426598072e-19,4.84594470869727e-16,2.65814274876761e-16,HLA-DRB1/AKNA/SPN/CD1D/CCL19/CCR7/CD300A/VSIG4/RUNX1/FGA/HLA-DMA/HLA-DMB/HLA-DQA1/ADIPOQ/HLA-DQB2/IL18/LAPTM5/CD3E/CCL5/PYCARD/SERPINF2/PLA2G2A/IL1RN/CCL21/IL2RG/FERMT3/PTPRC/HLA-DRB5/IGF1/KLRK1/TRPV4/FGG/LILRB4/RASGRP1/HLA-DRA/ITGB2/PDCD1LG2/KLRC4-KLRK1/ARG2/RUNX3/TNFSF14/LGALS1/LGALS9C/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/PIK3R6/ADAM19/IL7R/HLA-DOA/CTSG/HAVCR2/TIGIT,54
GO:0007159,leukocyte cell-cell adhesion,49/481,378/16547,0.12962962962963,4.45942095942096,11.77261383664,9.89551431760613e-19,8.57349785927112e-16,4.70281493829149e-16,HLA-DRB1/SPN/OLR1/CD1D/CCL19/CCR7/ITGAX/CD300A/VSIG4/RUNX1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/LAPTM5/SELPLG/CD3E/CCL5/PYCARD/PLA2G2A/CCL21/IL2RG/FERMT3/PTPRC/HLA-DRB5/IGF1/KLRK1/LILRB4/RASGRP1/HLA-DRA/ITGB2/PDCD1LG2/KLRC4-KLRK1/ARG2/RUNX3/TNFSF14/LGALS1/LGALS9C/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/PIK3R6/IL7R/HLA-DOA/CTSG/HAVCR2/TIGIT,49
GO:0002683,negative regulation of immune system process,55/481,474/16547,0.116033755274262,3.99170592208567,11.434699776392,1.13496132635307e-18,8.57349785927112e-16,4.70281493829149e-16,C4BPB/HLA-DRB1/SPN/C4BPA/INPP5D/TREM2/SLAMF8/CD300A/RIN3/VSIG4/HMOX1/RUNX1/AURKB/ADIPOQ/SERPING1/COL3A1/IL18/LAPTM5/RAB7B/SAMSN1/PLA2G2A/MILR1/CARTPT/CCL21/SH2D1A/PTPRC/APOD/KLRK1/NPY/LILRB4/CD33/PADI2/PDCD1LG2/KLRC4-KLRK1/MNDA/ISG15/ARG2/FN1/RUNX3/GDF15/LGALS1/C1QC/LGALS9C/LGALS9/BST2/SOCS1/LST1/SLIT2/ENPP3/CD84/TYROBP/HLA-DOA/CTSG/HAVCR2/TIGIT,55
GO:0042110,T cell activation,55/481,482/16547,0.114107883817427,3.92545354163611,11.27824505172,2.44358793098535e-18,1.53823860255528e-15,8.43768972418987e-16,HLA-DRB1/SLAMF7/SPN/CD1D/CCL19/CCR7/TREM2/CD300A/VSIG4/JAML/RUNX1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/LAPTM5/LCP1/IL18R1/CD3E/CCL5/PYCARD/PLA2G2A/CCL21/IL2RG/PTPRC/CD3D/HLA-DRB5/LAT/IGF1/KLRK1/CD74/LILRB4/RASGRP1/HLA-DRA/PDCD1LG2/KLRC4-KLRK1/ARG2/RUNX3/TNFSF14/LGALS1/LGALS9C/CLEC2D/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/PIK3R6/IL7R/CD84/TYROBP/HLA-DOA/CTSG/HAVCR2/TIGIT,55
GO:0050863,regulation of T cell activation,45/481,331/16547,0.13595166163142,4.67690674639315,11.6920297398462,4.32988340495011e-18,2.33628137435665e-15,1.28151883020482e-15,HLA-DRB1/SPN/CD1D/CCL19/CCR7/CD300A/VSIG4/RUNX1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/LAPTM5/CD3E/CCL5/PYCARD/PLA2G2A/CCL21/IL2RG/PTPRC/HLA-DRB5/LAT/IGF1/KLRK1/LILRB4/RASGRP1/HLA-DRA/PDCD1LG2/KLRC4-KLRK1/ARG2/RUNX3/TNFSF14/LGALS1/LGALS9C/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/PIK3R6/IL7R/HLA-DOA/CTSG/HAVCR2/TIGIT,45
GO:1903037,regulation of leukocyte cell-cell adhesion,45/481,338/16547,0.133136094674556,4.58004773093531,11.5062610464018,9.87125302207597e-18,4.66046533304762e-15,2.55640187323838e-15,HLA-DRB1/SPN/CD1D/CCL19/CCR7/CD300A/VSIG4/RUNX1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/LAPTM5/CD3E/CCL5/PYCARD/PLA2G2A/CCL21/IL2RG/PTPRC/HLA-DRB5/IGF1/KLRK1/LILRB4/RASGRP1/HLA-DRA/ITGB2/PDCD1LG2/KLRC4-KLRK1/ARG2/RUNX3/TNFSF14/LGALS1/LGALS9C/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/PIK3R6/IL7R/HLA-DOA/CTSG/HAVCR2/TIGIT,45
GO:0002696,positive regulation of leukocyte activation,42/481,313/16547,0.134185303514377,4.61614182380956,11.175578663388,9.62339723391218e-17,3.66597465119379e-14,2.01089457722193e-14,FCGR3A/HLA-DRB1/CD1D/CCL19/CCR7/INPP5D/TREM2/RUNX1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/MMP14/CD3E/CCL5/PYCARD/CCL21/IL2RG/IL4R/PTPRC/HLA-DRB5/IGF1/KLRK1/CD74/LILRB4/RASGRP1/HLA-DRA/PDCD1LG2/KLRC4-KLRK1/IL16/RUNX3/TNFSF14/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/PIK3R6/IL7R/TYROBP/HLA-DOA/HAVCR2,42
GO:0045785,positive regulation of cell adhesion,49/481,422/16547,0.116113744075829,3.99445763663773,10.7817610873591,9.70604885145298e-17,3.66597465119379e-14,2.01089457722193e-14,TGM2/FBLN1/HLA-DRB1/CD1D/COL16A1/CCL19/CCR7/RUNX1/FGA/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/CD3E/CCL5/PYCARD/SAA1/SERPINF2/CCL21/IL2RG/PTPRC/HLA-DRB5/IGF1/KLRK1/NPY/FGG/LILRB4/RASGRP1/SFRP2/HLA-DRA/ITGB2/PDCD1LG2/KLRC4-KLRK1/LAMB2/FN1/RUNX3/TNFSF14/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/PIK3R6/CCDC80/ADAM19/IL7R/HLA-DOA/CTSG/HAVCR2,49
