ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006457,protein folding,36/831,215/16547,0.167441860465116,3.33412811686676,7.92136903395627,1.68618538496808e-10,3.01934703800788e-07,3.01934703800788e-07,AHSA1/ST13/DNAJA1/CCT6A/HSPA4L/HSPD1/VBP1/HSPA13/TCP1/CLGN/HSPA9/COA3/DNAJC3/HSP90AB1/CCT4/PDRG1/PPID/BAG5/HSPA4/PFDN1/CCT5/HSP90AA1/ANP32E/PPIE/CCT7/PEX19/CHORDC1/PTGES3/HSPH1/CCT2/LYRM7/CCT8/CCT3/HSPA8/GRPEL1/CDC37L1,36
GO:0032212,positive regulation of telomere maintenance via telomerase,12/831,23/16547,0.521739130434783,10.3889499293674,10.3609447942397,1.92911911206262e-10,3.01934703800788e-07,3.01934703800788e-07,CCT6A/DKC1/TCP1/TNKS2/CCT4/CCT5/HSP90AA1/CCT7/PTGES3/CCT2/CCT8/CCT3,12
GO:1903405,protein localization to nuclear body,9/831,12/16547,0.75,14.9341155234657,11.103092093241,3.73959256627184e-10,3.01934703800788e-07,3.01934703800788e-07,CCT6A/DKC1/TCP1/CCT4/CCT5/CCT7/CCT2/CCT8/CCT3,9
GO:1904867,protein localization to Cajal body,9/831,12/16547,0.75,14.9341155234657,11.103092093241,3.73959256627184e-10,3.01934703800788e-07,3.01934703800788e-07,CCT6A/DKC1/TCP1/CCT4/CCT5/CCT7/CCT2/CCT8/CCT3,9
GO:1904872,regulation of telomerase RNA localization to Cajal body,9/831,12/16547,0.75,14.9341155234657,11.103092093241,3.73959256627184e-10,3.01934703800788e-07,3.01934703800788e-07,CCT6A/DKC1/TCP1/CCT4/CCT5/CCT7/CCT2/CCT8/CCT3,9
GO:1904358,positive regulation of telomere maintenance via telomere lengthening,12/831,26/16547,0.461538461538462,9.19022493751736,9.61037533945874,1.19794252201962e-09,7.56264039269382e-07,7.56264039269382e-07,CCT6A/DKC1/TCP1/TNKS2/CCT4/CCT5/HSP90AA1/CCT7/PTGES3/CCT2/CCT8/CCT3,12
GO:1904869,regulation of protein localization to Cajal body,8/831,10/16547,0.8,15.9297232250301,10.8592393415552,1.61079196567902e-09,7.56264039269382e-07,7.56264039269382e-07,CCT6A/TCP1/CCT4/CCT5/CCT7/CCT2/CCT8/CCT3,8
GO:1904871,positive regulation of protein localization to Cajal body,8/831,10/16547,0.8,15.9297232250301,10.8592393415552,1.61079196567902e-09,7.56264039269382e-07,7.56264039269382e-07,CCT6A/TCP1/CCT4/CCT5/CCT7/CCT2/CCT8/CCT3,8
GO:0032210,regulation of telomere maintenance via telomerase,15/831,44/16547,0.340909090909091,6.78823432884805,8.84030003238715,1.68599860129414e-09,7.56264039269382e-07,7.56264039269382e-07,CCT6A/DKC1/TCP1/TNKS2/NAT10/CCT4/CCT5/HSP90AA1/CCT7/PTGES3/CCT2/CCT8/CCT3/HNRNPC/TERF2,15
GO:0007004,telomere maintenance via telomerase,17/831,58/16547,0.293103448275862,5.83632100917051,8.48414278438455,1.97919721941352e-09,7.99001917477238e-07,7.99001917477238e-07,CCT6A/DKC1/TCP1/TNKS2/NAT10/HSP90AB1/CCT4/XRCC5/CCT5/HSP90AA1/CCT7/PTGES3/CCT2/CCT8/CCT3/HNRNPC/TERF2,17
