ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006457,protein folding,36/831,215/16547,0.167441860465116,3.33412811686676,7.92136903395627,1.68618538496808e-10,3.01934703800788e-07,3.01934703800788e-07,AHSA1/ST13/DNAJA1/CCT6A/HSPA4L/HSPD1/VBP1/HSPA13/TCP1/CLGN/HSPA9/COA3/DNAJC3/HSP90AB1/CCT4/PDRG1/PPID/BAG5/HSPA4/PFDN1/CCT5/HSP90AA1/ANP32E/PPIE/CCT7/PEX19/CHORDC1/PTGES3/HSPH1/CCT2/LYRM7/CCT8/CCT3/HSPA8/GRPEL1/CDC37L1,36
GO:0032212,positive regulation of telomere maintenance via telomerase,12/831,23/16547,0.521739130434783,10.3889499293674,10.3609447942397,1.92911911206262e-10,3.01934703800788e-07,3.01934703800788e-07,CCT6A/DKC1/TCP1/TNKS2/CCT4/CCT5/HSP90AA1/CCT7/PTGES3/CCT2/CCT8/CCT3,12
GO:1904867,protein localization to Cajal body,9/831,12/16547,0.75,14.9341155234657,11.103092093241,3.73959256627184e-10,3.01934703800788e-07,3.01934703800788e-07,CCT6A/DKC1/TCP1/CCT4/CCT5/CCT7/CCT2/CCT8/CCT3,9
GO:1904872,regulation of telomerase RNA localization to Cajal body,9/831,12/16547,0.75,14.9341155234657,11.103092093241,3.73959256627184e-10,3.01934703800788e-07,3.01934703800788e-07,CCT6A/DKC1/TCP1/CCT4/CCT5/CCT7/CCT2/CCT8/CCT3,9
GO:1904871,positive regulation of protein localization to Cajal body,8/831,10/16547,0.8,15.9297232250301,10.8592393415552,1.61079196567902e-09,7.56264039269382e-07,7.56264039269382e-07,CCT6A/TCP1/CCT4/CCT5/CCT7/CCT2/CCT8/CCT3,8
GO:0042254,ribosome biogenesis,41/831,322/16547,0.127329192546584,2.53539849466706,6.39783013801698,4.02941643564436e-08,1.05287924173713e-05,1.05287924173713e-05,TFB2M/C1D/MAK16/DKC1/RAN/NMD3/WDR3/ABT1/WDR12/GNL2/UTP14C/POP5/MTREX/PAK1IP1/NAT10/NOLC1/NGDN/SDAD1/BRIX1/RIOK2/PRMT5/PA2G4/NOL10/UTP11/XRCC5/MPHOSPH10/DCAF13/RRP15/MTERF3/RIOK1/TSR1/RPF1/RPL7L1/RSL24D1/EIF2A/UTP15/SBDS/NIP7/NOP58/IMP3/DNTTIP2,41
GO:0016072,rRNA metabolic process,37/831,284/16547,0.130281690140845,2.59418908154099,6.23124290557761,1.02579216934749e-07,2.19304529459836e-05,2.19304529459836e-05,TFB2M/C1D/MAK16/DKC1/WDR3/ABT1/WDR12/GTF3C3/GTF3C4/POLR1F/UTP14C/NIFK/POP5/MTREX/PAK1IP1/NAT10/NOLC1/NGDN/BRIX1/RIOK2/PRMT5/PA2G4/NOL10/UTP11/MPHOSPH10/DCAF13/POLR1C/RRP15/RIOK1/TSR1/RPF1/RPL7L1/UTP15/SBDS/NOP58/IMP3/DNTTIP2,37
GO:0048193,Golgi vesicle transport,38/831,312/16547,0.121794871794872,2.42519824740041,5.84389550868516,3.98562750615276e-07,5.71505329653253e-05,5.71505329653253e-05,ARF5/EXOC8/RINT1/YIPF6/SORL1/SEC23IP/NAPA/PITPNB/SEC22B/RABIF/BBS2/RAB3IP/TMED7/USO1/TRAPPC11/PPP6C/YIPF5/COPB1/SAR1B/SEC31A/PREPL/COG6/CREB3L2/RAB6A/RAB14/GOLPH3L/BLZF1/SCFD1/PSMD14/GOLT1A/LYPLAL1/IER3IP1/CNIH4/GOLT1B/EXOC5/COG5/AP1AR/RAB10,38
GO:0050821,protein stabilization,31/831,228/16547,0.135964912280702,2.70735427618384,5.96925745826813,4.31548001365154e-07,5.80719760503709e-05,5.80719760503709e-05,CCT6A/TTI2/HSPD1/PDCD10/RTN4/RAB21/VBP1/TCP1/DSP/HSP90AB1/CCT4/PDRG1/PRKRA/BAG5/DBR1/PFDN1/CHP1/CCT5/HSP90AA1/CCNH/CCT7/PEX19/PTGES3/CCT2/NAA30/CCT8/CCT3/STX12/CDC37L1/TAF9/SUMO1,31
GO:0032200,telomere organization,26/831,177/16547,0.146892655367232,2.92494917973716,5.9204889318356,8.25970742775231e-07,0.000107562706083342,0.000107562706083342,CCT6A/DKC1/TCP1/DSP/TNKS2/NAT10/HSP90AB1/CCT4/NBN/XRCC5/CCT5/HSP90AA1/RAD51C/GNL3/CCT7/MAPK1/PTGES3/CCT2/TFIP11/H3-3B/CCT8/CCT3/PARP1/HNRNPC/TERF2/XRCC6,26
