ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0002694,regulation of leukocyte activation,60/455,500/16547,0.12,4.36404395604396,12.8439005470536,2.75902559081085e-22,1.02663342234072e-18,5.29144244655269e-19,FCGR3A/HLA-DRB1/SPN/CD1D/CCR7/INPP5D/TREM2/SLAMF8/CD300A/VSIG4/RUNX1/HLA-DMA/IL4R/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/LAPTM5/MMP14/CD3E/SAMSN1/CCL5/PYCARD/PLA2G2A/MILR1/IL7R/PTPRC/HLA-DRB5/LAT/IGF1/CCL21/IL2RG/KLRK1/CD74/LILRB4/TYROBP/CD33/HLA-DRA/PDCD1LG2/KLRC4-KLRK1/MNDA/IL16/RUNX3/TNFSF14/LGALS1/LGALS9C/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/LST1/PIK3R6/CCL19/ENPP3/CD84/CTSG/HAVCR2/HLA-DOA/FN1/TIGIT,60
GO:0051249,regulation of lymphocyte activation,52/455,435/16547,0.119540229885057,4.34732348111659,11.8963787432629,2.52527179795055e-19,4.698268180087e-16,2.42156695198158e-16,FCGR3A/HLA-DRB1/SPN/CD1D/CCR7/INPP5D/SLAMF8/CD300A/VSIG4/RUNX1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/LAPTM5/MMP14/CD3E/SAMSN1/CCL5/PYCARD/PLA2G2A/IL7R/PTPRC/HLA-DRB5/LAT/IGF1/CCL21/IL2RG/KLRK1/CD74/LILRB4/TYROBP/HLA-DRA/PDCD1LG2/KLRC4-KLRK1/MNDA/RUNX3/TNFSF14/LGALS1/LGALS9C/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/LST1/PIK3R6/CCL19/CTSG/HAVCR2/HLA-DOA/TIGIT,52
GO:0002683,negative regulation of immune system process,54/455,474/16547,0.113924050632911,4.14307970510502,11.6746344016998,4.43898684247164e-19,5.50582334694566e-16,2.83779455521956e-16,C4BPB/HLA-DRB1/SPN/C4BPA/INPP5D/TREM2/SLAMF8/CD300A/RIN3/VSIG4/HMOX1/RUNX1/AURKB/ADIPOQ/SERPING1/COL3A1/IL18/LAPTM5/RAB7B/SAMSN1/PLA2G2A/MILR1/CARTPT/SH2D1A/PTPRC/APOD/CCL21/KLRK1/NPY/LILRB4/TYROBP/CD33/PADI2/PDCD1LG2/KLRC4-KLRK1/MNDA/ISG15/RUNX3/GDF15/LGALS1/C1QC/LGALS9C/LGALS9/BST2/SOCS1/LST1/SLIT2/ENPP3/CD84/CTSG/HAVCR2/HLA-DOA/FN1/TIGIT,54
GO:0022407,regulation of cell-cell adhesion,52/455,447/16547,0.116331096196868,4.23061681048258,11.6432297836543,8.44349292392848e-19,7.85455929248447e-16,4.04837282079287e-16,HLA-DRB1/AKNA/SPN/CD1D/CCR7/CD300A/VSIG4/RUNX1/FGA/HLA-DMA/HLA-DMB/HLA-DQA1/ADIPOQ/HLA-DQB2/IL18/LAPTM5/CD3E/CCL5/PYCARD/SERPINF2/PLA2G2A/IL1RN/IL7R/FERMT3/PTPRC/HLA-DRB5/IGF1/CCL21/IL2RG/KLRK1/TRPV4/FGG/LILRB4/HLA-DRA/ITGB2/PDCD1LG2/KLRC4-KLRK1/RUNX3/TNFSF14/LGALS1/LGALS9C/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/PIK3R6/CCL19/ADAM19/CTSG/HAVCR2/HLA-DOA/TIGIT,52
GO:0007159,leukocyte cell-cell adhesion,47/455,378/16547,0.124338624338624,4.52182685039828,11.6471459052815,3.0765303981255e-18,2.28955392228499e-15,1.18007484895902e-15,HLA-DRB1/SPN/OLR1/CD1D/CCR7/ITGAX/CD300A/VSIG4/RUNX1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/LAPTM5/SELPLG/CD3E/CCL5/PYCARD/PLA2G2A/IL7R/FERMT3/PTPRC/HLA-DRB5/IGF1/CCL21/IL2RG/KLRK1/LILRB4/HLA-DRA/ITGB2/PDCD1LG2/KLRC4-KLRK1/RUNX3/TNFSF14/LGALS1/LGALS9C/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/PIK3R6/CCL19/CTSG/HAVCR2/HLA-DOA/TIGIT,47
GO:0042110,T cell activation,53/455,482/16547,0.109958506224066,3.99886462085632,11.2353656574327,4.68476295262127e-18,2.90533382445063e-15,1.49745823441556e-15,HLA-DRB1/SLAMF7/SPN/CD1D/CCR7/TREM2/CD300A/VSIG4/JAML/RUNX1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/LAPTM5/LCP1/IL18R1/CD3E/CCL5/PYCARD/PLA2G2A/IL7R/PTPRC/CD3D/HLA-DRB5/LAT/IGF1/CCL21/IL2RG/KLRK1/CD74/LILRB4/TYROBP/HLA-DRA/PDCD1LG2/KLRC4-KLRK1/RUNX3/TNFSF14/LGALS1/LGALS9C/CLEC2D/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/PIK3R6/CCL19/CD84/CTSG/HAVCR2/HLA-DOA/TIGIT,53
GO:0050863,regulation of T cell activation,43/455,331/16547,0.129909365558912,4.7244181800073,11.509269599151,1.76276581030613e-17,9.37035940021301e-15,4.82964185567746e-15,HLA-DRB1/SPN/CD1D/CCR7/CD300A/VSIG4/RUNX1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/LAPTM5/CD3E/CCL5/PYCARD/PLA2G2A/IL7R/PTPRC/HLA-DRB5/LAT/IGF1/CCL21/IL2RG/KLRK1/LILRB4/HLA-DRA/PDCD1LG2/KLRC4-KLRK1/RUNX3/TNFSF14/LGALS1/LGALS9C/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/PIK3R6/CCL19/CTSG/HAVCR2/HLA-DOA/TIGIT,43
GO:1903037,regulation of leukocyte cell-cell adhesion,43/455,338/16547,0.127218934911243,4.62657519994798,11.3272405305109,3.87064012546586e-17,1.80033148835731e-14,9.27921324988547e-15,HLA-DRB1/SPN/CD1D/CCR7/CD300A/VSIG4/RUNX1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/LAPTM5/CD3E/CCL5/PYCARD/PLA2G2A/IL7R/PTPRC/HLA-DRB5/IGF1/CCL21/IL2RG/KLRK1/LILRB4/HLA-DRA/ITGB2/PDCD1LG2/KLRC4-KLRK1/RUNX3/TNFSF14/LGALS1/LGALS9C/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/PIK3R6/CCL19/CTSG/HAVCR2/HLA-DOA/TIGIT,43
GO:0045785,positive regulation of cell adhesion,48/455,422/16547,0.113744075829384,4.1365345554919,10.9749774546131,5.06165688544671e-17,2.09271391897191e-14,1.07862017915725e-14,TGM2/FBLN1/HLA-DRB1/CD1D/CCR7/RUNX1/FGA/COL16A1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/CD3E/CCL5/PYCARD/SAA1/SERPINF2/IL7R/PTPRC/HLA-DRB5/IGF1/CCL21/IL2RG/KLRK1/NPY/FGG/LILRB4/SFRP2/HLA-DRA/ITGB2/PDCD1LG2/KLRC4-KLRK1/LAMB2/RUNX3/TNFSF14/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/PIK3R6/CCL19/CCDC80/ADAM19/CTSG/HAVCR2/HLA-DOA/FN1,48
GO:0002696,positive regulation of leukocyte activation,41/455,313/16547,0.130990415335463,4.76373275287013,11.3038236297428,7.62718576795584e-17,2.83807582425637e-14,1.46279232257658e-14,FCGR3A/HLA-DRB1/CD1D/CCR7/INPP5D/TREM2/RUNX1/HLA-DMA/IL4R/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/MMP14/CD3E/CCL5/PYCARD/IL7R/PTPRC/HLA-DRB5/IGF1/CCL21/IL2RG/KLRK1/CD74/LILRB4/TYROBP/HLA-DRA/PDCD1LG2/KLRC4-KLRK1/IL16/RUNX3/TNFSF14/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/PIK3R6/CCL19/HAVCR2/HLA-DOA,41
GO:0022409,positive regulation of cell-cell adhesion,39/455,285/16547,0.136842105263158,4.97654135338346,11.3864449603757,9.95089412576499e-17,3.36611609472468e-14,1.73495321660579e-14,HLA-DRB1/CD1D/CCR7/RUNX1/FGA/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/CD3E/CCL5/PYCARD/SERPINF2/IL7R/PTPRC/HLA-DRB5/IGF1/CCL21/IL2RG/KLRK1/FGG/LILRB4/HLA-DRA/ITGB2/PDCD1LG2/KLRC4-KLRK1/RUNX3/TNFSF14/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/PIK3R6/CCL19/ADAM19/CTSG/HAVCR2/HLA-DOA,39
GO:0002443,leukocyte mediated immunity,45/455,387/16547,0.116279069767442,4.22872476360848,10.8071959350664,2.21821867412318e-16,6.87832640534361e-14,3.54520586515645e-14,C4BPB/C3/FCGR3A/HLA-DRB1/SLAMF7/C4BPA/CD1D/INPP5D/TREM2/CD300A/CORO1A/IL18/IL18R1/MILR1/FES/PTPRC/LAT/IL2RG/KLRK1/CD74/LILRB4/C2/TYROBP/FCER1G/HLA-DRA/ITGB2/KLRC4-KLRK1/PTGDS/C1S/C1QC/WAS/SLC18A2/LGALS9/BST2/ADGRE2/PIK3R6/C1QA/PRF1/C1R/CD84/C1QB/CTSG/HAVCR2/KLRB1/TIGIT,45
