ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0002694,regulation of leukocyte activation,60/455,500/16547,0.12,4.36404395604396,12.8439005470536,2.75902559081085e-22,1.02663342234072e-18,5.29144244655269e-19,FCGR3A/HLA-DRB1/SPN/CD1D/CCR7/INPP5D/TREM2/SLAMF8/CD300A/VSIG4/RUNX1/HLA-DMA/IL4R/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/LAPTM5/MMP14/CD3E/SAMSN1/CCL5/PYCARD/PLA2G2A/MILR1/IL7R/PTPRC/HLA-DRB5/LAT/IGF1/CCL21/IL2RG/KLRK1/CD74/LILRB4/TYROBP/CD33/HLA-DRA/PDCD1LG2/KLRC4-KLRK1/MNDA/IL16/RUNX3/TNFSF14/LGALS1/LGALS9C/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/LST1/PIK3R6/CCL19/ENPP3/CD84/CTSG/HAVCR2/HLA-DOA/FN1/TIGIT,60
GO:0002683,negative regulation of immune system process,54/455,474/16547,0.113924050632911,4.14307970510502,11.6746344016998,4.43898684247164e-19,5.50582334694566e-16,2.83779455521956e-16,C4BPB/HLA-DRB1/SPN/C4BPA/INPP5D/TREM2/SLAMF8/CD300A/RIN3/VSIG4/HMOX1/RUNX1/AURKB/ADIPOQ/SERPING1/COL3A1/IL18/LAPTM5/RAB7B/SAMSN1/PLA2G2A/MILR1/CARTPT/SH2D1A/PTPRC/APOD/CCL21/KLRK1/NPY/LILRB4/TYROBP/CD33/PADI2/PDCD1LG2/KLRC4-KLRK1/MNDA/ISG15/RUNX3/GDF15/LGALS1/C1QC/LGALS9C/LGALS9/BST2/SOCS1/LST1/SLIT2/ENPP3/CD84/CTSG/HAVCR2/HLA-DOA/FN1/TIGIT,54
GO:0022407,regulation of cell-cell adhesion,52/455,447/16547,0.116331096196868,4.23061681048258,11.6432297836543,8.44349292392848e-19,7.85455929248447e-16,4.04837282079287e-16,HLA-DRB1/AKNA/SPN/CD1D/CCR7/CD300A/VSIG4/RUNX1/FGA/HLA-DMA/HLA-DMB/HLA-DQA1/ADIPOQ/HLA-DQB2/IL18/LAPTM5/CD3E/CCL5/PYCARD/SERPINF2/PLA2G2A/IL1RN/IL7R/FERMT3/PTPRC/HLA-DRB5/IGF1/CCL21/IL2RG/KLRK1/TRPV4/FGG/LILRB4/HLA-DRA/ITGB2/PDCD1LG2/KLRC4-KLRK1/RUNX3/TNFSF14/LGALS1/LGALS9C/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/PIK3R6/CCL19/ADAM19/CTSG/HAVCR2/HLA-DOA/TIGIT,52
GO:0007159,leukocyte cell-cell adhesion,47/455,378/16547,0.124338624338624,4.52182685039828,11.6471459052815,3.0765303981255e-18,2.28955392228499e-15,1.18007484895902e-15,HLA-DRB1/SPN/OLR1/CD1D/CCR7/ITGAX/CD300A/VSIG4/RUNX1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/LAPTM5/SELPLG/CD3E/CCL5/PYCARD/PLA2G2A/IL7R/FERMT3/PTPRC/HLA-DRB5/IGF1/CCL21/IL2RG/KLRK1/LILRB4/HLA-DRA/ITGB2/PDCD1LG2/KLRC4-KLRK1/RUNX3/TNFSF14/LGALS1/LGALS9C/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/PIK3R6/CCL19/CTSG/HAVCR2/HLA-DOA/TIGIT,47
GO:0042110,T cell activation,53/455,482/16547,0.109958506224066,3.99886462085632,11.2353656574327,4.68476295262127e-18,2.90533382445063e-15,1.49745823441556e-15,HLA-DRB1/SLAMF7/SPN/CD1D/CCR7/TREM2/CD300A/VSIG4/JAML/RUNX1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/LAPTM5/LCP1/IL18R1/CD3E/CCL5/PYCARD/PLA2G2A/IL7R/PTPRC/CD3D/HLA-DRB5/LAT/IGF1/CCL21/IL2RG/KLRK1/CD74/LILRB4/TYROBP/HLA-DRA/PDCD1LG2/KLRC4-KLRK1/RUNX3/TNFSF14/LGALS1/LGALS9C/CLEC2D/LGALS9/HLA-DPB1/HLA-DQA2/SOCS1/PIK3R6/CCL19/CD84/CTSG/HAVCR2/HLA-DOA/TIGIT,53
GO:0002443,leukocyte mediated immunity,45/455,387/16547,0.116279069767442,4.22872476360848,10.8071959350664,2.21821867412318e-16,6.87832640534361e-14,3.54520586515645e-14,C4BPB/C3/FCGR3A/HLA-DRB1/SLAMF7/C4BPA/CD1D/INPP5D/TREM2/CD300A/CORO1A/IL18/IL18R1/MILR1/FES/PTPRC/LAT/IL2RG/KLRK1/CD74/LILRB4/C2/TYROBP/FCER1G/HLA-DRA/ITGB2/KLRC4-KLRK1/PTGDS/C1S/C1QC/WAS/SLC18A2/LGALS9/BST2/ADGRE2/PIK3R6/C1QA/PRF1/C1R/CD84/C1QB/CTSG/HAVCR2/KLRB1/TIGIT,45
GO:0006959,humoral immune response,34/455,235/16547,0.14468085106383,5.26161328033668,11.0637297351559,1.82249035792911e-15,4.23842913865888e-13,2.18455812590545e-13,C4BPB/C3/HLA-DRB1/C4BPA/CCR7/TREM2/CFH/VSIG4/FGA/MS4A1/SERPING1/LYZ/REG3A/CCL5/CCL21/SLPI/PGC/NPY/C2/JCHAIN/FCN3/CCL4/CXCL2/C1S/C1QC/REG3G/CCL19/C1QA/NTS/C1R/CCL4L1/C1QB/CTSG/REG1B,34
GO:0002274,myeloid leukocyte activation,32/455,213/16547,0.150234741784038,5.46359180725378,11.0249135891343,4.22102532362415e-15,8.26654485747656e-13,4.26071715505346e-13,FCGR3A/TREM2/CD300A/VSIG4/IL4R/CCL5/PYCARD/PLA2G2A/MILR1/LCP2/FES/PTPRC/LAT/CD74/NPY/LILRB4/TYROBP/FCER1G/CD33/ITGB2/IL16/PTGDS/SLC18A2/LGALS9/ADGRE2/C1QA/DOCK2/ENPP3/CD84/CTSG/HAVCR2/FN1,32
GO:0006935,chemotaxis,43/455,408/16547,0.105392156862745,3.83280004309416,9.74215169039132,3.60334045509821e-14,6.09455901519111e-12,3.14123888471069e-12,PLCB2/PDGFRB/C3/CH25H/SPN/TYMP/CCR7/TREM2/SLAMF8/CSF1R/S100A4/RIN3/JAML/PTAFR/CORO1A/MMP2/PLA2G7/CCL5/SAA1/FES/CCL21/KLRK1/CD74/TRPV4/SLIT3/PADI2/ITGB2/KLRC4-KLRK1/CCL4/CCRL2/CXCL2/IL16/CCR1/SEMA6C/LGALS9/ADGRE2/FPR1/EDN1/CCL19/SLIT2/CCL4L1/CMTM3/CTSG,43
GO:0030198,extracellular matrix organization,34/455,261/16547,0.130268199233716,4.73746789608859,10.2338183899196,4.35026285045669e-14,7.03796872458667e-12,3.62748821890866e-12,TGM2/COL8A2/FBLN1/MMP19/COL4A2/COL1A1/ANGPTL7/CMA1/POSTN/COLEC12/RUNX1/COL15A1/SULF1/COL16A1/MMP2/COL3A1/MFAP4/SERPINH1/MMP14/TPSAB1/MYH11/SERPINF2/COL4A5/COL28A1/COL5A1/ELN/LAMB2/COL11A1/CREB3L1/AGT/CCDC80/COL8A1/CTSG/COL14A1,34
