category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,25/310,71/7995,0.352112676056338,9.08109950022717,13.7362560612248,3.94895546186648e-18,1.10175857386075e-15,1.10175857386075e-15,C3/FCGR3A/HLA-DRB1/KRT17/CFH/PTAFR/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/C1QB/SELPLG/HLA-DRB5/FGG/C2/HLA-DRA/ITGB2/C1S/C1QC/HLA-DPB1/HLA-DQA2/FPR1/C1QA/C1R/HLA-DOA,25
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,20/310,94/7995,0.212765957446809,5.48730267673301,8.78919790123153,3.20571255121477e-10,3.40891904840157e-08,3.40891904840157e-08,HLA-DRB1/CSF3R/CD37/CD1D/CSF1R/HLA-DMA/HLA-DMB/HLA-DQA1/MS4A1/HLA-DQB2/CD3E/IL4R/CD3D/HLA-DRB5/CD33/HLA-DRA/HLA-DPB1/HLA-DQA2/IL7R/HLA-DOA,20
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,19/310,85/7995,0.223529411764706,5.76489563567362,8.86983614179868,3.66550435311997e-10,3.40891904840157e-08,3.40891904840157e-08,C4BPB/C3/F12/C4BPA/ITGAX/CFH/VSIG4/FGA/SERPING1/C1QB/VTN/SERPINF2/FGG/C2/ITGB2/C1S/C1QC/C1QA/C1R,19
Human Diseases,Immune disease,hsa05310,Asthma,11/310,26/7995,0.423076923076923,10.9112903225806,10.166136607936,1.14723816768651e-09,6.90995099243471e-08,6.90995099243471e-08,HLA-DRB1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/HLA-DRB5/FCER1G/HLA-DRA/HLA-DPB1/HLA-DQA2/HLA-DOA,11
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,20/310,101/7995,0.198019801980198,5.10699457042478,8.34213545738958,1.23834247176249e-09,6.90995099243471e-08,6.90995099243471e-08,COL8A2/COL4A2/COL1A1/COL16A1/COL15A1/COL3A1/COL6A2/COL26A1/COL4A5/KCNK5/COL28A1/COL5A1/ELN/COL6A1/MEP1B/SLC7A7/COL11A1/COL8A1/COL6A3/COL14A1,20
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,17/310,74/7995,0.22972972972973,5.92480383609416,8.54782795953779,2.0207373091532e-09,9.20241967490124e-08,9.20241967490124e-08,C3/FCGR3A/HLA-DRB1/NCF4/HLA-DMA/HLA-DMB/MARCKSL1/HLA-DQA1/HLA-DQB2/CYBB/HLA-DRB5/HLA-DRA/ITGB2/HLA-DPB1/HLA-DQA2/HLA-DOA/NCF2,17
Human Diseases,Immune disease,hsa05320,Autoimmune thyroid disease,13/310,41/7995,0.317073170731707,8.17741935483871,9.25355135376123,2.30885081449135e-09,9.20241967490124e-08,9.20241967490124e-08,HLA-DRB1/TSHR/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/HLA-DRB5/HLA-DRA/HLA-DPB1/HLA-DQA2/PRF1/HLA-DOA/FAS,13
Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,13/310,42/7995,0.30952380952381,7.98271889400922,9.11223047453536,3.22857517169327e-09,1.0420545403288e-07,1.0420545403288e-07,HLA-DRB1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/HLA-DRB5/HLA-DRA/HLA-DPB1/HLA-DQA2/GAD1/PRF1/HLA-DOA/FAS,13
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,24/310,152/7995,0.157894736842105,4.07215619694397,7.68006617422416,3.36146625912515e-09,1.0420545403288e-07,1.0420545403288e-07,C3/COL4A2/COL1A1/ITGAX/LAMB4/TNN/FGA/COL6A2/VTN/COL4A5/PDGFRB/FERMT3/IGF1/LAMB3/FGG/COL6A1/ITGB2/PARVG/LAMB2/ARHGEF6/FN1/SPP1/COMP/COL6A3,24
Human Diseases,Immune disease,hsa05330,Allograft rejection,12/310,36/7995,0.333333333333333,8.59677419354839,9.1747068932021,5.06904761270213e-09,1.41426428394389e-07,1.41426428394389e-07,HLA-DRB1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/HLA-DRB5/HLA-DRA/HLA-DPB1/HLA-DQA2/PRF1/HLA-DOA/FAS,12
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,19/310,102/7995,0.186274509803922,4.80407969639469,7.76550358218454,9.46826664932059e-09,2.37709594692098e-07,2.37709594692098e-07,C3/FCGR3A/HLA-DRB1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/C1QB/HLA-DRB5/C2/HLA-DRA/C1S/C1QC/HLA-DPB1/HLA-DQA2/C1QA/C1R/HLA-DOA/CTSG,19
Human Diseases,Immune disease,hsa05332,Graft-versus-host disease,12/310,38/7995,0.315789473684211,8.14431239388795,8.86581242407907,1.02240685889075e-08,2.37709594692098e-07,2.37709594692098e-07,HLA-DRB1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/HLA-DRB5/HLA-DRA/HLA-DPB1/HLA-DQA2/PRF1/HLA-DOA/FAS,12
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,23/310,154/7995,0.149350649350649,3.85180142438207,7.17686699969361,2.14969054500744e-08,4.61356663120828e-07,4.61356663120828e-07,HLA-DRB1/SPN/JAML/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/CLDN5/SELPLG/SIGLEC1/PTPRC/HLA-DRB5/HLA-DRA/ITGB2/PDCD1LG2/SLITRK2/SDC3/HLA-DPB1/HLA-DQA2/HLA-DOA/VCAN/TIGIT/SLITRK5,23
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,14/310,61/7995,0.229508196721311,5.91909042834479,7.74541351035486,5.6160092976361e-08,1.11919042431462e-06,1.11919042431462e-06,HLA-DRB1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/IL18/IL18R1/IL2RG/IL4R/HLA-DRB5/HLA-DRA/HLA-DPB1/HLA-DQA2/HLA-DOA,14
Organismal Systems,Immune system,hsa04658,Th1 and Th2 cell differentiation,16/310,91/7995,0.175824175824176,4.53456221198157,6.81041917928849,3.30531180964061e-07,6.14787996593153e-06,6.14787996593153e-06,HLA-DRB1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/CD3E/IL2RG/IL4R/CD3D/HLA-DRB5/LAT/HLA-DRA/RUNX3/HLA-DPB1/HLA-DQA2/HLA-DOA,16
Human Diseases,Infectious disease: bacterial,hsa05133,Pertussis,14/310,75/7995,0.186666666666667,4.8141935483871,6.66517798344918,8.55545079124283e-07,1.49185673172297e-05,1.49185673172297e-05,C4BPB/IRF8/C3/C4BPA/LY96/SERPING1/C1QB/PYCARD/C2/ITGB2/C1S/C1QC/C1QA/C1R,14
