from,to,type
DIO3OS,hsa-miR-24-3p,lncRNA-miRNA
NEAT1,hsa-miR-324-5p,lncRNA-miRNA
NEAT1,hsa-miR-125a-5p,lncRNA-miRNA
NEAT1,hsa-miR-296-5p,lncRNA-miRNA
NEAT1,hsa-miR-483-3p,lncRNA-miRNA
NEAT1,hsa-miR-181a-5p,lncRNA-miRNA
NEAT1,hsa-miR-181b-5p,lncRNA-miRNA
NEAT1,hsa-miR-4262,lncRNA-miRNA
NEAT1,hsa-miR-495-3p,lncRNA-miRNA
NEAT1,hsa-miR-193a-3p,lncRNA-miRNA
NEAT1,hsa-miR-146a-5p,lncRNA-miRNA
NEAT1,hsa-miR-320a,lncRNA-miRNA
NEAT1,hsa-miR-425-5p,lncRNA-miRNA
NEAT1,hsa-miR-582-3p,lncRNA-miRNA
NEAT1,hsa-miR-9-5p,lncRNA-miRNA
NEAT1,hsa-miR-204-5p,lncRNA-miRNA
NEAT1,hsa-miR-27a-3p,lncRNA-miRNA
NEAT1,hsa-miR-27b-3p,lncRNA-miRNA
NEAT1,hsa-miR-433-3p,lncRNA-miRNA
NEAT1,hsa-miR-124-3p,lncRNA-miRNA
NEAT1,hsa-miR-506-3p,lncRNA-miRNA
NEAT1,hsa-miR-524-5p,lncRNA-miRNA
NEAT1,hsa-miR-23a-3p,lncRNA-miRNA
NEAT1,hsa-miR-23b-3p,lncRNA-miRNA
NEAT1,hsa-miR-205-5p,lncRNA-miRNA
NEAT1,hsa-miR-150-5p,lncRNA-miRNA
NEAT1,hsa-miR-132-3p,lncRNA-miRNA
NEAT1,hsa-miR-301a-3p,lncRNA-miRNA
NEAT1,hsa-miR-130a-3p,lncRNA-miRNA
NEAT1,hsa-miR-130b-3p,lncRNA-miRNA
NEAT1,hsa-miR-148a-3p,lncRNA-miRNA
NEAT1,hsa-miR-148b-3p,lncRNA-miRNA
NEAT1,hsa-miR-152-3p,lncRNA-miRNA
NEAT1,hsa-miR-4295,lncRNA-miRNA
NEAT1,hsa-miR-34c-5p,lncRNA-miRNA
NEAT1,hsa-miR-34a-5p,lncRNA-miRNA
NEAT1,hsa-miR-449a,lncRNA-miRNA
NEAT1,hsa-miR-133a-3p,lncRNA-miRNA
NEAT1,hsa-miR-133b,lncRNA-miRNA
NEAT1,hsa-miR-199a-3p,lncRNA-miRNA
NEAT1,hsa-miR-128-3p,lncRNA-miRNA
NEAT1,hsa-miR-299-5p,lncRNA-miRNA
NEAT1,hsa-miR-29b-3p,lncRNA-miRNA
NEAT1,hsa-miR-29a-3p,lncRNA-miRNA
NEAT1,hsa-miR-29c-3p,lncRNA-miRNA
NEAT1,hsa-miR-200c-3p,lncRNA-miRNA
NEAT1,hsa-miR-200b-3p,lncRNA-miRNA
NEAT1,hsa-miR-490-3p,lncRNA-miRNA
NEAT1,hsa-miR-532-5p,lncRNA-miRNA
NEAT1,hsa-miR-18a-5p,lncRNA-miRNA
NEAT1,hsa-miR-18b-5p,lncRNA-miRNA
NEAT1,hsa-miR-224-5p,lncRNA-miRNA
NEAT1,hsa-miR-10a-5p,lncRNA-miRNA
NEAT1,hsa-miR-140-3p,lncRNA-miRNA
NEAT1,hsa-miR-142-5p,lncRNA-miRNA
NEAT1,hsa-miR-423-5p,lncRNA-miRNA
NEAT1,hsa-miR-221-3p,lncRNA-miRNA
NEAT1,hsa-miR-222-3p,lncRNA-miRNA
NEAT1,hsa-miR-302d-3p,lncRNA-miRNA
NEAT1,hsa-miR-372-3p,lncRNA-miRNA
NEAT1,hsa-miR-144-5p,lncRNA-miRNA
NEAT1,hsa-miR-206,lncRNA-miRNA
NEAT1,hsa-miR-1-3p,lncRNA-miRNA
NEAT1,hsa-miR-520g-3p,lncRNA-miRNA
NEAT1,hsa-miR-182-5p,lncRNA-miRNA
NEAT1,hsa-miR-129-5p,lncRNA-miRNA
NEAT1,hsa-miR-122-5p,lncRNA-miRNA
NEAT1,hsa-miR-144-3p,lncRNA-miRNA
NEAT1,hsa-miR-491-5p,lncRNA-miRNA
NEAT1,hsa-miR-30c-5p,lncRNA-miRNA
NEAT1,hsa-miR-30b-5p,lncRNA-miRNA
NEAT1,hsa-miR-30a-5p,lncRNA-miRNA
NEAT1,hsa-miR-30d-5p,lncRNA-miRNA
NEAT1,hsa-miR-141-3p,lncRNA-miRNA
NEAT1,hsa-miR-125b-5p,lncRNA-miRNA
NEAT1,hsa-miR-217,lncRNA-miRNA
NEAT1,hsa-miR-101-3p,lncRNA-miRNA
NEAT1,hsa-miR-326,lncRNA-miRNA
NEAT1,hsa-miR-218-5p,lncRNA-miRNA
NEAT1,hsa-miR-196a-5p,lncRNA-miRNA
NEAT1,hsa-miR-196b-5p,lncRNA-miRNA
NEAT1,hsa-let-7g-5p,lncRNA-miRNA
NEAT1,hsa-let-7a-5p,lncRNA-miRNA
