node,class,degree,betweenness
NEAT1,lncRNA,111,18976.5965489444
IGF1,mRNA,16,225.143381945568
hsa-miR-29a-3p,miRNA,14,1176.11817146239
MMP2,mRNA,14,273.544528950407
GAS6-AS1,lncRNA,13,91.7970102629139
PURPL,lncRNA,11,1218.39275585727
hsa-miR-29b-3p,miRNA,10,542.882020676717
hsa-miR-29c-3p,miRNA,10,676.060650269907
RUNX3,mRNA,10,48.2105316199608
RUNX1,mRNA,10,80.2187979340097
VIM,mRNA,9,49.2544134207742
CCN2,mRNA,9,35.2210553776897
hsa-miR-125b-5p,miRNA,8,559.254361029334
hsa-miR-24-3p,miRNA,8,508.202190469881
PDGFRB,mRNA,8,126.309564058699
SOCS1,mRNA,8,35.9740764290046
NR2F2-AS1,lncRNA,7,30.6474159402864
hsa-miR-218-5p,miRNA,7,510.168718507577
hsa-miR-22-3p,miRNA,7,691.735236865161
FAS,mRNA,7,55.9591939514139
NR4A2,mRNA,7,28.4184133410739
MMP14,mRNA,7,52.5531490532911
hsa-miR-17-5p,miRNA,6,415.80193431388
hsa-miR-221-3p,miRNA,6,321.261503548206
hsa-miR-146a-5p,miRNA,6,594.244166937904
hsa-miR-19a-3p,miRNA,6,171.152156058877
hsa-miR-34a-5p,miRNA,6,410.124469654097
hsa-miR-133a-3p,miRNA,6,217.805774100598
hsa-miR-133b,miRNA,5,128.80345379958
hsa-miR-320a,miRNA,5,282.307151389751
hsa-miR-129-5p,miRNA,5,107.252851637972
hsa-miR-1-3p,miRNA,5,370.456782193569
hsa-let-7i-5p,miRNA,5,289.932087035213
hsa-miR-214-3p,miRNA,5,386.173552256703
COL1A1,mRNA,5,23.7833102803697
FN1,mRNA,5,16.687300194359
COL3A1,mRNA,5,19.8712627570386
SMO,mRNA,5,18.8981276836477
CASC15,lncRNA,4,8.48053270654077
hsa-miR-326,miRNA,4,99.2836028420552
hsa-let-7a-5p,miRNA,4,461.515388510963
hsa-miR-708-5p,miRNA,4,190.446864299441
hsa-miR-106b-5p,miRNA,4,85.6072699947236
hsa-miR-130b-3p,miRNA,4,47.1524667952742
hsa-miR-148a-3p,miRNA,4,84.9367894246627
hsa-miR-106a-5p,miRNA,4,67.2021301105448
