node,class,degree,betweenness
NEAT1,lncRNA,105,14516.214484188
IGF1,mRNA,16,157.520467425354
MMP2,mRNA,14,202.002098988507
hsa-miR-29a-3p,miRNA,11,502.845613721166
RUNX3,mRNA,10,48.5917908153446
RUNX1,mRNA,10,53.6339385183993
hsa-miR-29c-3p,miRNA,9,440.340302362321
hsa-miR-29b-3p,miRNA,9,323.996113673344
VIM,mRNA,9,41.6488063192398
CCN2,mRNA,9,28.4003424046868
hsa-miR-24-3p,miRNA,8,570.770282952782
PDGFRB,mRNA,8,94.9435352161264
SOCS1,mRNA,8,24.1066170872337
MMP14,mRNA,7,47.5113601064326
NR4A2,mRNA,7,29.5414059073158
NR2F2-AS1,lncRNA,6,27.5459112033917
hsa-miR-19a-3p,miRNA,6,175.436416139506
hsa-miR-125b-5p,miRNA,6,518.056376726129
hsa-miR-22-3p,miRNA,6,541.775906691869
hsa-miR-133a-3p,miRNA,6,191.114423546747
hsa-miR-34a-5p,miRNA,6,356.929428808028
hsa-miR-218-5p,miRNA,6,404.780055804874
GAS6-AS1,lncRNA,5,8.45645166417146
hsa-miR-320a,miRNA,5,312.95764545886
hsa-miR-146a-5p,miRNA,5,488.466544445352
hsa-miR-17-5p,miRNA,5,185.696557779189
hsa-miR-129-5p,miRNA,5,95.6015835585556
hsa-miR-221-3p,miRNA,5,117.26363409554
hsa-miR-1-3p,miRNA,5,403.911590362682
COL1A1,mRNA,5,18.2651264993763
COL3A1,mRNA,5,12.9684990282049
FN1,mRNA,5,16.0029921059333
hsa-miR-214-3p,miRNA,4,173.115958856933
hsa-miR-148a-3p,miRNA,4,111.329864572162
hsa-miR-138-5p,miRNA,4,284.13686077094
hsa-miR-30b-5p,miRNA,4,75.3754796632616
hsa-miR-98-5p,miRNA,4,248.547253895561
hsa-miR-133b,miRNA,4,86.3938171374208
hsa-miR-18a-5p,miRNA,4,65.071619701758
hsa-miR-18b-5p,miRNA,4,58.332682175449
hsa-miR-106b-5p,miRNA,4,75.5558491623961
hsa-miR-23a-3p,miRNA,4,288.137025252253
hsa-miR-130b-3p,miRNA,4,42.1373060601073
hsa-miR-9-5p,miRNA,4,212.795523586063
CYBB,mRNA,4,8.57508249341265
EDN1,mRNA,4,357.296125116713
DKK3,mRNA,4,357.7
GLI1,mRNA,4,9.04045413279041
HMOX1,mRNA,4,20.6030415422975
CASC15,lncRNA,3,3.75826330927137
hsa-miR-148b-3p,miRNA,3,94.9280461558452
hsa-miR-425-5p,miRNA,3,140.644087844177
hsa-miR-19b-3p,miRNA,3,50.5843473904336
hsa-miR-30d-5p,miRNA,3,50.5843473904336
hsa-miR-302d-3p,miRNA,3,109.798363959151
hsa-miR-372-3p,miRNA,3,109.798363959151
hsa-miR-124-3p,miRNA,3,35.5425501220243
hsa-miR-26b-5p,miRNA,3,26.5172596786267
hsa-miR-30c-5p,miRNA,3,35.5425501220243
hsa-miR-483-3p,miRNA,3,26.5172596786267
hsa-miR-200c-3p,miRNA,3,120.240364294719
hsa-miR-27b-3p,miRNA,3,104.259916215534
hsa-miR-181a-5p,miRNA,3,192.600257298599
hsa-miR-532-5p,miRNA,3,193.040528028073
hsa-miR-204-5p,miRNA,3,58.5344588529222
hsa-miR-181b-5p,miRNA,3,110.255668976401
hsa-miR-140-3p,miRNA,3,210.603231767803
hsa-miR-122-5p,miRNA,3,59.6281097361879
hsa-miR-196a-5p,miRNA,3,215.554489781518
hsa-let-7i-5p,miRNA,3,30.602155001232
hsa-miR-130a-3p,miRNA,3,193.040528028073
hsa-miR-519d-3p,miRNA,3,187.043054870576
hsa-miR-495-3p,miRNA,3,193.040528028073
hsa-miR-106a-5p,miRNA,3,32.112739038749
hsa-miR-20a-5p,miRNA,3,32.112739038749
hsa-miR-23b-3p,miRNA,3,202.923399498921
CCL5,mRNA,3,10.7852260904362
PAPPA,mRNA,3,2.5
CORO1A,mRNA,3,5.8758460507638
FGFR3,mRNA,3,6.58501400560224
TLR7,mRNA,3,3.86184512375413
COL4A2,mRNA,3,1.91436100936101
