node,class,degree
NEAT1,lncRNA,111
IGF1,mRNA,16
hsa-miR-29a-3p,miRNA,14
MMP2,mRNA,14
GAS6-AS1,lncRNA,13
PURPL,lncRNA,11
hsa-miR-29b-3p,miRNA,10
hsa-miR-29c-3p,miRNA,10
RUNX3,mRNA,10
RUNX1,mRNA,10
VIM,mRNA,9
CCN2,mRNA,9
hsa-miR-125b-5p,miRNA,8
hsa-miR-24-3p,miRNA,8
PDGFRB,mRNA,8
SOCS1,mRNA,8
NR2F2-AS1,lncRNA,7
hsa-miR-218-5p,miRNA,7
hsa-miR-22-3p,miRNA,7
FAS,mRNA,7
NR4A2,mRNA,7
MMP14,mRNA,7
hsa-miR-17-5p,miRNA,6
hsa-miR-221-3p,miRNA,6
hsa-miR-146a-5p,miRNA,6
hsa-miR-19a-3p,miRNA,6
hsa-miR-34a-5p,miRNA,6
hsa-miR-133a-3p,miRNA,6
hsa-miR-133b,miRNA,5
hsa-miR-320a,miRNA,5
hsa-miR-129-5p,miRNA,5
hsa-miR-1-3p,miRNA,5
hsa-let-7i-5p,miRNA,5
hsa-miR-214-3p,miRNA,5
COL1A1,mRNA,5
FN1,mRNA,5
COL3A1,mRNA,5
SMO,mRNA,5
CASC15,lncRNA,4
hsa-miR-326,miRNA,4
hsa-let-7a-5p,miRNA,4
hsa-miR-708-5p,miRNA,4
hsa-miR-106b-5p,miRNA,4
hsa-miR-130b-3p,miRNA,4
hsa-miR-148a-3p,miRNA,4
hsa-miR-106a-5p,miRNA,4
hsa-miR-23a-3p,miRNA,4
hsa-miR-124-3p,miRNA,4
hsa-miR-30c-5p,miRNA,4
hsa-miR-138-5p,miRNA,4
hsa-miR-204-5p,miRNA,4
hsa-miR-181a-5p,miRNA,4
hsa-miR-200c-3p,miRNA,4
hsa-miR-9-5p,miRNA,4
hsa-miR-30b-5p,miRNA,4
hsa-miR-483-3p,miRNA,4
hsa-miR-18b-5p,miRNA,4
hsa-miR-28-5p,miRNA,4
hsa-miR-98-5p,miRNA,4
hsa-miR-148b-3p,miRNA,4
hsa-miR-18a-5p,miRNA,4
hsa-miR-19b-3p,miRNA,4
hsa-miR-199a-5p,miRNA,4
hsa-miR-152-3p,miRNA,4
GLI1,mRNA,4
DKK3,mRNA,4
CYBB,mRNA,4
EDN1,mRNA,4
HMOX1,mRNA,4
AURKB,mRNA,4
LINC01915,lncRNA,3
hsa-miR-324-5p,miRNA,3
hsa-miR-519d-3p,miRNA,3
hsa-miR-10a-5p,miRNA,3
hsa-miR-182-5p,miRNA,3
hsa-miR-92b-3p,miRNA,3
hsa-miR-532-5p,miRNA,3
hsa-miR-130a-3p,miRNA,3
hsa-miR-20a-5p,miRNA,3
hsa-miR-495-3p,miRNA,3
hsa-miR-302d-3p,miRNA,3
hsa-miR-372-3p,miRNA,3
hsa-miR-140-3p,miRNA,3
hsa-miR-27a-3p,miRNA,3
hsa-miR-30a-5p,miRNA,3
hsa-miR-25-3p,miRNA,3
hsa-miR-23b-3p,miRNA,3
hsa-miR-92a-3p,miRNA,3
hsa-miR-27b-3p,miRNA,3
hsa-miR-34c-5p,miRNA,3
hsa-let-7e-5p,miRNA,3
hsa-miR-26b-5p,miRNA,3
hsa-miR-195-5p,miRNA,3
hsa-miR-181b-5p,miRNA,3
hsa-miR-196a-5p,miRNA,3
hsa-miR-122-5p,miRNA,3
hsa-miR-30d-5p,miRNA,3
hsa-miR-490-3p,miRNA,3
hsa-miR-425-5p,miRNA,3
hsa-miR-222-3p,miRNA,3
SERPINH1,mRNA,3
TLR7,mRNA,3
FGA,mRNA,3
COL4A2,mRNA,3
NTRK2,mRNA,3
ELN,mRNA,3
CCL5,mRNA,3
PAPPA,mRNA,3
FGFR3,mRNA,3
FGG,mRNA,3
SPP1,mRNA,3
CORO1A,mRNA,3
DLGAP1-AS1,lncRNA,2
MSC-AS1,lncRNA,2
