lncRNA,target_symbol,lnc_id,mrna_id,rho_all,padj_all,rho_t2d,padj_t2d
NEAT1,RUNX1,ENSG00000245532,ENSG00000159216,0.537991606105216,0.000147947040066892,0.416801619433198,0.0435579474822865
NEAT1,RUNX3,ENSG00000245532,ENSG00000020633,0.425228496388278,0.00285203941810632,0.419838056680162,0.0433484027417293
NEAT1,HMOX1,ENSG00000245532,ENSG00000100292,0.510907270655926,0.000346595931599992,0.522900957195808,0.00896163004761859
NEAT1,FES,ENSG00000245532,ENSG00000182511,0.640134819808141,5.70082112533092e-06,0.573076923076923,0.0042512367005056
NEAT1,BRCA2,ENSG00000245532,ENSG00000139618,0.429738138449572,0.00281518899540563,0.476720647773279,0.0162773626710329
NEAT1,CCL5,ENSG00000245532,ENSG00000271503,0.552048224008297,0.000120247261936848,0.527935222672065,0.00896163004761859
NEAT1,FGFR3,ENSG00000245532,ENSG00000068078,0.47638650912512,0.0008927040479863,0.41601295665404,0.0433484027417293
NEAT1,ELN,ENSG00000245532,ENSG00000049540,0.615957998444387,1.0759434898182e-05,0.506882591093117,0.0130670676526136
NR2F2-AS1,RUNX1,ENSG00000247809,ENSG00000159216,0.591634661272548,1.70169638518409e-05,0.522064777327935,0.00961613714691319
NR2F2-AS1,CCN2,ENSG00000247809,ENSG00000118523,0.659622740738889,1.78820378245723e-06,0.594736842105263,0.00389222162095512
NR2F2-AS1,IGF1,ENSG00000247809,ENSG00000017427,0.60899867382527,1.06250573489899e-05,0.559424996281318,0.0042512367005056
NEAT1,LSP1,ENSG00000245532,ENSG00000130592,0.447764580117449,0.00178252253575484,0.565182186234818,0.0042512367005056
NEAT1,EPHB4,ENSG00000245532,ENSG00000196411,0.615053004739005,8.86780964118229e-06,0.612348178137652,0.00389222162095512
CASC15,CCL5,ENSG00000272168,ENSG00000271503,0.446371274216645,0.0018200272018777,0.478769169093336,0.0160557613352789
CASC15,PAPPA,ENSG00000272168,ENSG00000182752,0.516955196784024,0.000317510844161011,0.585454730240138,0.00389222162095512
NEAT1,TFF1,ENSG00000245532,ENSG00000160182,0.396570689580368,0.00570268635821779,0.472310241852012,0.0162773626710329
NEAT1,LAMB3,ENSG00000245532,ENSG00000196878,0.509082862117325,0.000346595931599992,0.491902834008097,0.0138343829019223
NEAT1,CSF1R,ENSG00000245532,ENSG00000182578,0.454563131967851,0.00167712124666031,0.479757085020243,0.0162773626710329
NEAT1,CORO1A,ENSG00000245532,ENSG00000102879,0.388764673664654,0.0065245655068711,0.438530474891937,0.0324695659499703
NR2F2-AS1,FAS,ENSG00000247809,ENSG00000026103,0.597264537457559,1.39601731360858e-05,0.493522267206478,0.0138343829019223
NR2F2-AS1,VCAN,ENSG00000247809,ENSG00000038427,0.683217736575068,7.07741155248721e-07,0.583198380566802,0.00389222162095512
DIO3OS,PDGFRB,ENSG00000258498,ENSG00000113721,0.577318796377553,3.20913421442647e-05,0.416413587587829,0.0433484027417293
DIO3OS,FGFR3,ENSG00000258498,ENSG00000068078,0.530127796794028,0.000194923569461101,0.496479281623852,0.0130670676526136
NEAT1,SERPINH1,ENSG00000245532,ENSG00000149257,0.576678765880218,4.74708025977823e-05,0.456882591093117,0.0244743941073467
NEAT1,COL4A2,ENSG00000245532,ENSG00000134871,0.516722841586726,0.000346595931599992,0.42085020242915,0.0433484027417293
NEAT1,AQP1,ENSG00000245532,ENSG00000240583,0.641949701840809,5.70082112533092e-06,0.534615384615385,0.00896163004761859
NR2F2-AS1,VIM,ENSG00000247809,ENSG00000026025,0.636157387736975,5.21210399815992e-06,0.500607287449393,0.0130670676526136
NR2F2-AS1,AQP1,ENSG00000247809,ENSG00000240583,0.605367214599104,1.0759434898182e-05,0.584008097165992,0.00389222162095512
NEAT1,PTP4A3,ENSG00000245532,ENSG00000184489,0.570132227119523,5.90231488456982e-05,0.425708502024292,0.0433484027417293
NEAT1,MKI67,ENSG00000245532,ENSG00000148773,0.506880328546365,0.000355941610078904,0.493708855477038,0.0130670676526136
