lncRNA,mature_mirna_id,target_symbol
NEAT1,hsa-let-7a-5p,ARG2
NEAT1,hsa-let-7a-5p,CCR7
NEAT1,hsa-let-7a-5p,AURKB
NEAT1,hsa-let-7b-5p,COL3A1
NEAT1,hsa-let-7d-5p,COL3A1
NEAT1,hsa-let-7e-5p,IGF1
NEAT1,hsa-let-7e-5p,AURKB
NEAT1,hsa-let-7f-5p,POSTN
NEAT1,hsa-let-7g-5p,FN1
NEAT1,hsa-let-7i-5p,IGF1
NEAT1,hsa-let-7i-5p,SOCS1
NEAT1,hsa-let-7i-5p,ASCL1
NEAT1,hsa-let-7i-5p,AURKB
NEAT1,hsa-miR-1-3p,HAND2
NEAT1,hsa-miR-1-3p,FN1
NEAT1,hsa-miR-1-3p,IGF1
NEAT1,hsa-miR-1-3p,EDN1
NEAT1,hsa-miR-101-3p,RUNX1
NEAT1,hsa-miR-106a-5p,RUNX3
NEAT1,hsa-miR-106a-5p,FAS
NEAT1,hsa-miR-106a-5p,RUNX1
NEAT1,hsa-miR-106b-5p,MMP2
NEAT1,hsa-miR-106b-5p,RUNX3
NEAT1,hsa-miR-106b-5p,CYBB
NEAT1,hsa-miR-10a-5p,CHL1
NEAT1,hsa-miR-10a-5p,MMP14
NEAT1,hsa-miR-122-5p,SOCS1
NEAT1,hsa-miR-122-5p,HMOX1
NEAT1,hsa-miR-124-3p,VIM
NEAT1,hsa-miR-124-3p,CCN2
NEAT1,hsa-miR-124-3p,GRIA1
NEAT1,hsa-miR-125a-5p,EDN1
NEAT1,hsa-miR-125b-5p,GLI1
NEAT1,hsa-miR-125b-5p,MMP2
NEAT1,hsa-miR-125b-5p,DKK3
NEAT1,hsa-miR-125b-5p,FES
NEAT1,hsa-miR-125b-5p,Fas
NEAT1,hsa-miR-125b-5p,BMPR1B
NEAT1,hsa-miR-125b-5p,SMO
NEAT1,hsa-miR-128-3p,IGF1
NEAT1,hsa-miR-129-5p,NR4A2
NEAT1,hsa-miR-129-5p,VIM
NEAT1,hsa-miR-129-5p,COL1A1
NEAT1,hsa-miR-129-5p,IGF1
NEAT1,hsa-miR-130a-3p,RUNX3
NEAT1,hsa-miR-130a-3p,IL18
NEAT1,hsa-miR-130b-3p,MMP2
NEAT1,hsa-miR-130b-3p,RUNX3
NEAT1,hsa-miR-130b-3p,IGF1
NEAT1,hsa-miR-132-3p,MUC13
NEAT1,hsa-miR-133a-3p,NGFR
NEAT1,hsa-miR-133a-3p,COL1A1
NEAT1,hsa-miR-133a-3p,IGF1
NEAT1,hsa-miR-133a-3p,MMP14
NEAT1,hsa-miR-133a-3p,CCN2
NEAT1,hsa-miR-133b,GLI1
NEAT1,hsa-miR-133b,FAS
NEAT1,hsa-miR-133b,MMP14
NEAT1,hsa-miR-133b,CCN2
NEAT1,hsa-miR-134-5p,VIM
NEAT1,hsa-miR-138-5p,VIM
NEAT1,hsa-miR-138-5p,TWIST2
DLGAP1-AS1,hsa-miR-138-5p,VIM
DLGAP1-AS1,hsa-miR-138-5p,TWIST2
NEAT1,hsa-miR-140-3p,MARCKSL1
NEAT1,hsa-miR-140-3p,FN1
NEAT1,hsa-miR-141-3p,PAPPA
NEAT1,hsa-miR-142-5p,SOCS1
NEAT1,hsa-miR-144-3p,FGG
NEAT1,hsa-miR-144-5p,RUNX1
NEAT1,hsa-miR-146a-5p,FAS
NEAT1,hsa-miR-146a-5p,BRCA2
NEAT1,hsa-miR-146a-5p,CCL5
NEAT1,hsa-miR-146a-5p,SLPI
NEAT1,hsa-miR-146a-5p,CFH
NEAT1,hsa-miR-148a-3p,RUNX3
CASC15,hsa-miR-148a-3p,RUNX3
GAS6-AS1,hsa-miR-148a-3p,RUNX3
NEAT1,hsa-miR-148b-3p,CYBB
CASC15,hsa-miR-148b-3p,CYBB
GAS6-AS1,hsa-miR-148b-3p,CYBB
NEAT1,hsa-miR-150-5p,MMP14
NEAT1,hsa-miR-152-3p,FGFR3
CASC15,hsa-miR-152-3p,FGFR3
GAS6-AS1,hsa-miR-152-3p,FGFR3
