lncRNA,target_symbol,mature_mirna_id
CASC15,CCL5,hsa-miR-214-3p
CASC15,CYBB,hsa-miR-148b-3p
CASC15,PAPPA,hsa-miR-214-3p
CASC15,RUNX3,hsa-miR-148a-3p
DIO3OS,AURKB,hsa-miR-24-3p
DIO3OS,CORO1A,hsa-miR-24-3p
DIO3OS,FGFR3,hsa-miR-24-3p
DIO3OS,MMP14,hsa-miR-24-3p
DIO3OS,PDGFRB,hsa-miR-24-3p
DLGAP1-AS1,FGFR3,hsa-miR-425-5p
DLGAP1-AS1,TWIST2,hsa-miR-138-5p
DLGAP1-AS1,VIM,hsa-miR-138-5p
GAS6-AS1,RUNX3,hsa-miR-148a-3p
GAS6-AS1,SOCS1,hsa-miR-19a-3p
GAS6-AS1,SOCS1,hsa-miR-19b-3p
GAS6-AS1,SOCS1,hsa-miR-30b-5p
GAS6-AS1,SOCS1,hsa-miR-30d-5p
GAS6-AS1,TLR7,hsa-miR-19a-3p
LINC01013,EDN1,hsa-miR-199a-5p
LINC01915,DKK3,hsa-miR-92b-3p
MSC-AS1,NR4A2,hsa-miR-302d-3p
MSC-AS1,NR4A2,hsa-miR-372-3p
NEAT1,AQP1,hsa-miR-320a
NEAT1,BMPR1B,hsa-miR-125b-5p
NEAT1,BMPR1B,hsa-miR-22-3p
NEAT1,BRCA2,hsa-miR-146a-5p
NEAT1,BRCA2,hsa-miR-17-5p
NEAT1,CCL5,hsa-miR-146a-5p
NEAT1,CCL5,hsa-miR-214-3p
NEAT1,CCL5,hsa-miR-98-5p
NEAT1,CCN2,hsa-miR-124-3p
NEAT1,CCN2,hsa-miR-133a-3p
NEAT1,CCN2,hsa-miR-133b
NEAT1,CCN2,hsa-miR-18a-5p
NEAT1,CCN2,hsa-miR-18b-5p
NEAT1,CCN2,hsa-miR-205-5p
NEAT1,CCN2,hsa-miR-26b-5p
NEAT1,CCN2,hsa-miR-30c-5p
NEAT1,CCN2,hsa-miR-483-3p
NEAT1,CCR7,hsa-let-7a-5p
NEAT1,CDH11,hsa-miR-200c-3p
NEAT1,CDH11,hsa-miR-27b-3p
NEAT1,CFH,hsa-miR-146a-5p
