lncRNA,target_symbol,mature_mirna_id
CASC15,CCL5,hsa-miR-214-3p
CASC15,PAPPA,hsa-miR-214-3p
DIO3OS,FGFR3,hsa-miR-24-3p
DIO3OS,PDGFRB,hsa-miR-24-3p
NEAT1,AQP1,hsa-miR-320a
NEAT1,BRCA2,hsa-miR-146a-5p
NEAT1,BRCA2,hsa-miR-17-5p
NEAT1,CCL5,hsa-miR-146a-5p
NEAT1,CCL5,hsa-miR-214-3p
NEAT1,CCL5,hsa-miR-98-5p
NEAT1,COL4A2,hsa-miR-29a-3p
NEAT1,COL4A2,hsa-miR-29b-3p
NEAT1,COL4A2,hsa-miR-29c-3p
NEAT1,CORO1A,hsa-miR-221-3p
NEAT1,CORO1A,hsa-miR-222-3p
NEAT1,CORO1A,hsa-miR-24-3p
NEAT1,CSF1R,hsa-miR-22-3p
NEAT1,CSF1R,hsa-miR-34a-5p
NEAT1,ELN,hsa-miR-181b-5p
NEAT1,ELN,hsa-miR-195-5p
NEAT1,ELN,hsa-miR-29a-3p
NEAT1,EPHB4,hsa-miR-20b-5p
NEAT1,FES,hsa-miR-125b-5p
NEAT1,FGFR3,hsa-miR-152-3p
NEAT1,FGFR3,hsa-miR-24-3p
NEAT1,FGFR3,hsa-miR-425-5p
NEAT1,HMOX1,hsa-miR-122-5p
NEAT1,HMOX1,hsa-miR-196a-5p
NEAT1,HMOX1,hsa-miR-218-5p
NEAT1,HMOX1,hsa-miR-24-3p
NEAT1,LAMB3,hsa-miR-218-5p
NEAT1,LSP1,hsa-miR-196a-5p
NEAT1,MKI67,hsa-miR-519d-3p
NEAT1,PTP4A3,hsa-miR-495-3p
NEAT1,RUNX1,hsa-miR-101-3p
NEAT1,RUNX1,hsa-miR-106a-5p
NEAT1,RUNX1,hsa-miR-144-5p
NEAT1,RUNX1,hsa-miR-17-5p
NEAT1,RUNX1,hsa-miR-181a-5p
NEAT1,RUNX1,hsa-miR-18a-5p
NEAT1,RUNX1,hsa-miR-20a-5p
NEAT1,RUNX1,hsa-miR-221-3p
NEAT1,RUNX1,hsa-miR-27b-3p
NEAT1,RUNX1,hsa-miR-9-5p
NEAT1,RUNX3,hsa-miR-106a-5p
NEAT1,RUNX3,hsa-miR-106b-5p
NEAT1,RUNX3,hsa-miR-130a-3p
NEAT1,RUNX3,hsa-miR-130b-3p
NEAT1,RUNX3,hsa-miR-148a-3p
NEAT1,RUNX3,hsa-miR-20a-5p
NEAT1,RUNX3,hsa-miR-301a-3p
NEAT1,RUNX3,hsa-miR-4295
NEAT1,RUNX3,hsa-miR-495-3p
NEAT1,RUNX3,hsa-miR-532-5p
NEAT1,SERPINH1,hsa-miR-29a-3p
NEAT1,SERPINH1,hsa-miR-29b-3p
NEAT1,SERPINH1,hsa-miR-29c-3p
NEAT1,TFF1,hsa-miR-218-5p
NEAT1,TFF1,hsa-miR-423-5p
NR2F2-AS1,AQP1,hsa-miR-320a
NR2F2-AS1,CCN2,hsa-miR-18a-5p
NR2F2-AS1,CCN2,hsa-miR-18b-5p
NR2F2-AS1,FAS,hsa-miR-23a-3p
NR2F2-AS1,FAS,hsa-miR-320a
NR2F2-AS1,IGF1,hsa-miR-18b-5p
NR2F2-AS1,RUNX1,hsa-miR-18a-5p
NR2F2-AS1,VCAN,hsa-miR-23b-3p
NR2F2-AS1,VIM,hsa-miR-320a
