,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000284653,31.66917075,5.781300509,0.580611509,9.957261299,2.34E-23,5.17E-19
ENSG00000081181,357.1196445,-1.683735003,0.182147402,-9.243804663,2.38E-20,2.62E-16
ENSG00000050165,360.4981131,1.863971101,0.211268181,8.822772517,1.12E-18,8.21E-15
ENSG00000069424,110.2563413,1.658287576,0.199497768,8.312311422,9.39E-17,5.18E-13
ENSG00000147003,570.2509364,-1.387700071,0.173447591,-8.000688051,1.24E-15,5.46E-12
ENSG00000170509,435.6949193,2.066489687,0.261838568,7.892228035,2.97E-15,1.09E-11
ENSG00000175785,16.52953494,3.998831989,0.514949531,7.765483316,8.13E-15,2.56E-11
ENSG00000127870,2001.739228,-1.354952844,0.174953,-7.744667667,9.58E-15,2.60E-11
ENSG00000145907,2003.023361,-0.590358019,0.076353613,-7.731893712,1.06E-14,2.60E-11
ENSG00000163710,35.37617216,3.901822944,0.507369181,7.690303407,1.47E-14,3.24E-11
ENSG00000136872,879.2427207,2.969509273,0.387850557,7.656323342,1.91E-14,3.84E-11
ENSG00000163581,445.5336675,-1.766057313,0.235122579,-7.511219565,5.86E-14,1.08E-10
ENSG00000165195,628.2181057,-1.286081433,0.178061001,-7.222701364,5.10E-13,8.09E-10
ENSG00000173432,70.18440218,4.535970107,0.628108431,7.221635448,5.14E-13,8.09E-10
ENSG00000172575,600.4067569,-1.229679374,0.173520038,-7.086670733,1.37E-12,2.02E-09
ENSG00000176928,1248.349824,-1.030383126,0.147999186,-6.96208642,3.35E-12,4.62E-09
ENSG00000151834,19.13979156,-3.757654033,0.547094547,-6.868381447,6.49E-12,8.43E-09
ENSG00000138670,1273.82646,-0.946293391,0.146249973,-6.470383349,9.78E-11,1.20E-07
ENSG00000204347,25.50951417,1.641220751,0.261010119,6.287958332,3.22E-10,3.74E-07
ENSG00000131473,5315.233806,-0.442728555,0.070829328,-6.250638927,4.09E-10,4.51E-07
ENSG00000070159,838.7743809,-0.511584708,0.082240952,-6.220559196,4.95E-10,5.20E-07
ENSG00000135472,218.22691,2.1189637,0.342321619,6.1899792,6.02E-10,6.03E-07
ENSG00000171227,377.7757994,-1.049879441,0.170526171,-6.156705669,7.43E-10,7.12E-07
ENSG00000134121,485.2142062,-1.508961572,0.245665805,-6.142334603,8.13E-10,7.48E-07
ENSG00000116690,218.8080235,1.317939271,0.218017842,6.045098229,1.49E-09,1.32E-06
ENSG00000196177,508.3268854,-0.654929908,0.108802631,-6.019430824,1.75E-09,1.49E-06
ENSG00000169299,201.9270272,-0.927278901,0.155602494,-5.959280463,2.53E-09,2.07E-06
ENSG00000163803,68.0337484,1.303365964,0.219300087,5.943298897,2.79E-09,2.20E-06
ENSG00000142156,308.3358533,1.005228723,0.169304198,5.937411688,2.90E-09,2.20E-06
ENSG00000205231,40.19260703,2.597062393,0.437993125,5.929459264,3.04E-09,2.24E-06
ENSG00000120053,892.7861764,-0.708965966,0.120405958,-5.888130264,3.91E-09,2.71E-06
ENSG00000132964,415.2282522,-0.720113424,0.122316605,-5.887290819,3.93E-09,2.71E-06
ENSG00000112137,267.8077916,0.910208257,0.156580003,5.813055543,6.13E-09,4.10E-06
ENSG00000159082,374.6818094,-0.534408331,0.092132557,-5.800428717,6.61E-09,4.17E-06
ENSG00000224387,13.62339141,2.463513597,0.424510458,5.803187059,6.51E-09,4.17E-06
ENSG00000010282,231.6037421,-1.505342737,0.260691191,-5.774428854,7.72E-09,4.73E-06
ENSG00000174567,482.589015,-0.634223165,0.110854774,-5.721207525,1.06E-08,6.31E-06
ENSG00000251095,180.1609009,1.356635481,0.238080821,5.698214056,1.21E-08,7.03E-06
ENSG00000025039,1174.254033,-0.598956735,0.105677576,-5.667775094,1.45E-08,8.18E-06
ENSG00000020577,162.8032544,0.951998343,0.168136748,5.66204804,1.50E-08,8.25E-06
ENSG00000169905,2289.498865,-0.494425432,0.087636566,-5.641770959,1.68E-08,9.06E-06
ENSG00000107249,1102.761973,-0.632224716,0.112503002,-5.619625316,1.91E-08,1.01E-05
ENSG00000033867,475.8571746,-0.751771307,0.13469843,-5.581143782,2.39E-08,1.23E-05
ENSG00000189241,4904.463042,-0.597477239,0.107147075,-5.576234714,2.46E-08,1.23E-05
ENSG00000168918,64.18024447,1.274599358,0.229070601,5.564220612,2.63E-08,1.29E-05
ENSG00000165704,898.1102357,-0.593151875,0.106841605,-5.551693774,2.83E-08,1.36E-05
ENSG00000211677,208.6732929,4.018526345,0.727740559,5.521921646,3.35E-08,1.57E-05
ENSG00000226017,13.88370873,1.514598122,0.274964293,5.508344762,3.62E-08,1.66E-05
ENSG00000123836,12001.13717,-1.055055271,0.191739847,-5.502535278,3.74E-08,1.69E-05
ENSG00000116329,105.7640185,-1.115443454,0.203751745,-5.474522216,4.39E-08,1.94E-05
ENSG00000189227,274.8798083,-0.588537393,0.107922429,-5.453337141,4.94E-08,2.14E-05
ENSG00000225126,6.268192631,2.850246761,0.523704986,5.442466345,5.25E-08,2.23E-05
ENSG00000076770,509.3468876,-0.594867296,0.109551152,-5.430041459,5.63E-08,2.31E-05
ENSG00000117691,810.2506739,0.699708536,0.128946787,5.426335569,5.75E-08,2.31E-05
ENSG00000255829,13.43372308,-1.172761756,0.216116906,-5.426515565,5.75E-08,2.31E-05
ENSG00000225968,7.482910838,2.420116294,0.44966499,5.382042956,7.36E-08,2.85E-05
ENSG00000244437,23.62695612,6.2328222,1.157885937,5.38293281,7.33E-08,2.85E-05
ENSG00000162511,149.8580497,1.865833788,0.347165943,5.374472433,7.68E-08,2.92E-05
ENSG00000143549,4054.589746,-0.474392917,0.088538548,-5.358038117,8.41E-08,3.15E-05
ENSG00000140968,39.43877944,1.945006265,0.363553494,5.349986443,8.80E-08,3.23E-05
ENSG00000184530,186.1329376,3.169137116,0.593058304,5.343719316,9.11E-08,3.29E-05
ENSG00000184588,324.1529094,0.943688258,0.176760293,5.338802286,9.36E-08,3.33E-05
ENSG00000091137,629.6065781,1.47323114,0.276625333,5.325727482,1.01E-07,3.41E-05
ENSG00000168824,568.0284885,-0.752303076,0.141114811,-5.331141845,9.76E-08,3.41E-05
ENSG00000227589,68.21718681,1.99104372,0.373759888,5.327066341,9.98E-08,3.41E-05
ENSG00000138964,21.31313628,1.941102964,0.365336253,5.313195572,1.08E-07,3.55E-05
ENSG00000197894,1281.587017,-0.423335501,0.079667854,-5.313755552,1.07E-07,3.55E-05
ENSG00000124762,656.4238285,0.951692596,0.179363228,5.305951551,1.12E-07,3.56E-05
ENSG00000172016,2520.504102,3.66689712,0.691293867,5.304397007,1.13E-07,3.56E-05
ENSG00000188257,35.76965997,4.410336554,0.831139877,5.306371018,1.12E-07,3.56E-05
ENSG00000181234,33.61324752,1.480723489,0.282136145,5.248258744,1.54E-07,4.77E-05
ENSG00000146072,1298.504213,-0.546709515,0.104421035,-5.235626287,1.64E-07,5.04E-05
ENSG00000132465,311.0886959,3.203037097,0.615524984,5.203748312,1.95E-07,5.90E-05
ENSG00000176533,231.3132865,-0.646154929,0.124462697,-5.191554934,2.09E-07,6.22E-05
ENSG00000171992,530.5017225,0.61330528,0.118537255,5.173945372,2.29E-07,6.74E-05
ENSG00000141198,1075.187699,-0.527058547,0.102049342,-5.164742217,2.41E-07,6.99E-05
ENSG00000206503,7323.059178,0.699107384,0.135429292,5.162157853,2.44E-07,6.99E-05
ENSG00000167397,658.2707155,0.520213156,0.100920962,5.154659105,2.54E-07,7.19E-05
ENSG00000162949,1333.27033,-1.00642787,0.196106707,-5.132042078,2.87E-07,7.90E-05
ENSG00000220785,145.5547585,0.783551447,0.152658061,5.13272238,2.86E-07,7.90E-05
ENSG00000183978,4154.272589,-0.538028474,0.105087601,-5.11980929,3.06E-07,8.33E-05
ENSG00000138119,143.217111,1.280925489,0.251006382,5.103159043,3.34E-07,8.99E-05
ENSG00000142173,45.77330051,1.477727837,0.289713426,5.100653621,3.38E-07,9.00E-05
ENSG00000204262,251.3704041,0.954227289,0.187802719,5.081008901,3.75E-07,9.86E-05
ENSG00000211890,53.89366456,4.339913491,0.855187548,5.074809027,3.88E-07,0.000100681
ENSG00000121068,12.74048156,1.805861829,0.357497548,5.051396413,4.39E-07,0.000111226
