lncRNA,mature_mirna_id,clipExpNum
DIO3OS,hsa-miR-24-3p,1
NEAT1,hsa-miR-324-5p,8
NEAT1,hsa-miR-125a-5p,12
NEAT1,hsa-miR-296-5p,9
NEAT1,hsa-miR-483-3p,19
NEAT1,hsa-miR-181a-5p,32
NEAT1,hsa-miR-181b-5p,32
NEAT1,hsa-miR-4262,30
NEAT1,hsa-miR-495-3p,14
NEAT1,hsa-miR-193a-3p,13
NEAT1,hsa-miR-146a-5p,11
NEAT1,hsa-miR-320a,18
NEAT1,hsa-miR-425-5p,38
NEAT1,hsa-miR-582-3p,5
NEAT1,hsa-miR-9-5p,7
NEAT1,hsa-miR-204-5p,19
NEAT1,hsa-miR-27a-3p,19
NEAT1,hsa-miR-27b-3p,19
NEAT1,hsa-miR-433-3p,8
NEAT1,hsa-miR-124-3p,41
NEAT1,hsa-miR-506-3p,41
NEAT1,hsa-miR-524-5p,9
NEAT1,hsa-miR-23a-3p,13
NEAT1,hsa-miR-23b-3p,13
NEAT1,hsa-miR-205-5p,3
NEAT1,hsa-miR-150-5p,6
NEAT1,hsa-miR-132-3p,17
NEAT1,hsa-miR-301a-3p,16
NEAT1,hsa-miR-130a-3p,16
NEAT1,hsa-miR-130b-3p,16
NEAT1,hsa-miR-148a-3p,16
NEAT1,hsa-miR-148b-3p,16
NEAT1,hsa-miR-152-3p,16
NEAT1,hsa-miR-4295,14
NEAT1,hsa-miR-34c-5p,16
NEAT1,hsa-miR-34a-5p,16
NEAT1,hsa-miR-449a,16
NEAT1,hsa-miR-133a-3p,2
NEAT1,hsa-miR-133b,2
NEAT1,hsa-miR-199a-3p,13
NEAT1,hsa-miR-128-3p,27
NEAT1,hsa-miR-299-5p,7
NEAT1,hsa-miR-29b-3p,37
NEAT1,hsa-miR-29a-3p,37
NEAT1,hsa-miR-29c-3p,37
NEAT1,hsa-miR-200c-3p,6
NEAT1,hsa-miR-200b-3p,6
NEAT1,hsa-miR-490-3p,7
NEAT1,hsa-miR-532-5p,5
NEAT1,hsa-miR-18a-5p,9
NEAT1,hsa-miR-18b-5p,9
NEAT1,hsa-miR-224-5p,19
NEAT1,hsa-miR-10a-5p,2
NEAT1,hsa-miR-140-3p,10
NEAT1,hsa-miR-142-5p,12
NEAT1,hsa-miR-423-5p,9
NEAT1,hsa-miR-221-3p,15
NEAT1,hsa-miR-222-3p,15
NEAT1,hsa-miR-302d-3p,10
NEAT1,hsa-miR-372-3p,10
NEAT1,hsa-miR-144-5p,3
NEAT1,hsa-miR-206,29
