lncRNA,mature_mirna_id,clipExpNum
LINC01116,hsa-miR-3614-5p,1
LINC01116,hsa-miR-432-5p,1
LINC01116,hsa-miR-6512-3p,1
LINC01116,hsa-miR-6720-5p,1
LINC01116,hsa-miR-3690,1
LINC01116,hsa-miR-432-5p,0
DIO3OS,hsa-miR-24-3p,0
DIO3OS,hsa-miR-24-3p,1
NEAT1,hsa-miR-339-5p,5
NEAT1,hsa-miR-324-5p,8
NEAT1,hsa-miR-125a-5p,12
NEAT1,hsa-miR-4319,8
NEAT1,hsa-miR-345-3p,8
NEAT1,hsa-miR-339-5p,6
NEAT1,hsa-miR-361-3p,12
NEAT1,hsa-miR-1913,8
NEAT1,hsa-miR-324-3p,8
NEAT1,hsa-miR-5581-3p,10
NEAT1,hsa-miR-3145-3p,12
NEAT1,hsa-miR-449c-5p,6
NEAT1,hsa-miR-2682-5p,6
NEAT1,hsa-miR-34b-5p,6
NEAT1,hsa-miR-335-5p,18
NEAT1,hsa-miR-345-5p,2
NEAT1,hsa-miR-3173-5p,20
NEAT1,hsa-miR-6799-3p,20
NEAT1,hsa-miR-3622b-5p,12
NEAT1,hsa-miR-129-1-3p,17
NEAT1,hsa-miR-129-2-3p,17
NEAT1,hsa-miR-2355-5p,19
NEAT1,hsa-miR-4640-5p,4
NEAT1,hsa-miR-4726-5p,4
NEAT1,hsa-miR-1247-5p,8
NEAT1,hsa-miR-296-5p,5
NEAT1,hsa-miR-3690,8
NEAT1,hsa-miR-1306-5p,10
NEAT1,hsa-miR-483-3p,19
NEAT1,hsa-miR-652-3p,22
NEAT1,hsa-miR-3605-5p,21
NEAT1,hsa-miR-3146,27
NEAT1,hsa-miR-214-5p,22
NEAT1,hsa-miR-503-5p,17
NEAT1,hsa-miR-409-3p,14
NEAT1,hsa-miR-513b-5p,14
NEAT1,hsa-miR-3179,9
NEAT1,hsa-miR-4739,9
NEAT1,hsa-miR-766-5p,8
NEAT1,hsa-miR-4756-5p,6
NEAT1,hsa-miR-1321,6
NEAT1,hsa-miR-885-5p,26
NEAT1,hsa-miR-181a-5p,32
NEAT1,hsa-miR-181c-5p,32
NEAT1,hsa-miR-181b-5p,32
NEAT1,hsa-miR-181d-5p,32
NEAT1,hsa-miR-4262,30
NEAT1,hsa-miR-1287-5p,24
NEAT1,hsa-miR-5688,10
NEAT1,hsa-miR-495-3p,10
NEAT1,hsa-miR-802,10
NEAT1,hsa-miR-625-3p,12
NEAT1,hsa-miR-671-3p,14
NEAT1,hsa-miR-193b-3p,14
NEAT1,hsa-miR-193a-3p,13
NEAT1,hsa-miR-342-3p,11
NEAT1,hsa-miR-3146,12
NEAT1,hsa-miR-146a-5p,3
NEAT1,hsa-miR-146b-5p,3
NEAT1,hsa-miR-7153-5p,3
NEAT1,hsa-miR-224-3p,7
NEAT1,hsa-miR-522-3p,7
NEAT1,hsa-miR-320a,7
NEAT1,hsa-miR-320b,7
NEAT1,hsa-miR-4429,6
NEAT1,hsa-miR-320c,6
NEAT1,hsa-miR-320d,6
NEAT1,hsa-miR-760,5
NEAT1,hsa-miR-6893-3p,4
NEAT1,hsa-miR-370-3p,4
NEAT1,hsa-miR-6738-5p,3
NEAT1,hsa-miR-5194,3
NEAT1,hsa-miR-1914-3p,3
NEAT1,hsa-miR-103a-3p,1
NEAT1,hsa-miR-107,1
NEAT1,hsa-miR-1323,10
NEAT1,hsa-miR-548o-3p,10
NEAT1,hsa-miR-370-5p,35
NEAT1,hsa-miR-552-3p,46
NEAT1,hsa-miR-605-3p,42
NEAT1,hsa-miR-2355-5p,25
NEAT1,hsa-miR-1277-5p,26
NEAT1,hsa-miR-425-5p,38
NEAT1,hsa-miR-377-3p,18
NEAT1,hsa-miR-342-3p,18
NEAT1,hsa-miR-365a-3p,20
NEAT1,hsa-miR-365b-3p,20
NEAT1,hsa-miR-1276,6
NEAT1,hsa-miR-3909,6
NEAT1,hsa-miR-6852-3p,5
NEAT1,hsa-miR-532-3p,7
NEAT1,hsa-miR-1247-5p,10
NEAT1,hsa-miR-624-5p,2
NEAT1,hsa-miR-770-5p,1
NEAT1,hsa-miR-4712-5p,1
NEAT1,hsa-miR-126-5p,11
NEAT1,hsa-miR-330-3p,18
NEAT1,hsa-miR-582-3p,5
NEAT1,hsa-miR-9-5p,7
NEAT1,hsa-miR-204-5p,7
NEAT1,hsa-miR-211-5p,7
NEAT1,hsa-miR-329-3p,9
NEAT1,hsa-miR-362-3p,9
NEAT1,hsa-miR-377-3p,9
NEAT1,hsa-miR-4677-3p,12
NEAT1,hsa-miR-641,14
NEAT1,hsa-miR-3617-5p,13
NEAT1,hsa-miR-766-5p,11
NEAT1,hsa-miR-665,10
NEAT1,hsa-miR-4701-5p,12
NEAT1,hsa-miR-588,12
NEAT1,hsa-miR-27a-3p,19
NEAT1,hsa-miR-27b-3p,19
NEAT1,hsa-miR-499a-5p,5
NEAT1,hsa-miR-513b-5p,13
NEAT1,hsa-miR-433-3p,8
NEAT1,hsa-miR-3622a-5p,13
NEAT1,hsa-miR-124-3p,11
NEAT1,hsa-miR-506-3p,11
NEAT1,hsa-miR-889-3p,5
NEAT1,hsa-miR-126-5p,3
NEAT1,hsa-miR-28-3p,1
NEAT1,hsa-miR-524-5p,9
NEAT1,hsa-miR-520d-5p,9
NEAT1,hsa-miR-154-5p,11
NEAT1,hsa-miR-944,5
NEAT1,hsa-miR-181a-5p,5
NEAT1,hsa-miR-181b-5p,5
NEAT1,hsa-miR-181c-5p,5
NEAT1,hsa-miR-181d-5p,5
NEAT1,hsa-miR-543,4
NEAT1,hsa-miR-4262,4
NEAT1,hsa-miR-6835-3p,5
NEAT1,hsa-miR-204-5p,19
NEAT1,hsa-miR-211-5p,19
NEAT1,hsa-miR-506-3p,41
NEAT1,hsa-miR-124-3p,41
NEAT1,hsa-miR-377-3p,52
NEAT1,hsa-miR-1252-5p,1
NEAT1,hsa-miR-505-3p,6
NEAT1,hsa-miR-616-3p,17
NEAT1,hsa-miR-655-3p,17
NEAT1,hsa-miR-374c-5p,15
NEAT1,hsa-miR-582-5p,60
NEAT1,hsa-miR-770-5p,36
NEAT1,hsa-miR-4712-5p,29
NEAT1,hsa-miR-194-5p,12
NEAT1,hsa-miR-493-5p,13
NEAT1,hsa-miR-371a-5p,9
NEAT1,hsa-miR-888-5p,9
NEAT1,hsa-miR-576-5p,6
NEAT1,hsa-miR-3942-5p,8
NEAT1,hsa-miR-4766-3p,8
NEAT1,hsa-miR-4703-5p,8
NEAT1,hsa-miR-411-3p,10
NEAT1,hsa-miR-379-3p,10
NEAT1,hsa-miR-605-3p,10
NEAT1,hsa-miR-5009-3p,5
NEAT1,hsa-miR-432-5p,2
NEAT1,hsa-miR-409-5p,3
NEAT1,hsa-miR-369-3p,6
NEAT1,hsa-miR-3614-5p,6
NEAT1,hsa-miR-2278,5
NEAT1,hsa-miR-421,5
NEAT1,hsa-miR-23c,3
NEAT1,hsa-miR-23a-3p,3
NEAT1,hsa-miR-23b-3p,3
NEAT1,hsa-miR-130a-5p,3
NEAT1,hsa-miR-140-5p,4
NEAT1,hsa-miR-205-5p,3
NEAT1,hsa-miR-362-3p,3
NEAT1,hsa-miR-329-3p,3
NEAT1,hsa-miR-656-3p,0
NEAT1,hsa-miR-624-5p,4
NEAT1,hsa-miR-506-5p,4
NEAT1,hsa-miR-656-3p,4
NEAT1,hsa-miR-448,4
NEAT1,hsa-miR-150-5p,3
NEAT1,hsa-miR-6720-5p,3
NEAT1,hsa-miR-6512-3p,3
NEAT1,hsa-miR-1294,2
NEAT1,hsa-miR-668-3p,4
NEAT1,hsa-miR-671-5p,8
NEAT1,hsa-miR-342-3p,5
NEAT1,hsa-miR-3171,16
NEAT1,hsa-miR-450b-5p,21
